frame1 #-0,1131623#1,068678#3,41602#-0,08892075#0,885834#3,42789# 0,4929415#0,4136955#3,575498#-0,6609156#0,3342061#3,556997#0,4486299#0,4838433#3,532707#-0,6328107#0,3961923#3,545634#0,2737974#0,6397027#3,509533#-0,459055#0,5829005#3,507111#0,08791345#0,7724236#3,418306#-0,2667091#0,7602437#3,422439#-0,08312573#0,5209929#3,442368#-0,0825692#0,4513788#3,406865#-0,001615651#0,3745351#3,401887#-0,1611958#0,3690541#3,399038#0,02370037#-0,1636108#3,470692#-0,1634912#-0,160864#3,45542#-0,00143967#-0,5023858#3,490699#-0,1150163#-0,510438#3,498802#0,002508818#-0,5763732#3,449844#-0,1140891#-0,5761248#3,454912#0  
frame2 #-0,1144831#1,077582#3,428822#-0,08923703#0,8866657#3,431009# 0,5456382#0,4607545#3,541736#-0,7067369#0,4033277#3,537825#0,4808961#0,5289654#3,513934#-0,6441204#0,4682507#3,499336#0,2909934#0,6488311#3,497504#-0,4697409#0,60146#3,456694#0,08874083#0,7726297#3,418578#-0,2679934#0,7609922#3,42314#-0,08341094#0,5216719#3,444377#-0,08289368#0,4521732#3,408532#-0,001374945#0,3746396#3,403597#-0,1619466#0,3693304#3,400011#0,02308549#-0,1640141#3,470456#-0,1643264#-0,1620837#3,455805#-0,002221874#-0,5025212#3,489422#-0,1136295#-0,5149648#3,498549#0,004245426#-0,5766166#3,449469#-0,1135807#-0,5767318#3,454858#0  
frame3 #-0,1170487#1,078493#3,432528#-0,08865805#0,8886201#3,433461# 0,5844139#0,5080978#3,490031#-0,7351084#0,4726497#3,453417#0,5013474#0,5675263#3,47242#-0,673834#0,5160127#3,438134#0,299805#0,6626281#3,480576#-0,4801052#0,6250609#3,435486#0,08893612#0,7726051#3,418727#-0,270896#0,7623076#3,426038#-0,08334534#0,5226007#3,44624#-0,08320106#0,4530441#3,410053#-0,00131882#0,3747521#3,404456#-0,1630568#0,3699884#3,401843#0,02296397#-0,1639173#3,470492#-0,1651143#-0,1616168#3,456123#-0,003079091#-0,5021783#3,489568#-0,1112189#-0,5135458#3,497241#0,00422103#-0,5771071#3,445357#-0,1140519#-0,5755218#3,454934#0  
frame4 #-0,1107088#1,087315#3,444049#-0,08916721#0,8900453#3,43722# 0,5938847#0,5493491#3,425916#-0,7607872#0,5094172#3,410084#0,4976384#0,5990647#3,428004#-0,6896599#0,5448947#3,419862#0,3051507#0,703467#3,454057#-0,4924454#0,6403418#3,424114#0,08998043#0,7730112#3,41988#-0,2719562#0,7640779#3,430325#-0,08370712#0,5230871#3,450875#-0,08389866#0,4532255#3,414742#-0,001363161#0,3740555#3,408724#-0,1646106#0,3697453#3,40746#0,02296152#-0,1639231#3,470647#-0,1652317#-0,1608279#3,456264#-0,002453626#-0,5009405#3,48808#-0,1112372#-0,5123146#3,496747#0,00363815#-0,5768437#3,442987#-0,1142555#-0,5752949#3,455133#0  
frame5 #-0,1135169#1,097498#3,465476#-0,09133772#0,8923552#3,444525# 0,6177409#0,5826176#3,375986#-0,7965907#0,5200987#3,357171#0,5231097#0,6176925#3,382717#-0,7036445#0,5701358#3,370928#0,3124169#0,7043992#3,42812#-0,5086339#0,6643059#3,401463#0,09039003#0,7733185#3,420001#-0,2732446#0,7650558#3,431433#-0,08441583#0,5229564#3,455965#-0,08451508#0,4530309#3,419032#-0,001140685#0,3730627#3,412925#-0,1655819#0,369148#3,41103#0,02312852#-0,1639363#3,471195#-0,1657001#-0,1592071#3,456306#-0,001984231#-0,499332#3,487932#-0,1122841#-0,5064119#3,49281#0,005550562#-0,5776098#3,443331#-0,1127563#-0,5740165#3,45041#0  
frame6 #-0,1159308#1,105626#3,471249#-0,09083963#0,893622#3,447569# 0,6127191#0,6253819#3,347127#-0,7611973#0,5891722#3,294988#0,5379913#0,6231674#3,36326#-0,6843503#0,5873396#3,298011#0,3428413#0,7151255#3,397722#-0,5063844#0,6843061#3,388721#0,09363948#0,7765414#3,421335#-0,2739545#0,7676669#3,431644#-0,08447618#0,524681#3,459615#-0,08455138#0,4548186#3,422306#-0,0006227352#0,3738993#3,415345#-0,1663848#0,3702712#3,41432#0,0234784#-0,1637734#3,471463#-0,1659644#-0,158091#3,45676#-0,001194771#-0,4984703#3,488452#-0,1165334#-0,5045182#3,495419#0,007025172#-0,577925#3,444843#-0,1146528#-0,5746224#3,452017#0  
frame7 #-0,1151934#1,105461#3,471844#-0,08980614#0,8980187#3,454363# 0,5903614#0,679581#3,290187#-0,7819074#0,584707#3,244154#0,5148717#0,6850678#3,301622#-0,6908829#0,6269127#3,269821#0,3155192#0,7331505#3,37788#-0,5010462#0,7005164#3,350712#0,0955404#0,7785923#3,423091#-0,2744878#0,7694231#3,433338#-0,08467473#0,5252747#3,464082#-0,08490988#0,4552493#3,425718#-0,0006136218#0,3739041#3,417449#-0,1675767#0,3701649#3,418616#0,0234088#-0,1640328#3,472126#-0,1662118#-0,1579975#3,457325#-0,00169174#-0,4994325#3,48789#-0,1184938#-0,5078292#3,490569#0,007536124#-0,5784569#3,445218#-0,113432#-0,5748747#3,451445#0  
frame8 #-0,1135534#1,113211#3,478378#-0,09040289#0,9013693#3,461722# 0,5792778#0,6906325#3,209534#-0,743991#0,6346188#3,176233#0,5086186#0,7026595#3,246583#-0,6369594#0,6532593#3,214671#0,3020304#0,7434325#3,372454#-0,4710313#0,7192128#3,339953#0,09588619#0,7797484#3,423637#-0,2744784#0,7702661#3,433844#-0,08505699#0,5268346#3,468784#-0,08530048#0,4569065#3,42873#-0,0008953538#0,3755509#3,41997#-0,1679426#0,3714813#3,420768#0,02347117#-0,1638754#3,472232#-0,1665184#-0,1577898#3,457643#-0,002332903#-0,4984922#3,487515#-0,1181581#-0,5022277#3,491128#0,01017843#-0,5782138#3,448069#-0,1135044#-0,5745666#3,451328#0  
frame9 #-0,1116565#1,111856#3,479424#-0,0900818#0,9034748#3,467175# 0,6102873#0,7036715#3,138738#-0,7350801#0,6422282#3,146468#0,5090263#0,7258436#3,18704#-0,6601677#0,6675464#3,191116#0,2950439#0,7523354#3,349103#-0,4631266#0,7348238#3,322287#0,09557812#0,7802296#3,424645#-0,2739031#0,7712326#3,435528#-0,08493634#0,5264573#3,472276#-0,08533654#0,4567081#3,430486#-0,001119807#0,3756005#3,420994#-0,1677753#0,3716365#3,422432#0,02342669#-0,1635097#3,472278#-0,1670647#-0,157679#3,458517#-0,003283585#-0,498022#3,486797#-0,1182455#-0,5022847#3,490683#0,01096697#-0,5764558#3,445647#-0,1148476#-0,5744004#3,450743#0  
frame10 #-0,1096979#1,113271#3,480186#-0,09051189#0,9084553#3,482265# 0,6050932#0,7248287#3,113391#-0,7306423#0,647163#3,063023#0,4939087#0,7386032#3,162652#-0,6314127#0,680692#3,145255#0,2871211#0,7681568#3,308767#-0,4475699#0,735988#3,304482#0,0937157#0,7812031#3,426171#-0,2723387#0,7744291#3,439072#-0,08464184#0,5264948#3,478181#-0,08528541#0,4573225#3,433669#-0,001949733#0,3767713#3,424312#-0,1669153#0,3734478#3,42421#0,0234796#-0,1636737#3,473072#-0,1673531#-0,157697#3,459358#-0,002809114#-0,4981872#3,486934#-0,1169422#-0,5006527#3,501179#0,008339987#-0,5779783#3,446437#-0,1158028#-0,5744011#3,453766#0 
frame11 #-0,1097098#1,114526#3,484221#-0,08845338#0,9037873#3,4874# 0,575766#0,7498896#3,035432#-0,668047#0,6827796#3,032963#0,4374602#0,7611631#3,124841#-0,5752681#0,7183853#3,129307#0,2808962#0,7714561#3,278303#-0,4378799#0,7515885#3,288773#0,09345238#0,781017#3,427366#-0,271498#0,7760246#3,444555#-0,0838515#0,5230733#3,483497#-0,08528821#0,4543729#3,437351#-0,002979545#0,374675#3,426181#-0,166193#0,3713051#3,427871#0,02319753#-0,1550678#3,474248#-0,1673896#-0,1512847#3,460459#-0,001469073#-0,4924906#3,488932#-0,1176085#-0,4972597#3,497244#0,007543123#-0,5785565#3,447649#-0,1157263#-0,5727928#3,452051#0  
frame12 #-0,1106849#1,112015#3,484642#-0,08953871#0,8967268#3,494527# 0,4473149#0,7776482#3,021376#-0,586416#0,7204284#3,033697#0,4023935#0,7747867#3,085085#-0,5293589#0,7287803#3,105883#0,2746435#0,7820216#3,254522#-0,4137198#0,7640772#3,280872#0,09083782#0,7810944#3,42809#-0,2681248#0,7749408#3,447206#-0,08350778#0,5143682#3,490275#-0,0850899#0,4454607#3,442554#-0,004516179#0,3696613#3,429677#-0,1639786#0,3657959#3,432006#0,02320721#-0,1516287#3,472823#-0,1676033#-0,1488039#3,460808#0,002470988#-0,4834477#3,490659#-0,1174149#-0,4926054#3,501693#0,007267345#-0,5730014#3,448475#-0,114592#-0,5722352#3,452639#0  
frame13 #-0,1094614#1,10844#3,491099#-0,09051278#0,8956002#3,499017# 0,4140944#0,7846995#2,967291#-0,5591996#0,73744#2,988182#0,3433996#0,7911513#3,06973#-0,5063791#0,7513409#3,059038#0,2248762#0,7921335#3,245198#-0,4012958#0,7696146#3,242594#0,08512064#0,7815398#3,428118#-0,2666846#0,7742473#3,447859#-0,08341162#0,511807#3,493188#-0,08507837#0,4429959#3,444113#-0,005409317#0,3682642#3,431305#-0,1629822#0,3644302#3,432939#0,02338439#-0,14955#3,472556#-0,1667121#-0,1451221#3,461674#0,004084024#-0,4853503#3,489918#-0,1170518#-0,4912241#3,50278#0,008249738#-0,576463#3,448351#-0,1145869#-0,5717648#3,452872#0  
frame14 #-0,1090388#1,106338#3,495679#-0,09115559#0,8950741#3,501073# 0,3483805#0,8127178#2,994374#-0,5449362#0,7552105#2,9205#0,2940199#0,8142244#3,048801#-0,4959247#0,7584197#3,022156#0,2176597#0,7943283#3,246111#-0,3877976#0,7701386#3,230273#0,08000633#0,7810114#3,428349#-0,2613007#0,7731527#3,448957#-0,08340476#0,5097111#3,495354#-0,08525448#0,440704#3,445173#-0,006852156#0,3671699#3,432933#-0,1621185#0,3637726#3,433435#0,02364672#-0,149203#3,472687#-0,1665511#-0,1450353#3,461805#0,002442423#-0,4869601#3,489919#-0,1186551#-0,4929973#3,500255#0,006222803#-0,5789647#3,448156#-0,1125202#-0,5734046#3,450873#0  
