frame1 #-0,1122307#1,0945#3,575987#-0,1233179#0,915862#3,576149# -0,00591716#0,8244362#2,937646#-0,227871#0,8170401#2,971425#0,04133929#0,8065826#3,094099#-0,2688971#0,8097798#3,103679#0,07118344#0,7689425#3,31562#-0,3180973#0,7659188#3,32026#-0,001763993#0,7376374#3,5062#-0,2412701#0,7878619#3,516844#-0,115611#0,5631493#3,547127#-0,1136838#0,5062494#3,488782#-0,05851498#0,44053#3,485891#-0,1662927#0,4631311#3,465031#-0,004315613#-0,1388772#3,517884#-0,1894679#-0,1425934#3,51449#-0,01435695#-0,4978831#3,564219#-0,1259153#-0,5170822#3,561673#-0,01221909#-0,5336244#3,498593#-0,1594373#-0,5873756#3,528777#0  
frame2 #-0,1161947#1,090312#3,573941#-0,1242062#0,9137443#3,57746# -0,02280465#0,8115793#2,91024#-0,228115#0,8172389#2,972406#0,03900253#0,8094768#3,08218#-0,2828252#0,8086686#3,144399#0,08095305#0,783433#3,262358#-0,3186448#0,765522#3,322447#-0,001248569#0,7497674#3,50653#-0,2439651#0,7800955#3,519478#-0,1125607#0,5473967#3,549011#-0,110984#0,4853518#3,49074#-0,05520083#0,4297391#3,48526#-0,1633994#0,4273802#3,473392#-0,004134375#-0,1404881#3,520579#-0,1889907#-0,1450433#3,517063#-0,01890038#-0,5005757#3,562449#-0,1241071#-0,5173076#3,562813#-0,01897987#-0,5361972#3,496878#-0,1603839#-0,5873057#3,528923#0  
frame3 #-0,1232304#1,095835#3,512424#-0,1280954#0,927898#3,5484# -0,04290619#0,7857175#3,068834#-0,1956415#0,8200129#3,061875#0,01463123#0,8098729#3,100563#-0,2511869#0,8145639#3,119705#0,1820674#0,7945785#3,286589#-0,4178233#0,7982171#3,306406#0,04278012#0,7742574#3,479984#-0,2954855#0,7919833#3,509011#-0,1126258#0,5772158#3,54401#-0,1141458#0,5209497#3,48929#-0,04457968#0,4399605#3,480867#-0,1823116#0,449425#3,475331#-0,003976532#-0,140661#3,520094#-0,188805#-0,144931#3,516256#-0,01944616#-0,5006751#3,562409#-0,1244958#-0,516414#3,56322#-0,02318461#-0,536109#3,496748#-0,1600274#-0,5866888#3,528874#0  
frame4 #-0,1246005#1,099989#3,504216#-0,1216576#0,9156312#3,523011# -0,06341713#0,7844687#3,246378#-0,2671749#0,8223637#3,192466#-0,01252785#0,8106926#3,287325#-0,2616447#0,8239998#3,262615#0,2208692#0,7988613#3,336973#-0,4624854#0,8269032#3,34981#0,06024423#0,7993709#3,466282#-0,3039409#0,7816656#3,492352#-0,1125967#0,5805389#3,542225#-0,1143249#0,5213864#3,488413#-0,04011833#0,4425743#3,478522#-0,1896488#0,4429383#3,47607#-0,00412075#-0,14101#3,519609#-0,1883963#-0,1450203#3,51568#-0,01928639#-0,5005772#3,561261#-0,124695#-0,5161106#3,56286#-0,02317625#-0,5361939#3,495636#-0,1613024#-0,5883082#3,533865#0  
frame5 #-0,1238037#1,076455#3,460647#-0,1216381#0,9038718#3,509971# 0,06157274#0,9249941#3,355782#-0,2810573#0,9947872#3,381639#0,1224603#0,9530015#3,373876#-0,330316#0,9550462#3,382671#0,2350525#0,8172507#3,36033#-0,4780922#0,8358231#3,398845#0,0577556#0,8089599#3,466583#-0,2967615#0,8302752#3,467865#-0,1164925#0,5767349#3,538057#-0,1147314#0,5167469#3,487509#-0,03836056#0,4361503#3,479864#-0,1907489#0,4390942#3,476482#-0,004184453#-0,1403134#3,520579#-0,1871495#-0,1474384#3,517928#-0,02015244#-0,499445#3,562109#-0,1254285#-0,5162016#3,56613#-0,01859196#-0,535357#3,496035#-0,1603583#-0,5869893#3,530751#0  
frame6 #-0,1240558#1,079441#3,461677#-0,1157767#0,886941#3,503825# 0,1049373#0,9661812#3,368474#-0,2901019#1,030829#3,394001#0,1350695#0,9578326#3,349429#-0,3362108#0,98414#3,391582#0,2351777#0,8189504#3,3587#-0,4745376#0,8440729#3,397394#0,05159585#0,7964063#3,471236#-0,3009334#0,7763203#3,474049#-0,1130586#0,557301#3,534116#-0,1129545#0,4949944#3,488441#-0,03574191#0,4196705#3,483314#-0,190342#0,4135896#3,480786#-0,003644799#-0,1430719#3,527311#-0,1851982#-0,1491514#3,520183#-0,02142782#-0,4979728#3,563201#-0,1280453#-0,5129477#3,567447#-0,02087409#-0,5344859#3,496598#-0,1601129#-0,5858178#3,531505#0  
frame7 #-0,126926#1,092555#3,503532#-0,1026298#0,8959485#3,555089# 0,08102307#1,025279#3,102103#-0,3023738#1,056289#3,162436#0,1082166#0,9395912#3,116404#-0,3340786#0,998269#3,149966#0,1185986#0,7824739#3,255792#-0,3592407#0,772196#3,245931#0,02169649#0,763165#3,502722#-0,2740895#0,7613474#3,486535#-0,1027338#0,5169775#3,551595#-0,09854238#0,4454425#3,502037#-0,03332404#0,3883976#3,497337#-0,1664392#0,3835479#3,484471#-0,004117094#-0,1483541#3,542056#-0,181365#-0,1527342#3,530231#-0,01603523#-0,4947538#3,562597#-0,126274#-0,5121329#3,570234#-0,0105982#-0,5309733#3,494934#-0,1597319#-0,5848598#3,532549#0  
frame8 #-0,1344558#1,11134#3,562617#-0,1049947#0,8982888#3,56003# 0,08223824#0,6877916#2,909063#-0,310588#0,7136852#2,913795#0,08979007#0,6733835#3,013308#-0,3187698#0,7002296#2,996465#0,1176217#0,7883568#3,246861#-0,3557915#0,7736965#3,245857#0,01756134#0,7684186#3,501293#-0,2669995#0,762086#3,487596#-0,1052764#0,5147032#3,554873#-0,1020269#0,4436945#3,50417#-0,04005669#0,3863613#3,500037#-0,1673394#0,3821219#3,486857#-0,004127765#-0,1489961#3,545538#-0,1806021#-0,1529495#3,536155#-0,02406401#-0,4992487#3,563148#-0,1257516#-0,5114561#3,569562#-0,01923786#-0,5356563#3,495105#-0,1590219#-0,5844257#3,531153#0  
frame9 #-0,132532#1,107934#3,569773#-0,1076055#0,8993278#3,56329# 0,08972651#0,4995605#3,016797#-0,3144474#0,4711989#2,983181#0,1036535#0,5631439#3,073679#-0,3147296#0,5158516#3,072658#0,1432861#0,7440863#3,249133#-0,3450092#0,6644691#3,287253#0,02823012#0,7658814#3,492424#-0,2682463#0,7589318#3,487746#-0,1059887#0,5107738#3,558276#-0,1043346#0,4395972#3,506614#-0,03964656#0,3765453#3,503411#-0,1730241#0,3696375#3,489626#-0,003178159#-0,1497579#3,54773#-0,1814575#-0,153583#3,538053#-0,02720594#-0,503873#3,56528#-0,1256196#-0,5111773#3,570175#-0,02472172#-0,5403613#3,497157#-0,1574969#-0,5837901#3,529956#0  
frame10 #-0,1324885#1,107768#3,570702#-0,1114273#0,8966234#3,561244# 0,09619046#0,3165407#3,187222#-0,3117221#0,3032793#3,225671#0,09296593#0,370928#3,255681#-0,3206058#0,3623824#3,28957#0,08697863#0,5319333#3,405813#-0,3093389#0,5043283#3,436352#0,03615935#0,7671993#3,499307#-0,2724959#0,7583286#3,491156#-0,1084068#0,5194086#3,555942#-0,1064869#0,456363#3,502462#-0,0383631#0,384964#3,50118#-0,1742824#0,3818285#3,482979#-0,002890303#-0,1506971#3,548459#-0,1816903#-0,1536683#3,538447#-0,02648791#-0,502395#3,565465#-0,1268021#-0,5080178#3,570769#-0,02329137#-0,5388246#3,497378#-0,1473871#-0,5797891#3,522554#0  
frame11 #-0,1290663#1,098255#3,553123#-0,1121874#0,8963971#3,559036# 0,09526823#0,2772026#3,290552#-0,3175878#0,2411952#3,318996#0,1020904#0,3482203#3,342738#-0,3259226#0,3090333#3,37505#0,0957178#0,5128189#3,460958#-0,3325005#0,5004561#3,476169#0,04077206#0,7687058#3,502468#-0,2753199#0,7574109#3,492109#-0,1097297#0,5224261#3,553726#-0,1075297#0,4589887#3,500291#-0,03809329#0,3873435#3,49803#-0,1764012#0,383985#3,480346#-0,002509959#-0,1517347#3,548516#-0,1826769#-0,1538883#3,538403#-0,01980514#-0,4939975#3,568766#-0,1270515#-0,5074854#3,571167#-0,01621199#-0,530627#3,50029#-0,1562949#-0,5797157#3,527345#0  
