frame1 #-0,09626535#1,086925#3,430286#-0,0740748#0,8910273#3,444284# 0,1735314#0,1982721#3,447615#-0,2862386#0,1818649#3,420541#0,1679191#0,2748004#3,450042#-0,2835164#0,2532297#3,423221#0,1510821#0,5043851#3,471886#-0,2795705#0,48472#3,455831#0,09499707#0,7559359#3,413898#-0,2391406#0,7435664#3,418944#-0,06527143#0,5026665#3,459524#-0,06431386#0,4285509#3,421673#0,01245024#0,3563249#3,417946#-0,1379117#0,3507586#3,413342#0,03971929#-0,1650992#3,485936#-0,1456407#-0,1605988#3,47644#0,03365525#-0,5004192#3,506223#-0,09692626#-0,5002388#3,528041#0,03270239#-0,5794781#3,45225#-0,115041#-0,5719837#3,473584#0  
frame2 #-0,0950084#1,088298#3,428763#-0,07438608#0,8911817#3,443874# 0,1011096#0,2419461#3,392226#-0,2934642#0,1844002#3,429152#0,1590235#0,279686#3,461387#-0,2835288#0,255919#3,42599#0,1492276#0,5089445#3,476322#-0,2820184#0,4893383#3,456124#0,09469633#0,75632#3,412951#-0,2401798#0,74665#3,420471#-0,06556859#0,5032677#3,459483#-0,06493291#0,4292259#3,421832#0,0120394#0,3565789#3,417779#-0,1388731#0,3520359#3,414367#0,04021838#-0,1645243#3,486308#-0,1458812#-0,1608414#3,475577#0,03469776#-0,5022955#3,506204#-0,09628595#-0,5023714#3,528328#0,03542303#-0,5782712#3,450194#-0,1156465#-0,5771692#3,480959#0  
frame3 #-0,09565147#1,089349#3,429014#-0,07452779#0,891164#3,443651# 0,1822023#0,2051722#3,497168#-0,308413#0,1708227#3,485658#0,1694959#0,2770069#3,494496#-0,317996#0,2667831#3,506963#0,1527236#0,5056565#3,482854#-0,2855584#0,4884056#3,465967#0,09435948#0,75639#3,410851#-0,2404046#0,7465557#3,420379#-0,06590445#0,504317#3,459321#-0,06561255#0,430667#3,42178#0,01138195#0,3579321#3,41758#-0,1395688#0,3532796#3,414361#0,04067621#-0,1659473#3,486959#-0,1464087#-0,1606573#3,474672#0,03953127#-0,5072818#3,508228#-0,09631886#-0,5033327#3,528552#0,04270181#-0,5794567#3,44797#-0,1159202#-0,5777038#3,481625#0  
frame4 #-0,09561367#1,089621#3,429109#-0,07447378#0,8920845#3,443412# 0,1928419#0,2139503#3,526367#-0,3265918#0,2153089#3,523671#0,189639#0,2852611#3,53078#-0,3236564#0,2733376#3,5132#0,156887#0,5082283#3,492745#-0,2901587#0,4966753#3,477254#0,09454104#0,7575769#3,410294#-0,2403396#0,7465418#3,419575#-0,06616531#0,5055611#3,458875#-0,06590702#0,4319254#3,421342#0,01086149#0,3600154#3,415836#-0,1398725#0,3540841#3,414591#0,04068025#-0,1659728#3,486673#-0,1465577#-0,1604976#3,473109#0,04105432#-0,507135#3,507527#-0,0974011#-0,5038161#3,529617#0,04012505#-0,5796369#3,450146#-0,1161788#-0,5776661#3,482831#0  
frame5 #-0,09386265#1,09512#3,437602#-0,07293673#0,8932997#3,442426# 0,2996342#0,2931516#3,619288#-0,4459991#0,283318#3,604065#0,2969725#0,3446791#3,575816#-0,4441721#0,337468#3,578532#0,2033176#0,5456753#3,52302#-0,3472913#0,5365981#3,524761#0,09698851#0,7624874#3,417508#-0,2401539#0,7487348#3,420827#-0,06709171#0,5088215#3,453575#-0,06694248#0,4366224#3,413736#0,009473911#0,364608#3,406064#-0,1421652#0,3585425#3,40596#0,04058872#-0,1663335#3,483776#-0,1464406#-0,1650286#3,470539#0,03873245#-0,5067109#3,507753#-0,09775937#-0,5082417#3,528528#0,04262793#-0,5775271#3,446959#-0,1142776#-0,580012#3,483772#0  
frame6 #-0,09348309#1,095731#3,440814#-0,07258002#0,8928885#3,442377# 0,4260128#0,3460994#3,630027#-0,5502696#0,3300537#3,601584#0,3786723#0,3955733#3,614605#-0,5228894#0,3887127#3,574454#0,2582797#0,5706453#3,534434#-0,3918346#0,5711714#3,528685#0,09672652#0,7622843#3,41649#-0,2434344#0,7498661#3,426381#-0,06651221#0,5099074#3,452052#-0,06724391#0,438717#3,41066#0,009517955#0,3657566#3,403453#-0,143191#0,3607928#3,400999#0,04033062#-0,1657611#3,482417#-0,14678#-0,1651851#3,46956#0,03892932#-0,5085599#3,508731#-0,09573733#-0,5073763#3,528872#0,0466029#-0,5800577#3,452237#-0,1139888#-0,5797977#3,484107#0  
frame7 #-0,09464728#1,096781#3,442206#-0,07259358#0,8929617#3,442309# 0,5130074#0,3806758#3,590328#-0,6738842#0,3685388#3,597144#0,4714647#0,4563758#3,558009#-0,6343159#0,4181407#3,572282#0,3022685#0,6100973#3,52279#-0,4502448#0,5945928#3,51718#0,09946437#0,765449#3,419339#-0,2477199#0,752697#3,428373#-0,06692371#0,5115638#3,451584#-0,06754171#0,4408441#3,409185#0,01031967#0,3666582#3,401871#-0,1443267#0,36143#3,399642#0,04073634#-0,1656813#3,481751#-0,1472036#-0,1629439#3,466114#0,03939163#-0,5080846#3,508181#-0,09561983#-0,507502#3,528865#0,04604493#-0,5800183#3,452925#-0,1140412#-0,5796458#3,484217#0  
frame8 #-0,09514491#1,096604#3,443358#-0,07207168#0,893276#3,44326# 0,5451836#0,4420962#3,553896#-0,7184312#0,4259948#3,565141#0,4908127#0,5113689#3,522659#-0,65864#0,4971522#3,555533#0,3059339#0,6476486#3,496777#-0,4707622#0,605738#3,484554#0,1034865#0,7675961#3,422327#-0,2495157#0,7555672#3,431642#-0,06673647#0,5123229#3,45249#-0,06739844#0,4418763#3,409134#0,01105724#0,3669086#3,40159#-0,1447103#0,3616976#3,399493#0,04095924#-0,1652068#3,481395#-0,1473126#-0,1633279#3,465196#0,04062608#-0,506704#3,507567#-0,09550651#-0,5076169#3,529087#0,04450509#-0,578988#3,452213#-0,113716#-0,5796516#3,486728#0  
frame9 #-0,08704183#1,092309#3,469358#-0,06840509#0,8927913#3,46586# 0,6228104#0,6247332#3,341649#-0,7566991#0,6021032#3,362495#0,5617068#0,6322998#3,373436#-0,6888275#0,6047486#3,376198#0,3283276#0,7153915#3,418612#-0,4820523#0,7002917#3,412443#0,1080493#0,7748773#3,429374#-0,2517341#0,7601846#3,440415#-0,06551167#0,5130525#3,4573#-0,06664811#0,444655#3,411512#0,0125837#0,3684156#3,401757#-0,145103#0,3625044#3,400582#0,04204753#-0,1649379#3,480008#-0,1467066#-0,1633205#3,464729#0,04344325#-0,5053498#3,506943#-0,09682488#-0,5076004#3,527614#0,04423557#-0,5790387#3,451996#-0,113942#-0,5789346#3,486079#0  
frame10 #-0,09284002#1,105014#3,48191#-0,06824186#0,8942042#3,467734# 0,6663801#0,6514394#3,314073#-0,7606457#0,6043727#3,274172#0,5788853#0,6732519#3,341898#-0,6737477#0,6390768#3,286408#0,3593622#0,7196451#3,390645#-0,4812438#0,7030182#3,402629#0,1096641#0,7767841#3,43181#-0,2554865#0,76519#3,446129#-0,0648597#0,5194008#3,464328#-0,06636084#0,4518929#3,417371#0,01369782#0,3714359#3,40378#-0,1463154#0,3683941#3,407441#0,04235715#-0,1647601#3,478484#-0,1462483#-0,1611672#3,462705#0,04348571#-0,5055243#3,506857#-0,09589943#-0,5072441#3,528018#0,04382751#-0,5786031#3,452398#-0,1140169#-0,5790114#3,485801#0  
frame11 #-0,08895668#1,101619#3,493482#-0,06680793#0,8973078#3,510537# 0,5820804#0,7183178#3,100418#-0,6714675#0,6790898#3,06921#0,5055908#0,7381931#3,153572#-0,6072378#0,7009805#3,136041#0,3137048#0,7632396#3,318605#-0,438713#0,736712#3,292394#0,1084386#0,7767341#3,433532#-0,2538495#0,7664775#3,449384#-0,063401#0,5137794#3,477908#-0,06534617#0,4492253#3,426092#0,01422537#0,3709335#3,409608#-0,1449746#0,3674248#3,412845#0,04210095#-0,1646491#3,478307#-0,1470569#-0,1615144#3,463275#0,04353302#-0,506366#3,506992#-0,09596788#-0,5073929#3,52818#0,04224745#-0,5792307#3,454034#-0,1165882#-0,5795268#3,490146#0  
