frame1 #-0,2288164#0,9877325#3,637737#-0,2434092#0,7626855#3,612787# 0,02260455#0,3776884#3,461206#-0,7578849#0,3322632#3,455375#0,01567189#0,427816#3,415238#-0,7264353#0,3149037#3,490913#-0,2364205#0,3808151#3,318951#-0,5415598#0,3937851#3,558452#-0,1370921#0,6101817#3,479515#-0,4533656#0,5811266#3,600466#-0,2538277#0,325734#3,465599#-0,2828483#0,2724762#3,378099#-0,2174111#0,2078623#3,305169#-0,3597342#0,1947875#3,377942#-0,1850509#-0,2630053#3,66627#-0,3059559#-0,2476969#3,113016#-0,264951#-0,5421716#3,655099#-0,3909661#-0,5789324#2,91763#-0,288206#-0,5871964#3,601377#-0,3361037#-0,6305384#2,878387#1  
frame2 #-0,247636#0,9680021#3,556151#-0,2430418#0,7625419#3,599717# 0,03166597#0,4067515#3,441582#-0,6440788#0,5021414#3,297328#-0,005934259#0,4688064#3,420269#-0,6186478#0,4714518#3,357885#-0,2352096#0,3639262#3,298154#-0,5423549#0,379383#3,554976#-0,1428031#0,6106182#3,459523#-0,4532776#0,5771792#3,569636#-0,2535769#0,3225579#3,449604#-0,2812635#0,2681889#3,361163#-0,2167548#0,2055149#3,290266#-0,3568462#0,1906771#3,361326#-0,2014195#-0,2924939#3,635279#-0,3008745#-0,2443692#3,09383#-0,2689836#-0,5569159#3,638527#-0,3899242#-0,5715788#2,910594#-0,3058006#-0,5958005#3,678343#-0,3355936#-0,6300505#2,868405#1  
frame3 #-0,237447#0,9818177#3,541375#-0,2376091#0,7657386#3,545726# 0,08957034#0,246849#3,580331#-0,6612556#0,502014#3,28741#0,06292802#0,2976106#3,543442#-0,629414#0,4749859#3,34129#-0,01699893#0,4498957#3,448376#-0,5338891#0,3939014#3,518528#-0,1525123#0,607741#3,408159#-0,4487712#0,5812415#3,556915#-0,2454913#0,3459704#3,435511#-0,2795#0,2923923#3,353336#-0,2184711#0,2269299#3,281414#-0,3525198#0,2164627#3,359649#-0,192324#-0,2826644#3,642724#-0,2906829#-0,2424016#3,065621#-0,2692406#-0,5429548#3,634387#-0,3882421#-0,5701649#2,897858#-0,2946786#-0,5915965#3,674286#-0,3360222#-0,6292853#2,850878#1  
frame4 #-0,2321606#0,973407#3,571273#-0,2375821#0,7553616#3,501109# 0,2364751#0,3130196#3,439859#-0,650741#0,5036715#3,281961#0,205039#0,3576011#3,404409#-0,62091#0,4765171#3,335685#0,01816601#0,4326135#3,41125#-0,5314173#0,3950537#3,512263#-0,1534876#0,6005771#3,383064#-0,4466585#0,5799224#3,505482#-0,2500278#0,3610423#3,413056#-0,2803969#0,3089927#3,334964#-0,2201431#0,2437448#3,276633#-0,353014#0,2447728#3,328213#-0,1922779#-0,2908107#3,638353#-0,2822022#-0,2108254#3,051934#-0,2664419#-0,5509767#3,627031#-0,3747608#-0,5395727#2,887613#-0,3057863#-0,5944407#3,664721#-0,3396311#-0,6115169#2,837797#1  
frame5 #-0,2089095#0,9688645#3,477833#-0,2385126#0,7610723#3,470328# 0,1715037#0,3415006#3,448408#-0,6444176#0,489063#3,280329#0,1156326#0,3651069#3,430864#-0,6142658#0,4657289#3,333396#-0,0273203#0,4853725#3,386572#-0,5238104#0,3957264#3,507699#-0,1596168#0,6050566#3,325426#-0,4489855#0,580232#3,504754#-0,2418996#0,3970972#3,389759#-0,2800315#0,356142#3,319708#-0,2205274#0,288666#3,24973#-0,3539586#0,2672381#3,330658#-0,1949545#-0,2354993#3,595732#-0,2845028#-0,2464058#3,007367#-0,2537146#-0,4951493#3,590812#-0,3731497#-0,57102#2,853359#-0,2867778#-0,5666521#3,647934#-0,3213545#-0,6299778#2,795827#1  
frame6 #-0,2375927#0,9596059#3,381101#-0,2428003#0,7614858#3,407708# 0,1948052#0,5307829#3,408797#-0,6409586#0,4803814#3,268548#0,1368013#0,5217473#3,383497#-0,6109217#0,4597346#3,321062#-0,03721048#0,4946404#3,32243#-0,5208109#0,3977942#3,493436#-0,175287#0,6093495#3,284075#-0,4489164#0,5878897#3,481454#-0,2404874#0,399183#3,366856#-0,2818326#0,3495008#3,30418#-0,2220723#0,2876741#3,247314#-0,3521772#0,2719379#3,313753#-0,1919876#-0,227272#3,574773#-0,2837546#-0,2484451#2,99345#-0,2348882#-0,5574389#3,666827#-0,3625005#-0,5761819#2,830697#-0,2945198#-0,5948967#3,665552#-0,3114926#-0,6396303#2,781172#1  
frame7 #-0,2331962#0,9829145#3,363455#-0,2453797#0,7772574#3,363909# 0,1870433#0,5280506#3,346141#-0,6287493#0,5081741#3,24839#0,129209#0,5208595#3,320818#-0,5960879#0,4893864#3,299557#-0,04429379#0,4992863#3,259566#-0,4981039#0,4330232#3,467772#-0,2171969#0,6382722#3,212606#-0,451571#0,6078868#3,425617#-0,2374484#0,3891656#3,319805#-0,2845251#0,3287977#3,262411#-0,2280544#0,2852094#3,240994#-0,341987#0,2680487#3,26098#-0,1872575#-0,2204383#3,563215#-0,2788081#-0,2421169#2,963683#-0,2339124#-0,5571404#3,666498#-0,3596196#-0,5765351#2,828137#-0,2824685#-0,6031169#3,649639#-0,3106685#-0,6376762#2,777435#1  
frame8 #-0,2491353#0,987111#3,323578#-0,2533676#0,7761017#3,316705# -0,4097304#0,4021442#3,563991#-0,4988014#0,6897652#3,375302#-0,4023529#0,4301885#3,501423#-0,4973425#0,6277766#3,393641#-0,3802204#0,5143214#3,328305#-0,4929658#0,4418111#3,463245#-0,216938#0,6331925#3,189345#-0,4591674#0,6061578#3,381795#-0,2414697#0,3994662#3,288201#-0,2840189#0,3390076#3,231887#-0,2287292#0,2854834#3,239915#-0,3427049#0,2762395#3,181342#-0,1851615#-0,2364314#3,567688#-0,2775337#-0,2481674#2,934237#-0,2320328#-0,5575034#3,66552#-0,3540484#-0,5784305#2,819922#-0,2815647#-0,6028759#3,642145#-0,3046299#-0,6429838#2,769136#1  
frame9 #-0,2266859#0,9952478#3,282959#-0,267274#0,781421#3,25409# -0,4035171#0,4088464#3,581378#-0,3945726#0,7082199#3,36989#-0,3972951#0,4370676#3,504353#-0,4168982#0,648715#3,387364#-0,378629#0,5217313#3,2879#-0,4838748#0,4702002#3,45441#-0,235196#0,6294873#3,118137#-0,4733579#0,6113935#3,317599#-0,2595012#0,3631408#3,246993#-0,3035254#0,2907929#3,195752#-0,2538707#0,2416528#3,192468#-0,3597699#0,2364782#3,183096#-0,1850289#-0,2645753#3,555923#-0,2794982#-0,2477072#2,917176#-0,2204919#-0,548916#3,644769#-0,3513293#-0,5799937#2,813018#-0,2706453#-0,5847469#3,6051#-0,3043712#-0,643001#2,763862#1  
frame10 #-0,2353132#0,9992093#3,215853#-0,2709865#0,790608#3,217859# -0,4021864#0,4459352#3,569029#0,009276044#0,6390259#3,038747#-0,3983946#0,4748393#3,487403#-0,04552747#0,6287283#3,00951#-0,3870192#0,5615513#3,257227#-0,2488061#0,615357#3,116924#-0,2565702#0,6674668#3,080461#-0,4770703#0,6205804#3,281368#-0,2602501#0,365457#3,236324#-0,3051864#0,2891054#3,190958#-0,2565536#0,2281149#3,186659#-0,3622609#0,2436882#3,177922#-0,1899383#-0,2715541#3,542275#-0,2821546#-0,2583185#2,889116#-0,2254511#-0,5575203#3,636864#-0,3512169#-0,5806603#2,805239#-0,2781509#-0,5937098#3,599958#-0,3061655#-0,6425529#2,758424#1  
frame11 #-0,2328503#0,9952374#3,168242#-0,2927655#0,7942901#3,165088# -0,437711#0,4394154#3,523638#0,08789095#0,6882512#2,971386#-0,4335085#0,4680318#3,441667#0,03461118#0,666977#2,94802#-0,4209012#0,5538809#3,210203#-0,153493#0,6338502#2,931563#-0,2915765#0,6569601#3,035648#-0,3357383#0,6041434#3,067104#-0,2547494#0,3377554#3,204144#-0,284762#0,2465912#3,163043#-0,2656234#0,2149059#3,183722#-0,296292#0,2412311#3,142038#-0,2055114#-0,2911209#3,511123#-0,2903567#-0,2481516#2,867615#-0,2333018#-0,5337763#3,593797#-0,3498327#-0,5793583#2,796058#-0,2799025#-0,5778897#3,532036#-0,3087014#-0,6415484#2,753839#1  
