frame1 #-0,4418558#0,8806587#2,924538#-0,4471417#0,6922231#2,974847# -0,2025256#0,2700066#3,050997#-0,55712#0,8300574#2,351492#-0,2055982#0,2926329#3,067617#-0,599493#0,8011482#2,39448#-0,2755931#0,4340867#3,240096#-0,6812856#0,6540165#2,652655#-0,3086461#0,6422611#3,09002#-0,5638659#0,5791349#2,891694#-0,4261743#0,3822313#2,995122#-0,4219808#0,320233#3,002101#-0,3598534#0,264906#3,041912#-0,4747023#0,2364992#2,968008#-0,3513209#-0,1819549#3,217244#-0,4479484#-0,2368085#2,769909#-0,4181742#-0,4860772#3,433391#-0,4783842#-0,5905576#2,759119#-0,3698761#-0,5633451#3,509971#-0,4490864#-0,6616037#2,714318#1  
frame2 #-0,4443667#0,8767556#2,928466#-0,4477895#0,6921123#2,977408# -0,1975392#0,2457216#3,027448#-0,5717222#0,8341621#2,353059#-0,2112879#0,3007981#3,060317#-0,6088177#0,8030044#2,395591#-0,2748168#0,4348644#3,240244#-0,682433#0,6542093#2,657652#-0,3083482#0,6416964#3,091663#-0,5641136#0,579347#2,89275#-0,4264396#0,3817486#2,996723#-0,4221894#0,3196954#3,003572#-0,359884#0,2642847#3,043011#-0,4749987#0,2361447#2,969541#-0,3451881#-0,1644676#3,213545#-0,4473078#-0,2357083#2,770273#-0,4200816#-0,4840383#3,429662#-0,478692#-0,591202#2,760384#-0,3667599#-0,527364#3,366635#-0,4483209#-0,6608499#2,713395#1  
frame3 #-0,4453651#0,8760223#2,931786#-0,4481423#0,6923096#2,982518# -0,2023452#0,2751966#3,04415#-0,5969901#0,8356168#2,365899#-0,2014818#0,3142937#3,07123#-0,6493809#0,7908525#2,434293#-0,274346#0,4418758#3,250265#-0,6831544#0,6519417#2,669328#-0,3054236#0,6411842#3,09738#-0,5653545#0,5820588#2,899639#-0,4269375#0,3805936#3,001373#-0,4227133#0,3182639#3,008165#-0,359627#0,2616313#3,047619#-0,476362#0,2347702#2,974315#-0,3471768#-0,1696365#3,215918#-0,4466427#-0,2348388#2,771285#-0,4186615#-0,483189#3,42802#-0,4784954#-0,5911714#2,760587#-0,3693505#-0,5238267#3,368451#-0,4478032#-0,6608265#2,71297#1  
frame4 #-0,4459662#0,8769237#2,934236#-0,4454717#0,6943922#2,988612# -0,1513591#0,2671674#2,995743#-0,5986207#0,8351375#2,368197#-0,1674878#0,3312973#3,077261#-0,6436716#0,7969066#2,425626#-0,2737504#0,4438816#3,245986#-0,6857845#0,6516654#2,672697#-0,3014672#0,6398135#3,108911#-0,5669831#0,5846252#2,904#-0,4266461#0,3807873#3,00513#-0,422746#0,3181934#3,011593#-0,3591792#0,2602318#3,051095#-0,4774677#0,2347438#2,977341#-0,3478776#-0,1717096#3,216271#-0,4467091#-0,2340607#2,773368#-0,4200405#-0,4827941#3,42274#-0,4778864#-0,5910537#2,761187#-0,3702619#-0,523376#3,363462#-0,4473645#-0,6602836#2,712354#1  
frame5 #-0,4474071#0,8774533#2,942372#-0,446208#0,6937242#2,992496# -0,1492027#0,2875339#2,981544#-0,6010425#0,8375773#2,377058#-0,1725814#0,345211#3,068874#-0,6411694#0,7997856#2,425468#-0,2723224#0,4496325#3,244463#-0,6910175#0,6525002#2,683504#-0,3010165#0,6382573#3,111387#-0,5688859#0,5861388#2,910468#-0,4274372#0,3778866#3,010139#-0,4235966#0,3146836#3,016823#-0,3593177#0,2552201#3,055984#-0,4791466#0,2319046#2,982877#-0,3492691#-0,174069#3,216854#-0,4465342#-0,2359677#2,778059#-0,4181829#-0,4811931#3,423796#-0,4778367#-0,5913001#2,762084#-0,3758504#-0,5578133#3,490867#-0,4470014#-0,6603433#2,712245#1  
frame6 #-0,4474117#0,8784357#2,943996#-0,442727#0,6944281#3,000998# -0,1686541#0,2919312#3,004211#-0,5979756#0,8405222#2,38307#-0,1903566#0,3618437#3,032191#-0,6427438#0,7986006#2,438908#-0,2710404#0,4422566#3,233952#-0,6957234#0,6552787#2,68957#-0,3000713#0,6363651#3,11626#-0,5724885#0,5870923#2,917822#-0,4263152#0,3769321#3,016597#-0,4228929#0,3134747#3,022869#-0,3580088#0,2528009#3,061361#-0,4799306#0,2306862#2,989011#-0,3491934#-0,191596#3,230242#-0,4488486#-0,2433153#2,788292#-0,4188379#-0,4878556#3,431172#-0,4770109#-0,5925651#2,762322#-0,3677546#-0,5312219#3,36682#-0,4465698#-0,661387#2,711241#1  
frame7 #-0,4473391#0,8791623#2,9462#-0,4430041#0,6938643#3,00174# -0,1572773#0,3714156#2,901949#-0,6100395#0,8364973#2,43694#-0,1860408#0,3887963#2,980649#-0,6444332#0,8056102#2,465848#-0,2723314#0,4409383#3,228948#-0,7050053#0,6510496#2,710564#-0,2993783#0,6348185#3,116587#-0,5760929#0,5834733#2,925065#-0,4272721#0,3763632#3,019022#-0,424073#0,31293#3,025726#-0,3584495#0,2522027#3,063123#-0,4829517#0,2295073#2,994474#-0,3431499#-0,1771567#3,23269#-0,4492798#-0,2400245#2,793681#-0,4183173#-0,4877301#3,434245#-0,4771059#-0,5926731#2,762242#-0,3854331#-0,5623565#3,511158#-0,4460141#-0,6607995#2,709971#1  
frame8 #-0,4488849#0,8785956#2,952027#-0,4407972#0,6939781#3,007989# -0,1537567#0,3765646#2,981532#-0,6126158#0,8344358#2,468305#-0,1952078#0,4388446#2,969574#-0,6669268#0,7771192#2,533048#-0,2723814#0,4409319#3,22883#-0,7187102#0,6452981#2,72293#-0,2978488#0,6319668#3,114603#-0,5804854#0,5818617#2,929787#-0,4269803#0,3747368#3,024016#-0,42413#0,310962#3,030473#-0,3577573#0,2501072#3,065414#-0,4849663#0,227035#3,001637#-0,3470338#-0,184461#3,235409#-0,4495498#-0,2389445#2,796296#-0,417891#-0,5110745#3,489866#-0,4784146#-0,5913042#2,763159#-0,3740551#-0,5862795#3,537079#-0,4460351#-0,6606175#2,710086#1  
frame9 #-0,4515812#0,8787593#2,955362#-0,4407395#0,6930994#3,008961# -0,2011578#0,4678854#2,927435#-0,6203351#0,8263344#2,519798#-0,2089739#0,4833116#2,913132#-0,6749885#0,7702538#2,567258#-0,2315907#0,4262274#3,126206#-0,7493359#0,6074995#2,768148#-0,2941161#0,6225318#3,101446#-0,5880066#0,5822279#2,938351#-0,4278385#0,3730273#3,026995#-0,4252874#0,3090452#3,033923#-0,3576468#0,2471697#3,066726#-0,4890763#0,2255319#3,009956#-0,3440639#-0,1691194#3,231143#-0,4528344#-0,2262637#2,806247#-0,4339881#-0,4804358#3,437203#-0,479419#-0,5893614#2,76349#-0,3899643#-0,5265077#3,364954#-0,4459834#-0,6602991#2,710031#1  
frame10 #-0,4554201#0,8781285#2,957551#-0,440397#0,6923303#3,010151# -0,2243072#0,5114533#2,895221#-0,6280724#0,8091675#2,56527#-0,2321307#0,5519881#2,871987#-0,6792514#0,7605813#2,607985#-0,1999941#0,4378809#3,053329#-0,7614141#0,5999354#2,775485#-0,2928523#0,6220235#3,087288#-0,6007597#0,5874265#2,947248#-0,4289417#0,3726532#3,029147#-0,4268151#0,3087701#3,036314#-0,3581832#0,2444976#3,066846#-0,4942246#0,2276155#3,017224#-0,3495377#-0,1776334#3,236555#-0,4539658#-0,223683#2,809858#-0,4259831#-0,4867187#3,453372#-0,4806943#-0,5878531#2,766561#-0,3755619#-0,5593024#3,519849#-0,4459892#-0,6599784#2,710162#1  
frame11 #-0,4588403#0,8759229#2,962616#-0,441175#0,6901017#3,010017# -0,2666958#0,5743475#2,882738#-0,6424286#0,7892311#2,617166#-0,2444565#0,5511988#2,896786#-0,6840711#0,7349845#2,643696#-0,177071#0,4398656#3,065359#-0,7829199#0,5510192#2,835115#-0,2941167#0,6066319#3,059448#-0,61011#0,582443#2,961769#-0,4293238#0,3717151#3,030649#-0,4271287#0,3079676#3,038181#-0,3571807#0,2432409#3,066828#-0,4955601#0,2259596#3,023073#-0,3491631#-0,1755177#3,236162#-0,4556529#-0,221017#2,812169#-0,4265214#-0,4851202#3,45023#-0,4809633#-0,5889388#2,7672#-0,3989699#-0,532565#3,371046#-0,4459906#-0,6599786#2,710234#1  
