frame1 #0,3112577#0,9092242#2,804999#0,3204458#0,6832435#2,840252# 0,2536406#0,2918078#2,60144#0,18448#0,2932113#2,681176#0,348177#0,3331248#2,608754#0,188833#0,3612363#2,660551#0,4767821#0,4012187#2,684153#0,2018921#0,5653113#2,612747#0,4613324#0,5595849#2,844603#0,1523277#0,5618316#2,796974#0,3287451#0,3075808#2,864577#0,330405#0,2324482#2,872882#0,4014747#0,1620661#2,883457#0,2624227#0,1630771#2,868059#0,4390611#-0,3314672#2,887854#0,2413731#-0,2950523#2,594921#0,2663857#-0,6413327#2,46413#0,2407091#-0,670885#2,452374#0,2826249#-0,6966833#2,367633#0,2569483#-0,7262356#2,355876#0  
frame2 #0,3139116#0,8511891#2,82627#0,3213966#0,682441#2,846549# 0,2310742#0,3269053#2,625603#0,4018941#0,3197945#2,597721#0,3254645#0,347002#2,615526#0,3529826#0,3689761#2,605742#0,4827764#0,4245697#2,682228#0,2062481#0,5165207#2,643693#0,4622445#0,5650384#2,850672#0,1639629#0,6252032#2,775446#0,3263229#0,3130052#2,876296#0,3269706#0,2397411#2,886191#0,3960788#0,163419#2,897803#0,2587183#0,1811132#2,885138#0,4433227#-0,3312787#2,89196#0,2617317#-0,2847963#2,630706#0,2553041#-0,6350694#2,509149#0,2504175#-0,6520387#2,501568#0,2803691#-0,7088725#2,497401#0,2705599#-0,6980742#2,423629#0  
frame3 #0,324723#0,8400581#2,85895#0,3202607#0,6684138#2,895615# 0,2306858#0,4586886#2,689159#0,4166009#0,5002689#2,661523#0,3220311#0,4442514#2,637853#0,3474559#0,4753256#2,63493#0,4931171#0,414738#2,792119#0,1906712#0,3641825#2,76255#0,472845#0,5651873#2,908019#0,1746934#0,56494#2,831749#0,3283991#0,3226943#2,94265#0,3294573#0,2541814#2,956762#0,3957969#0,1905305#2,972011#0,2649647#0,1871597#2,956928#0,4542396#-0,2942163#2,929399#0,2558905#-0,2779021#2,666521#0,2777719#-0,6309754#2,629978#0,2693589#-0,6488928#2,637062#0,2992793#-0,6800629#2,55119#0,2574044#-0,7174824#2,595677#0  
frame4 #0,3246366#0,8538086#2,857168#0,3194786#0,6835414#2,88465# 0,1522864#0,5346043#2,590273#0,3930854#0,4864977#2,693702#0,3382995#0,4772605#2,654279#0,2949284#0,48289#2,650779#0,5068612#0,4024074#2,797571#0,1747254#0,352915#2,803992#0,478296#0,5392954#2,914797#0,1757861#0,578108#2,81821#0,3303556#0,325203#2,945604#0,3324991#0,255799#2,961657#0,4044357#0,1820345#2,987023#0,2685164#0,1937388#2,963154#0,4557836#-0,2929519#2,935235#0,2579978#-0,2803388#2,676399#0,2778208#-0,6207865#2,650568#0,2679261#-0,6440586#2,666902#0,2973326#-0,7033982#2,680012#0,2703338#-0,6936952#2,604917#0  
frame5 #0,3263761#0,8387653#2,869141#0,3473452#0,6211209#2,948757# 0,155397#0,6048818#2,592764#0,5039809#0,6189373#2,63457#0,3012488#0,58433#2,582332#0,3052491#0,451587#2,72121#0,5040741#0,5969113#2,695114#0,1604943#0,3072544#2,831501#0,4775377#0,547572#2,915772#0,1404874#0,4901362#2,936343#0,3395211#0,3293867#2,964337#0,3391323#0,2665977#2,973852#0,4134679#0,2018607#2,98729#0,2676316#0,1866787#2,975148#0,4568728#-0,2929722#2,936685#0,2627091#-0,2862204#2,69731#0,2752144#-0,6199633#2,664834#0,2683263#-0,6451252#2,669399#0,2720432#-0,7015284#2,646304#0,2772234#-0,7078326#2,624332#0  
frame6 #0,3419524#0,8834556#2,853445#0,349102#0,7020764#2,876154# 0,2872449#0,8915734#2,602134#0,1848832#0,04083661#2,856292#0,3487331#0,8509292#2,618803#0,1733813#0,1012852#2,87291#0,5206371#0,770551#2,759431#0,1388758#0,2826308#2,935673#0,5114256#0,6704065#2,920675#0,167833#0,4869841#2,94003#0,355918#0,3639663#2,965643#0,353932#0,2967393#2,985418#0,4363708#0,2373182#3,012983#0,2811772#0,2008558#2,988585#0,4627141#-0,2941024#2,952014#0,267378#-0,2566173#2,742477#0,2741304#-0,6209067#2,674271#0,265894#-0,6144126#2,677423#0,2688202#-0,6944276#2,65865#0,2715994#-0,6644577#2,605959#0  
frame7 #0,2773263#0,9138626#2,778338#0,3408678#0,7911257#2,871224# 0,3028172#0,8958927#2,634053#0,1879172#0,0516009#2,858023#0,3645037#0,8551175#2,650775#0,1772441#0,1263447#2,873118#0,5271119#0,7604503#2,797805#0,1452248#0,3505761#2,931444#0,5002577#0,6468263#2,947979#0,1660527#0,5801411#2,942164#0,3572403#0,3779843#2,964476#0,3564304#0,3009217#2,985627#0,4366652#0,2378677#3,012725#0,287977#0,2188182#2,991455#0,4634321#-0,3019844#2,953455#0,2593283#-0,2718419#2,726279#0,2740751#-0,6209048#2,675454#0,2653416#-0,6240905#2,679075#0,2697302#-0,6938916#2,657436#0,2701859#-0,6724202#2,607622#0  
frame8 #0,3105976#0,9410238#2,801546#0,376652#0,7977974#2,886155# 0,2079514#0,9308577#2,67609#0,1970265#0,03541466#2,812962#0,3856713#0,9026735#2,690114#0,1812107#0,2568809#2,893726#0,5267898#0,7752706#2,832589#0,1982757#0,5023152#2,902407#0,4849431#0,6366818#2,975795#0,2858767#0,7301416#2,89705#0,3529209#0,394372#2,963228#0,3535908#0,3152005#2,983423#0,4091288#0,26064#3,001473#0,3007976#0,2752016#2,984791#0,4664087#-0,3056445#2,952912#0,2740302#-0,2692682#2,752403#0,2747053#-0,6210541#2,676366#0,2643734#-0,6164622#2,680768#0,2682366#-0,6953154#2,65065#0,2865295#-0,6632068#2,612684#0  
frame9 #0,3072078#0,9414527#2,802945#0,3764375#0,7982094#2,886182# 0,2179044#0,9408521#2,691522#0,1988121#0,03599556#2,816837#0,3513908#0,9092529#2,683501#0,1804558#0,2459899#2,896363#0,5243601#0,7824337#2,828364#0,1956145#0,4971974#2,906621#0,4944754#0,6423716#2,972945#0,2842486#0,730153#2,897562#0,3540455#0,3970254#2,963725#0,3537268#0,3175703#2,98368#0,4086622#0,2630564#3,000814#0,3003171#0,2750271#2,985492#0,4679644#-0,3060202#2,951626#0,271935#-0,2661106#2,747752#0,2963039#-0,6200868#2,674202#0,2650883#-0,6150079#2,681207#0,316694#-0,6668943#2,605623#0,2854783#-0,6618154#2,612628#0  
frame10 #0,2715346#0,9372484#2,773803#0,3258618#0,7952179#2,89121# 0,198036#0,9241325#2,667615#0,2229229#-0,0216897#2,808745#0,3043373#0,9273018#2,660619#0,2005729#0,2660458#2,889195#0,4579723#0,8640967#2,764155#0,2050085#0,5217723#2,905936#0,5251226#0,7312143#2,906753#0,2921329#0,7594262#2,895168#0,3551603#0,4001828#2,965544#0,3576988#0,3226462#2,985529#0,4113714#0,269286#3,001335#0,310396#0,2772264#2,989192#0,4711668#-0,30572#2,952176#0,2676194#-0,2783297#2,722538#0,3029639#-0,6189252#2,676162#0,265485#-0,6258465#2,680723#0,3056873#-0,6656296#2,60444#0,2682085#-0,672551#2,609001#0  
frame11 #0,3054725#0,921976#2,79364#0,3608397#0,8000754#2,895227# 0,1689381#0,9487441#2,736279#0,2223465#0,21923#2,828141#0,2121794#0,8902819#2,706789#0,196753#0,2596035#2,890368#0,4019758#0,8664728#2,752431#0,1948563#0,5214785#2,92091#0,5264374#0,7689804#2,891178#0,2708706#0,7705067#2,914374#0,3617118#0,4070604#2,969845#0,3624207#0,3289878#2,98866#0,4163692#0,2752009#3,003552#0,3102779#0,2745918#2,993896#0,4721461#-0,3085759#2,949152#0,2764522#-0,261515#2,741976#0,3057923#-0,6200776#2,67635#0,2661878#-0,618046#2,68127#0,2995633#-0,666934#2,604757#0,2599588#-0,6649023#2,609677#0  
