frame1 #-0,1746036#0,930283#3,194835#-0,1795865#0,7240674#3,208007# -0,1464165#0,6430288#2,919606#-0,2207809#0,3839691#3,109968#-0,08284264#0,6057087#2,929954#-0,2120623#0,4465384#3,149345#0,04582449#0,5125297#3,021475#-0,3968923#0,3962363#3,306535#-0,001555011#0,6404436#3,18534#-0,3469012#0,5929781#3,241331#-0,1718002#0,3653053#3,219019#-0,1732957#0,2941673#3,206272#-0,09444207#0,2262043#3,196943#-0,2498478#0,2048448#3,209939#0,06834836#-0,2389684#3,285174#-0,425186#-0,2721697#3,268813#0,2009571#-0,5749817#3,27129#-0,6010483#-0,6241539#3,208492#0,2944319#-0,6595897#3,224797#-0,6545585#-0,6837997#3,149805#1  
frame2 #-0,1727725#0,9299583#3,194306#-0,1790478#0,7249608#3,210521# -0,1972081#0,6855466#2,938314#-0,1823781#0,413806#3,156955#-0,1422305#0,641727#2,937252#-0,2303917#0,4576028#3,130116#0,0468079#0,5128818#3,020435#-0,3964077#0,3965899#3,304668#-0,00082919#0,6413192#3,184037#-0,3469094#0,5929919#3,240818#-0,1717918#0,3663077#3,219388#-0,1734592#0,2954006#3,206115#-0,09453467#0,2274129#3,196533#-0,2501657#0,2055301#3,209438#0,06840898#-0,2390195#3,28476#-0,4255662#-0,2723916#3,267953#0,2503024#-0,5981304#3,270806#-0,6012376#-0,624573#3,207928#0,3042564#-0,6630239#3,221948#-0,6480075#-0,6807902#3,154728#1  
frame3 #-0,1710359#0,9295815#3,196448#-0,1738591#0,7320921#3,20594# -0,2504083#0,651058#2,924981#-0,1728373#0,4038723#3,153174#-0,1312112#0,5952519#2,937798#-0,2177594#0,4552431#3,129729#0,05116145#0,5067778#2,976948#-0,395882#0,3989178#3,302488#-0,005003981#0,6425993#3,183365#-0,3487426#0,5941384#3,244349#-0,1702899#0,3703708#3,218123#-0,1726112#0,2988668#3,205399#-0,09459211#0,2319771#3,197185#-0,2491486#0,210199#3,208036#0,06873246#-0,2389886#3,28347#-0,434428#-0,2861776#3,261921#0,2504478#-0,5975171#3,269476#-0,6039248#-0,6258315#3,203246#0,3022432#-0,6604751#3,224031#-0,652038#-0,6877388#3,149509#1  
frame4 #-0,1684782#0,9285737#3,197744#-0,172546#0,7315756#3,208262# -0,2570225#0,6108827#2,901811#-0,1683826#0,4203965#3,15111#-0,1607857#0,5894625#2,907098#-0,2228914#0,4580635#3,120522#0,05076435#0,509853#2,977649#-0,3956843#0,3993644#3,301821#-0,005381822#0,6432031#3,182721#-0,348705#0,5883026#3,24076#-0,1703548#0,3704067#3,218794#-0,1726908#0,2990019#3,20591#-0,09519234#0,23302#3,198534#-0,2493346#0,2099475#3,208189#0,06867073#-0,2383876#3,282896#-0,4349254#-0,2819667#3,262101#0,252203#-0,6014967#3,266624#-0,6042729#-0,6338607#3,19931#0,3002355#-0,6581832#3,228727#-0,6569966#-0,6909348#3,146878#1  
frame5 #-0,1711692#0,9262463#3,19775#-0,173737#0,7249339#3,216679# -0,2657456#0,5838672#2,882592#-0,1410455#0,4588984#3,090566#-0,1698982#0,5691138#2,895815#-0,204701#0,4440183#3,13997#0,05451639#0,5113271#2,991524#-0,3956678#0,3993781#3,301875#-0,008544436#0,6418913#3,179804#-0,3508826#0,563504#3,228992#-0,1713436#0,3682165#3,221476#-0,1735063#0,297638#3,20711#-0,09671643#0,2330409#3,20105#-0,250423#0,2053315#3,206842#0,06966326#-0,2377683#3,282032#-0,4359685#-0,2727943#3,258522#0,2523163#-0,6010014#3,266557#-0,6016128#-0,6224678#3,203798#0,2998545#-0,6577064#3,229722#-0,6611788#-0,6881052#3,147299#1  
frame6 #-0,1736426#0,9235175#3,196895#-0,174639#0,7185491#3,220162# -0,2714108#0,5294221#2,853844#-0,149994#0,4393081#3,154543#-0,1747975#0,531962#2,872519#-0,2164898#0,4586058#3,132198#0,04241108#0,5101549#2,978298#-0,394985#0,3943325#3,304972#-0,01030053#0,641896#3,179158#-0,3623289#0,6003814#3,262106#-0,1709421#0,3655106#3,223994#-0,1746996#0,2957339#3,208567#-0,09804289#0,2296623#3,201793#-0,251629#0,2046801#3,208086#0,07100937#-0,2375321#3,281495#-0,4389282#-0,2712731#3,25702#0,2083477#-0,57699#3,268234#-0,6026261#-0,6265931#3,202425#0,2899049#-0,6507441#3,233499#-0,6625314#-0,6888238#3,146345#1  
frame7 #-0,1746126#0,9180945#3,196329#-0,1766607#0,7128996#3,221611# -0,2754128#0,5089788#2,843141#-0,1452395#0,4567216#3,091667#-0,1824981#0,5038151#2,85818#-0,2083426#0,4389549#3,142745#0,04329109#0,5128494#2,977207#-0,397652#0,3856549#3,309663#-0,01557861#0,6372826#3,176537#-0,3593905#0,5985775#3,257371#-0,1723249#0,3616391#3,225754#-0,1762692#0,2924501#3,2092#-0,100566#0,2257349#3,201324#-0,2520051#0,2042435#3,208526#0,07523263#-0,233522#3,277027#-0,4580874#-0,2723424#3,240184#0,2524887#-0,6011482#3,261425#-0,6052118#-0,6336781#3,199971#0,3015069#-0,6614206#3,228482#-0,6769338#-0,6941857#3,153118#1  
frame8 #-0,180444#0,8973119#3,193973#-0,1769959#0,7030252#3,228705# -0,2529779#0,4683634#2,836545#-0,1671602#0,4605206#3,159328#-0,1796714#0,480008#2,834366#-0,2245499#0,439975#3,120721#0,03036806#0,5166401#2,955273#-0,3988543#0,3855355#3,306441#-0,02680029#0,6244332#3,173951#-0,3596123#0,5946013#3,254406#-0,1722167#0,3507843#3,231291#-0,1766565#0,2818722#3,212939#-0,1020821#0,2152887#3,203732#-0,2514361#0,1996087#3,211083#0,08226396#-0,2325895#3,273#-0,4596474#-0,2677826#3,235734#0,2543453#-0,5995129#3,258129#-0,6030755#-0,6281095#3,20228#0,3095649#-0,6616464#3,228944#-0,6728303#-0,6921291#3,153685#1  
frame9 #-0,1826297#0,8906155#3,190579#-0,175736#0,6972531#3,230578# -0,1739944#0,4502347#2,80985#-0,1964656#0,4427876#3,048919#-0,1042772#0,4626117#2,828714#-0,2483709#0,4243421#3,112477#0,03378424#0,5125665#2,957404#-0,4040869#0,3690056#3,31684#-0,03195372#0,6130504#3,170187#-0,3583686#0,5800136#3,246953#-0,1737406#0,3438709#3,233887#-0,1790822#0,2747437#3,214366#-0,1061355#0,2087127#3,204823#-0,2532257#0,1941202#3,212793#0,08768464#-0,2303706#3,268319#-0,4711601#-0,2678969#3,227969#0,2569912#-0,6004867#3,256661#-0,6030281#-0,6281866#3,202278#0,3099211#-0,6617114#3,22906#-0,6693327#-0,6933516#3,146437#1  
frame10 #-0,1843287#0,885891#3,191776#-0,1749547#0,6847229#3,223864# -0,2481475#0,4093377#2,839154#0,03227625#0,5200258#2,941026#-0,1524147#0,4361325#2,845659#-0,2380695#0,4138659#3,126696#0,03564779#0,503172#2,960234#-0,4060934#0,3559347#3,320895#-0,03624535#0,6042229#3,170978#-0,3620307#0,5605013#3,244946#-0,1747382#0,3336494#3,233389#-0,180305#0,2645197#3,214477#-0,1083459#0,1942645#3,205541#-0,2542679#0,1870489#3,214457#0,09274225#-0,2262206#3,261374#-0,4831069#-0,2693124#3,22273#0,2329697#-0,5824317#3,235231#-0,6036645#-0,6290539#3,201003#0,2125544#-0,6288664#3,149402#-0,6564337#-0,6966788#3,143222#1  
frame11 #-0,1873131#0,8719966#3,191039#-0,1826716#0,6633995#3,225081# -0,292237#0,376567#2,863946#-0,007669041#0,4921242#2,902574#-0,2098995#0,4194216#2,83344#-0,1070181#0,4576644#2,996527#0,005916087#0,4612871#2,940669#-0,2755651#0,3870251#3,187046#-0,05355542#0,5906799#3,155463#-0,3635071#0,550101#3,245605#-0,1767503#0,3164628#3,235813#-0,1827241#0,2481873#3,217417#-0,1106307#0,1825496#3,210033#-0,2548579#0,174901#3,216212#0,0954702#-0,2179222#3,252696#-0,4928282#-0,2734254#3,217226#0,2593362#-0,584617#3,236159#-0,6030253#-0,6401507#3,202658#0,2340332#-0,6307383#3,15261#-0,6364548#-0,7017128#3,14887#1  
