frame1 #-0,2561446#0,8740786#3,200619#-0,2395385#0,6774978#3,256651# -0,3932871#0,4977993#2,887446#-0,2184921#0,4869379#3,144893#-0,2889219#0,513905#2,876541#-0,2856998#0,447411#3,153721#-0,113653#0,5153252#2,952608#-0,4463183#0,375153#3,34709#-0,09273662#0,5079513#3,216035#-0,3892806#0,5322286#3,263856#-0,2275745#0,3220029#3,271141#-0,2325382#0,2553827#3,229397#-0,1646877#0,181896#3,209094#-0,2981325#0,1928208#3,23663#0,06033834#-0,2478883#3,216926#-0,5238394#-0,2451009#3,215831#0,1887262#-0,5682272#3,242358#-0,602158#-0,5813996#3,196786#0,1766316#-0,6095624#3,164268#-0,6142526#-0,6227348#3,118696#1  
frame2 #-0,2554808#0,8797497#3,206933#-0,2371442#0,6783243#3,254437# -0,4352877#0,4827446#2,909327#-0,2222429#0,4758351#3,079893#-0,36287#0,5036019#2,912248#-0,2780023#0,4506341#3,143231#-0,1678625#0,509664#2,933911#-0,4452804#0,3750311#3,346541#-0,09106965#0,5080103#3,212799#-0,3943657#0,5362058#3,266968#-0,2265759#0,3227843#3,270691#-0,2323118#0,2559453#3,229426#-0,164049#0,1816914#3,209357#-0,2984576#0,1930912#3,236675#0,0595937#-0,2474743#3,217135#-0,5238321#-0,2453129#3,215753#0,1890104#-0,5684437#3,24191#-0,6028702#-0,5861085#3,197797#0,1757849#-0,6092752#3,165156#-0,6160957#-0,6269401#3,121042#1  
frame3 #-0,2543431#0,8808729#3,209483#-0,2362241#0,6787362#3,253599# -0,4323852#0,4824198#2,912802#-0,2262218#0,4615642#3,159808#-0,3621238#0,50137#2,914586#-0,2932348#0,4487705#3,134421#-0,1169791#0,5167452#2,932901#-0,4446619#0,375239#3,346714#-0,09544525#0,5078894#3,201048#-0,3980576#0,5374011#3,270198#-0,224534#0,3231759#3,269948#-0,2321927#0,2561625#3,229406#-0,1639252#0,1816672#3,209333#-0,2985162#0,1932586#3,236771#0,05917945#-0,2473414#3,21746#-0,5244315#-0,2445893#3,215178#0,1891418#-0,5681441#3,242412#-0,602276#-0,5835723#3,197912#0,1719052#-0,6095067#3,165494#-0,6195125#-0,6249349#3,120995#1  
frame4 #-0,2543523#0,8810227#3,209428#-0,2358978#0,6788011#3,253464# -0,4319687#0,4821603#2,914106#-0,2135887#0,4587151#3,165123#-0,3622517#0,5013587#2,914529#-0,2818661#0,4525772#3,142107#-0,1672255#0,5138773#2,921834#-0,4435856#0,374974#3,34641#-0,09557612#0,5072796#3,199851#-0,4033116#0,540048#3,276359#-0,2235201#0,3243833#3,269339#-0,2318964#0,2577379#3,229232#-0,1634658#0,1819063#3,209302#-0,298968#0,1948325#3,236273#0,04767301#-0,215809#3,221646#-0,5244359#-0,2446159#3,215072#0,1896482#-0,5683318#3,242637#-0,6028426#-0,5841362#3,197641#0,1708452#-0,6099127#3,165646#-0,6216456#-0,6257172#3,12065#1  
frame5 #-0,2520018#0,8811679#3,210036#-0,2349992#0,6785052#3,253304# -0,4348881#0,4816512#2,912481#-0,2120055#0,4654051#3,167784#-0,3653359#0,499559#2,917364#-0,2782242#0,4519764#3,142948#-0,1661315#0,515466#2,922932#-0,4423191#0,374738#3,345154#-0,09543304#0,5064825#3,198753#-0,4035236#0,5384394#3,273193#-0,2234798#0,3248476#3,269015#-0,231629#0,258375#3,229095#-0,1631426#0,1822135#3,20923#-0,2989976#0,195255#3,2361#0,04697212#-0,2126819#3,221752#-0,5245684#-0,2442115#3,214692#0,1899707#-0,5685688#3,242725#-0,6026642#-0,5839716#3,197548#0,171813#-0,6098497#3,166149#-0,6208218#-0,6252525#3,120972#1  
frame6 #-0,2514764#0,8801951#3,211018#-0,2336917#0,678687#3,255496# -0,4358774#0,4816836#2,912806#-0,2086964#0,4609676#3,162235#-0,3663294#0,4989237#2,916423#-0,2778223#0,452609#3,144944#-0,1567231#0,5130031#2,929805#-0,442373#0,3751476#3,345198#-0,09237888#0,505143#3,197008#-0,4034114#0,5385875#3,273302#-0,2231225#0,3251036#3,269315#-0,2314862#0,2588351#3,229306#-0,1627822#0,182119#3,209208#-0,2992649#0,1955799#3,236235#0,05258744#-0,2297513#3,220276#-0,5247588#-0,2440958#3,214359#0,1901363#-0,5685096#3,242961#-0,6027462#-0,5839753#3,198762#0,1718943#-0,609403#3,166963#-0,6209882#-0,6248687#3,122765#1  
frame7 #-0,2482263#0,8770208#3,211181#-0,2328564#0,6785272#3,255917# -0,4376302#0,4816635#2,912788#-0,2115329#0,4635918#3,167365#-0,3678583#0,4973189#2,916651#-0,2790697#0,4508052#3,14728#-0,1328305#0,5167288#2,926068#-0,4429499#0,3733824#3,347939#-0,0882048#0,5043355#3,20116#-0,4025238#0,5386134#3,271878#-0,2233198#0,324754#3,269749#-0,2310286#0,258495#3,229546#-0,1612419#0,1805073#3,209353#-0,2992243#0,1950943#3,236439#0,05384012#-0,2329735#3,220241#-0,5247603#-0,2443291#3,214429#0,1909264#-0,5682335#3,243043#-0,6054164#-0,589465#3,198338#0,17432#-0,6089034#3,167087#-0,6220229#-0,6301349#3,122382#1  
frame8 #-0,2454292#0,8746902#3,212839#-0,2314902#0,6775507#3,256787# -0,4380802#0,4811014#2,914416#-0,2094631#0,4677612#3,153543#-0,3681949#0,4956987#2,916466#-0,2772804#0,4461443#3,147647#-0,1186114#0,5171375#2,935006#-0,4384321#0,3669645#3,348002#-0,07032037#0,5474574#3,1887#-0,3969235#0,5422194#3,270292#-0,220533#0,3232099#3,270032#-0,2296564#0,2567887#3,22998#-0,1590505#0,1793273#3,209429#-0,2985157#0,1887829#3,236795#0,05379026#-0,2336205#3,220446#-0,5245711#-0,2447393#3,214478#0,1916576#-0,5669361#3,242367#-0,6060019#-0,5918369#3,198279#0,172481#-0,6072521#3,167674#-0,6251784#-0,6321529#3,123586#1  
frame9 #-0,2435278#0,8737044#3,210955#-0,2304923#0,6763698#3,257687# -0,4387746#0,4813373#2,915838#-0,2096128#0,4658197#3,154016#-0,3687685#0,4950322#2,917306#-0,2778408#0,4457327#3,148356#-0,1177183#0,5173533#2,934916#-0,4387628#0,3666399#3,348434#-0,07445167#0,5576065#3,188396#-0,3952301#0,5414752#3,268346#-0,2193393#0,3241565#3,270502#-0,2284063#0,2584701#3,230345#-0,1575207#0,1862592#3,209123#-0,2973988#0,1888332#3,237235#0,05439453#-0,2349191#3,220225#-0,5243748#-0,2464705#3,21463#0,1923186#-0,5665371#3,242326#-0,6048401#-0,5931273#3,199251#0,1729891#-0,6067214#3,167868#-0,6241696#-0,6333116#3,124793#1  
frame10 #-0,2421827#0,8739339#3,2113#-0,2300827#0,6762033#3,258564# -0,4387655#0,4813313#2,915808#-0,2118078#0,4650639#3,16798#-0,3688641#0,4947499#2,91764#-0,2774878#0,4458762#3,148293#-0,1171237#0,5172935#2,935204#-0,4386586#0,3671878#3,347658#-0,07427998#0,5615079#3,182989#-0,3906631#0,5395603#3,260917#-0,2188984#0,3247436#3,270841#-0,2279777#0,2593604#3,23038#-0,1573008#0,188409#3,208979#-0,2970568#0,1889912#3,237176#0,0545349#-0,2317162#3,220637#-0,5243197#-0,2463139#3,214557#0,1931556#-0,5685822#3,243467#-0,6041277#-0,5918314#3,200781#0,173903#-0,6087068#3,16903#-0,6233802#-0,631956#3,126344#1  
frame11 #-0,2427721#0,8747389#3,210762#-0,2293563#0,676718#3,258247# -0,4396772#0,4813353#2,917026#-0,2231845#0,4606674#3,16727#-0,3697881#0,4940119#2,917366#-0,2864662#0,4430222#3,140263#-0,1170989#0,5171925#2,93497#-0,438634#0,3674684#3,347963#-0,07501403#0,5628124#3,180817#-0,3883643#0,5429612#3,260417#-0,2181945#0,3256328#3,270672#-0,2277015#0,2602625#3,230145#-0,1576892#0,1903026#3,20948#-0,2963568#0,1901252#3,236283#0,05513735#-0,2330656#3,22082#-0,5238346#-0,2457124#3,214891#0,1958451#-0,5727826#3,24391#-0,604243#-0,5905669#3,201106#0,1760956#-0,6128597#3,169689#-0,6239926#-0,630644#3,126885#1  
