frame1 #-0,04710501#0,8750433#3,271024#0,003079652#0,6800335#3,294086# -0,221911#0,2691205#2,98351#-0,6104445#0,4972347#3,156149#-0,1240689#0,2848142#3,001886#-0,5286115#0,4567601#3,198837#0,09509635#0,3843109#3,038527#-0,3653217#0,4253073#3,280611#0,124687#0,5555934#3,179046#-0,1813964#0,5281964#3,343524#0,03322203#0,2943168#3,305273#0,01014419#0,2226362#3,257798#0,0801868#0,1528#3,216684#-0,05755074#0,1404713#3,282037#0,2752061#-0,2269121#3,236159#-0,2434971#-0,240261#3,2885#-0,07852349#-0,4716891#3,273704#-0,2961225#-0,5919958#3,29095#0,04296583#-0,5047434#3,277964#-0,3441569#-0,6424258#3,206394#0  
frame2 #-0,04621146#0,8707876#3,26757#0,004584514#0,6791878#3,291683# -0,2222659#0,269058#2,98162#-0,6548032#0,5186625#3,134439#-0,1249759#0,2842822#3,001634#-0,5284502#0,4566523#3,198039#0,0944522#0,3826702#3,040278#-0,364944#0,4255376#3,280601#0,1245162#0,5552509#3,178829#-0,1815908#0,5292916#3,342966#0,03320014#0,2943384#3,304927#0,01019449#0,2225691#3,257776#0,08019535#0,1524572#3,216639#-0,05754346#0,1404846#3,282103#0,2794645#-0,2311247#3,238174#-0,2472368#-0,2412245#3,289019#0,4958923#-0,5581895#3,279845#-0,2947672#-0,5906029#3,292276#0,560158#-0,6557418#3,239669#-0,3417236#-0,6401113#3,209311#0  
frame3 #-0,04579969#0,8706398#3,267498#0,005182947#0,6798295#3,291407# -0,2317644#0,2672859#2,97856#-0,5583394#0,4581571#3,18139#-0,1247549#0,284119#3,001626#-0,5181142#0,4379212#3,178896#0,09436388#0,3824111#3,04024#-0,3633553#0,4245229#3,281125#0,1240173#0,5548298#3,178495#-0,1818675#0,5289764#3,342734#0,03365534#0,2944395#3,304268#0,01068654#0,2225857#3,257298#0,08069574#0,1523965#3,215862#-0,05712999#0,1404809#3,281872#0,2821392#-0,2351968#3,238599#-0,2481684#-0,2415756#3,28859#0,5132961#-0,5744336#3,284048#-0,2945906#-0,5912452#3,292645#0,466999#-0,6231858#3,202361#-0,3408877#-0,6399974#3,210958#0  
frame4 #-0,04442732#0,8698547#3,264949#0,00566422#0,6801565#3,290843# -0,2285828#0,2679147#2,977914#-0,6102307#0,4905286#3,149251#-0,1239564#0,284033#3,000151#-0,5184957#0,4431686#3,181541#0,09464789#0,3820005#3,040399#-0,3626423#0,4237249#3,279956#0,1239685#0,5538392#3,17698#-0,1822476#0,5292388#3,34198#0,03403128#0,2948941#3,303321#0,01103509#0,2230741#3,256515#0,08103074#0,1525519#3,215091#-0,05690017#0,1411482#3,281141#0,2821938#-0,2351607#3,238412#-0,2506381#-0,2429158#3,288236#0,498484#-0,5562369#3,284032#-0,2937923#-0,589974#3,292764#0,4547632#-0,6021621#3,207112#-0,337513#-0,6358993#3,215845#0  
frame5 #-0,04484915#0,8693004#3,2647#0,006557597#0,6801465#3,28922# -0,22031#0,2659133#2,972324#-0,6651627#0,5298348#3,132535#-0,1179823#0,2838768#2,996053#-0,5210651#0,4466287#3,18785#0,0983357#0,3831507#3,043037#-0,3617853#0,4239857#3,277468#0,1238136#0,5534535#3,176433#-0,1821707#0,5299136#3,341558#0,03425767#0,2946507#3,302561#0,01128007#0,2226984#3,256173#0,08125859#0,1511625#3,213656#-0,05675604#0,1409557#3,281368#0,2837683#-0,2366564#3,238247#-0,2510107#-0,2427863#3,288175#0,5015351#-0,5601959#3,282719#-0,2915016#-0,5888416#3,292541#0,5602445#-0,6502031#3,243184#-0,3351792#-0,6347448#3,215735#0  
frame6 #-0,04460955#0,8665249#3,26348#0,006845928#0,6795208#3,288331# -0,2181057#0,2650118#2,970535#-0,6569948#0,5255372#3,119483#-0,117396#0,2835095#2,99512#-0,5184387#0,4479616#3,186585#0,09809437#0,3825914#3,042943#-0,3605985#0,423604#3,277432#0,1239668#0,5521435#3,174463#-0,1820152#0,5293679#3,339826#0,03440957#0,2953322#3,301678#0,01157054#0,2237723#3,255511#0,08147021#0,1520261#3,212994#-0,05647548#0,1420274#3,281013#0,2831547#-0,2360421#3,237048#-0,2516524#-0,2431927#3,28761#0,4936672#-0,5542324#3,279446#-0,2922131#-0,590293#3,292793#0,4507069#-0,5993529#3,203974#-0,3351733#-0,6354135#3,217321#0 
frame7 #-0,04667506#0,8660936#3,265553#0,006910554#0,6792446#3,287106# -0,2149425#0,2672593#2,97056#-0,6592492#0,5268027#3,123867#-0,1146198#0,2838525#2,993644#-0,5177814#0,4442691#3,189167#0,09909386#0,3847525#3,04107#-0,3593763#0,4233649#3,278329#0,1229737#0,5514358#3,17114#-0,182142#0,5290878#3,338643#0,03565712#0,295161#3,300485#0,0129331#0,2233813#3,254822#0,08278295#0,1518257#3,212682#-0,05454949#0,1418105#3,280351#0,2786967#-0,2325218#3,232867#-0,2506336#-0,2435972#3,287011#0,483204#-0,5481239#3,27809#-0,2918426#-0,5894277#3,292337#0,43955#-0,5935072#3,202541#-0,3354965#-0,634811#3,216788#0  
frame8 #-0,0485874#0,8644142#3,26537#0,005824783#0,6793435#3,286544# -0,2141651#0,266394#2,964908#-0,6569036#0,5235181#3,120117#-0,1116991#0,2845043#2,987303#-0,5658553#0,4679477#3,16554#0,09989569#0,3856282#3,03988#-0,3564158#0,420954#3,281892#0,1220489#0,5518343#3,169212#-0,1837477#0,5286485#3,337014#0,03572161#0,2946647#3,299836#0,0133903#0,2224635#3,254347#0,08343531#0,1513127#3,212856#-0,05384028#0,1407154#3,279191#0,2791819#-0,2332259#3,231611#-0,2509723#-0,2436875#3,286893#0,4842211#-0,5495074#3,276821#-0,2921912#-0,5895445#3,292116#0,4407829#-0,5947261#3,201615#-0,3356294#-0,6347633#3,21691#0  
frame9 #-0,05117735#0,8626764#3,26241#-0,003692757#0,673694#3,278065# -0,2165833#0,2634971#2,961735#-0,6575054#0,521216#3,118106#-0,111803#0,283117#2,983514#-0,5655943#0,4658955#3,16732#0,09703819#0,3871#3,037598#-0,3565873#0,4191741#3,282439#0,1175641#0,5514902#3,166228#-0,1847562#0,527651#3,334292#0,03491303#0,2951949#3,297657#0,01336623#0,2221362#3,253741#0,08346504#0,1512944#3,212637#-0,05336451#0,1405529#3,278894#0,2755997#-0,2300706#3,227238#-0,2510978#-0,2434653#3,286191#0,4837867#-0,5496487#3,275636#-0,2923061#-0,5896147#3,291547#0,4403595#-0,5952021#3,201075#-0,3357333#-0,6351682#3,216986#0  
frame10 #-0,09392722#0,8292388#3,242896#-0,03228932#0,6562388#3,270885# -0,2311116#0,2485891#2,956981#-0,6613604#0,4945172#3,08839#-0,1220952#0,2597202#2,968867#-0,565254#0,4570391#3,162124#0,08001883#0,3742531#3,021529#-0,3593823#0,4130872#3,28338#0,104294#0,5473918#3,160012#-0,1991276#0,5215318#3,334141#0,0228218#0,2923754#3,296516#0,004842828#0,219327#3,255616#0,0753306#0,1515261#3,217962#-0,05833325#0,1368772#3,280289#0,2706474#-0,2296534#3,223183#-0,252256#-0,242488#3,284918#0,474171#-0,5482649#3,268209#-0,2889456#-0,5832555#3,284275#0,4299621#-0,5950361#3,194119#-0,3331545#-0,6300268#3,210186#0  
frame11 #-0,1011095#0,8271654#3,242898#-0,04646211#0,6527936#3,268515# -0,1991724#0,2638715#2,958234#-0,6673165#0,4889606#3,07901#-0,1185437#0,2596743#2,958528#-0,5033228#0,3778973#3,189987#0,0806159#0,37449#3,019824#-0,352005#0,3943092#3,287494#0,08855291#0,5427628#3,154363#-0,2161861#0,5149215#3,327982#0,008891081#0,2897559#3,297612#-0,00654777#0,2166022#3,260339#0,06581686#0,1512981#3,22489#-0,0677533#0,132153#3,286243#0,2587568#-0,2259947#3,215481#-0,2505756#-0,2387552#3,284282#0,4731191#-0,547911#3,266646#-0,2878436#-0,5819373#3,282096#0,4292574#-0,5953082#3,192327#-0,3317053#-0,6293345#3,207777#0  
