frame1 #-0,1111672#0,850821#3,263363#-0,04158759#0,6606037#3,289803# -0,1386648#0,2305405#3,025342#-0,6803671#0,478765#3,142662#-0,04456399#0,264973#3,020736#-0,6133771#0,4663299#3,174135#0,08271506#0,3694981#3,058002#-0,4124072#0,4290248#3,281938#0,07593743#0,5324188#3,167881#-0,2323434#0,528151#3,342153#-0,01553299#0,3093585#3,299679#-0,03566294#0,2433568#3,260202#0,03477499#0,1686269#3,221119#-0,1039514#0,1667064#3,28369#0,2306433#-0,2220723#3,242629#-0,3268438#-0,2479979#3,288987#-0,1297511#-0,4591801#3,255284#-0,3910098#-0,5679502#3,273047#-0,009227723#-0,4932567#3,261153#-0,4400454#-0,6185127#3,189821#0  
frame2 #-0,1100317#0,8473972#3,266646#-0,04138381#0,6604213#3,293195# -0,2037575#0,2388348#3,039174#-0,696554#0,5118265#3,124184#-0,1216886#0,2497088#3,051839#-0,6098724#0,4622553#3,177735#0,08129729#0,3613603#3,056712#-0,4259041#0,4262328#3,277652#0,07594354#0,5323033#3,17071#-0,2322985#0,5281792#3,345211#-0,0112199#0,2827362#3,30203#-0,03012902#0,2052955#3,261272#0,04078662#0,1284762#3,219996#-0,09766204#0,128714#3,285992#0,2312443#-0,222673#3,245329#-0,3254098#-0,2466934#3,292765#0,4826814#-0,5664317#3,265546#-0,3911195#-0,5680664#3,274686#0,4368138#-0,6138696#3,187761#-0,4369872#-0,6155043#3,196901#0  
frame3 #-0,1100561#0,8474169#3,268124#-0,04042794#0,6613158#3,294462# -0,2121833#0,2375574#3,03792#-0,713487#0,523452#3,115256#-0,1256704#0,2489824#3,052915#-0,5939592#0,4573866#3,182297#0,08062717#0,3603637#3,056848#-0,4278645#0,4249682#3,276613#0,07598603#0,5323004#3,171531#-0,2322955#0,5288645#3,346886#-0,01065511#0,281978#3,302937#-0,03004027#0,2052005#3,26214#0,0408351#0,1284452#3,220968#-0,09762549#0,1286495#3,286705#0,2279416#-0,2196626#3,244805#-0,325066#-0,2459113#3,293683#0,4822172#-0,5626441#3,265769#-0,3908862#-0,5671438#3,276486#0,4368739#-0,6093324#3,189227#-0,4362295#-0,6138322#3,199944#0  
frame4 #-0,1045352#0,8588893#3,267763#-0,0408071#0,6619823#3,294416# -0,2385358#0,2059427#3,037616#-0,7139834#0,5230012#3,115576#-0,1205025#0,2397355#3,049099#-0,5936186#0,4574058#3,182722#0,08090979#0,360512#3,057912#-0,4191632#0,4265916#3,280088#0,07603611#0,532229#3,171552#-0,2313662#0,5297909#3,347198#-0,009769699#0,2819195#3,302749#-0,02907285#0,2057652#3,261564#0,04192436#0,1294684#3,221185#-0,09530048#0,1306986#3,28443#0,2280364#-0,2194628#3,244991#-0,3253739#-0,2464827#3,294448#0,4785284#-0,5541232#3,268648#-0,3909183#-0,5671827#3,276598#0,4338921#-0,5999545#3,193604#-0,4355546#-0,613014#3,201555#0  
frame5 #-0,1023707#0,8602278#3,269174#-0,04028953#0,6622443#3,294035# -0,2372736#0,2065515#3,038747#-0,7158662#0,5244214#3,119103#-0,124467#0,2369335#3,049273#-0,5937556#0,4571718#3,182545#0,07970324#0,3559453#3,059633#-0,4252977#0,4261963#3,277692#0,07610047#0,5323337#3,171441#-0,2304216#0,5312622#3,348006#-0,008515589#0,2818966#3,302491#-0,02807297#0,206321#3,261196#0,04284631#0,1302917#3,221433#-0,09402602#0,1318011#3,283674#0,2264203#-0,2173148#3,244376#-0,3255879#-0,2464975#3,29467#0,477668#-0,5530789#3,268588#-0,3914713#-0,5684518#3,278018#0,4330119#-0,5986863#3,194072#-0,4361273#-0,6140591#3,203502#0  
frame6 #-0,1005468#0,8567414#3,269011#-0,04007003#0,6621792#3,293772# -0,2348865#0,2057196#3,037946#-0,7168125#0,5244507#3,120256#-0,126628#0,2347844#3,049023#-0,5943433#0,4570735#3,181572#0,07942619#0,3539118#3,058515#-0,4310839#0,4261598#3,274989#0,07615704#0,5319474#3,171286#-0,2304005#0,5312645#3,348086#-0,007993899#0,2819083#3,30242#-0,02768638#0,2068153#3,260894#0,04322904#0,1308#3,221286#-0,09375858#0,1322711#3,283477#0,2268995#-0,2178531#3,244413#-0,325583#-0,2464345#3,2948#0,4778673#-0,5532234#3,268774#-0,3921076#-0,5695025#3,278299#0,4332364#-0,5987698#3,194376#-0,4367385#-0,6150489#3,203902#0  
frame7 #-0,1005563#0,8567441#3,269389#-0,04059676#0,6617166#3,293102# -0,2360021#0,2054389#3,038838#-0,7184871#0,5247151#3,123184#-0,1270943#0,2350074#3,049326#-0,5946723#0,4569747#3,182558#0,0795442#0,3538489#3,05838#-0,4205238#0,4273152#3,279354#0,07628673#0,5319508#3,171558#-0,2296067#0,5314544#3,347677#-0,008093636#0,2795998#3,30187#-0,0278459#0,2051743#3,260473#0,04307232#0,1296671#3,221235#-0,09387778#0,130731#3,283273#0,2264269#-0,2176962#3,244357#-0,3256646#-0,2462241#3,295242#0,4739005#-0,5507024#3,267405#-0,3927844#-0,5701639#3,279084#0,4293709#-0,5962318#3,193038#-0,4373141#-0,6156933#3,204717#0  
frame8 #-0,09792799#0,8564684#3,267383#-0,04050278#0,6617662#3,293509# -0,23772#0,2051572#3,039548#-0,7188757#0,5252339#3,123708#-0,1279585#0,2332567#3,048943#-0,5943013#0,4565941#3,183162#0,0786778#0,3539053#3,057437#-0,4279433#0,4250447#3,275138#0,07627909#0,5319582#3,171755#-0,2297463#0,5315491#3,347829#-0,008119086#0,2785721#3,302355#-0,02809683#0,2042992#3,26072#0,04280903#0,1288497#3,221609#-0,09443203#0,1296323#3,283411#0,2248755#-0,2168483#3,243795#-0,3255432#-0,2462166#3,29553#0,4740406#-0,5532564#3,266436#-0,3942688#-0,5716904#3,279267#0,4287428#-0,5995808#3,190732#-0,4395666#-0,6180148#3,203563#0  
frame9 #-0,09722523#0,8585038#3,266187#-0,0406119#0,66146#3,293075# -0,2425573#0,2047933#3,039434#-0,7197075#0,5251133#3,124824#-0,1300129#0,2338413#3,047738#-0,5960108#0,4565749#3,186835#0,07845595#0,3533487#3,057307#-0,4312673#0,4241056#3,273192#0,07613394#0,5320397#3,171321#-0,2295734#0,5321121#3,347792#-0,007914238#0,2785839#3,302366#-0,02802582#0,2044192#3,26063#0,04285532#0,1289981#3,221653#-0,0942698#0,1299726#3,283217#0,2243575#-0,2158739#3,243522#-0,3246199#-0,2458222#3,295835#0,471994#-0,5506066#3,265983#-0,3942696#-0,5716285#3,278787#0,4266987#-0,5968418#3,190516#-0,4247929#-0,6431249#3,237966#0  
frame10 #-0,09653802#0,8582606#3,26517#-0,0404869#0,6604866#3,291524# -0,2407243#0,2057664#3,038617#-0,7201895#0,5252006#3,125536#-0,1307181#0,2334634#3,047755#-0,5970516#0,4569561#3,189303#0,07892072#0,3528104#3,057859#-0,4331783#0,4238358#3,272642#0,07626424#0,5321672#3,171078#-0,2295893#0,5321913#3,348094#-0,008445146#0,2786008#3,302289#-0,029005#0,2046864#3,260799#0,04063788#0,130832#3,221987#-0,09584607#0,128571#3,284118#0,2290098#-0,2210767#3,244168#-0,3250798#-0,2462301#3,29583#0,4817672#-0,5673699#3,267928#-0,3953441#-0,5734112#3,279854#0,4369137#-0,6131114#3,19339#-0,4401976#-0,6191527#3,205316#0 
frame11 #-0,09627023#0,8580297#3,264844#-0,04080547#0,6597817#3,29094# -0,2380073#0,2063293#3,040145#-0,7206211#0,5255743#3,126253#-0,1338177#0,2317916#3,047763#-0,5978227#0,4569564#3,188806#0,07692676#0,3498099#3,056649#-0,4232932#0,4272158#3,277033#0,07648144#0,5320647#3,170835#-0,2295305#0,5322101#3,348059#-0,008512951#0,2786456#3,302159#-0,0290527#0,2047958#3,260758#0,04055801#0,1322539#3,221566#-0,09581994#0,127626#3,284333#0,2269191#-0,2190232#3,243457#-0,3252417#-0,2466802#3,29573#0,4757887#-0,557933#3,26871#-0,3955052#-0,574471#3,278446#0,431106#-0,6035112#3,194496#-0,4401879#-0,6200492#3,204232#0  
