frame1 #-0,1122321#0,8061563#3,338648#-0,05088986#0,6488425#3,389635# -0,2789947#0,183312#3,04082#-0,6780456#0,5062038#3,162033#-0,1851618#0,2182591#3,048133#-0,5998491#0,4671789#3,211447#-0,01358438#0,3380469#3,087906#-0,4315253#0,4184061#3,342825#0,0745289#0,5366302#3,249496#-0,2317293#0,5296762#3,446505#-0,009612411#0,2736498#3,392922#-0,03545292#0,2045062#3,344255#0,0361207#0,1293471#3,29863#-0,1016955#0,1262178#3,369304#0,226866#-0,2258028#3,33438#-0,3061255#-0,2328952#3,37751#-0,2379174#-0,544147#3,381272#-0,4012319#-0,6404293#3,385781#-0,1139263#-0,5629326#3,376545#-0,4345427#-0,6713533#3,304923#0  
frame2 #-0,1113262#0,8071362#3,339458#-0,05085292#0,6490266#3,39067# -0,246629#0,2433365#3,059975#-0,6817961#0,5203128#3,164398#-0,1834642#0,254913#3,056601#-0,6210546#0,482151#3,215635#0,04387193#0,3761823#3,117471#-0,4318336#0,4181998#3,344321#0,07504591#0,5360718#3,249868#-0,2304799#0,5293347#3,445869#-0,009693341#0,2735283#3,393056#-0,03547129#0,2044861#3,344308#0,03606401#0,1293265#3,298649#-0,1016969#0,1262228#3,369336#0,2265995#-0,2256977#3,33444#-0,3157171#-0,2463323#3,374929#0,2960811#-0,5351161#3,402414#-0,3794708#-0,5692795#3,384427#0,3972102#-0,5843183#3,375368#-0,4253629#-0,6573238#3,325085#0  
frame3 #-0,1096938#0,8181844#3,340131#-0,0505939#0,6492261#3,390412# -0,2326952#0,2504744#3,062497#-0,6827965#0,5209559#3,167843#-0,1727712#0,2617615#3,058122#-0,6210533#0,4824516#3,216221#0,04572809#0,3815928#3,119828#-0,4331155#0,418183#3,347474#0,07517463#0,5361085#3,249681#-0,2297556#0,5293725#3,445668#-0,00945092#0,2741207#3,392822#-0,03527357#0,2051719#3,344105#0,03611495#0,1302768#3,298537#-0,1013614#0,1271847#3,369113#0,2304591#-0,228785#3,334958#-0,3170513#-0,2460556#3,374271#0,2893158#-0,5089166#3,393057#-0,3776474#-0,5654037#3,380508#0,3855023#-0,5643755#3,371472#-0,4235487#-0,6536064#3,326593#0  
frame4 #-0,1088086#0,8243139#3,343076#-0,0500339#0,6505719#3,390626# -0,2155534#0,2602707#3,067232#-0,6824382#0,5209196#3,167709#-0,1581165#0,2719526#3,061409#-0,6204298#0,4836471#3,219343#0,04779116#0,3912054#3,123186#-0,4220167#0,422333#3,358838#0,07468004#0,5380118#3,250332#-0,2291251#0,5291599#3,445778#-0,008403959#0,2764105#3,39255#-0,03408541#0,2077143#3,343766#0,03715703#0,1342154#3,298295#-0,09950779#0,1300387#3,368479#0,229254#-0,2275599#3,334197#-0,3181383#-0,2457606#3,373905#0,4888265#-0,5564381#3,361116#-0,3751226#-0,5617206#3,376387#0,4384947#-0,6026068#3,286039#-0,4239424#-0,6554289#3,326797#0  
frame5 #-0,1038208#0,8334004#3,346341#-0,04973938#0,6522918#3,393256# -0,2702833#0,2264766#3,050388#-0,6828538#0,5241107#3,169821#-0,2132948#0,2393075#3,045266#-0,6147799#0,4842093#3,230976#2,52529E-05#0,3535496#3,103117#-0,4286611#0,4193009#3,355078#0,07522847#0,5381227#3,251569#-0,227781#0,5287727#3,447892#-0,008206636#0,2770188#3,393053#-0,03401016#0,208329#3,344208#0,03718536#0,1347997#3,298581#-0,09943866#0,1305166#3,368794#0,2257238#-0,2235322#3,331839#-0,3199943#-0,247318#3,374296#0,4830682#-0,5610911#3,359692#-0,3759516#-0,5609715#3,376276#0,4304691#-0,6089798#3,28185#-0,4206166#-0,6556403#3,326462#0  
frame6 #-0,1036867#0,831614#3,34464#-0,04820403#0,6532813#3,395155# -0,2669244#0,2275587#3,049433#-0,6827347#0,5240762#3,1706#-0,2096356#0,2410336#3,044879#-0,6124406#0,4835329#3,2306#0,005246338#0,3581822#3,105505#-0,4306343#0,4191853#3,354006#0,07781953#0,5429391#3,255501#-0,2275829#0,5286712#3,448281#-0,008583903#0,2773379#3,393871#-0,03406533#0,2088777#3,344611#0,03708271#0,1354597#3,298581#-0,09971325#0,1304565#3,369197#0,2256628#-0,2235888#3,331793#-0,3190514#-0,2468145#3,3751#0,4820917#-0,5633298#3,358449#-0,3766985#-0,5605561#3,376444#0,4300278#-0,6113789#3,279633#-0,4205957#-0,6558773#3,326605#0  
frame7 #-0,1061155#0,8284535#3,343421#-0,04766565#0,6534654#3,394959# -0,2108212#0,2629604#3,057989#-0,6826186#0,5241238#3,170735#-0,1536799#0,2768074#3,056346#-0,6182022#0,485769#3,217519#0,05363838#0,4043443#3,114598#-0,4308032#0,4177001#3,356266#0,07780811#0,5446528#3,257035#-0,2270113#0,5285072#3,449273#-0,008974746#0,2778445#3,394413#-0,0348064#0,2095226#3,345431#0,03510629#0,1376107#3,29922#-0,1006568#0,1296759#3,370879#0,2250434#-0,2229389#3,331343#-0,3087283#-0,2362643#3,378092#0,4824674#-0,5650231#3,358466#-0,3766819#-0,5591441#3,376624#0,4300712#-0,6137037#3,279473#-0,4229639#-0,6532557#3,331399#0  
frame8 #-0,1071538#0,8284736#3,343526#-0,04885495#0,6536211#3,394829# -0,2108658#0,2638879#3,058819#-0,6827814#0,5238199#3,171938#-0,1537792#0,2767317#3,055577#-0,619455#0,4859049#3,221087#0,05243048#0,4046209#3,11472#-0,4302221#0,4178392#3,357364#0,07767712#0,5440447#3,257322#-0,2270793#0,5281156#3,449495#-0,009096637#0,277995#3,394471#-0,0348436#0,2095552#3,345469#0,0351481#0,1380185#3,299242#-0,1006683#0,1292821#3,370921#0,2247016#-0,2227734#3,330911#-0,3141031#-0,2443134#3,375621#0,4822994#-0,5651854#3,35862#-0,3766231#-0,5591539#3,376662#0,4298873#-0,6139356#3,279561#-0,4214155#-0,6532941#3,330967#0  
frame9 #-0,1207425#0,8235423#3,344981#-0,05550985#0,6545856#3,389786# -0,2701122#0,2274536#3,044522#-0,6844423#0,5210863#3,174747#-0,2099302#0,2408273#3,0428#-0,5839523#0,4456623#3,242893#0,0004049324#0,3659736#3,101102#-0,4323715#0,4150823#3,356421#0,07081164#0,5482154#3,260474#-0,2344895#0,5267478#3,448386#-0,01035721#0,2792759#3,394811#-0,03527084#0,209875#3,345693#0,03491526#0,1391071#3,29982#-0,1008559#0,1287128#3,371362#0,2239798#-0,2236497#3,328499#-0,317845#-0,2451274#3,373309#0,4815286#-0,5660335#3,358481#-0,3745296#-0,558744#3,376008#0,430033#-0,6151525#3,27892#-0,4205163#-0,6533222#3,330368#0  
frame10 #-0,1237692#0,8262825#3,345795#-0,07137384#0,6527727#3,390063# -0,2324711#0,2272732#3,040747#-0,6923176#0,5130249#3,173762#-0,1536835#0,2573549#3,042969#-0,5910932#0,4342368#3,249698#0,0005053629#0,3663332#3,103528#-0,433966#0,4129954#3,35837#0,06113086#0,5471638#3,261294#-0,2426015#0,5213884#3,447449#-0,01432573#0,2794943#3,39549#-0,03745095#0,2093902#3,346271#0,03408729#0,1398831#3,300941#-0,102303#0,1274507#3,371459#0,22161#-0,2243493#3,323531#-0,319727#-0,2444105#3,371465#0,4803813#-0,5651644#3,358071#-0,370488#-0,5591342#3,366758#0,4292504#-0,6145549#3,278652#-0,4207564#-0,653237#3,329526#0  
frame11 #-0,1433656#0,8177165#3,345233#-0,08994669#0,6494086#3,388663# -0,3292177#0,1951896#3,025358#-0,699795#0,5013441#3,165837#-0,1611136#0,267369#3,049144#-0,5918399#0,4317181#3,248482#0,03902855#0,4073695#3,103386#-0,4373065#0,406956#3,35736#0,03620992#0,5390713#3,25808#-0,2583931#0,5153046#3,444073#-0,02096181#0,2777736#3,394969#-0,04213547#0,2069069#3,346338#0,03100226#0,1396318#3,301012#-0,1041428#0,1235878#3,371934#0,2174326#-0,225162#3,318833#-0,3221013#-0,242146#3,37069#0,4791487#-0,5643641#3,351385#-0,3691317#-0,5575942#3,366278#0,4273973#-0,6140718#3,273004#-0,4186415#-0,6513207#3,325176#0  
