frame1 #0,03271544#0,9018338#3,44144#0,08223002#0,7250485#3,43132# -0,1897462#0,3016505#3,146863#-0,5014955#0,5914351#3,411207#-0,09813488#0,3184126#3,148241#-0,4641457#0,5414395#3,382138#0,10353#0,4223078#3,184796#-0,2920312#0,5159091#3,465348#0,1915591#0,6075624#3,342415#-0,1176444#0,5985841#3,536266#0,08854542#0,3490592#3,44048#0,07896161#0,2745919#3,428516#0,1479875#0,2015105#3,39732#0,008845918#0,1974703#3,454043#0,317404#-0,2218776#3,406079#-0,1841612#-0,2221875#3,481352#0,5063124#-0,566945#3,399979#-0,2763223#-0,5721642#3,463529#0,4680924#-0,6043592#3,341526#-0,3145423#-0,6095784#3,405076#0  
frame2 #0,03587633#0,9059653#3,440562#0,08199149#0,7244871#3,431218# -0,141849#0,3143346#3,146581#-0,5822381#0,6057522#3,280243#-0,04930914#0,3380569#3,145094#-0,4688914#0,5524576#3,380484#0,1260817#0,4397098#3,195041#-0,2911997#0,5166028#3,465847#0,1914738#0,6076283#3,342159#-0,1178444#0,5983658#3,536041#0,08855619#0,3490188#3,440507#0,07899658#0,2745724#3,428566#0,1481382#0,2014235#3,397108#0,008922119#0,1973239#3,454201#0,3205141#-0,2256106#3,405473#-0,1827382#-0,2340026#3,48455#0,5012114#-0,5637878#3,395388#-0,2760298#-0,5730374#3,464095#0,4612346#-0,6029419#3,334235#-0,3160066#-0,6121916#3,402942#0  
frame3 #0,03521283#0,9059952#3,438368#0,08200109#0,7244765#3,43145# -0,1592781#0,3068999#3,144334#-0,5858359#0,6088946#3,300354#-0,06561253#0,3263721#3,144109#-0,470522#0,5535112#3,379679#0,1258039#0,4389555#3,194001#-0,2869784#0,5185741#3,467073#0,1919394#0,6077327#3,342057#-0,1175576#0,5984468#3,535915#0,09031999#0,3482566#3,439506#0,08135027#0,2735704#3,426832#0,152181#0,1992493#3,392344#0,01158823#0,195777#3,453278#0,329966#-0,2288886#3,402722#-0,1747628#-0,2441886#3,485997#0,5016934#-0,5642155#3,393993#-0,2641655#-0,5752352#3,469516#0,5381944#-0,636433#3,355336#-0,3025315#-0,6128044#3,410791#0  
frame4 #0,02897711#0,9047527#3,428957#0,08146191#0,7243338#3,42898# -0,1268438#0,313979#3,141919#-0,5858368#0,6077188#3,296295#-0,03341223#0,3369876#3,137444#-0,4705297#0,5545998#3,378088#0,128648#0,4407391#3,191112#-0,2844681#0,5177147#3,467469#0,1932872#0,6070065#3,33766#-0,1143129#0,5992818#3,533953#0,09288007#0,3504266#3,436949#0,0846053#0,2765457#3,424093#0,1550587#0,2025207#3,390619#0,01738615#0,2009558#3,449712#0,3329788#-0,2300275#3,399368#-0,1686662#-0,2471646#3,485848#0,4999729#-0,5628293#3,390442#-0,2500205#-0,5734047#3,474655#0,4604895#-0,601095#3,331098#-0,289504#-0,6116703#3,41531#0  
frame5 #0,02322786#0,9057918#3,425862#0,08232333#0,7240505#3,426765# -0,1717503#0,3019161#3,141518#-0,5784824#0,6001412#3,28805#-0,07687635#0,3161572#3,131365#-0,4667142#0,5513857#3,376129#0,1179384#0,4254845#3,17208#-0,2656083#0,5107465#3,468184#0,1963554#0,606824#3,327138#-0,1108841#0,5995145#3,533062#0,1017209#0,3490071#3,432336#0,09417513#0,2746855#3,418678#0,1658443#0,200598#3,3835#0,02821579#0,1983442#3,445767#0,3396661#-0,2296404#3,388735#-0,1612432#-0,2540675#3,483094#0,5020753#-0,56463#3,390012#-0,2575423#-0,5768243#3,459954#0,4612874#-0,6029513#3,331657#-0,2983301#-0,6151457#3,401599#0  
frame6 #0,02278491#0,9046307#3,423276#0,08230503#0,7241877#3,424927# -0,1705834#0,3000415#3,136919#-0,5783537#0,6002781#3,287391#-0,07770845#0,3136823#3,132892#-0,4574687#0,540597#3,381737#0,1180618#0,4248998#3,171544#-0,2613518#0,5081599#3,467243#0,196255#0,6064765#3,323812#-0,1080584#0,5983131#3,529683#0,1049599#0,3479965#3,430599#0,09778727#0,2732031#3,416614#0,1686449#0,2001483#3,38233#0,03339111#0,1969545#3,443222#0,3400311#-0,2240292#3,37306#-0,1597123#-0,2533108#3,476284#0,50284#-0,5632911#3,386982#-0,2492271#-0,5729603#3,451966#0,4619091#-0,6016209#3,328959#-0,2901579#-0,61129#3,393943#0  
frame7 #0,001834967#0,8812803#3,406966#0,06423961#0,7019839#3,411343# -0,1325351#0,2568153#3,1075#-0,5836086#0,5844177#3,293217#-0,06980937#0,2866186#3,128584#-0,4824218#0,5169979#3,358495#0,1163391#0,4114873#3,15626#-0,2765862#0,4873031#3,454046#0,1805606#0,5945386#3,308115#-0,1144661#0,5836411#3,516496#0,1059994#0,3305172#3,423949#0,1010038#0,2538066#3,409681#0,1707362#0,1858191#3,374063#0,04054981#0,1745351#3,438752#0,3395123#-0,231667#3,346854#-0,158611#-0,2486606#3,453276#0,5008003#-0,5614146#3,37683#-0,2379802#-0,5675901#3,416116#0,4582896#-0,6013852#3,318923#-0,2804908#-0,6075607#3,358209#0  
frame8 #-0,01903945#0,8663346#3,391194#0,04758579#0,6909432#3,410722# -0,1417883#0,2546081#3,096594#-0,5902689#0,5711639#3,28342#-0,06850622#0,2845231#3,126189#-0,4842314#0,5036986#3,343378#0,1157308#0,4077202#3,159103#-0,2671462#0,4612428#3,460343#0,168629#0,5877243#3,303496#-0,1273471#0,5723804#3,512758#0,09445094#0,3247288#3,423949#0,09099344#0,2497073#3,410875#0,1614062#0,1845559#3,374829#0,03248461#0,1662795#3,441504#0,3380213#-0,2357876#3,340516#-0,1621664#-0,2462887#3,447839#0,4981889#-0,5619636#3,370132#-0,2433075#-0,5724944#3,410994#0,4555503#-0,6025023#3,311988#-0,2859462#-0,6130332#3,352849#0  
frame9 #-0,03564275#0,8524903#3,383768#0,0297446#0,6823739#3,405739# -0,1666922#0,2353306#3,091514#-0,5987046#0,5598819#3,274629#-0,08192895#0,2692508#3,105154#-0,4864871#0,489419#3,335692#0,1007076#0,388374#3,155539#-0,2743287#0,4544187#3,461651#0,1472901#0,5750707#3,296604#-0,1356235#0,5668308#3,503639#0,08216527#0,3187585#3,42106#0,08007257#0,2444804#3,409755#0,1492358#0,1795801#3,370529#0,0254208#0,160587#3,44416#0,3332914#-0,2347992#3,336417#-0,1690927#-0,2423961#3,44198#0,4919807#-0,5580653#3,362135#-0,2443852#-0,5705568#3,410547#0,4482735#-0,5993298#3,304566#-0,2880924#-0,6118214#3,352978#0  
frame10 #-0,04915104#0,852324#3,388399#0,005539257#0,6840565#3,422146# -0,1648753#0,2667126#3,097464#-0,6122265#0,5300811#3,242989#-0,09054305#0,2593044#3,09345#-0,4943115#0,4780284#3,329896#0,1012497#0,3936933#3,160673#-0,2962282#0,4413143#3,461539#0,1354461#0,5739442#3,297385#-0,1576507#0,5520862#3,493881#0,05561614#0,3095331#3,433188#0,05334891#0,2336149#3,421387#0,1265324#0,1726829#3,384317#-0,00379014#0,1497149#3,452444#0,3257436#-0,2362058#3,33538#-0,1822552#-0,2221507#3,434702#0,4958434#-0,5596371#3,36423#-0,2484974#-0,5623996#3,4027#0,4540536#-0,6009406#3,303985#-0,2902872#-0,6037032#3,342456#0  
frame11 #-0,1110264#0,8450209#3,379235#-0,05206707#0,6637571#3,410122# -0,1569591#0,2444992#3,076438#-0,655363#0,5178737#3,190753#-0,08849785#0,2534747#3,108114#-0,5011898#0,4781916#3,306705#0,09165719#0,3996816#3,158006#-0,3235485#0,4159681#3,461224#0,07851197#0,5685464#3,292459#-0,2188913#0,5519721#3,463652#0,01043801#0,3044413#3,430992#0,0135085#0,2309755#3,422086#0,08539146#0,1692531#3,389097#-0,036507#0,1482207#3,453799#0,2954444#-0,2300753#3,350242#-0,2002426#-0,2333336#3,42853#0,498042#-0,5620301#3,368638#-0,2525065#-0,5619048#3,398696#0,4602873#-0,6054726#3,304765#-0,2902612#-0,6053473#3,334823#0  
