frame1 #-0,5237741#0,8219861#3,156942#-0,4715976#0,6461099#3,204915# -0,5368201#0,2011311#2,995196#-0,9382527#0,3104459#2,988651#-0,4458085#0,224316#3,042294#-0,8802229#0,3023432#3,086753#-0,2653787#0,3634721#3,077426#-0,7306931#0,3489246#3,267842#-0,3285518#0,5510738#3,157319#-0,6160389#0,5044696#3,300758#-0,3957547#0,2763196#3,265374#-0,3805861#0,2023615#3,280956#-0,3016285#0,1432559#3,261548#-0,4309977#0,122284#3,319736#-0,1344583#-0,2153743#3,213058#-0,5336809#-0,2425371#3,321368#0,04205381#-0,5668073#3,341282#-0,4464816#-0,5937511#3,280704#0,117895#-0,6325428#3,315185#-0,4759109#-0,6571313#3,249208#0  
frame2 #-0,5271991#0,8304985#3,154021#-0,4735391#0,6522071#3,206671# -0,5819792#0,1750169#2,996049#-0,9323753#0,3195654#2,967903#-0,4494821#0,2261256#3,042901#-0,8729106#0,3120488#3,074843#-0,2643058#0,3637053#3,079823#-0,7306561#0,3515166#3,267941#-0,3291177#0,5556233#3,160936#-0,6190525#0,5163286#3,296571#-0,3960086#0,2762452#3,265962#-0,3809359#0,2018217#3,281423#-0,3019457#0,142491#3,262341#-0,4317845#0,121973#3,319067#-0,1673635#-0,2199041#3,216419#-0,5341633#-0,2437587#3,321641#-0,05925047#-0,5676294#3,381174#-0,4448078#-0,5943854#3,279862#0,02273097#-0,6219875#3,382148#-0,477609#-0,6567918#3,257074#0  
frame3 #-0,5219672#0,8522943#3,155708#-0,4759607#0,6623031#3,205825# -0,5415506#0,2303579#3,014327#-0,888831#0,3403965#2,925382#-0,4539584#0,2535296#3,05268#-0,8426846#0,3210668#3,114309#-0,2546905#0,3722981#3,08597#-0,732919#0,3647292#3,270006#-0,3245917#0,5649513#3,163903#-0,6243541#0,5321918#3,283441#-0,4033558#0,2832199#3,262745#-0,3890266#0,2078641#3,277647#-0,3068604#0,1453438#3,261969#-0,4451944#0,1301505#3,309635#-0,2456364#-0,2377543#3,229413#-0,5317984#-0,2490198#3,315673#-0,2751342#-0,5913196#3,471367#-0,4442045#-0,5910091#3,277044#-0,2209307#-0,6406233#3,473962#-0,4744726#-0,653251#3,25285#0  
frame4 #-0,5197746#0,8601098#3,149889#-0,4774383#0,6718359#3,20576# -0,5147288#0,2663468#3,028768#-0,8692245#0,3567356#2,927952#-0,4278406#0,2907377#3,066095#-0,8170778#0,3716326#3,044831#-0,2260836#0,3966641#3,1236#-0,732649#0,376847#3,275066#-0,3208255#0,5773982#3,170341#-0,6285512#0,5363402#3,272772#-0,4198417#0,3079042#3,258014#-0,4098187#0,2360451#3,27143#-0,3281224#0,1740925#3,261154#-0,4694185#0,1537666#3,297993#-0,2927658#-0,2247336#3,239543#-0,5314527#-0,2491075#3,307528#-0,3297202#-0,593233#3,477647#-0,443461#-0,5893417#3,278297#-0,3253318#-0,6657308#3,457235#-0,4772014#-0,6519948#3,253236#0  
frame5 #-0,5122635#0,8696814#3,152817#-0,4765338#0,6790128#3,203971# -0,5213693#0,2819776#3,032094#-0,8351461#0,3692768#2,908212#-0,4322608#0,3002733#3,064568#-0,8444127#0,3434127#3,134288#-0,2253819#0,3937085#3,122574#-0,7331212#0,3932363#3,268194#-0,317655#0,5856006#3,175814#-0,6325045#0,5410306#3,267595#-0,4238917#0,3136906#3,256992#-0,414146#0,2410615#3,270741#-0,3320479#0,1781786#3,261853#-0,4759374#0,1582316#3,296497#-0,3412116#-0,2389828#3,259885#-0,5285534#-0,2445063#3,295536#-0,4164613#-0,5977898#3,280766#-0,4654528#-0,5746955#3,263301#-0,4397671#-0,6651942#3,252904#-0,4855673#-0,6231735#3,190089#0  
frame6 #-0,5059196#0,8846991#3,155407#-0,4749667#0,6881318#3,202215# -0,5162088#0,2969942#3,035245#-0,8110361#0,3888909#2,911678#-0,429567#0,3285477#3,062837#-0,7981568#0,398601#3,021983#-0,2216347#0,3974106#3,136655#-0,7851282#0,4076654#3,254755#-0,3121094#0,5936912#3,183251#-0,6356192#0,5443303#3,25505#-0,4312245#0,3312286#3,252775#-0,4234326#0,2602935#3,266092#-0,340741#0,196534#3,262152#-0,4888492#0,1746451#3,286979#-0,4026926#-0,2524338#3,275211#-0,5267176#-0,2444265#3,281337#-0,4184195#-0,5983859#3,279636#-0,47601#-0,6026859#3,310299#-0,4806238#-0,661244#3,263414#-0,468102#-0,6509382#3,252683#0  
frame7 #-0,4975108#0,8922926#3,161668#-0,4742969#0,6890729#3,202002# -0,5592263#0,300791#2,996481#-0,7663327#0,4238203#2,892572#-0,4000432#0,3570298#3,08262#-0,8033011#0,3852999#3,038811#-0,2101251#0,4025693#3,148333#-0,7829494#0,4120669#3,237725#-0,3049861#0,5992804#3,189767#-0,6359758#0,5467909#3,24018#-0,4338954#0,3347008#3,252009#-0,426961#0,2643636#3,265192#-0,3441528#0,2004098#3,262875#-0,4942806#0,1776772#3,284347#-0,3972303#-0,2433005#3,278183#-0,5278133#-0,2459142#3,264498#-0,4200288#-0,6012293#3,270221#-0,6404877#-0,5894575#3,398838#-0,4828024#-0,6587867#3,262623#-0,5947856#-0,6370919#3,349509#0  
frame8 #-0,4973585#0,892508#3,161103#-0,4739647#0,6900567#3,20116# -0,505632#0,3474892#3,043563#-0,7469738#0,4542834#2,920702#-0,4166112#0,3664805#3,071783#-0,7560402#0,4472553#2,979793#-0,1999276#0,4114678#3,161558#-0,8031799#0,4008611#3,220619#-0,3005099#0,6040453#3,195676#-0,6341738#0,5550625#3,227391#-0,4365572#0,337958#3,25052#-0,4301356#0,2679439#3,263654#-0,3472444#0,2033753#3,263237#-0,4990073#0,1817859#3,280585#-0,400396#-0,2378477#3,293591#-0,5330689#-0,246827#3,255826#-0,4237844#-0,6034083#3,265877#-0,6861321#-0,5827031#3,36488#-0,5123244#-0,6571059#3,272764#-0,6219859#-0,6502001#3,326678#0  
frame9 #-0,495663#0,8943558#3,16115#-0,4714539#0,6952571#3,20167# -0,4850672#0,354953#3,042048#-0,6984822#0,4844033#2,90415#-0,4064736#0,372133#3,070296#-0,7387292#0,4569907#2,93147#-0,1959602#0,420396#3,181798#-0,7824193#0,4321314#3,138832#-0,2914174#0,6144941#3,208304#-0,6288702#0,5610952#3,213994#-0,4378685#0,338398#3,249943#-0,4320931#0,2678885#3,262916#-0,3495022#0,2016543#3,26483#-0,5052702#0,1830745#3,275664#-0,4029976#-0,2373635#3,299246#-0,531988#-0,2470888#3,250568#-0,4271725#-0,604122#3,260482#-0,6840663#-0,5836099#3,365899#-0,5148834#-0,6589474#3,272179#-0,6249875#-0,6467718#3,324425#0  
frame10 #-0,4811098#0,8962246#3,166258#-0,4704049#0,6973079#3,20299# -0,48392#0,3590085#3,042118#-0,6716013#0,5015241#2,905317#-0,3877421#0,3835622#3,077921#-0,6720862#0,5012625#2,90612#-0,187405#0,4205459#3,215581#-0,7892118#0,4380754#3,113902#-0,2864698#0,6159645#3,22303#-0,6206408#0,5626825#3,2011#-0,438049#0,3383555#3,249341#-0,4324514#0,267466#3,261881#-0,3497877#0,2003633#3,265667#-0,5061778#0,1834117#3,268134#-0,4096617#-0,2325933#3,306017#-0,5220611#-0,2452684#3,241875#-0,4285617#-0,607455#3,257334#-0,6842169#-0,5915829#3,363889#-0,5207157#-0,6568848#3,27571#-0,6320323#-0,6512748#3,324636#0 
frame11 #-0,4697209#0,9067476#3,174654#-0,4690676#0,7044846#3,203631# -0,4507445#0,3887787#3,067596#-0,6383054#0,5253116#2,91194#-0,3782091#0,4092498#3,083926#-0,6440542#0,5220352#2,927953#-0,187921#0,4266861#3,241977#-0,782419#0,4608979#3,065064#-0,2835864#0,6149565#3,252233#-0,6059626#0,5658395#3,185688#-0,4382821#0,3385225#3,24865#-0,43279#0,2671238#3,260899#-0,3508159#0,1997272#3,267284#-0,5058719#0,1851593#3,261372#-0,4164336#-0,2300939#3,309392#-0,5159602#-0,2416537#3,237242#-0,429065#-0,6080897#3,255677#-0,6837032#-0,5926585#3,369232#-0,5205858#-0,6590758#3,269433#-0,6525293#-0,6628911#3,355265#0  
