frame1 #0,03968102#1,090565#3,503887#0,1989904#0,9166738#3,55165# 0,7220079#0,4512451#3,630782#0,3106549#0,7170982#3,504175#0,6486719#0,4700066#3,660872#0,223538#0,7727041#3,518687#0,446853#0,5502114#3,597154#-0,03781258#0,9395219#3,578444#0,2815553#0,7423118#3,445143#0,04205825#0,789921#3,452824#0,1990834#0,466205#3,474855#0,2014458#0,3989284#3,395113#0,25558#0,3360698#3,379595#0,1478063#0,3574939#3,375831#0,1424052#-0,2568094#3,33391#0,3138554#-0,2574209#3,560112#0,2127911#-0,5951945#3,272246#0,1964448#-0,5827401#3,277337#0,2170123#-0,6526072#3,167193#0,2583121#-0,6632217#3,285286#1  
frame2 #0,1297128#1,09308#3,471061#0,1838773#0,8961653#3,566292# 0,7541102#0,5702462#3,623523#0,2975136#0,7146999#3,522952#0,6775231#0,5476077#3,621435#0,2138576#0,7702844#3,535661#0,4571397#0,5137857#3,663875#-0,03711046#0,9370378#3,590111#0,3289389#0,697141#3,490512#0,03100244#0,7659572#3,493749#0,195689#0,4593096#3,478956#0,2015023#0,3954782#3,398809#0,2660843#0,3173246#3,379964#0,142924#0,3484287#3,380575#0,1327942#-0,2616106#3,359896#0,2481773#-0,2380619#3,496712#0,2203897#-0,5993358#3,285281#0,1967189#-0,5834665#3,279514#0,2288978#-0,6570756#3,183318#0,2590052#-0,6611304#3,287344#1  
frame3 #0,1250422#1,014807#3,55103#0,2153122#0,8235205#3,566713# 0,5570738#0,6026362#3,430863#0,1678422#1,060123#3,506407#0,5337668#0,5752075#3,491668#0,1214751#1,013904#3,532988#0,4638459#0,4929214#3,689599#-0,01762619#0,8752457#3,628251#0,4362361#0,6103348#3,533179#0,03857667#0,7410435#3,504555#0,1954725#0,4759536#3,502001#0,2061181#0,435693#3,434222#0,2856781#0,3198876#3,392772#0,1163576#0,3751053#3,40139#0,1268946#-0,2910526#3,397516#0,123563#-0,1746826#3,386873#0,2204025#-0,5974751#3,283445#0,1981533#-0,5838267#3,279511#0,2414037#-0,6540923#3,18486#0,2541522#-0,6640859#3,288406#1  
frame4 #0,1424038#0,9644301#3,608545#0,2123849#0,7665657#3,588428# 0,5489747#0,5828636#3,425425#0,1918573#1,031278#3,552757#0,5269835#0,5561021#3,486151#0,1449392#0,9893959#3,583284#0,4610099#0,4758177#3,683731#0,00418495#0,8637482#3,690269#0,3401914#0,5983908#3,488374#0,04877909#0,7271359#3,56775#0,2124588#0,3709007#3,495778#0,2068499#0,3195105#3,41537#0,2715995#0,2244662#3,389629#0,140464#0,2824015#3,385399#0,1275846#-0,2930235#3,404419#0,1765876#-0,2070935#3,461931#0,2233843#-0,5951609#3,281856#0,1971312#-0,578401#3,288002#0,2155518#-0,6494413#3,192238#0,2494537#-0,6538939#3,287466#1  
frame5 #0,104614#0,9628463#3,643287#0,2160295#0,752296#3,600159# 0,4912087#0,5445888#3,340545#0,1654547#0,9078907#3,563482#0,4746049#0,5161954#3,399006#0,1211695#0,8650279#3,58996#0,4247935#0,4310151#3,589808#-0,01168622#0,7364396#3,684815#0,3347269#0,5754541#3,512745#0,03110175#0,6053604#3,568517#0,2091545#0,3466162#3,506892#0,1978063#0,2916291#3,426939#0,2678241#0,2203674#3,389523#0,1241928#0,2278737#3,416622#0,1321957#-0,3232648#3,446548#0,3033872#-0,3053333#3,629335#0,2294457#-0,5931937#3,292007#0,1719616#-0,4992921#3,343594#0,21573#-0,6486952#3,199692#0,2247948#-0,6060253#3,306048#1  
frame6 #0,1099956#0,8232956#3,708587#0,1776453#0,6355786#3,596441# 0,4904405#0,4995513#3,331035#0,07573224#0,8445759#3,791105#0,4715332#0,4734023#3,388812#0,05917869#0,7884481#3,760201#0,4148114#0,3949553#3,577415#0,009518035#0,6200648#3,68276#0,2535093#0,5694937#3,547962#0,0823625#0,5375098#3,547532#0,2154262#0,2547574#3,499361#0,2178031#0,2071756#3,419045#0,2603333#0,1743184#3,378199#0,1831475#0,1588822#3,423162#0,1256414#-0,3762154#3,481709#0,3006324#-0,3229084#3,677602#0,226822#-0,6163827#3,284127#0,1960036#-0,5510907#3,323662#0,2197234#-0,6706232#3,197041#0,2322394#-0,6248428#3,289288#1  
frame7 #0,1173103#0,7544306#3,703207#0,2180391#0,572818#3,61155# 0,3908432#0,4816584#3,35532#0,105306#0,7315841#3,806381#0,3918539#0,4379117#3,402658#0,06386991#0,6674016#3,783808#0,3948861#0,3066715#3,559604#0,03152709#0,4996949#3,708021#0,3010655#0,4706396#3,547519#0,06803618#0,440772#3,556785#0,2303121#0,2229479#3,511936#0,2260828#0,186062#3,4312#0,2828929#0,1374213#3,413357#0,179455#0,133701#3,415687#0,1197234#-0,3588167#3,489082#0,2989101#-0,3358958#3,681352#0,2496215#-0,5965861#3,317322#0,1916649#-0,5589828#3,332941#0,2193283#-0,6628826#3,271921#0,2329006#-0,6352103#3,297503#1  
frame8 #0,1172928#0,720573#3,763199#0,2042415#0,5451394#3,687496# 0,4364374#0,387341#3,393163#0,09035477#0,6144037#3,911922#0,4376583#0,3432481#3,44057#0,07537151#0,5822584#3,857743#0,4413208#0,2109696#3,597752#0,03042172#0,4858224#3,710167#0,3470787#0,3756744#3,585537#0,08250533#0,4005941#3,572914#0,2091586#0,1588228#3,538044#0,2163414#0,1169326#3,451703#0,2773155#0,05517964#3,445927#0,1585645#0,0655411#3,391222#0,1170936#-0,3851184#3,503281#0,3015141#-0,3714814#3,706341#0,2281191#-0,6195874#3,284017#0,1811832#-0,5439484#3,358233#0,2374763#-0,6831249#3,205724#0,2136476#-0,6283345#3,303152#1  
frame9 #0,1651387#0,622046#3,760535#0,2312018#0,4434126#3,64861# 0,5122482#0,3378918#3,436638#0,1469652#0,6009883#3,845547#0,5139952#0,2929349#3,484215#0,08158378#0,5143084#3,845548#0,5192364#0,158064#3,641802#0,09175851#0,3799179#3,717484#0,4239365#0,3246176#3,628913#0,07774827#0,3042787#3,565886#0,2241863#0,110036#3,534981#0,2292472#0,084021#3,455325#0,3096078#0,01456589#3,421281#0,1538231#0,005413383#3,413847#0,1175218#-0,4029473#3,505873#0,3026686#-0,4031847#3,721429#0,23182#-0,6189869#3,295347#0,178404#-0,5651126#3,358291#0,2451841#-0,6818355#3,216021#0,2143989#-0,6276305#3,310072#1  
frame10 #0,1534332#0,5439663#3,780844#0,2394345#0,3775245#3,661134# 0,4378132#0,2702813#3,461528#0,1815957#0,5015018#3,849334#0,4372237#0,2268361#3,509934#0,11986#0,4196552#3,849334#0,4354551#0,09650053#3,66972#0,03674947#0,3162906#3,72077#0,3628697#0,2633967#3,627921#0,08281386#0,249333#3,57196#0,2259517#0,04664377#3,535311#0,2331601#0,01596379#3,455217#0,2999684#-0,03846116#3,427253#0,1633646#-0,03329486#3,416681#0,07153184#-0,4402392#3,553762#0,3110513#-0,4319251#3,725788#0,2324664#-0,6059201#3,286276#0,1624805#-0,5361589#3,397259#0,2470752#-0,6694657#3,210621#0,2053762#-0,6120988#3,322524#1  
frame11 #0,1701135#0,4946406#3,802791#0,2209378#0,3180363#3,673294# 0,4185235#0,2217404#3,488984#0,1912889#0,4692821#3,90985#0,4287408#0,1800243#3,540435#0,131065#0,3894398#3,909851#0,4593927#0,05487597#3,70919#0,06507915#0,2650893#3,74344#0,3716707#0,1892666#3,626973#0,08986507#0,2146903#3,585138#0,2208769#-0,01500997#3,535187#0,232604#-0,04478709#3,454392#0,29791#-0,1097622#3,416085#0,1707297#-0,08653864#3,424073#0,1320944#-0,5351504#3,477168#0,3074331#-0,4529743#3,742541#0,3246639#-0,6105608#3,189277#0,1584661#-0,5368114#3,399985#0,3423413#-0,6790571#3,114723#0,1976963#-0,5841251#3,336217#1  
