frame1 #0,2640466#1,083071#3,435408#0,3313464#0,8727787#3,416061# 0,0185099#0,9111952#3,385154#-0,01846003#0,9445642#3,395101#0,02818045#0,8567717#3,340217#-0,0154097#0,8779324#3,332804#0,2305516#0,7044181#3,252384#-0,006258723#0,6780369#3,162024#0,478787#0,7280519#3,397103#0,2414782#0,7174162#3,286951#0,3023714#0,420895#3,405057#0,3260004#0,3411002#3,342382#0,3788254#0,2868584#3,353856#0,2720364#0,2820724#3,31178#0,3792844#-0,2329627#3,293367#0,2474685#-0,2189959#3,313874#0,383938#-0,5590413#3,126813#0,2488435#-0,5698137#3,320925#0,3329662#-0,6331815#3,073735#0,2849629#-0,6119932#3,246552#1  
frame2 #0,2583985#1,081484#3,457757#0,3316331#0,8723959#3,416067# 0,03744496#0,9746498#3,385693#0,01172454#1,020991#3,4027#0,06789003#0,9256248#3,344478#0,0001827385#0,9472649#3,369557#0,229204#0,7282573#3,263893#-0,02453302#0,7496917#3,199365#0,4778721#0,7303281#3,406805#0,2401548#0,7181436#3,287597#0,2980248#0,4246814#3,408119#0,3219837#0,3455477#3,347545#0,3747633#0,291088#3,358666#0,2665543#0,2865441#3,318383#0,3808588#-0,2444777#3,29976#0,2497465#-0,21928#3,315149#0,3843336#-0,5616574#3,125873#0,2599244#-0,5767249#3,312071#0,4212172#-0,6022111#3,055536#0,2968081#-0,6172786#3,241734#1  
frame3 #0,2824554#1,101069#3,469139#0,3195365#0,8813258#3,427649# -0,04344062#0,8491997#3,187575#0,08126198#1,096882#3,345502#0,002923477#0,8832433#3,229767#0,05392454#1,033336#3,362917#0,2210991#0,7705401#3,286519#-0,02091667#0,8276861#3,213662#0,4742076#0,7323312#3,416018#0,2268127#0,7250986#3,302205#0,2882805#0,4346697#3,424562#0,3115566#0,3546926#3,363119#0,3668988#0,2975318#3,372796#0,2549093#0,2949705#3,33457#0,3843367#-0,2435753#3,321497#0,2474915#-0,218597#3,324668#0,3874165#-0,56935#3,129435#0,2609975#-0,5753545#3,310575#0,4198451#-0,6074957#3,062419#0,2934262#-0,6135002#3,243559#1  
frame4 #0,3038021#1,090793#3,512534#0,3216636#0,8706936#3,43434# -0,04153965#1,024341#3,255829#0,1400736#1,152683#3,376759#0,02548762#0,9627137#3,263807#0,1211397#1,086183#3,363035#0,2265694#0,7778334#3,303789#-0,003583595#0,8805434#3,247386#0,4756587#0,742927#3,444486#0,2234521#0,7295586#3,307971#0,280416#0,4186358#3,429231#0,3052115#0,3360814#3,369503#0,3595976#0,2734166#3,384694#0,244633#0,2696859#3,336657#0,410538#-0,2144003#3,382518#0,2534585#-0,2097972#3,347#0,3961023#-0,5663997#3,13514#0,2546553#-0,5758899#3,341411#0,3811786#-0,639371#3,126653#0,2611951#-0,6354545#3,386454#1  
frame5 #0,3085035#1,092567#3,513873#0,3166636#0,8700199#3,437205# -0,01630844#0,9752865#3,213038#0,2007395#1,163596#3,377096#0,04276755#0,9270433#3,23255#0,131661#1,096685#3,369266#0,2199955#0,7823139#3,307157#0,02360442#0,9208754#3,267971#0,4749174#0,7470563#3,46534#0,2106223#0,7386476#3,313912#0,2746898#0,4192596#3,433836#0,3011391#0,3367524#3,37545#0,3579373#0,2734334#3,389579#0,2392504#0,2704897#3,343046#0,4201268#-0,2274569#3,40944#0,2554263#-0,2102965#3,357393#0,3987447#-0,5677648#3,142703#0,2574194#-0,5781848#3,346957#0,4015787#-0,6311632#3,188122#0,260094#-0,6425022#3,391075#1  
frame6 #0,1783195#1,095161#3,430623#0,1329009#0,869881#3,357008# 0,01710199#1,105413#3,328784#0,2135731#1,174573#3,345702#0,06605175#1,023326#3,319808#0,1361338#1,125457#3,31117#0,212901#0,7770641#3,308941#0,04834606#0,9383999#3,276126#0,470166#0,746746#3,466279#0,1646708#0,760273#3,31455#0,2237441#0,4464007#3,430398#0,2727693#0,3654745#3,390606#0,3560094#0,2895823#3,400226#0,2220909#0,305697#3,381711#0,4236787#-0,23287#3,423501#0,265994#-0,2100334#3,383278#0,404566#-0,5619535#3,169186#0,2554091#-0,5782152#3,353002#0,4441128#-0,6057102#3,094667#0,2625639#-0,6472876#3,394271#1  
frame7 #0,1973094#1,086853#3,427067#0,1533392#0,871763#3,376483# -0,007722389#1,103461#3,326908#0,2408524#1,194278#3,333495#0,04517898#1,020668#3,319497#0,1511872#1,157613#3,312162#0,2038831#0,7722889#3,313083#0,06315705#0,9603778#3,295088#0,4699247#0,7460579#3,470263#0,2725125#0,9521998#3,509704#0,2679262#0,545403#3,450194#0,269833#0,4713848#3,413816#0,3317009#0,3607391#3,432288#0,2430933#0,4541533#3,40016#0,4448172#-0,1722377#3,47909#0,2634303#-0,1489321#3,396157#0,4152791#-0,5237048#3,219865#0,2547795#-0,5770809#3,354635#0,419303#-0,6028008#3,244517#0,2634128#-0,6496983#3,39378#1  
frame8 #0,1871519#1,077038#3,423692#0,2640991#0,934033#3,511748# 0,05424713#1,105704#3,400222#0,3723679#1,096985#3,360584#0,09756872#1,020465#3,386849#0,2749819#1,074811#3,354431#0,2275335#0,7647488#3,362292#0,06594963#1,078783#3,323943#0,4705738#0,7436718#3,482406#0,1456117#0,8813923#3,377331#0,2572226#0,5729725#3,499735#0,2778027#0,5116174#3,447466#0,3520754#0,3989247#3,429457#0,207095#0,4647283#3,435945#0,4675344#-0,1190583#3,505439#0,2632809#-0,1477447#3,411429#0,4187267#-0,4946649#3,254862#0,2546315#-0,5762005#3,354499#0,4348696#-0,576049#3,271485#0,2629183#-0,6513669#3,392468#1  
frame9 #0,1959602#1,07921#3,445577#0,2734977#0,9475715#3,539392# 0,4265767#0,8410639#3,545833#0,4010234#1,064825#3,357071#0,4664315#0,7737839#3,54834#0,3015424#1,061642#3,372938#0,5859957#0,5719439#3,571213#0,0954928#1,0651#3,367726#0,4859235#0,7257249#3,50528#0,1638806#0,8698494#3,407412#0,2565279#0,5723958#3,502156#0,2771081#0,5122917#3,447668#0,3507224#0,4003447#3,430285#0,2060845#0,4657561#3,434387#0,4481871#-0,1009316#3,528925#0,26065#-0,1559275#3,419004#0,4131312#-0,4801525#3,310736#0,2530518#-0,5727949#3,354576#0,445537#-0,5511407#3,348379#0,2608359#-0,6492012#3,393255#1  
frame10 #0,1971147#1,087593#3,443494#0,266955#0,9461379#3,53873# 0,4293752#0,855077#3,535378#0,3994724#1,052979#3,386151#0,4703233#0,7864432#3,538666#0,2996569#1,064095#3,374095#0,5931676#0,580542#3,563794#0,09964465#1,060749#3,367785#0,4855314#0,726442#3,506526#0,1515611#0,8668675#3,411751#0,2577626#0,5179207#3,513726#0,2788381#0,4441189#3,456587#0,3604132#0,3770231#3,433244#0,2009667#0,357313#3,446847#0,4333864#-0,1005247#3,54615#0,2658107#-0,2008931#3,431142#0,431275#-0,4699189#3,366437#0,2519053#-0,570325#3,353416#0,4637358#-0,5151901#3,284027#0,2538678#-0,6504204#3,380432#1  
frame11 #0,1976471#1,090079#3,448205#0,2644037#0,9442155#3,545695# 0,4321263#0,8541265#3,535168#0,3347048#1,050631#3,38099#0,4722665#0,7866261#3,537763#0,3041199#1,049465#3,393756#0,592687#0,5841248#3,560703#0,1077015#1,054125#3,394052#0,4847302#0,7263118#3,507079#0,1477357#0,8612455#3,419606#0,260376#0,5186664#3,520364#0,2804974#0,4457286#3,462215#0,3656412#0,3748042#3,445302#0,2017542#0,3594744#3,449399#0,421888#-0,1069187#3,576669#0,2835376#-0,195437#3,472452#0,4306035#-0,4717079#3,393377#0,2507858#-0,5678428#3,353422#0,452943#-0,5540417#3,435273#0,2528982#-0,651102#3,373741#1  
