frame1 #0,2278287#1,033396#3,244141#0,333041#0,819585#3,182137# -0,08929624#0,4436845#3,195048#0,3007395#0,7451262#2,866815#-0,03717098#0,4431988#3,105717#0,2506175#0,665945#2,875858#0,1877806#0,5101079#2,963797#0,1002515#0,4284014#2,918205#0,4682841#0,7022062#3,16813#0,2290897#0,6614119#3,042311#0,3160444#0,3934433#3,172238#0,3423408#0,3187139#3,11412#0,3971821#0,2728203#3,116675#0,2895446#0,2544629#3,09326#0,3483025#-0,2519139#3,067985#0,3174094#-0,2518919#3,076855#0,3378673#-0,6192052#2,935627#0,2926843#-0,6224343#2,911632#0,2421055#-0,6726714#2,885599#0,3530295#-0,6746018#2,951329#1  
frame2 #0,230312#1,030724#3,258172#0,3332133#0,8190539#3,186689# -0,08697171#0,5377247#3,264042#0,4348682#0,4618613#2,978658#-0,03394562#0,5334685#3,210061#0,3520586#0,4630706#2,965394#0,2122374#0,5387297#2,990191#0,1036297#0,4666985#2,940805#0,4697274#0,7007008#3,172858#0,2319065#0,6675121#3,051466#0,3162585#0,392993#3,176394#0,3420639#0,3183638#3,117977#0,3967083#0,2713482#3,121446#0,2893248#0,2553139#3,096509#0,2559339#-0,1857301#3,120145#0,3570615#-0,352064#3,045325#0,3271944#-0,596455#2,939406#0,2697297#-0,6432157#2,893099#0,2546357#-0,6652685#2,892699#0,3324798#-0,6865401#2,92209#1  
frame3 #0,2454295#1,075149#3,248062#0,3222674#0,8507091#3,244742# -0,05483098#0,9052703#3,316233#-0,07531464#0,9235083#3,341991#-0,05012171#0,8440204#3,269674#-0,06139617#0,8680936#3,290252#0,16004#0,6669042#3,102487#-0,04601042#0,6231641#3,085056#0,4674815#0,7148409#3,241869#0,2130951#0,6842364#3,113934#0,2895736#0,4264235#3,254443#0,3126293#0,3482532#3,199658#0,3687487#0,2968833#3,203639#0,2542748#0,2831113#3,181694#0,3608888#-0,251504#3,14268#0,2795631#-0,2618642#3,169034#0,336115#-0,614131#2,934269#0,3178352#-0,6119046#2,940088#0,2772714#-0,6740105#2,912114#0,3770329#-0,6752489#2,94479#1  
frame4 #0,2110377#1,058412#3,337528#0,3166603#0,8505138#3,251782# -0,07321581#0,884973#3,182879#-0,009512942#1,063935#3,311406#-0,06002138#0,8228217#3,14166#0,03299221#1,021862#3,26494#0,1567999#0,7338925#3,146461#-0,07505726#0,7668816#3,127991#0,4643221#0,7104114#3,249981#0,2022645#0,6857996#3,143754#0,2901976#0,4223529#3,268542#0,3096582#0,3425762#3,213861#0,366735#0,2868164#3,223818#0,2513244#0,2783011#3,193249#0,3699137#-0,2445622#3,203259#0,2744403#-0,2471357#3,198342#0,3893135#-0,5968074#2,958198#0,2663943#-0,6177506#3,259847#0,3929485#-0,6746674#2,997866#0,3214325#-0,6376647#3,15701#1  
frame5 #0,210307#1,042904#3,316553#0,3100988#0,8303929#3,265716# -0,04255844#1,031619#3,213207#0,135267#1,132826#3,236063#-0,02958559#0,970511#3,17268#0,08639434#1,072705#3,209067#0,1814111#0,7660609#3,194291#-0,03737599#0,8904601#3,161287#0,4726599#0,7192909#3,31918#0,1635588#0,6969864#3,177528#0,2691044#0,4566469#3,299252#0,2879874#0,386195#3,250098#0,354304#0,3190567#3,263842#0,2152085#0,3090197#3,224272#0,4072481#-0,2086926#3,279203#0,2624254#-0,2138479#3,249306#0,3983134#-0,4964794#2,983877#0,2570508#-0,6029302#3,248689#0,3978269#-0,58458#2,985435#0,2964284#-0,6514068#3,165949#1  
frame6 #0,1965396#1,120651#3,257813#0,2339772#0,9185249#3,325958# 0,02508635#1,002847#3,352039#0,3689318#1,039529#3,104776#0,03782795#0,9428291#3,312235#0,2932674#1,033444#3,120947#0,1560325#0,7459812#3,288473#0,06627418#1,015192#3,184313#0,4695856#0,7203864#3,333841#0,1194352#0,7824321#3,235463#0,2466414#0,5713802#3,353718#0,2670282#0,5087646#3,303651#0,3517637#0,4147587#3,311098#0,1952354#0,4423089#3,281652#0,4025334#-0,185308#3,209731#0,2218761#-0,1655007#3,266954#0,2992131#-0,4913819#3,139052#0,2520241#-0,5977814#3,243605#0,3272534#-0,5390748#3,05048#0,2665817#-0,6732112#3,288079#1  
frame7 #0,1907077#1,112565#3,256139#0,2343495#0,9146138#3,330306# 0,02225246#1,0063#3,352234#0,3980468#0,98843#3,070137#0,03489293#0,946758#3,312745#0,3170084#1,022386#3,113908#0,1571169#0,7457707#3,291391#0,06817457#1,094219#3,197292#0,4751865#0,7159319#3,360305#0,1096478#0,8184257#3,253536#0,2475791#0,5684329#3,355238#0,268886#0,5061145#3,306601#0,3587569#0,4002267#3,315488#0,1960276#0,441121#3,28447#0,4379704#-0,1928168#3,354502#0,243221#-0,1825629#3,287578#0,3978272#-0,4949644#3,191312#0,2512738#-0,5976077#3,243927#0,4616953#-0,4325145#3,185567#0,2803089#-0,663751#3,296786#1  
frame8 #0,1930708#1,05791#3,272416#0,2292177#0,9017073#3,401315# 0,0227221#1,029615#3,382022#0,3844958#0,949104#3,184623#0,03527348#0,9704928#3,342812#0,3040285#0,9828207#3,228086#0,1440177#0,7591222#3,315982#0,08107728#1,07499#3,246994#0,4666253#0,7199663#3,375683#0,1216345#0,802565#3,304866#0,2507628#0,5281752#3,404455#0,2694938#0,4635703#3,35018#0,3534043#0,3699115#3,34583#0,2002797#0,4037215#3,328956#0,4624242#-0,1894118#3,534686#0,3018608#-0,2180327#3,399079#0,4030129#-0,4997572#3,339024#0,2459859#-0,593941#3,246648#0,4674841#-0,4367176#3,333225#0,2839018#-0,6672722#3,305362#1  
frame9 #0,1815667#1,052865#3,302638#0,2401196#0,9000279#3,41002# 0,02046015#1,031435#3,383155#0,3874917#0,9493273#3,183193#0,03292809#0,9727056#3,344205#0,3075589#0,9828202#3,226367#0,141066#0,758085#3,316757#0,08055178#1,071542#3,251122#0,4666855#0,7210703#3,384243#0,121109#0,7991174#3,30864#0,2528901#0,5544436#3,417055#0,2696151#0,5007699#3,364796#0,3518678#0,4062269#3,365451#0,1967008#0,4330825#3,336646#0,4559953#-0,1874585#3,532498#0,2988244#-0,1830496#3,400906#0,4108411#-0,4903891#3,4144#0,2448707#-0,5922784#3,246051#0,4758165#-0,4284811#3,424524#0,2765529#-0,6765286#3,25347#1  
frame10 #0,2639467#1,020243#3,331059#0,2654333#0,8916015#3,471449# 0,00415428#1,002229#3,382609#0,4212797#0,9360905#3,18622#0,01655028#0,9438382#3,343883#0,3418081#0,9693902#3,229145#0,139688#0,7362643#3,322442#0,08311738#1,054321#3,397079#0,4635386#0,7051696#3,406448#0,119225#0,8137106#3,406979#0,2654777#0,5383227#3,447774#0,2706493#0,4839159#3,387841#0,349969#0,4027191#3,372261#0,1968362#0,4012363#3,371854#0,4297713#-0,2142915#3,507581#0,2299265#-0,1907348#3,372885#0,4068057#-0,5761079#3,568889#0,2415318#-0,589605#3,246071#0,471572#-0,5127797#3,563064#0,2898569#-0,6589349#3,279194#1  
frame11 #0,3491431#0,70173#3,47261#0,3378913#0,5310873#3,572058# -0,03720303#0,6720424#3,401989#0,50132#0,5306323#3,291119#-0,02487447#0,6139697#3,363474#0,4222811#0,5637505#3,33381#0,1680841#0,4172025#3,376921#0,1643645#0,6435236#3,501163#0,4740843#0,3803651#3,501396#0,1996981#0,408071#3,511078#0,3178286#0,182144#3,494474#0,3141467#0,1356151#3,425225#0,3798436#0,08314339#3,399092#0,2415532#0,07322155#3,404601#0,4501942#-0,3482849#3,67635#0,1864773#-0,2871143#3,440685#0,4198316#-0,5907903#3,60025#0,2200553#-0,5707473#3,349442#0,3756671#-0,638604#3,537764#0,2860645#-0,6445605#3,286515#1  
