frame1 #0,2303112#1,028351#3,243014#0,333041#0,819585#3,181682# -0,01137837#0,466483#3,139188#0,2641127#0,6592507#2,761594#0,03951699#0,4660087#3,051966#0,2291346#0,6123664#2,801275#0,2581524#0,5577238#3,007131#0,1242001#0,4717138#2,935447#0,4692658#0,7011827#3,167817#0,2290897#0,6614119#3,041856#0,3163837#0,3964688#3,17101#0,3425049#0,3224277#3,113073#0,3975954#0,2761704#3,115389#0,2895162#0,2582736#3,092162#0,351958#-0,2484382#3,066936#0,3204275#-0,2420591#3,072017#0,3396212#-0,6008729#2,941104#0,2986742#-0,6123148#2,912743#0,2538335#-0,6574633#2,872728#0,4007104#-0,6802624#2,977622#1  
frame2 #0,2347076#1,021682#3,255743#0,3332133#0,8190539#3,185877# -0,01808435#0,5454904#3,214603#0,3740038#0,4089465#2,952585#0,03267667#0,541416#3,162928#0,3075103#0,4251066#2,946452#0,2590923#0,5678285#3,017346#0,1080299#0,4735868#2,943089#0,4703463#0,7000554#3,171952#0,2319065#0,6675121#3,050655#0,3151031#0,3975327#3,17584#0,3403601#0,3237107#3,117899#0,3947914#0,2764433#3,121177#0,2872396#0,2611358#3,096675#0,3860145#-0,1502343#3,064681#0,3168744#-0,2439746#3,077873#0,3399497#-0,6006823#2,940907#0,2972674#-0,6122356#2,911297#0,2566276#-0,6592358#2,874789#0,3732208#-0,6724307#2,940992#1  
frame3 #0,2363852#1,021075#3,25065#0,3347211#0,8200982#3,195166# -0,04993371#0,5807475#3,154167#0,3190789#0,4403113#2,93961#-0,01666472#0,5525632#3,067538#0,2527558#0,4542346#2,943527#0,2430037#0,5884771#3,04857#0,05378627#0,4960044#2,970318#0,472682#0,7000053#3,181643#0,2318608#0,6695476#3,061146#0,3095948#0,3988417#3,190649#0,3328421#0,3236517#3,133955#0,3863775#0,2746817#3,139515#0,2780711#0,2610927#3,111933#0,390025#-0,1519911#3,074708#0,3058226#-0,2429184#3,102027#0,3367466#-0,6009524#2,937006#0,2979318#-0,6121495#2,917071#0,2850632#-0,6626635#2,898416#0,3635656#-0,6687846#2,942401#1  
frame4 #0,2423969#1,026848#3,248758#0,3312994#0,8204105#3,202124# -0,03729656#0,7081103#3,244062#-0,08531255#0,7280366#3,264301#-0,01265566#0,6552982#3,201901#-0,09279432#0,6629822#3,234539#0,2275564#0,6179073#3,085185#0,0131094#0,5307635#3,030994#0,475383#0,7037863#3,201925#0,2265849#0,6705658#3,072232#0,3073143#0,4096928#3,208525#0,3327087#0,3361956#3,154879#0,3894501#0,2852831#3,15918#0,2766098#0,2706847#3,133503#0,3958922#-0,1566778#3,097547#0,3031982#-0,2451239#3,111808#0,3337129#-0,6024528#2,936267#0,2994802#-0,6112643#2,917526#0,2727129#-0,646541#2,890068#0,3561495#-0,6705753#2,936621#1  
frame5 #0,2408668#1,053495#3,245986#0,3182157#0,8422768#3,224291# -0,0359829#0,7579542#3,279565#-0,1250946#0,8182502#3,296113#0,008372247#0,7414675#3,224844#-0,0796311#0,7691318#3,268654#0,2206767#0,6413382#3,090757#-0,02564792#0,6137003#3,05947#0,4728514#0,7108662#3,214413#0,2205543#0,680723#3,091717#0,2978812#0,4186552#3,227917#0,3223236#0,3428723#3,172137#0,3798709#0,2917544#3,174111#0,2642621#0,2788915#3,156753#0,4003305#-0,1580425#3,118242#0,2949138#-0,2486009#3,130906#0,3338562#-0,6025115#2,936604#0,303706#-0,6103226#2,920546#0,2847593#-0,6602904#2,89683#0,359078#-0,6716246#2,94306#1  
frame6 #0,2421116#1,057156#3,244643#0,3199459#0,8458777#3,232602# -0,001179083#0,8669197#3,278296#-0,07564342#0,9368146#3,353419#0,003268108#0,8090783#3,234328#-0,05726887#0,8254759#3,250247#0,2066554#0,6733127#3,113381#-0,03928111#0,6200365#3,076163#0,4699477#0,7130154#3,228694#0,2171944#0,6823056#3,101273#0,2931812#0,4231195#3,24103#0,3168421#0,3459148#3,186981#0,37307#0,2948906#3,191379#0,2591057#0,2810702#3,168987#0,4043852#-0,1595253#3,147375#0,281994#-0,2597639#3,162052#0,3368126#-0,6040571#2,936995#0,3103634#-0,611068#2,929466#0,2872511#-0,6673081#2,904173#0,3657246#-0,6762953#2,944123#1  
frame7 #0,2269187#1,052688#3,242772#0,3193502#0,8501327#3,243504# -0,02166737#0,9046994#3,258369#-0,04402983#0,973687#3,274012#-0,03487013#0,8291784#3,194631#-0,03039037#0,9013345#3,270913#0,1959911#0,6947162#3,127698#-0,06150802#0,6954297#3,099594#0,464339#0,7097704#3,233791#0,2115412#0,6842899#3,121559#0,2953521#0,4206086#3,256587#0,3169206#0,3411623#3,202291#0,3727036#0,2884411#3,210482#0,2601185#0,2784133#3,181969#0,4098444#-0,1520406#3,173287#0,2761505#-0,2397425#3,182276#0,3482265#-0,5074311#2,995959#0,237863#-0,5873036#3,209696#0,3861812#-0,5546291#2,913103#0,2984516#-0,6120719#3,111484#1  
frame8 #0,220891#1,055461#3,306173#0,3152599#0,8501754#3,250169# -0,07277562#0,8828995#3,181137#0,04384439#1,048234#3,270694#-0,06002138#0,8228217#3,141293#0,009864239#0,9841489#3,260794#0,1922966#0,7298027#3,153795#-0,06264509#0,7632611#3,126667#0,4622092#0,7071292#3,247061#0,2039863#0,6854869#3,139737#0,2920429#0,41966#3,266845#0,3124537#0,3396403#3,212623#0,3695024#0,2852829#3,221055#0,2544873#0,2759942#3,192497#0,4124388#-0,1498082#3,220726#0,2729378#-0,2298012#3,195524#0,3907288#-0,5778917#2,967996#0,262162#-0,5991023#3,242396#0,3907319#-0,6689102#2,989821#0,3227447#-0,6317598#3,146426#1  
frame9 #0,2293278#1,032726#3,297714#0,3255616#0,8274678#3,258819# -0,05611729#0,9748757#3,210659#0,1114473#1,126185#3,253301#-0,01847152#0,9226519#3,175608#0,07699916#1,062051#3,244748#0,1936581#0,7426494#3,170833#-0,05587792#0,8406146#3,154428#0,4627352#0,706295#3,264161#0,1782941#0,7093422#3,16624#0,2914494#0,4253585#3,277013#0,3050147#0,3512316#3,226293#0,3651429#0,288244#3,232507#0,2385846#0,2883355#3,207029#0,3829245#-0,21823#3,247652#0,2743956#-0,2134848#3,219106#0,396298#-0,5585069#2,964679#0,2612979#-0,590207#3,233125#0,3884471#-0,6432051#2,98648#0,2926459#-0,6382421#3,147205#1  
frame10 #0,1934805#1,014671#3,315021#0,3174782#0,8252416#3,263971# -0,03586407#0,9911986#3,209192#0,1273724#1,129818#3,24272#0,001473755#0,939402#3,174427#0,07991201#1,063406#3,207718#0,2109399#0,7560989#3,200985#-0,03560777#0,8888827#3,160686#0,4726599#0,7192909#3,318457#0,1717739#0,7038749#3,170706#0,2778453#0,4553727#3,294888#0,2981266#0,3875063#3,250176#0,3642824#0,3113369#3,260326#0,2302977#0,3129271#3,222456#0,4010922#-0,2099591#3,270997#0,2671586#-0,2044737#3,238914#0,3983134#-0,4964794#2,983442#0,2568131#-0,5860181#3,231066#0,3977012#-0,5844442#2,984864#0,2986242#-0,6347615#3,149893#1  
frame11 #0,1775899#0,9841522#3,343424#0,3127043#0,8051642#3,270455# 0,01318917#0,9350283#3,187192#0,1701185#1,172988#3,235309#0,05033726#0,8834949#3,152604#0,1199698#1,104047#3,205616#0,2247345#0,7057567#3,183308#-0,01768289#0,9137297#3,183084#0,4812914#0,718731#3,337669#0,130347#0,6972193#3,189481#0,279714#0,4552911#3,29649#0,2962968#0,3891348#3,251887#0,3654374#0,3118525#3,260833#0,2136355#0,3115185#3,232582#0,4299918#-0,2151262#3,257078#0,2641698#-0,2047375#3,247757#0,4076034#-0,4739342#2,999039#0,2559294#-0,5859509#3,230601#0,4117587#-0,5575485#3,026339#0,2928964#-0,6344196#3,146838#1  
frame12 #0,2648762#1,134345#3,271622#0,2426341#0,9300755#3,309393# 0,02366416#0,9152232#3,181244#0,1499461#1,107549#3,185297#0,06069817#0,8638481#3,146762#0,1393034#1,077875#3,15032#0,270126#0,7468232#3,219509#-0,006720431#0,9327325#3,18465#0,4607498#0,7237127#3,325361#0,1235856#0,7731993#3,195241#0,2478761#0,5280325#3,330968#0,2708207#0,4534714#3,284387#0,3537011#0,373377#3,301194#0,1971151#0,3784291#3,254625#0,3912407#-0,1936547#3,314703#0,2572324#-0,1871948#3,253643#0,4190992#-0,4254752#3,036183#0,2535304#-0,5832027#3,229571#0,4550113#-0,4731183#2,951672#0,276806#-0,6620595#3,260743#1  
frame13 #0,265543#1,089469#3,24469#0,2431427#0,9069154#3,314959# 0,1159355#0,8234656#3,1983#0,23053#1,167759#3,148222#0,1527456#0,7724011#3,164027#0,1824198#1,118649#3,151788#0,3203233#0,5982249#3,209381#0,03808918#0,9713179#3,177163#0,4599243#0,7234372#3,324709#0,1309519#0,7868909#3,209897#0,2481906#0,530322#3,332763#0,2686661#0,460973#3,28781#0,3495812#0,3831174#3,29979#0,1955438#0,3907303#3,266001#0,4030333#-0,09475703#3,325644#0,2505263#-0,184136#3,261784#0,4232335#-0,4008019#3,074352#0,2535824#-0,5830851#3,229167#0,416323#-0,4882777#3,067256#0,2787097#-0,661494#3,260324#1  
frame14 #0,2637625#1,086402#3,244826#0,2398568#0,9110775#3,318079# 0,277977#0,7617453#3,368928#0,3222203#0,9914286#3,122224#0,3145864#0,7109592#3,334842#0,2566653#1,002832#3,133211#0,5455514#0,5909151#3,434103#0,06000056#1,037043#3,180746#0,4631099#0,7224718#3,332977#0,1154323#0,8439698#3,233517#0,2425148#0,5581185#3,342574#0,2600451#0,4948737#3,298099#0,3445192#0,3988109#3,303036#0,1890745#0,4124477#3,274313#0,35946#-0,1752222#3,313991#0,2256215#-0,1611532#3,265665#0,4242942#-0,4154649#3,058863#0,2526852#-0,5824453#3,229152#0,453703#-0,4632938#2,972176#0,282094#-0,6302741#3,142465#1  
frame15 #0,2548406#1,076433#3,246755#0,2377588#0,9095997#3,326743# 0,2804303#0,7572111#3,425928#0,3129991#1,029491#3,125341#0,3168465#0,7066929#3,392022#0,2481164#1,02667#3,138224#0,5509008#0,5965816#3,479402#0,05346836#1,018207#3,191375#0,4740461#0,7161795#3,360725#0,111223#0,8300389#3,246493#0,2428981#0,5591986#3,346232#0,2618861#0,4963298#3,302098#0,3463542#0,4021652#3,306479#0,1912144#0,4141195#3,280524#0,4317174#-0,1596233#3,352829#0,2227196#-0,1564913#3,26863#0,3974715#-0,4413564#3,150099#0,2518789#-0,5818169#3,230097#0,450817#-0,4748201#3,210707#0,2860863#-0,6486775#3,274801#1  
frame16 #0,1767348#1,036087#3,247961#0,2386882#0,9020084#3,345922# 0,3117594#0,6681511#3,46039#0,3196454#1,053241#3,10359#0,3480256#0,6178409#3,426623#0,2586625#1,040864#3,124679#0,5598758#0,6018089#3,468615#0,075714#1,003732#3,202387#0,4741472#0,7174071#3,362278#0,133425#0,7979303#3,266961#0,2473058#0,5440302#3,359339#0,265417#0,4789466#3,313698#0,3471012#0,3951176#3,31419#0,19423#0,4041627#3,289476#0,4299009#-0,1740907#3,372638#0,2765435#-0,1664127#3,336962#0,4218563#-0,4803727#3,21974#0,2507505#-0,5811632#3,230655#0,4765074#-0,5257772#3,270495#0,2828122#-0,6549839#3,264523#1  
