frame1 #0,5073768#0,7640571#3,749069#0,348818#0,6156309#3,58759# 0,6185566#-0,06132291#3,148387#0,3407604#0,1832656#3,329333#0,5834833#0,0001471341#3,180206#0,2996496#0,1874103#3,395013#0,6228005#0,1948341#3,309805#0,1152077#0,3631944#3,586451#0,4881783#0,399101#3,39551#0,2723233#0,4514992#3,399661#0,3419417#0,1614003#3,362957#0,3504116#0,1162968#3,256997#0,3991398#0,05410284#3,2576#0,302005#0,07768206#3,185997#0,1839554#-0,3776223#3,289091#0,428949#-0,3463647#3,498462#0,34622#-0,6161717#3,101601#0,3139955#-0,6009698#3,12148#0,3614944#-0,7017928#3,0167#0,4192581#-0,6557083#3,089828#1  
frame2 #0,4898666#0,7464033#3,771464#0,3387993#0,6269336#3,562409# 0,5462862#-0,0270723#3,165965#0,3055531#0,1738489#3,307156#0,5669882#0,05648091#3,194121#0,2649351#0,2519349#3,369558#0,6290941#0,3071405#3,295767#0,1154016#0,4214699#3,537467#0,4745857#0,4539302#3,396632#0,2318202#0,4902417#3,422705#0,3563343#0,2113622#3,374717#0,3601182#0,1717042#3,276386#0,4176107#0,1114019#3,271124#0,3083662#0,127742#3,214748#0,1872492#-0,3588234#3,277657#0,4249414#-0,3441197#3,496806#0,3436382#-0,6110167#3,101558#0,2773696#-0,572161#3,136772#0,343901#-0,6905546#3,017382#0,2776324#-0,6516989#3,052597#1  
frame3 #0,3702568#0,8233353#3,696461#0,335781#0,6309782#3,510475# 0,6169752#0,1068541#3,32635#0,2988493#0,2295877#3,332622#0,6218241#0,1706362#3,30825#0,2563156#0,3001888#3,39338#0,6363708#0,3619826#3,270685#0,1242854#0,46006#3,582778#0,4783045#0,4919159#3,400806#0,2401567#0,5271187#3,420549#0,3565564#0,2159151#3,374816#0,3611599#0,1703883#3,275524#0,4193936#0,1069757#3,276216#0,3101511#0,1248372#3,213452#0,1989726#-0,3196393#3,265992#0,4195095#-0,3426027#3,50111#0,3420476#-0,6062126#3,097318#0,2763698#-0,5721595#3,13463#0,2704074#-0,6732697#3,130332#0,3832074#-0,6343782#3,06879#1  
frame4 #0,359299#0,9570094#3,632556#0,3278599#0,7202625#3,576735# 0,6124113#0,1392334#3,344079#0,3199824#0,241163#3,36441#0,6186339#0,2083879#3,322455#0,2713121#0,319673#3,410476#0,6373017#0,4158513#3,274783#0,123885#0,5059264#3,555499#0,4407716#0,5389619#3,409108#0,2460094#0,5475916#3,416028#0,3580685#0,2275724#3,387209#0,3623233#0,1736417#3,2841#0,413988#0,1192343#3,293319#0,3169897#0,129704#3,224059#0,2001084#-0,3210792#3,267582#0,3873897#-0,3214013#3,485456#0,3418394#-0,6059739#3,094171#0,1854245#-0,4954328#3,185441#0,3416754#-0,6784454#2,998742#0,2905149#-0,5707833#3,137819#1  
frame5 #0,3611213#0,9668537#3,677724#0,3288271#0,732739#3,569504# 0,6100367#0,156854#3,349053#0,2873613#0,286725#3,36648#0,6230976#0,2473336#3,296347#0,2338062#0,359147#3,421452#0,6392773#0,4405601#3,259467#0,1324657#0,5388922#3,616354#0,4895786#0,5629578#3,411128#0,2432942#0,5595125#3,411962#0,3595429#0,2887085#3,417385#0,3647662#0,2346453#3,322654#0,4248694#0,1734541#3,328684#0,312851#0,17713#3,256462#0,2075776#-0,316449#3,266742#0,3949413#-0,3232921#3,513473#0,3433847#-0,606249#3,083802#0,2843972#-0,5621623#3,12311#0,3431145#-0,6768804#2,983808#0,388101#-0,652496#3,093002#1  
frame6 #0,3848585#0,9788094#3,674974#0,3310432#0,7453386#3,5616# 0,6122076#0,1942774#3,338089#0,2887162#0,3222647#3,47549#0,6242158#0,2862697#3,287183#0,2401753#0,361281#3,428169#0,638154#0,4807661#3,254798#0,1326418#0,5413651#3,618403#0,4895555#0,5636145#3,409533#0,2370513#0,5696963#3,412818#0,3676594#0,3342356#3,441798#0,3745135#0,2843739#3,352595#0,4379851#0,2221073#3,355809#0,3215469#0,2273421#3,2937#0,2267701#-0,2968342#3,267886#0,4092508#-0,3243607#3,556883#0,3433364#-0,6071868#3,078366#0,3045875#-0,5472544#3,141344#0,3440557#-0,6747833#2,975613#0,3848546#-0,6468205#3,080923#1  
frame7 #0,2949929#1,001965#3,689254#0,3274713#0,7649411#3,559644# 0,6056968#0,1983523#3,378002#0,2505881#0,3110121#3,34488#0,6131318#0,2731906#3,345937#0,22336#0,3780733#3,396563#0,6366906#0,5103245#3,261026#0,1416757#0,579257#3,568301#0,4903518#0,5803831#3,412895#0,2374651#0,5780227#3,415985#0,3655924#0,3408943#3,446645#0,3714751#0,2887911#3,357901#0,4337226#0,2295731#3,362051#0,3185098#0,2316927#3,302818#0,2293678#-0,2963645#3,265868#0,4121589#-0,3280003#3,57002#0,3465096#-0,6100342#3,073971#0,3213845#-0,554773#3,141446#0,3454869#-0,6748738#2,970046#0,392118#-0,6538565#3,070565#1  
frame8 #0,3475468#1,027572#3,66036#0,3289842#0,7781535#3,560625# 0,5928211#0,2303901#3,371993#0,2913756#0,3572362#3,460804#0,6073458#0,3174475#3,304408#0,229917#0,397238#3,423738#0,6345255#0,5062739#3,282176#0,1446468#0,5931718#3,594299#0,4886122#0,5888549#3,419448#0,2508108#0,6231964#3,437465#0,3545562#0,345807#3,451874#0,3567671#0,2907893#3,364234#0,4102162#0,2307415#3,370308#0,3036127#0,2383467#3,312209#0,2352032#-0,2959145#3,259386#0,4265758#-0,30096#3,629482#0,3468522#-0,6120479#3,064019#0,3288478#-0,5061619#3,174818#0,3462112#-0,6753104#2,959385#0,3714911#-0,6104318#3,090664#1  
frame9 #0,392138#1,024631#3,693582#0,3322654#0,7899729#3,563762# 0,5844052#0,2620261#3,385843#0,2988283#0,3494525#3,522243#0,5972778#0,3275163#3,340391#0,2541431#0,3945707#3,472362#0,6362437#0,5019935#3,2809#0,1444417#0,5758908#3,644246#0,4917848#0,6039007#3,436108#0,2258496#0,6265184#3,466088#0,3654352#0,3682375#3,480513#0,3662441#0,3110189#3,398325#0,4304488#0,2451729#3,403766#0,3092297#0,2511254#3,343607#0,2391202#-0,2942787#3,253724#0,4308299#-0,3065791#3,650205#0,3459196#-0,6114855#3,056396#0,3338689#-0,5084044#3,179677#0,3127863#-0,7067#3,04659#0,3812996#-0,6128054#3,104638#1  
frame10 #0,2334208#0,9987162#3,697157#0,3475222#0,7878342#3,562703# 0,5702108#0,2065327#3,350202#0,2834239#0,3345514#3,514114#0,5829952#0,2694777#3,345852#0,2535102#0,3952032#3,471207#0,6213483#0,4583129#3,349221#0,1458465#0,5783429#3,639759#0,4928809#0,6075478#3,449068#0,2252255#0,6287268#3,472428#0,3598067#0,3681309#3,482994#0,3564102#0,3105899#3,402032#0,4167349#0,247334#3,400421#0,2862303#0,2544121#3,368656#0,2452212#-0,2975896#3,242829#0,4389417#-0,3087363#3,659201#0,3425651#-0,6148416#3,045633#0,3410403#-0,5278553#3,18675#0,3370271#-0,6711571#2,94462#0,3719032#-0,6224364#3,098257#1  
frame11 #0,2513615#1,003865#3,703856#0,3509222#0,7874429#3,566591# 0,5828241#0,1867694#3,353513#0,2988991#0,3368914#3,518177#0,5770707#0,2661628#3,3624#0,2686465#0,402715#3,48401#0,6126155#0,4545357#3,374811#0,1542479#0,5637848#3,668446#0,4978378#0,5962212#3,466132#0,2286465#0,6193147#3,492208#0,3610309#0,3673132#3,503594#0,3568799#0,3071325#3,423492#0,4216328#0,2370431#3,425636#0,2887209#0,2548285#3,382612#0,2525679#-0,2902583#3,239971#0,4446105#-0,2824204#3,645208#0,3384241#-0,6184338#3,017081#0,3400403#-0,5279023#3,176866#0,3318625#-0,6718432#2,917789#0,3334787#-0,5813116#3,077574#1  
frame12 #0,2611997#1,012156#3,704062#0,3419363#0,7847998#3,574992# 0,6480909#0,2198877#3,267238#0,304893#0,3042931#3,529748#0,600818#0,2447166#3,32732#0,2745329#0,3703507#3,49546#0,5978726#0,4172728#3,422934#0,155968#0,5538509#3,647053#0,5158106#0,6041903#3,523256#0,2159231#0,5957528#3,503653#0,3548902#0,3702238#3,527611#0,3624122#0,3091942#3,451515#0,4365441#0,2339658#3,455379#0,2954005#0,2490766#3,408884#0,2774699#-0,2840835#3,228106#0,4625646#-0,2961878#3,69419#0,3330334#-0,6202723#2,999132#0,3552139#-0,5500623#3,2217#0,2648468#-0,6855838#3,004374#0,3616984#-0,601566#3,1233#1  
frame13 #0,1776458#0,9446843#3,749552#0,3359963#0,7778403#3,590734# 0,530811#0,04067542#3,408628#0,3383431#0,3126195#3,570556#0,5441269#0,1219708#3,431639#0,2794419#0,3604128#3,492468#0,5840748#0,3658568#3,51687#0,1609911#0,542122#3,645753#0,5140759#0,6012996#3,539983#0,2167883#0,5982655#3,501951#0,3544426#0,3698918#3,551866#0,3675745#0,3093882#3,476043#0,4404679#0,2235744#3,498507#0,3032329#0,2488463#3,419414#0,287802#-0,2795586#3,225028#0,4710561#-0,3075979#3,704097#0,3232298#-0,6166617#2,974707#0,3621424#-0,5651686#3,225302#0,2567729#-0,6794185#2,992021#0,3753626#-0,6154976#3,129015#1  
frame14 #0,2792172#1,005383#3,579688#0,3287579#0,7638323#3,602274# 0,5476007#0,04223762#3,564017#0,3738841#0,2883152#3,587747#0,5369261#0,09845929#3,507031#0,3147666#0,336284#3,509372#0,5687855#0,3481344#3,583184#0,1623782#0,505381#3,648551#0,5019414#0,5915182#3,557862#0,2381347#0,5906688#3,50788#0,3534214#0,3556033#3,572479#0,3724383#0,2928101#3,500005#0,4374815#0,2184725#3,510728#0,3259586#0,23545#3,459621#0,3016194#-0,2804603#3,223285#0,4764277#-0,341654#3,731813#0,3211288#-0,6177131#2,964468#0,3661223#-0,6025162#3,247415#0,2267035#-0,6694134#2,976091#0,3855865#-0,652324#3,151918#1  
frame15 #0,2146337#0,9682308#3,672455#0,3217337#0,7352915#3,631109# 0,5513768#0,03589646#3,627977#0,4027447#0,258058#3,58492#0,5406801#0,09223431#3,570874#0,321818#0,258058#3,58492#0,575295#0,3407387#3,649133#0,152501#0,440737#3,670129#0,4941843#0,5674474#3,586624#0,2082841#0,5312513#3,54292#0,3504375#0,3275104#3,602355#0,3649437#0,2653788#3,52827#0,4355517#0,2026872#3,52221#0,3056006#0,202114#3,501251#0,3091861#-0,2827576#3,225134#0,4578033#-0,3578659#3,766795#0,3230414#-0,6160462#2,959858#0,3462447#-0,6216916#3,277403#0,2377279#-0,6692587#2,965295#0,3588463#-0,6714017#3,181208#1  
frame16 #0,1938463#0,941623#3,665603#0,3258887#0,721681#3,632737# 0,546239#0,04072485#3,651474#0,3850955#0,2003279#3,479239#0,5354908#0,09733367#3,594096#0,3147404#0,2819218#3,456967#0,5756141#0,3422908#3,679451#0,154276#0,403236#3,634092#0,4982174#0,5532669#3,588924#0,2175775#0,5268764#3,53518#0,3469338#0,3157506#3,611804#0,363068#0,2513015#3,54085#0,4291333#0,178114#3,544439#0,3051756#0,1946946#3,511018#0,3282126#-0,2837612#3,231484#0,4569558#-0,3714941#3,80282#0,3247072#-0,6150993#2,95682#0,3443766#-0,6377333#3,309333#0,2320922#-0,6691356#2,960421#0,3619426#-0,6874385#3,212975#1  
frame17 #0,1983031#0,9070094#3,653148#0,3296449#0,6885169#3,638151# 0,5499837#0,05936614#3,719614#0,4018556#0,1365342#3,528493#0,5392304#0,1160025#3,662208#0,3393318#0,2216328#3,497441#0,571806#0,3642341#3,738369#0,1581341#0,3703653#3,619935#0,4481522#0,5417315#3,630003#0,2245179#0,5043244#3,533467#0,3469282#0,2829272#3,616816#0,3763198#0,2195875#3,549401#0,4315921#0,1717702#3,546739#0,329927#0,1665219#3,526512#0,3344881#-0,2875679#3,237572#0,4875926#-0,3915983#3,806461#0,3263731#-0,6104047#2,953732#0,3741439#-0,6598936#3,309538#0,2544138#-0,6702436#2,946773#0,3281267#-0,6595776#3,191201#1  
frame18 #0,2084892#0,8808284#3,615312#0,3312109#0,6744207#3,659246# 0,4015111#-0,02915696#3,497185#0,4760251#0,1806921#3,566773#0,390755#0,02749388#3,439765#0,4147815#0,2682825#3,540343#0,4307596#0,2717261#3,524771#0,1722504#0,3307564#3,613703#0,4547846#0,4991072#3,648528#0,2278171#0,4877405#3,553536#0,3461068#0,2747219#3,629798#0,3758554#0,2134026#3,56196#0,4348042#0,1436038#3,593866#0,3292578#0,1633477#3,525568#0,3358569#-0,2879092#3,241699#0,4749132#-0,4081556#3,821565#0,3300473#-0,6064245#2,955157#0,3320439#-0,746028#3,204045#0,2596291#-0,6679087#2,943397#0,295492#-0,7086154#3,087796#1  
frame19 #0,1430879#0,8335003#3,661317#0,3310468#0,6653616#3,660099# 0,4423755#0,02796549#3,457925#0,3892418#0,1411622#3,481323#0,4316479#0,08446598#3,400657#0,406023#0,2405402#3,524907#0,339085#0,29688#3,525708#0,1724471#0,3195162#3,61019#0,449202#0,4937398#3,642548#0,2279175#0,4781799#3,554051#0,3485354#0,270869#3,632438#0,3772013#0,2102695#3,564576#0,4358616#0,1421355#3,59391#0,330243#0,1607558#3,523841#0,3372332#-0,2879529#3,243721#0,481469#-0,3918158#3,827929#0,3328118#-0,6042313#2,955736#0,369142#-0,6574585#3,335889#0,2642948#-0,6674581#2,940715#0,3324556#-0,6582496#3,213507#1  
frame20 #0,1491027#0,8253448#3,650266#0,3280292#0,6542774#3,670627# 0,4558947#0,02868097#3,468077#0,3725628#0,03854222#3,451555#0,4451657#0,08518891#3,410801#0,357364#0,1440331#3,478034#0,3630795#0,3012646#3,53603#0,1729629#0,2939878#3,588237#0,4526932#0,5238081#3,6556#0,2251267#0,4671483#3,564184#0,358263#0,2646987#3,637051#0,3865024#0,2061475#3,568304#0,4499538#0,1424426#3,589207#0,3432556#0,1482026#3,525736#0,3389709#-0,2866966#3,252187#0,5255225#-0,4449119#3,806445#0,3349514#-0,6016111#2,958585#0,3826532#-0,7827843#3,189121#0,2702011#-0,6685438#2,940527#0,3273271#-0,7316208#3,085232#1  
