frame1 #0,06387779#0,8257757#3,258084#0,0143663#0,6315625#3,242079# 0,4503179#0,703714#3,072529#0,1155669#0,2241662#2,838564#0,4279092#0,5998081#3,075423#0,0565075#0,2626893#2,873279#0,3554099#0,4368827#3,184764#-0,1159149#0,320501#2,975706#0,1848704#0,5268986#3,273101#-0,1017231#0,4944088#3,105373#-0,01918482#0,2627033#3,251953#-0,00520004#0,1908041#3,221622#0,05595171#0,1230614#3,254058#-0,07301536#0,108441#3,177458#0,2273485#-0,2327071#3,241298#-0,3047435#-0,2553358#3,185317#0,2924895#-0,5666932#3,242261#0,04168996#-0,4763424#3,221771#0,3407788#-0,6155435#3,16327#-0,07473839#-0,5059295#3,21397#1  
frame2 #0,09881494#0,7896256#3,2609#0,01648662#0,624893#3,247102# 0,5325595#0,5997433#3,12297#0,1595005#0,3192611#3,04247#0,4948375#0,5473417#3,132695#0,09712415#0,3194244#3,022179#0,3473913#0,4396205#3,167198#-0,09000492#0,3199143#2,975376#0,1885069#0,5159919#3,296788#-0,09508791#0,4926045#3,104648#-0,0120708#0,2537404#3,256898#0,005669063#0,181307#3,228296#0,06588826#0,1149362#3,259262#-0,05806281#0,101849#3,18616#0,2276027#-0,2328867#3,240989#-0,3041204#-0,2576125#3,186392#0,2803253#-0,5633153#3,241809#-0,4818935#-0,5369453#3,243893#0,3300754#-0,6083074#3,17182#-0,5740507#-0,5910279#3,2121#1  
frame3 #0,09877411#0,7891835#3,261213#0,02124334#0,6183515#3,247075# 0,5343822#0,5104688#3,147134#0,1848297#0,2841958#3,024536#0,506426#0,4784915#3,139475#0,1222954#0,2786165#3,014482#0,3483843#0,4290653#3,199992#-0,07882528#0,3322868#2,991247#0,2065556#0,4871503#3,315181#-0,08091275#0,4871544#3,107302#-0,006465899#0,2500322#3,256511#0,01219558#0,1782011#3,228777#0,07587007#0,1055432#3,263448#-0,05162901#0,1001139#3,184226#0,2347638#-0,2330438#3,238339#-0,3035697#-0,2683053#3,187203#0,2803798#-0,5646133#3,237669#-0,6003491#-0,5558387#3,217608#0,3344289#-0,6111135#3,166983#-0,6726472#-0,637501#3,179723#1  
frame4 #0,09916124#0,7905782#3,263539#0,03192533#0,614121#3,247669# 0,6043538#0,4785992#3,149249#0,2235249#0,2289038#3,031763#0,5242379#0,4468358#3,161164#0,1321045#0,2388553#3,018559#0,3595437#0,4226884#3,223864#-0,0634409#0,3380842#2,992608#0,2076669#0,4867209#3,316703#-0,073121#0,4831432#3,107073#0,001162473#0,2387042#3,255636#0,01966064#0,1648785#3,227906#0,08019149#0,09468298#3,261725#-0,04566202#0,09059377#3,183913#0,2364704#-0,2312038#3,237501#-0,3023145#-0,2691819#3,186439#0,2815248#-0,5669279#3,235227#-0,6051841#-0,5637391#3,216967#0,336711#-0,6135413#3,165265#-0,6776427#-0,6432149#3,174448#1  
frame5 #0,108155#0,782328#3,271301#0,04355631#0,6063901#3,248761# 0,6690646#0,4509572#3,160012#0,2551214#0,1802031#3,04788#0,5814105#0,4084748#3,169458#0,1460383#0,2067037#3,029676#0,3713832#0,4062704#3,245964#-0,0363261#0,3197465#2,999699#0,2123304#0,4812472#3,320266#-0,06180733#0,4762929#3,106145#0,007767197#0,2273728#3,25514#0,02596521#0,1528764#3,227534#0,08486893#0,08187293#3,261368#-0,03899692#0,07944445#3,182778#0,2398376#-0,2318501#3,235779#-0,2342785#-0,236026#3,169073#0,2801799#-0,565681#3,232091#-0,5603606#-0,5256991#3,204754#0,3366089#-0,6121801#3,163714#-0,5039316#-0,5721983#3,136377#1  
frame6 #0,1213772#0,7697131#3,271938#0,05209773#0,5986972#3,249918# 0,6855625#0,4315721#3,179323#0,2149163#0,1916576#3,036026#0,5922076#0,3985746#3,176576#0,1439297#0,206263#3,025645#0,3841157#0,3738106#3,246388#-0,03635324#0,3197501#2,999762#0,2264526#0,4682519#3,324624#-0,05238269#0,4705359#3,104818#0,01582359#0,2172807#3,255967#0,03408935#0,1424742#3,228276#0,09361677#0,07008334#3,26023#-0,03165676#0,07105254#3,184911#0,2572333#-0,2388897#3,227132#-0,279589#-0,2718972#3,179402#0,2829482#-0,5699211#3,230457#-0,6056236#-0,5667789#3,212434#0,3392401#-0,6159993#3,162989#-0,6777346#-0,6448072#3,170839#1  
frame7 #0,1409245#0,7577178#3,263298#0,06181115#0,5916883#3,248294# 0,7074898#0,3977858#3,188094#0,1805704#0,1418029#3,053711#0,6153963#0,363442#3,178488#0,1208874#0,1787017#3,033597#0,4098843#0,3504314#3,256876#-0,0364732#0,3176832#2,998672#0,2363402#0,4545318#3,328493#-0,03259718#0,4560495#3,105868#0,02090251#0,2104316#3,255108#0,03917333#0,1352069#3,228143#0,09717744#0,06248944#3,261656#-0,02561138#0,06340325#3,183508#0,2758554#-0,254273#3,218601#-0,2749706#-0,2677938#3,177786#0,2766581#-0,5810037#3,226725#-0,6009887#-0,5641174#3,21063#0,3342907#-0,6271443#3,160932#-0,6744465#-0,6417454#3,171762#1  
frame8 #0,1420249#0,7594704#3,262667#0,06659044#0,5908806#3,248071# 0,7057019#0,3946651#3,186002#0,1356241#0,1572943#2,978978#0,6148739#0,3616828#3,179417#0,1283238#0,1928574#3,040678#0,4105677#0,3489938#3,257675#-0,03667844#0,3177875#2,998886#0,2400029#0,4485781#3,33115#-0,02786099#0,4557163#3,104656#0,02307832#0,2094105#3,253581#0,04138169#0,1340691#3,226552#0,09846793#0,06106382#3,26017#-0,02301501#0,06335229#3,181534#0,2763715#-0,2541409#3,218117#-0,2250465#-0,2387981#3,165513#0,2766676#-0,5846608#3,224852#-0,5610356#-0,5303757#3,202829#0,3348811#-0,6307269#3,159855#-0,5028221#-0,5764418#3,137833#1  
frame9 #0,159999#0,7625329#3,285259#0,07103349#0,5904375#3,246396# 0,7120354#0,394332#3,185018#0,1949371#0,1230587#3,059762#0,6167827#0,3594436#3,182186#0,104154#0,1634595#3,039159#0,4133921#0,3480708#3,260422#-0,03600759#0,3153829#3,000105#0,2453013#0,4441944#3,33221#-0,0245754#0,455563#3,104353#0,02401668#0,2097661#3,252904#0,04190687#0,1342115#3,225993#0,09865136#0,06083094#3,259901#-0,02268223#0,06381166#3,180729#0,2764988#-0,2535129#3,217525#-0,2666098#-0,2618626#3,172761#0,2803362#-0,5843967#3,226278#-0,5946567#-0,5635061#3,210348#0,3382315#-0,6305224#3,161516#-0,5367614#-0,6096318#3,145587#1  
frame10 #0,1605839#0,7605004#3,285415#0,0731812#0,5894518#3,246655# 0,7138229#0,3947434#3,186434#0,1838761#0,1217558#3,061121#0,6171459#0,3579462#3,186423#0,1084037#0,1601086#3,041567#0,4128907#0,3445632#3,267495#-0,02223689#0,2631107#3,01006#0,2460789#0,4433276#3,332434#-0,02305965#0,4561858#3,104041#0,02544666#0,2085695#3,252445#0,04322775#0,1330341#3,225403#0,09965767#0,05505669#3,258638#-0,02092354#0,0647787#3,180041#0,2767954#-0,2536764#3,216961#-0,2320289#-0,2402511#3,16576#0,2801836#-0,5867461#3,225481#-0,5665298#-0,5386368#3,205574#0,338154#-0,6327859#3,160979#-0,5085594#-0,5846766#3,141073#1  
frame11 #0,1608929#0,7568691#3,283483#0,07438998#0,5884458#3,245783# 0,7336733#0,39606#3,182012#0,1619074#0,1306585#3,062647#0,6370715#0,3582442#3,194258#0,1571615#0,1625066#3,065921#0,4317968#0,3336944#3,265406#-0,02234248#0,2637776#3,010122#0,2476228#0,4418283#3,333568#-0,02006851#0,4553439#3,105156#0,02700388#0,2069801#3,252071#0,04485752#0,1313218#3,225202#0,1010628#0,05028069#3,259249#-0,01921012#0,06492515#3,179714#0,2710703#-0,2526586#3,215637#-0,2318617#-0,2384878#3,165596#0,2803214#-0,5874037#3,225011#-0,5681769#-0,5392904#3,202668#0,3383558#-0,6333727#3,160794#-0,5101424#-0,5852593#3,138451#1  
