frame1 #-0,1405447#0,865649#3,179348#-0,1685477#0,6591575#3,227653# -0,2894343#0,5223807#2,948904#-0,4771087#0,2012401#3,157176#-0,2589638#0,5191872#2,939121#-0,4801262#0,259212#3,155168#-0,03367506#0,5408918#2,925204#-0,5341837#0,4294295#3,310441#0,003037468#0,4918424#3,24759#-0,3491738#0,5216033#3,226521#-0,1695929#0,3061053#3,240618#-0,1676732#0,2376091#3,213924#-0,08826108#0,1515417#3,209873#-0,2467561#0,1649341#3,207703#0,1294521#-0,2535734#3,215279#-0,4996746#-0,275826#3,196019#0,2396521#-0,5660821#3,190253#-0,6256335#-0,6073848#3,190371#0,1179233#-0,5795774#3,187225#-0,6987551#-0,6728155#3,175305#1  
frame2 #-0,1280554#0,8180887#3,198183#-0,1384903#0,6407797#3,202382# -0,2335519#0,5824811#2,924721#-0,4336793#0,2984508#2,996596#-0,1495212#0,5806313#2,928185#-0,4509987#0,3465589#3,031975#0,03971103#0,5369102#2,992769#-0,4948835#0,4307972#3,245468#0,004288742#0,4986887#3,23674#-0,3281235#0,5281971#3,21487#-0,1598186#0,3023874#3,227035#-0,1607066#0,2357597#3,206931#-0,08608256#0,1534452#3,209325#-0,2362587#0,1666779#3,197019#0,129747#-0,2489207#3,215374#-0,492251#-0,2776213#3,193306#0,2407017#-0,5701908#3,191663#-0,6261715#-0,6071225#3,187315#0,2471361#-0,6178483#3,104716#-0,6913198#-0,6682262#3,167402#1  
frame3 #-0,1154341#0,8218858#3,200582#-0,137296#0,636952#3,212917# -0,2161489#0,6200154#2,927876#-0,408227#0,3684534#2,948658#-0,1319935#0,5999349#2,946992#-0,4256282#0,3861203#3,009269#0,05920625#0,5413648#3,010284#-0,4854888#0,4339897#3,203216#0,01807229#0,5137857#3,240817#-0,3185668#0,5278933#3,20682#-0,1536278#0,3067455#3,228051#-0,1522983#0,2428619#3,207298#-0,07665028#0,1643204#3,213469#-0,2292177#0,170443#3,192825#0,1314014#-0,2447785#3,218582#-0,4637897#-0,2670512#3,196714#0,2424403#-0,5748081#3,193359#-0,6267664#-0,606602#3,186079#0,2519225#-0,6209046#3,108001#-0,6172842#-0,6526984#3,100721#1  
frame4 #-0,032467#0,8090495#3,176695#-0,09859811#0,6348724#3,238175# -0,04892344#0,7154306#2,96755#-0,2234623#0,53798#2,927985#0,03618278#0,700586#2,99034#-0,2588885#0,4904308#2,957057#0,156504#0,5687587#3,057526#-0,3878834#0,3649654#3,074409#0,06523671#0,5342195#3,279509#-0,3012572#0,5150053#3,180545#-0,1181286#0,2959116#3,234853#-0,1137061#0,2309806#3,207083#-0,02686827#0,1482775#3,223949#-0,1953323#0,1407372#3,173515#0,1488829#-0,2365458#3,225191#-0,4459153#-0,266719#3,190028#0,2552298#-0,6084957#3,214143#-0,6387756#-0,6134926#3,182088#0,310396#-0,6631737#3,213043#-0,6168342#-0,6555381#3,103969#1  
frame5 #0,03973443#0,8296888#3,222163#-0,02562207#0,6667403#3,222666# 0,1336627#0,742625#3,027089#-0,1215337#0,6030527#2,971597#0,1731915#0,6886948#3,031634#-0,1356155#0,54017#2,990012#0,2459569#0,5290234#3,100734#-0,2695883#0,3302102#3,010225#0,08772755#0,5275526#3,289237#-0,2148008#0,5068138#3,135977#-0,09327184#0,2890756#3,230191#-0,08980038#0,216266#3,205146#-0,0244053#0,1452434#3,228352#-0,1681535#0,1326449#3,167686#0,1672505#-0,2359633#3,227459#-0,4248707#-0,269646#3,182472#0,2571495#-0,5979694#3,209271#-0,6506149#-0,6038085#3,17505#0,3101147#-0,6606823#3,202934#-0,6145399#-0,6457487#3,107259#1  
frame6 #0,01747182#0,7995983#3,23665#-0,06821693#0,6341416#3,196693# 0,2019053#0,7716399#3,061808#-0,03660742#0,517965#3,008632#0,2303623#0,6966258#3,06175#-0,09986699#0,5017552#2,973432#0,2526433#0,5031336#3,136515#-0,2450329#0,3017565#2,999976#0,09509914#0,526812#3,289834#-0,1927922#0,4838694#3,110385#-0,09245133#0,2779135#3,220401#-0,08369243#0,2044816#3,199053#-0,01874792#0,1333869#3,233059#-0,1500584#0,1065436#3,147046#0,1760872#-0,2370031#3,22577#-0,4098167#-0,2701621#3,180388#0,2591213#-0,6006395#3,214177#-0,6532654#-0,6019816#3,173122#0,3129171#-0,6623069#3,205209#-0,6116179#-0,6430728#3,109499#1  
frame7 #0,02005528#0,804809#3,240858#-0,06177426#0,6308817#3,205203# 0,3037235#0,7493833#3,073338#0,03298325#0,3636908#2,911043#0,3102096#0,6576608#3,07993#-0,02390401#0,3512536#2,927179#0,2673638#0,4888777#3,143702#-0,1945658#0,3139421#2,988987#0,1069217#0,5154885#3,285131#-0,1885737#0,4836441#3,110135#-0,08417934#0,2748509#3,220449#-0,07337882#0,2027145#3,199006#-0,01030358#0,1273368#3,22878#-0,1283664#0,1288915#3,16004#0,1904057#-0,2407358#3,224128#-0,3976015#-0,2691357#3,177971#0,2709301#-0,5959172#3,218454#-0,6531624#-0,6015781#3,17323#0,3108371#-0,6362004#3,154047#-0,6132553#-0,6418613#3,108823#1  
frame8 #0,0549783#0,7951548#3,259029#-0,0234486#0,6148887#3,222533# 0,5304813#0,5897601#3,140217#0,1741602#0,2470439#3,025023#0,4795652#0,5131415#3,136421#0,1041987#0,2605379#3,012291#0,3012643#0,4054091#3,192193#-0,1056859#0,30102#2,98765#0,1647932#0,4805388#3,304485#-0,1380504#0,4892213#3,107661#-0,05406381#0,270459#3,222819#-0,04187473#0,2029416#3,198703#0,01048804#0,1180709#3,229424#-0,09973268#0,1348383#3,153496#0,2135511#-0,2389624#3,218317#-0,3644609#-0,2778731#3,178673#0,279668#-0,5833073#3,213292#-0,6494753#-0,6012279#3,178873#0,3224677#-0,6226293#3,150995#-0,6066756#-0,6405499#3,116576#1  
frame9 #0,06613763#0,8010601#3,258864#-0,01243426#0,6117815#3,223132# 0,5911695#0,5058826#3,132354#0,1961478#0,1968022#3,019575#0,515584#0,4501368#3,13515#0,1215454#0,2246697#3,010791#0,3531875#0,3963776#3,196772#-0,102262#0,3082722#2,998067#0,1662977#0,4804853#3,305559#-0,1294367#0,4842885#3,101912#-0,0452395#0,2664783#3,224048#-0,03242111#0,1989136#3,199525#0,02079794#0,1112699#3,23045#-0,0923062#0,1323154#3,154378#0,2230128#-0,2379562#3,215533#-0,3580022#-0,2791466#3,180111#0,2676063#-0,5838296#3,212331#-0,6457074#-0,6021377#3,188822#0,3174421#-0,6627393#3,194755#-0,6012086#-0,6415613#3,1276#1  
frame10 #0,07050727#0,8005187#3,257511#0,004306697#0,6129344#3,229753# 0,6561005#0,4776604#3,133132#0,1888253#0,1694751#3,031946#0,5950273#0,4411803#3,141675#0,1170262#0,2047205#3,020142#0,390283#0,3895661#3,198183#-0,09837105#0,3104568#2,998428#0,1789916#0,4766175#3,306362#-0,1150337#0,4796528#3,097957#-0,03351863#0,2615498#3,226569#-0,01986732#0,1930579#3,200193#0,03382964#0,1044218#3,230825#-0,08172498#0,1264989#3,153762#0,2282684#-0,2376665#3,214293#-0,349678#-0,2812932#3,180647#0,267051#-0,5826471#3,210383#-0,6480197#-0,5964961#3,188129#0,3188351#-0,6629828#3,195466#-0,6023448#-0,6360521#3,127101#1  
frame11 #0,1049885#0,7773856#3,249416#0,02699262#0,6011848#3,234751# 0,6510926#0,4336664#3,153872#0,1938864#0,1506534#3,036854#0,5955935#0,3890412#3,155755#0,1442775#0,2073897#3,023084#0,3624738#0,355833#3,222464#-0,08413506#0,2815263#3,012893#0,1992834#0,4588417#3,308511#-0,08882761#0,4741324#3,093964#-0,01630874#0,2438219#3,231676#-0,001202477#0,174183#3,203027#0,05165398#0,08615881#3,233989#-0,06371459#0,1103362#3,156018#0,2347527#-0,2414041#3,212964#-0,3356505#-0,2815029#3,179521#0,2713479#-0,5833197#3,206402#-0,6429363#-0,5918757#3,186539#0,3245405#-0,6665211#3,195848#-0,5953427#-0,6317987#3,126218#1  
