frame1 #0,1845192#0,8143853#3,247443#0,1343099#0,623532#3,256707# 0,5458672#0,7592162#3,13338#0,1318391#0,372862#2,919578#0,5400413#0,6843708#3,131926#0,08593917#0,3338045#2,970572#0,47243#0,480897#3,179957#-0,05176059#0,2166323#3,137475#0,285795#0,5047255#3,301558#0,005713331#0,4908605#3,124483#0,08840676#0,2548003#3,265748#0,09423617#0,1809498#3,247225#0,1509039#0,1139311#3,275019#0,02486711#0,1076919#3,212013#0,3419495#-0,236105#3,230366#-0,2373389#-0,2572728#3,169318#0,4081315#-0,5491922#3,210814#0,1158071#-0,4630942#3,203071#0,4586772#-0,5989724#3,134726#0,0008490309#-0,4958189#3,208201#1  
frame2 #0,2019142#0,7991154#3,251053#0,1371195#0,6228874#3,25508# 0,6326598#0,7305328#3,117386#0,2429236#0,3621198#2,953955#0,6170205#0,6737766#3,129178#0,169467#0,3256431#2,996276#0,4855778#0,4426409#3,173723#-0,05090281#0,2162131#3,137181#0,2964778#0,5080436#3,308452#0,01413373#0,4899648#3,130921#0,09055644#0,2544546#3,265245#0,09615034#0,1805566#3,247004#0,152865#0,1136771#3,275193#0,02667074#0,1066405#3,211666#0,34355#-0,2367345#3,229297#-0,2192825#-0,2540142#3,17291#0,4081959#-0,5493964#3,210901#-0,4640995#-0,5457522#3,225442#0,4622447#-0,6029797#3,129118#-0,4100506#-0,5993355#3,143659#1  
frame3 #0,2431231#0,7603108#3,242605#0,1625794#0,6045291#3,253942# 0,8387889#0,4956308#3,141626#0,307292#0,1905384#3,028777#0,7835352#0,4638813#3,156553#0,2486423#0,2195373#3,030531#0,5205534#0,3820183#3,220009#-0,02196235#0,1951706#3,136251#0,3442806#0,474054#3,320939#0,03850893#0,4728535#3,125695#0,1116121#0,2331214#3,258828#0,11694#0,1587041#3,23909#0,1794255#0,08229984#3,266626#0,04285596#0,08322013#3,200756#0,3634792#-0,2348752#3,220282#-0,2056786#-0,2558797#3,168082#0,4068118#-0,5643181#3,206545#-0,4637971#-0,5449947#3,223074#0,4619412#-0,6180847#3,124368#-0,4086677#-0,5987614#3,140897#1  
frame4 #0,2549824#0,7559794#3,245936#0,1849936#0,5902109#3,249008# 0,8185193#0,400438#3,167372#0,3514262#0,164449#3,054571#0,7290976#0,3622824#3,175845#0,2555183#0,1817963#3,04961#0,5268946#0,3328926#3,24746#-0,02185829#0,1900885#3,137646#0,354885#0,447188#3,324238#0,05715302#0,4629514#3,123361#0,1332391#0,216359#3,255524#0,1390261#0,1413904#3,236281#0,1973402#0,06256333#3,269476#0,06519002#0,06880324#3,193793#0,3750724#-0,2398071#3,215751#-0,1976233#-0,257561#3,164726#0,4104956#-0,5716037#3,207844#-0,4638559#-0,5495614#3,225589#0,4437988#-0,6531659#3,17768#-0,408264#-0,6020328#3,147115#1  
frame5 #0,2656861#0,7562007#3,247604#0,1901288#0,5882915#3,247975# 0,8266783#0,3977414#3,165586#0,3580052#0,1661513#3,031288#0,7351272#0,3616926#3,173377#0,2614809#0,1816754#3,044848#0,5333953#0,330585#3,245963#-0,01494234#0,1887094#3,136801#0,3578659#0,4392486#3,323347#0,06180282#0,4624453#3,123512#0,1345582#0,2160939#3,255705#0,1399824#0,1411091#3,236427#0,1979778#0,06177694#3,269661#0,06608781#0,06926933#3,194115#0,3799582#-0,2391048#3,214727#-0,2002544#-0,2667975#3,162791#0,4055058#-0,5717369#3,20393#-0,4816541#-0,5633727#3,233919#0,4592765#-0,6228513#3,127925#-0,4278834#-0,6144871#3,157914#1  
frame6 #0,2750781#0,7480425#3,247397#0,1929377#0,5863175#3,245738# 0,838707#0,4060149#3,174464#0,3291517#0,1771751#3,029556#0,7767119#0,3749797#3,178326#0,2614401#0,1825478#3,04397#0,535697#0,3293574#3,245796#-0,01456057#0,188702#3,136865#0,3589638#0,4367536#3,321095#0,06482874#0,4614547#3,123288#0,1380743#0,2150568#3,255456#0,1435203#0,1401571#3,236651#0,2012818#0,06009896#3,270665#0,07010552#0,06907554#3,194472#0,382119#-0,2386735#3,214272#-0,1944771#-0,2645769#3,161966#0,4081502#-0,5738383#3,203175#-0,4772174#-0,5635897#3,235572#0,4604822#-0,6238901#3,128865#-0,4248854#-0,6136415#3,161263#1  
frame7 #0,2760192#0,7503573#3,247057#0,1947645#0,5866469#3,245964# 0,8335362#0,3892381#3,166256#0,3299414#0,1802082#3,025416#0,7453338#0,3536003#3,174731#0,2607755#0,1911137#3,034381#0,540717#0,3343489#3,243256#-0,01225875#0,1891068#3,138952#0,3610761#0,4364689#3,320998#0,06889309#0,4613766#3,121915#0,1414695#0,2159315#3,255387#0,1472677#0,1412469#3,236707#0,2049002#0,06088215#3,270658#0,07419552#0,07071417#3,194581#0,3865222#-0,2384909#3,213528#-0,1901831#-0,2626688#3,162746#0,4096423#-0,5726297#3,204766#-0,4754922#-0,5630039#3,235711#0,4614956#-0,6216758#3,13213#-0,4236389#-0,6120499#3,163074#1  
frame8 #0,275821#0,750259#3,245047#0,1952518#0,5860513#3,245402# 0,8379495#0,3915157#3,165143#0,3293986#0,1807703#3,015735#0,7476946#0,3559782#3,174514#0,2603844#0,1936279#3,031856#0,5427536#0,3349612#3,24225#-0,01204302#0,18873#3,139302#0,3619213#0,4354792#3,320125#0,0698626#0,460899#3,1206#0,1420221#0,2159988#3,255068#0,1478009#0,1414063#3,236547#0,205416#0,06087299#3,270567#0,0746712#0,07099278#3,194468#0,3875718#-0,2376133#3,212688#-0,188184#-0,2616005#3,16327#0,4088909#-0,576488#3,20236#-0,4758664#-0,5632215#3,235638#0,4601222#-0,6248996#3,13077#-0,4246351#-0,6116331#3,164048#1  
frame9 #0,2747134#0,7499382#3,245911#0,1954519#0,5855308#3,244624# 0,8251619#0,3849783#3,135846#0,3600526#0,1885832#3,021073#0,7346883#0,3471017#3,134761#0,26249#0,1956436#3,028351#0,5436645#0,3349638#3,242758#-0,009246968#0,1885564#3,13891#0,3622067#0,4353836#3,319865#0,06990572#0,4620031#3,120297#0,1422987#0,2162918#3,254468#0,1480034#0,141881#3,236039#0,2056198#0,06093999#3,270163#0,07470179#0,07178003#3,193969#0,3890033#-0,2366474#3,21183#-0,1874878#-0,2610613#3,16334#0,4074869#-0,5740417#3,20023#-0,475242#-0,5650644#3,234834#0,4582262#-0,622038#3,129267#-0,4245028#-0,6130607#3,163871#1  
frame10 #0,2733217#0,7459938#3,246615#0,194805#0,5847651#3,2436# 0,8336656#0,4134296#3,160755#0,3267226#0,1923585#3,005619#0,7429464#0,373216#3,158344#0,2554068#0,1984255#3,021744#0,5443216#0,3352004#3,241871#-0,01526002#0,1893628#3,137521#0,3622091#0,4353249#3,319845#0,06980944#0,4621348#3,120218#0,1429867#0,2159963#3,254232#0,1488962#0,1415792#3,236154#0,207263#0,0590992#3,270443#0,07624997#0,07222469#3,194471#0,3893712#-0,2367186#3,211716#-0,1874316#-0,2610171#3,163475#0,4113149#-0,5688541#3,203891#-0,4736331#-0,5647223#3,233649#0,4617318#-0,6165559#3,133372#-0,4232163#-0,6124241#3,16313#1  
frame11 #0,272465#0,7468872#3,24593#0,1941138#0,5850815#3,243784# 0,8399428#0,4289991#3,180363#0,3244812#0,1907819#3,011346#0,7734616#0,3989905#3,171047#0,251692#0,2010237#3,013315#0,5439984#0,3360332#3,241078#-0,01645035#0,1891703#3,137574#0,3622175#0,4371497#3,320924#0,06942413#0,4625655#3,120109#0,143437#0,2168626#3,254222#0,1495726#0,1428183#3,23642#0,2072871#0,05897296#3,270522#0,07950593#0,07773022#3,195108#0,3895962#-0,2368093#3,211482#-0,1873944#-0,2609996#3,163427#0,4115043#-0,5674393#3,203973#-0,4732844#-0,5647973#3,233807#0,4618903#-0,6148923#3,133853#-0,4228984#-0,6122503#3,163687#1  
frame12 #0,2704404#0,7497815#3,245295#0,1918197#0,5864956#3,24156# 0,8395829#0,4293476#3,180018#0,3243285#0,184659#3,019372#0,7731441#0,3989017#3,170959#0,2522891#0,1998932#3,018197#0,5415724#0,3378966#3,241246#-0,01790948#0,1898554#3,138898#0,3591316#0,4394027#3,319548#0,0679469#0,4634593#3,119381#0,1432038#0,2177807#3,253052#0,1493229#0,143652#3,235734#0,2067916#0,05871635#3,270042#0,07959712#0,08075663#3,194104#0,3920681#-0,2379366#3,208962#-0,1873148#-0,2610132#3,163305#0,4117972#-0,5674494#3,203428#-0,4723472#-0,5649401#3,233871#0,4620605#-0,6147249#3,133643#-0,4220839#-0,6122156#3,164087#1  
frame13 #0,267782#0,7484097#3,244935#0,1865638#0,5852666#3,240379# 0,8510714#0,4377731#3,179382#0,3221259#0,1791214#3,022015#0,7819493#0,4140853#3,169553#0,251425#0,1999772#3,020598#0,5362035#0,344255#3,24073#-0,02034134#0,1891018#3,138977#0,3524214#0,4462881#3,320561#0,06380107#0,4636952#3,118101#0,1421324#0,2176418#3,252721#0,1485326#0,1436483#3,236033#0,2061721#0,05847147#3,271148#0,07826524#0,07987685#3,19418#0,3916917#-0,23821#3,208748#-0,1874465#-0,26078#3,163278#0,4114593#-0,5568221#3,195713#-0,4745394#-0,5674912#3,237687#0,462359#-0,6039187#3,126545#-0,4236397#-0,6145878#3,168519#1  
frame14 #0,2650216#0,7578311#3,242625#0,1810016#0,5920108#3,238395# 0,8490772#0,4452191#3,176638#0,3217566#0,1817198#3,027971#0,7815134#0,4160157#3,17112#0,2505368#0,2001055#3,021819#0,5343781#0,3461657#3,240058#-0,022553#0,1899473#3,138106#0,3503919#0,4470112#3,320657#0,05910892#0,466018#3,118551#0,1392314#0,219137#3,251362#0,1456719#0,1445465#3,235293#0,2040706#0,058835#3,270068#0,07480103#0,08097224#3,194227#0,3915384#-0,2405498#3,207051#-0,18778#-0,2604319#3,163409#0,4154335#-0,5626221#3,197246#-0,4670347#-0,5571029#3,229409#0,4666744#-0,6103145#3,126852#-0,4157939#-0,6047954#3,159015#1  
frame15 #0,2488068#0,7621765#3,23986#0,1735421#0,5933212#3,235812# 0,8419557#0,4546261#3,166185#0,3450372#0,1858654#3,028011#0,7788581#0,4175037#3,171982#0,2465959#0,1989495#3,024893#0,5301859#0,3512373#3,23366#-0,02928659#0,1902472#3,135323#0,3446823#0,4494483#3,3197#0,04987557#0,4675213#3,114945#0,1304711#0,223103#3,247558#0,1360672#0,1488148#3,232454#0,1931454#0,06128762#3,266389#0,06552505#0,08528101#3,192254#0,3903414#-0,2424693#3,206295#-0,1906294#-0,2583359#3,163369#0,4124072#-0,5667306#3,199282#-0,4755914#-0,5674893#3,242438#0,4635264#-0,6143833#3,129106#-0,4244722#-0,6151419#3,172262#1  
frame16 #0,2455658#0,7629374#3,238732#0,1712565#0,5934286#3,237649# 0,8312767#0,446659#3,16469#0,3427035#0,1809369#3,013134#0,7663779#0,414111#3,174116#0,2460008#0,198714#3,025129#0,528469#0,351541#3,232784#-0,03035327#0,1902506#3,134843#0,342268#0,4485703#3,318548#0,04793712#0,468049#3,114844#0,1267288#0,2225419#3,247723#0,1317824#0,1480662#3,232414#0,1902888#0,0614583#3,266196#0,05847529#0,08263401#3,191563#0,3872092#-0,2438122#3,205205#-0,1920846#-0,2579051#3,163279#0,4122594#-0,5659538#3,199226#-0,4767652#-0,5684364#3,242834#0,4632459#-0,613553#3,128985#-0,4257787#-0,6160356#3,172593#1  
frame17 #0,2379348#0,7564456#3,240949#0,1631375#0,5900871#3,235047# 0,8339317#0,4464488#3,163284#0,3136529#0,1831167#3,041228#0,7679778#0,4162397#3,172463#0,2435506#0,1981825#3,026893#0,4981411#0,3278211#3,246383#-0,03237435#0,1905457#3,132472#0,3280121#0,4513658#3,318693#0,04075172#0,4682236#3,114342#0,1231402#0,220721#3,24633#0,1290261#0,1465608#3,231752#0,1887952#0,06131627#3,266451#0,05566058#0,07918514#3,190005#0,3855376#-0,2437838#3,205235#-0,1933672#-0,2580406#3,163362#0,4108549#-0,566703#3,197472#-0,4647299#-0,5444379#3,225247#0,4630072#-0,6143759#3,127631#-0,4125777#-0,5921108#3,155406#1  
frame18 #0,233894#0,7586427#3,240746#0,1585726#0,5923059#3,234897# 0,8279593#0,4427536#3,166919#0,3399102#0,1847005#3,038187#0,7609318#0,415234#3,171785#0,2428699#0,1978731#3,030257#0,4956844#0,3295992#3,245794#-0,03283092#0,1926299#3,131546#0,3260624#0,4512536#3,319561#0,03677873#0,4696548#3,114007#0,1212091#0,2212876#3,245686#0,1274287#0,1469872#3,231371#0,1876493#0,06171969#3,266121#0,05479583#0,07961214#3,189792#0,3843981#-0,2436285#3,205332#-0,1942618#-0,2582853#3,163195#0,4107697#-0,5670108#3,196363#-0,4848312#-0,5621524#3,233842#0,4628882#-0,6144969#3,126528#-0,4327127#-0,6096386#3,164007#1  
frame19 #0,225635#0,760947#3,243788#0,1562202#0,5922229#3,236551# 0,8241541#0,4416014#3,168771#0,3391346#0,1915066#3,031359#0,7573359#0,4121029#3,173772#0,2402888#0,1978503#3,030933#0,4949357#0,3307042#3,245597#-0,03484945#0,1936986#3,129606#0,325573#0,4511098#3,319042#0,03234607#0,4700226#3,112652#0,1168028#0,2210122#3,244808#0,1224675#0,1467025#3,229688#0,1829845#0,06161106#3,263102#0,04891507#0,07902865#3,18814#0,3840886#-0,2437177#3,205575#-0,1946027#-0,2578688#3,161876#0,4100583#-0,5685079#3,196139#-0,4800565#-0,5671965#3,241474#0,4618194#-0,6158367#3,126151#-0,4282954#-0,6145254#3,171486#1  
