frame1 #0,02523457#0,9118304#3,204385#-0,01074276#0,7092271#3,263327# -0,005334325#0,348924#3,089776#-0,001786441#0,305915#3,046432#0,04237203#0,3701408#3,108898#-0,05087979#0,3484655#3,043268#0,1854911#0,4337914#3,180413#-0,1851593#0,4388478#3,097733#0,141335#0,6245062#3,319874#-0,1664238#0,5917911#3,190195#-0,03776792#0,3322417#3,274293#-0,03247643#0,2576397#3,254359#0,03334153#0,1937774#3,266481#-0,10515#0,1790555#3,234944#0,009620562#-0,2697318#3,0722#-0,1411674#-0,29176#3,213202#0,01151831#-0,602937#2,861741#-0,04457014#-0,5518434#2,925757#0,04563473#-0,647781#2,784446#-0,01045372#-0,5966874#2,848462#1  
frame2 #0,02603496#0,9102339#3,204104#-0,01341115#0,7078497#3,262628# 0,1641602#0,4520959#3,14487#-0,01004068#0,3043547#3,043128#0,1348607#0,4087179#3,138122#-0,0552669#0,3510679#3,042882#0,2537733#0,4642798#3,246524#-0,1846226#0,4389542#3,097756#0,1413867#0,6226203#3,319574#-0,1664934#0,5917966#3,190033#-0,03805237#0,3323116#3,273993#-0,0326526#0,2578214#3,254112#0,03329777#0,1937477#3,266382#-0,1053093#0,1794273#3,234489#0,0100512#-0,2688834#3,070491#-0,1405015#-0,2918802#3,212461#0,01096351#-0,6026548#2,861435#-0,04530472#-0,5514848#2,924307#0,04503837#-0,6474513#2,784138#-0,01122986#-0,5962813#2,84701#1  
frame3 #0,02533055#0,9057862#3,20368#-0,01441854#0,7077411#3,262757# 0,1647559#0,4517449#3,144855#-0,009945646#0,3064716#3,042929#0,1120946#0,4487502#3,081819#-0,05635682#0,3520901#3,043136#0,2190253#0,4493198#3,215069#-0,1846483#0,4389476#3,097662#0,1417898#0,621109#3,319107#-0,1667064#0,5917327#3,189715#-0,03915278#0,3331779#3,27419#-0,0338051#0,2589847#3,25441#0,03266422#0,1941709#3,266602#-0,1067551#0,1808631#3,234755#0,0152539#-0,2659424#3,063592#-0,1417567#-0,281514#3,216402#0,01063081#-0,6028847#2,859923#-0,04818184#-0,5421236#2,928267#0,04366858#-0,6464316#2,784777#-0,01514407#-0,5856705#2,853121#1  
frame4 #0,02431765#0,9050306#3,202581#-0,01515467#0,7083563#3,262368# 0,06866807#0,3793049#3,067059#-0,007772233#0,3093445#3,043598#0,1063249#0,3966838#3,100443#-0,05530161#0,3537955#3,042622#0,2192956#0,4488206#3,214645#-0,18466#0,4374539#3,098847#0,1406571#0,6224561#3,318286#-0,1677026#0,5917352#3,190136#-0,0394179#0,3335651#3,274101#-0,03409477#0,2593316#3,254434#0,03233691#0,1947134#3,266973#-0,1068937#0,1809405#3,23467#0,01541378#-0,2655173#3,065132#-0,1397609#-0,2860667#3,215042#0,01058231#-0,6017874#2,860134#-0,04677081#-0,5453246#2,925324#0,04348321#-0,6455184#2,784589#-0,01386992#-0,5890556#2,849779#1  
frame5 #0,02307177#0,9088458#3,205111#-0,01590723#0,7089069#3,262458# 0,08859751#0,4953841#3,036275#-0,01450769#0,3098257#3,042431#0,1304423#0,4991565#3,085997#-0,05982429#0,3565201#3,044318#0,2202582#0,4493057#3,221338#-0,1878576#0,4409371#3,100147#0,1397715#0,6217531#3,317439#-0,1682146#0,5917383#3,190394#-0,03947522#0,3338041#3,274091#-0,03415484#0,2595535#3,254478#0,03230699#0,1948774#3,267315#-0,1068618#0,1812377#3,234502#0,01442234#-0,2678692#3,07341#-0,1407214#-0,2830271#3,21528#0,01523354#-0,5936455#2,864223#-0,04712522#-0,5426534#2,926047#0,04784276#-0,6372419#2,78879#-0,014516#-0,5862498#2,850614#1  
frame6 #0,01980617#0,9105832#3,205416#-0,01622774#0,7086341#3,262653# 0,07510853#0,4941022#3,044286#-0,01446023#0,3098376#3,041927#0,1186043#0,4955318#3,092665#-0,05929707#0,3569584#3,043877#0,2250684#0,4497014#3,215278#-0,1875559#0,4398985#3,101434#0,1394224#0,6219215#3,317609#-0,1683523#0,5919411#3,191998#-0,03964973#0,3339114#3,274103#-0,03442205#0,2597543#3,254496#0,03186774#0,1951797#3,267559#-0,1070211#0,1814344#3,234333#0,01467425#-0,2674117#3,073179#-0,1401582#-0,2837713#3,214672#0,01517905#-0,5937708#2,864162#-0,04540589#-0,5446505#2,927313#0,04714585#-0,6368883#2,789414#-0,0134391#-0,587768#2,852566#1  
frame7 #0,01811564#0,9118149#3,205548#-0,01603651#0,7094812#3,264072# 0,1698194#0,4621716#3,148161#-0,01559888#0,3097723#3,042064#0,1079897#0,4542584#3,101425#-0,05910903#0,3580599#3,045656#0,226085#0,4567846#3,22088#-0,1877922#0,4403971#3,101239#0,139587#0,6223311#3,320313#-0,1684263#0,5918745#3,19212#-0,03977504#0,3340531#3,274469#-0,03437584#0,2598718#3,254749#0,03195532#0,1952991#3,267863#-0,1070045#0,1814466#3,2344#0,01436942#-0,2673623#3,07392#-0,1390868#-0,2862384#3,214064#0,01439294#-0,5948729#2,863542#-0,04425242#-0,5461147#2,925513#0,0464533#-0,6373531#2,78999#-0,01219206#-0,5885949#2,851962#1  
frame8 #0,01464262#0,9082317#3,208071#-0,01660104#0,7099397#3,2648# 0,0344108#0,4399558#3,065295#-0,01925558#0,302072#3,053459#0,07245941#0,4354229#3,117967#-0,05865729#0,3538022#3,057214#0,2168164#0,4602044#3,191988#-0,188143#0,4392911#3,102485#0,1396051#0,6224203#3,32028#-0,1688158#0,5915647#3,192372#-0,04004567#0,3342729#3,274891#-0,03455657#0,260082#3,254987#0,03188976#0,195477#3,268051#-0,1071502#0,1814733#3,234527#0,01433328#-0,267262#3,073924#-0,1385471#-0,2841816#3,214482#0,01229147#-0,598313#2,861684#-0,04446489#-0,5443168#2,925591#0,04396985#-0,6403869#2,788723#-0,01278652#-0,5863907#2,85263#1  
frame9 #0,009683077#0,9007907#3,212542#-0,01765531#0,7085941#3,266208# -0,03162064#0,3721895#3,094898#-0,01138195#0,3070365#3,058057#0,03142498#0,3944417#3,119591#-0,05634397#0,3548133#3,058227#0,2205619#0,4611982#3,207701#-0,1883792#0,4363225#3,102237#0,139544#0,6224227#3,320245#-0,1699481#0,5909043#3,192933#-0,04071233#0,335396#3,275894#-0,03524335#0,2619908#3,2559#0,03153033#0,1971535#3,268821#-0,1078363#0,1826839#3,235076#0,01571127#-0,2658899#3,071843#-0,1362438#-0,2879336#3,213524#0,01136684#-0,5995279#2,860639#-0,03639127#-0,5642766#2,905401#0,04257923#-0,6412425#2,788128#-0,005178871#-0,6059912#2,832891#1  
frame10 #0,008544023#0,898419#3,214885#-0,0183102#0,7076802#3,268245# -0,03194173#0,3754884#3,092435#0,0006777346#0,3171221#3,042821#0,03126419#0,3947126#3,119708#-0,05756532#0,3491944#3,038982#0,2208819#0,4523851#3,21556#-0,1875416#0,4240398#3,104214#0,1398997#0,6216665#3,320387#-0,172095#0,5906547#3,196161#-0,04067743#0,335013#3,276985#-0,0352582#0,2617835#3,256418#0,03212955#0,1922765#3,269103#-0,1081121#0,1846226#3,236656#0,01535637#-0,2663208#3,071066#-0,136157#-0,2877597#3,213753#0,01142582#-0,5967602#2,860701#-0,03242955#-0,5749836#2,892913#0,04152626#-0,6380389#2,788412#-0,002329109#-0,6162623#2,820624#1  
frame11 #0,003710938#0,9018115#3,219793#-0,02120055#0,7065241#3,269529# -0,03596972#0,3714316#3,09545#-0,02252852#0,2995574#3,038917#0,02902314#0,3894304#3,120344#-0,07198125#0,3443902#3,043286#0,2240017#0,4434265#3,20907#-0,1977051#0,4287007#3,107271#0,1392116#0,6227924#3,321186#-0,1765614#0,592542#3,201899#-0,04078256#0,3349793#3,277981#-0,03539734#0,2619472#3,256831#0,03215732#0,1915911#3,269383#-0,1081686#0,1861585#3,237455#0,01595099#-0,2680166#3,071873#-0,1362623#-0,2894219#3,214789#0,01202466#-0,5999885#2,859455#-0,02869546#-0,5850348#2,884839#0,04057638#-0,6408734#2,78714#-0,0001437478#-0,6259198#2,812524#1  
frame12 #-0,001445125#0,9035983#3,220808#-0,02836866#0,7107074#3,278044# 0,01547144#0,3594687#3,113229#-0,05529401#0,2660299#3,064372#0,06230611#0,3803329#3,129124#-0,08843397#0,3238165#3,05823#0,2028101#0,4429256#3,190851#-0,2037282#0,4282049#3,114026#0,1396592#0,6238728#3,322044#-0,1882267#0,5928906#3,214413#-0,04088979#0,3366884#3,281464#-0,03547258#0,263957#3,258259#0,03330186#0,1915982#3,268878#-0,1089373#0,1890875#3,240265#0,01696607#-0,267977#3,074162#-0,135901#-0,2904767#3,216787#0,01288616#-0,5986099#2,860175#-0,0210318#-0,5914001#2,881027#0,03784999#-0,6387762#2,787074#0,003932023#-0,6315665#2,807926#1  
frame13 #-0,01700324#0,9107341#3,228884#-0,02974783#0,7126878#3,279788# -0,03771582#0,3602671#3,09797#-0,05476284#0,2890354#3,040515#0,009882793#0,3773947#3,118516#-0,09543292#0,3184276#3,062036#0,1526786#0,4287776#3,194225#-0,2174432#0,4066043#3,14067#0,1397534#0,6256329#3,3228#-0,1926626#0,5915084#3,220943#-0,04128904#0,3374476#3,283794#-0,03573782#0,2645963#3,259167#0,03352372#0,1915302#3,268926#-0,1094685#0,1894467#3,241641#0,01777544#-0,2689975#3,073924#-0,1385503#-0,2857538#3,220515#0,01454174#-0,5982404#2,86084#-0,02096255#-0,5920348#2,879661#0,03785247#-0,6382293#2,787502#0,002348175#-0,6320237#2,806323#1  
frame14 #-0,03030878#0,9188557#3,243195#-0,03114275#0,7245378#3,288787# 0,1425781#0,3509158#3,087383#-0,08476236#0,2428117#3,113686#0,1080712#0,3638388#3,143579#-0,1217589#0,2824291#3,12181#0,1885385#0,4313229#3,310254#-0,2327487#0,4012815#3,160295#0,1398665#0,6259245#3,320915#-0,2047986#0,5949861#3,248979#-0,04124542#0,3406069#3,287903#-0,03730444#0,2672886#3,260125#0,03318259#0,192999#3,265503#-0,1126884#0,1919132#3,245119#0,01833241#-0,269097#3,075367#-0,13944#-0,2833121#3,22452#0,01573338#-0,596707#2,861638#-0,07882135#-0,6024973#2,983195#0,0319616#-0,6370541#2,786656#-0,06259313#-0,6428444#2,908213#1  
frame15 #-0,0380293#0,9203966#3,246161#-0,0316563#0,7285395#3,290225# 0,1727571#0,3439153#3,151322#-0,1032883#0,2769362#3,083457#0,1292852#0,3475507#3,202027#-0,1399956#0,3085871#3,10991#0,2146365#0,4481756#3,397324#-0,2501176#0,4035399#3,203406#0,1392591#0,6268402#3,320271#-0,2133548#0,5995834#3,266272#-0,04252006#0,3451561#3,291094#-0,03994609#0,2718115#3,261104#0,03225077#0,1959745#3,261684#-0,1176246#0,1953096#3,249765#0,01970242#-0,2679907#3,072885#-0,1401983#-0,2785623#3,232614#0,01862903#-0,5992177#2,856802#-0,05621066#-0,596097#3,213343#0,03065748#-0,6394864#2,781308#-0,09634737#-0,5737461#3,156043#1  
frame16 #-0,06229693#0,9335217#3,257061#-0,03463878#0,7356865#3,293516# 0,1675718#0,2579641#3,207769#-0,04861419#0,2874587#3,174275#0,2025451#0,3149096#3,287734#-0,1308279#0,2984003#3,163467#0,2172278#0,4519414#3,395809#-0,2578021#0,4124346#3,26574#0,1340945#0,6304604#3,313378#-0,220557#0,6053499#3,29248#-0,04334781#0,3510935#3,295332#-0,04326629#0,2776667#3,263083#0,03093035#0,2025939#3,258229#-0,1227508#0,1990514#3,255791#0,02998215#-0,25456#3,047488#-0,1412138#-0,2727232#3,246557#0,02213739#-0,599422#2,852117#-0,04255393#-0,6184989#3,275741#0,0267723#-0,6394769#2,776315#-0,08384903#-0,6783202#3,269242#1  
