frame1 #-0,01703991#0,974231#3,411339#0,05249691#0,8002357#3,436074# 0,6778527#0,255817#3,294177#-0,4806404#0,2349454#3,696629#0,6109792#0,3125606#3,299043#-0,4308622#0,2699977#3,674077#0,4341407#0,4636319#3,363073#-0,2238121#0,4354337#3,647486#0,1882778#0,6712146#3,38433#-0,1041538#0,6227018#3,590312#0,06728414#0,4321654#3,444396#0,05160416#0,360174#3,42343#0,1172365#0,2898795#3,3719#-0,01435769#0,2680487#3,465089#0,1526035#-0,2547893#3,161156#0,003616045#-0,2844614#3,454575#0,1625865#-0,6007809#2,974532#0,08517584#-0,6056368#3,398324#0,1028829#-0,6537766#2,893927#0,009964079#-0,6658497#3,402371#1  
frame2 #-0,03385438#0,9660112#3,455773#0,05322063#0,7986722#3,443166# 0,6979758#0,3664778#3,210671#-0,473059#0,4048339#3,794472#0,6257311#0,4028696#3,208383#-0,4109616#0,4351434#3,730458#0,4378093#0,5209439#3,318971#-0,2249296#0,5313821#3,688296#0,1900133#0,6727985#3,386981#-0,08741547#0,652182#3,599619#0,06693715#0,4305609#3,457809#0,05069952#0,3580121#3,440025#0,113965#0,2850173#3,390664#-0,01380409#0,2715095#3,485008#0,1189043#-0,2154915#3,102769#-0,002249875#-0,2768716#3,454174#0,1560653#-0,5951945#2,957459#0,07773478#-0,5795012#3,391799#0,1230519#-0,6672868#2,905368#0,01936179#-0,6541901#3,395645#1  
frame3 #-0,0281472#0,9577136#3,455411#0,0617349#0,7974083#3,469766# 0,7105901#0,4291638#3,163863#-0,4626216#0,4690859#3,798111#0,6228744#0,4615288#3,185772#-0,3938416#0,4912546#3,727536#0,3979128#0,566673#3,314009#-0,2201042#0,5889028#3,708184#0,1909037#0,6772718#3,389699#-0,08485822#0,6604578#3,60354#0,07088906#0,4365912#3,469921#0,05342967#0,3664069#3,449558#0,1146681#0,2892628#3,393741#-0,01017919#0,2823223#3,495447#0,1057863#-0,199813#3,083127#-0,009624304#-0,2714254#3,458701#0,1311606#-0,5485131#2,934972#0,07164031#-0,5783701#3,395175#0,07777992#-0,6296757#2,886767#0,01530932#-0,6401532#3,398521#1  
frame4 #-0,0297188#0,9576769#3,455156#0,06360608#0,7961637#3,470553# 0,7143595#0,4876214#3,115896#-0,4771759#0,5648829#3,753281#0,6263914#0,5061875#3,134373#-0,4148199#0,5753649#3,724393#0,4289732#0,5803426#3,292947#-0,2218832#0,6161594#3,720035#0,1932217#0,6831622#3,39566#-0,08375067#0,6797944#3,620695#0,07233222#0,4296821#3,476813#0,05376834#0,357623#3,458131#0,114338#0,2772787#3,402858#-0,01107605#0,273384#3,506481#0,0784255#-0,1398657#3,074514#-0,02319324#-0,2494395#3,477736#0,08443217#-0,5127305#2,897049#0,04558351#-0,5401178#3,429551#0,04161094#-0,5728145#2,856332#-0,01246721#-0,6012045#3,429257#1  
frame5 #-0,03068103#0,9499559#3,452789#0,06131975#0,7899851#3,473938# 0,7116981#0,5531858#3,09091#-0,4476247#0,6818478#3,850857#0,6373377#0,5567679#3,11277#-0,3924929#0,6726041#3,817693#0,4241916#0,5898107#3,278203#-0,2270979#0,6448731#3,73172#0,1975742#0,6884307#3,397045#-0,08368182#0,6870852#3,633068#0,06904543#0,5022625#3,508399#0,05274897#0,4464038#3,494963#0,1161757#0,3646272#3,443417#-0,01334994#0,362832#3,546214#0,05953079#-0,09249686#3,066838#-0,03993993#-0,2056579#3,502019#0,03140955#-0,4670509#2,871075#0,1590302#-0,5755961#3,423843#-0,02355879#-0,5114617#2,819392#0,1535573#-0,6576817#3,405801#1  
frame6 #-0,03110695#0,9513591#3,453384#0,06315086#0,7914752#3,47206# 0,6970897#0,6188965#3,046968#-0,391544#0,7706489#3,893677#0,5968075#0,6009733#3,085899#-0,3499832#0,744011#3,852505#0,4252259#0,611343#3,267447#-0,2253007#0,6640975#3,74221#0,1999663#0,6926774#3,396909#-0,08194131#0,6948869#3,642911#0,07292689#0,5096141#3,501293#0,05788842#0,4539265#3,49004#0,1213804#0,3685104#3,432739#-0,009231071#0,3662628#3,546505#0,05834502#-0,0526564#3,07339#-0,05013767#-0,2100679#3,53745#-0,01528346#-0,4302574#2,842923#0,1333799#-0,5943337#3,419351#-0,06635158#-0,4681259#2,786494#0,08458021#-0,663857#3,416003#1  
frame7 #-0,0525976#0,9607025#3,467901#0,06490688#0,7956727#3,474407# 0,6669487#0,673081#3,019581#-0,4048612#0,797464#3,902463#0,5676633#0,6539595#3,07921#-0,3475704#0,785216#3,860395#0,4206243#0,6264336#3,25778#-0,2186967#0,7232449#3,746277#0,1988547#0,6955792#3,397508#-0,07952952#0,6970032#3,64314#0,07266241#0,5103507#3,499069#0,05885441#0,4543717#3,489278#0,1216014#0,3689547#3,431613#-0,005800804#0,3680645#3,546708#0,03961929#0,02031098#3,099131#-0,04909612#-0,2173802#3,541794#-0,05118085#-0,354308#2,851817#0,1418834#-0,598541#3,413385#-0,09641953#-0,4091093#2,758991#0,05586753#-0,6511461#3,448573#1  
frame8 #-0,04592635#0,9571673#3,4689#0,0682316#0,7985514#3,477879# 0,6353879#0,7327852#2,995755#-0,4367384#0,8429585#3,923402#0,5650158#0,6983236#3,041115#-0,3685178#0,8130062#3,855058#0,4152263#0,6280584#3,251263#-0,2184117#0,770862#3,758547#0,1981612#0,6975009#3,39629#-0,06748144#0,7578007#3,668261#0,0769119#0,5148678#3,499918#0,06201779#0,4589522#3,490821#0,1226574#0,3706163#3,433553#0,002754461#0,3883907#3,547758#0,03495301#0,02959031#3,100062#-0,04613974#-0,2087786#3,546987#-0,08673288#-0,2913975#2,857718#0,1413294#-0,5975289#3,412418#-0,1364869#-0,3370899#2,762021#0,07293071#-0,650428#3,416815#1  
frame9 #-0,04836959#0,9593439#3,468215#0,0636#0,8108494#3,479964# 0,5954998#0,7875289#2,977917#-0,4041283#0,9027471#3,864536#0,5371047#0,7357834#3,033289#-0,3390468#0,8775228#3,845902#0,4120209#0,6352891#3,246307#-0,2073238#0,7720677#3,771797#0,1969445#0,6981674#3,396363#-0,06750534#0,7612289#3,668833#0,07783461#0,5146022#3,499992#0,06425393#0,4565419#3,491451#0,1261202#0,3637924#3,436531#0,005710111#0,387589#3,547344#0,01188086#0,04107036#3,093598#0,09941666#-0,2315209#3,51596#-0,0736713#-0,2177659#2,884887#0,1411018#-0,5973107#3,411885#-0,1442236#-0,2660799#2,805686#0,07343861#-0,6478655#3,428838#1  
frame10 #-0,0504151#0,9577004#3,475572#0,06226896#0,8116823#3,494478# 0,5273876#0,8377278#2,986026#-0,395103#0,9694405#3,887298#0,4887393#0,7748781#3,032656#-0,3302705#0,9058003#3,850221#0,4085779#0,6366952#3,245941#-0,2066959#0,7928636#3,773764#0,1946793#0,699024#3,397775#-0,0687042#0,7649305#3,671437#0,0773252#0,5048913#3,51123#0,06366189#0,4432021#3,502593#0,1262407#0,3609943#3,446935#0,002605496#0,367575#3,554456#-0,001287922#0,04872885#3,10394#0,09933168#-0,2326588#3,51575#-0,1008533#-0,2083964#2,908542#0,1432134#-0,5961322#3,412199#-0,1813986#-0,2371184#2,828971#0,07348951#-0,6458591#3,423142#1  
frame11 #-0,05061606#0,9511851#3,483032#0,06454198#0,8131678#3,495929# 0,4662744#0,8510438#2,994964#-0,3817543#1,000369#3,883351#0,4438984#0,7882442#3,036331#-0,3229116#0,9375091#3,834613#0,3990356#0,6344776#3,244969#-0,1999971#0,8149505#3,770081#0,188623#0,7006613#3,40127#-0,06498541#0,766196#3,670297#0,080042#0,5026921#3,513462#0,06633751#0,4401293#3,504908#0,126716#0,3602971#3,447724#0,008265709#0,3629884#3,559668#-0,01689523#0,04843768#3,111908#0,09889176#-0,234341#3,516714#-0,1212581#-0,2150255#2,942902#0,1441911#-0,5957742#3,412591#-0,2097404#-0,2173061#2,866941#0,07445593#-0,6453288#3,423249#1  
