frame1 #0,08874635#0,8293604#3,283956#0,01679466#0,667968#3,302939# 0,05150445#0,526648#3,140204#0,1551045#0,3605315#3,170993#0,09364294#0,4814504#3,171478#0,06572323#0,3511158#3,133578#0,2200584#0,3458576#3,27874#-0,1408377#0,3592374#3,126142#0,1830183#0,5793844#3,430192#-0,1320319#0,5643048#3,235474#0,0004497748#0,3160831#3,315456#-0,002819203#0,2457061#3,321244#0,06458952#0,1742311#3,346224#-0,07718309#0,1674453#3,297989#0,05470494#-0,2453355#3,079988#-0,1221757#-0,2382318#3,29424#0,06037319#-0,5828032#2,93081#-0,03811923#-0,5819505#3,382474#0,1108935#-0,6342507#2,853361#-0,01483662#-0,6162195#3,268053#1  
frame2 #0,08902345#0,8297203#3,28444#0,0173495#0,6681069#3,303418# 0,2149321#0,5030237#3,101037#0,1304979#0,3602811#3,182168#0,1666129#0,5174102#3,15016#0,04762109#0,3433021#3,138434#0,2191443#0,3557818#3,272076#-0,1497444#0,3791732#3,13182#0,1827235#0,5790768#3,432438#-0,1318594#0,5645868#3,235369#0,0006185642#0,3158028#3,315634#-0,002675007#0,2452918#3,32138#0,06463239#0,1737978#3,345827#-0,07706043#0,1673437#3,298345#0,05453906#-0,2458792#3,080073#-0,1235888#-0,2351674#3,292926#0,06050757#-0,5822428#2,930989#-0,07048099#-0,4992905#3,268763#0,1103981#-0,6325525#2,855521#-0,03042187#-0,5511045#3,169356#1  
frame3 #0,08781508#0,8297824#3,285742#0,01733083#0,6682218#3,303575# 0,08716348#0,5641618#3,159673#0,1321491#0,3612044#3,182397#0,1206215#0,511886#3,183928#0,04971966#0,3433407#3,139446#0,2209954#0,3550585#3,270184#-0,1459729#0,3777279#3,13088#0,1787459#0,5768833#3,42333#-0,1320228#0,5646585#3,235144#0,0005358501#0,3154792#3,315661#-0,002802312#0,2447428#3,321342#0,06429032#0,1732833#3,345488#-0,07704464#0,1672859#3,298459#0,05302023#-0,2504869#3,083957#-0,117863#-0,255603#3,289593#0,06440523#-0,5894855#2,935454#-0,03844133#-0,591165#3,404701#0,1083798#-0,6349261#2,866606#-0,0432811#-0,6644474#3,374371#1  
frame4 #0,08783634#0,8292403#3,287668#0,01731403#0,668092#3,303871# -0,01508534#0,4178525#3,154339#0,1181987#0,3403062#3,161492#0,04360658#0,4026778#3,179356#0,0313549#0,3312215#3,126963#0,2196823#0,3571536#3,267917#-0,1571945#0,3865305#3,130603#0,1772338#0,576867#3,421333#-0,1324671#0,5654715#3,235078#0,0005573409#0,3146034#3,315687#-0,002768897#0,2436449#3,321264#0,06411292#0,1721807#3,344517#-0,07687358#0,1670296#3,298778#0,05287625#-0,2497915#3,081599#-0,1181822#-0,2557797#3,290107#0,0636602#-0,586742#2,935497#-0,1067621#-0,5198858#3,267901#0,1102803#-0,6352026#2,862209#-0,03601797#-0,4818989#3,294357#1  
frame5 #0,08664578#0,8285117#3,288281#0,01689059#0,6685386#3,304109# 0,03614756#0,4405523#3,114444#0,1828612#0,3906435#3,223071#0,08032408#0,418067#3,156123#0,0953221#0,3816427#3,185171#0,2128537#0,350611#3,294662#-0,1579658#0,3901236#3,128885#0,1772578#0,5770181#3,421103#-0,1335074#0,5659688#3,234314#0,0001539315#0,3151121#3,315777#-0,003190354#0,244222#3,321338#0,06353915#0,1723695#3,346386#-0,07758677#0,1672534#3,297507#0,0527351#-0,2494843#3,080267#-0,1186533#-0,2566194#3,289464#0,06227444#-0,5698186#2,939078#-0,1326084#-0,5078095#3,261134#0,108347#-0,6177199#2,866604#-0,09306133#-0,4366553#3,280093#1  
frame6 #0,07562073#0,8575779#3,29502#0,01522499#0,6732039#3,304207# 0,0356783#0,4418273#3,117661#0,1279594#0,3723989#3,196652#0,08052471#0,4188634#3,157695#0,04238594#0,356247#3,157507#0,2150639#0,3499716#3,291294#-0,1581293#0,3923076#3,130463#0,1770041#0,5799973#3,423193#-0,1355261#0,5673652#3,235158#-0,0005417062#0,3163448#3,315583#-0,003754287#0,2450925#3,321136#0,06323243#0,1732361#3,345954#-0,07812189#0,1677429#3,297476#0,05217899#-0,2495787#3,081034#-0,1180251#-0,2592265#3,289387#0,06272221#-0,5818352#2,934311#-0,04162222#-0,5798072#3,390764#0,1068828#-0,6276181#2,864931#-0,04276922#-0,6596575#3,385876#1  
frame7 #0,07581349#0,8350003#3,296628#0,01312664#0,6710924#3,305161# -0,03010698#0,3268556#3,127467#0,1279233#0,3411238#3,169259#0,03145291#0,3346619#3,160574#0,03935969#0,3303468#3,135917#0,2161326#0,3580807#3,273396#-0,1493499#0,3709352#3,133703#0,1743089#0,5791324#3,416399#-0,1398764#0,5672219#3,237261#-0,0008900833#0,3163014#3,315759#-0,00396521#0,2451613#3,321254#0,06320511#0,1732622#3,345834#-0,07846292#0,167872#3,298046#0,0521347#-0,2496793#3,08118#-0,1176498#-0,2595431#3,290022#0,06506513#-0,5866013#2,935251#-0,0226928#-0,5876271#3,346768#0,1080126#-0,6327905#2,864032#0,02025471#-0,6338163#3,275549#1  
frame8 #0,07373711#0,835727#3,297651#0,01120054#0,6711215#3,306401# -0,1252315#0,3253867#3,11463#0,09581461#0,3273433#3,170537#-0,0453928#0,3309354#3,149063#0,006421432#0,3173093#3,139583#0,1941233#0,3475814#3,265832#-0,1740497#0,3881076#3,145247#0,1725341#0,579794#3,412757#-0,145596#0,5670428#3,241088#-0,001233797#0,3174894#3,315964#-0,004061932#0,2468169#3,321335#0,06399148#0,1753723#3,34439#-0,07852999#0,1694834#3,299097#0,05197273#-0,2499482#3,080906#-0,1178006#-0,2597057#3,290716#0,06528605#-0,5872023#2,935476#-0,02247856#-0,5875611#3,346709#0,1056487#-0,632302#2,864757#0,01788406#-0,6326609#3,27599#1  
frame9 #0,07312644#0,836394#3,298432#0,009735974#0,6775932#3,310043# -0,1195415#0,3305652#3,126087#0,1635068#0,3569963#3,221787#-0,04340045#0,3340898#3,158076#0,06967627#0,3599303#3,203849#0,1850227#0,3446638#3,267525#-0,1883594#0,3794716#3,161733#0,1726995#0,5809234#3,412668#-0,1509475#0,568867#3,249673#-0,002292293#0,3188494#3,318267#-0,004106014#0,2475739#3,321631#0,06458651#0,1760366#3,343785#-0,07885698#0,1698932#3,299868#0,0513174#-0,2487922#3,081172#-0,1184813#-0,2386201#3,295599#0,0649128#-0,5873227#2,935418#-0,06715004#-0,4999651#3,297729#0,1026858#-0,631559#2,864494#-0,02937707#-0,5442015#3,226804#1  
frame10 #0,0560863#0,8799494#3,291652#0,0038027#0,6914719#3,315398# -0,007631283#0,3402159#3,218412#0,1080173#0,3826681#3,218754#0,04119045#0,3669705#3,284537#0,05107059#0,3422205#3,209542#0,1876556#0,4472345#3,496407#-0,2016127#0,383331#3,181709#0,1680751#0,5978132#3,405933#-0,1598918#0,5815792#3,271428#-0,004445892#0,3256462#3,319783#-0,005473958#0,2529883#3,321893#0,06428254#0,1787477#3,339942#-0,08071768#0,1814957#3,304857#0,05087527#-0,2516376#3,081165#-0,1222115#-0,2317177#3,295985#0,06425574#-0,5874909#2,935198#-0,06846242#-0,4898118#3,296481#0,09590024#-0,6308789#2,862262#-0,1331038#-0,4675743#3,261069#1  
frame11 #0,05399724#0,8784009#3,294501#0,001049137#0,6931559#3,317356# 0,06579911#0,2844138#3,193194#-0,004567415#0,2676985#3,17747#0,09569294#0,3248141#3,261828#-0,09926647#0,2796808#3,177613#0,1853744#0,4460149#3,481213#-0,235788#0,4001629#3,240351#0,1656945#0,6042783#3,398284#-0,1681726#0,5872816#3,289216#-0,007695788#0,3322328#3,320933#-0,008558625#0,2607326#3,321628#0,06309562#0,183491#3,336583#-0,08396921#0,1877488#3,305649#0,04998683#-0,2525782#3,08314#-0,1199547#-0,2507572#3,304162#0,06335418#-0,5874153#2,937222#-0,0655157#-0,5079713#3,282204#0,08969036#-0,6313254#2,86114#-0,05087696#-0,5866151#3,35093#1  
