frame1 #-0,02339716#0,922067#3,436304#-0,04152276#0,7246148#3,480232# 0,2224881#0,6554378#3,33348#0,1305358#0,4595971#3,369785#0,1986345#0,6027532#3,347415#0,05168563#0,4528117#3,355145#0,1270737#0,4446992#3,402935#-0,1848648#0,4324554#3,32494#0,1238782#0,6382532#3,541655#-0,1923519#0,6161725#3,420811#-0,06419306#0,3624004#3,490625#-0,06130755#0,2904002#3,476559#0,006527565#0,2225786#3,488829#-0,135776#0,2126422#3,458458#0,009981861#-0,2547787#3,255281#-0,1681769#-0,2634711#3,45164#0,02554691#-0,6105907#3,056489#0,01089697#-0,6085504#3,057152#0,06068692#-0,661127#2,969429#0,04603697#-0,6590867#2,970091#1  
frame2 #-0,02161693#0,9203289#3,434647#-0,04056951#0,7258526#3,481832# -0,06340905#0,3977476#3,319914#0,0311948#0,3748753#3,232985#-0,03390129#0,4357457#3,334586#-0,02282202#0,3893407#3,252557#0,1350482#0,4512342#3,401283#-0,1848725#0,4327369#3,324985#0,124521#0,6384028#3,543922#-0,1923766#0,6161413#3,420825#-0,06422202#0,3625238#3,490743#-0,06123757#0,2905095#3,47647#0,006704713#0,2228042#3,488275#-0,135778#0,2126798#3,45842#0,01168325#-0,2540654#3,254508#-0,1737444#-0,2408613#3,448287#0,02757325#-0,5872081#3,068652#-0,05641738#-0,6184661#3,53302#0,05786656#-0,6300911#2,994781#-0,1123545#-0,6680626#3,514434#1  
frame3 #-0,02118369#0,9185455#3,431767#-0,04099272#0,7267807#3,482063# -0,08117552#0,4232182#3,3177#0,03901392#0,3754383#3,23153#-0,02560019#0,4316531#3,335104#-0,03006425#0,3762495#3,24849#0,1411258#0,4569578#3,401034#-0,1851049#0,4354617#3,322377#0,1241777#0,638178#3,542537#-0,1924257#0,6161386#3,420887#-0,06425536#0,3626041#3,490925#-0,06124965#0,2905566#3,476441#0,006705975#0,2228942#3,487997#-0,1357738#0,2127468#3,458441#0,01181104#-0,2540082#3,254276#-0,1717157#-0,248782#3,447994#0,02903023#-0,5897198#3,065726#-0,05468039#-0,6220124#3,534098#0,05736053#-0,6301782#2,995885#-0,1100842#-0,6654914#3,516023#1  
frame4 #-0,02051969#0,9246454#3,43056#-0,04138967#0,7278426#3,481789# -0,07706212#0,424912#3,321788#0,0273139#0,3678865#3,23607#-0,02143946#0,4332311#3,338039#-0,04064229#0,3810618#3,241014#0,1454285#0,4581884#3,400486#-0,1918913#0,438197#3,323294#0,1240422#0,6387985#3,542527#-0,1925677#0,6164759#3,420953#-0,06418023#0,3637664#3,490636#-0,06101037#0,2917314#3,475888#0,007040591#0,2240176#3,487595#-0,135451#0,2138258#3,457645#0,01202631#-0,2542611#3,253694#-0,1745891#-0,2295066#3,449608#0,02997054#-0,5884503#3,067431#-0,06760354#-0,571834#3,498083#0,05983454#-0,631097#2,993748#-0,03773955#-0,6144806#3,424399#1  
frame5 #-0,01842942#0,9275261#3,431877#-0,0424269#0,7287569#3,480652# -0,127482#0,3749597#3,287138#0,04772494#0,3584514#3,244029#-0,05763001#0,3967844#3,311911#-0,02183221#0,3734372#3,245435#0,1519259#0,4622586#3,399924#-0,1778403#0,4343342#3,312245#0,1235801#0,6388177#3,54238#-0,1931824#0,6170114#3,421776#-0,06423636#0,3641075#3,490447#-0,06100446#0,2919683#3,475686#0,007102414#0,2242076#3,487375#-0,1353555#0,2141838#3,457549#0,0132471#-0,2535213#3,250968#-0,1747639#-0,2280243#3,449354#0,03007399#-0,5885107#3,067389#-0,06636635#-0,5726336#3,496565#0,05898507#-0,6301262#2,99547#-0,1013157#-0,6374701#3,509485#1  
frame6 #-0,009153269#0,9054298#3,435121#-0,04277681#0,727748#3,480811# -0,1359561#0,3844851#3,292876#0,03815677#0,3486686#3,229084#-0,06353419#0,4023558#3,315245#-0,01158638#0,3956226#3,249913#0,1537316#0,4559681#3,396047#-0,1773013#0,4327697#3,31102#0,1235019#0,6385875#3,542151#-0,1936887#0,6164038#3,421088#-0,06420898#0,3641458#3,490479#-0,06081123#0,29218#3,475571#0,007721175#0,2246943#3,486366#-0,1350967#0,2144426#3,457826#0,0135634#-0,2531614#3,250515#-0,175499#-0,2254916#3,449115#0,02946682#-0,5886865#3,067314#-0,06378613#-0,5810528#3,500652#0,05784409#-0,6294228#2,99688#-0,1036428#-0,639942#3,518218#1  
frame7 #-0,007843756#0,9029034#3,437117#-0,04257546#0,7273435#3,481401# -0,04137547#0,5030136#3,325711#0,02178808#0,3399017#3,23265#0,01436724#0,495277#3,341668#-0,03099875#0,3827224#3,251318#0,1815954#0,4720674#3,403247#-0,1884274#0,4412545#3,315876#0,1235093#0,6389893#3,543944#-0,1945082#0,6151864#3,420128#-0,06428611#0,3640537#3,490596#-0,06069719#0,2921064#3,475491#0,008006705#0,2246623#3,48586#-0,1350449#0,2141086#3,457757#0,0134552#-0,2534674#3,250225#-0,1708026#-0,2495995#3,448652#0,02986782#-0,5882676#3,067615#-0,06017324#-0,6017125#3,499815#0,05817689#-0,6281937#2,99869#-0,1106312#-0,6503037#3,515816#1  
frame8 #-0,004946552#0,9026484#3,436826#-0,04207846#0,7272621#3,481662# -0,05705566#0,4120979#3,335678#0,0275398#0,3569237#3,234725#-0,002311885#0,4270751#3,348606#-0,03149509#0,3958767#3,245016#0,1619194#0,4720066#3,401103#-0,1898451#0,4424297#3,315765#0,1238471#0,6385084#3,544139#-0,1942844#0,6151869#3,420859#-0,06393617#0,363996#3,490714#-0,06031005#0,2920634#3,475365#0,008534225#0,2244909#3,485349#-0,1347777#0,2141399#3,457819#0,01449436#-0,2535568#3,245947#-0,1779747#-0,2264993#3,446526#0,0306189#-0,5898225#3,06764#-0,06365494#-0,5857249#3,489953#0,05866169#-0,6295114#2,999043#-0,1038418#-0,6418762#3,514324#1  
frame9 #0,0006739311#0,8987739#3,440767#-0,04235637#0,726126#3,482652# -0,06189639#0,4134059#3,337674#0,01817738#0,3421845#3,230382#-0,00720571#0,4272579#3,350887#-0,04319653#0,3784013#3,237641#0,1568663#0,4688139#3,404244#-0,1916253#0,4436551#3,314037#0,1250491#0,6366522#3,54379#-0,192718#0,6141366#3,421123#-0,06383604#0,3638187#3,490987#-0,0600495#0,2919898#3,475291#0,008801347#0,2243512#3,485416#-0,1341748#0,2140867#3,457242#0,01577541#-0,2509202#3,243812#-0,1781137#-0,2259643#3,446602#0,03060188#-0,5905119#3,06705#-0,0641979#-0,5804555#3,487976#0,05852364#-0,6300876#2,998476#-0,1038976#-0,639702#3,514204#1  
frame10 #0,010598#0,8889605#3,446711#-0,04186831#0,7257914#3,482625# 0,00265133#0,6178061#3,331379#0,02015663#0,3428626#3,249197#0,04358097#0,5808051#3,348132#-0,04519778#0,3699488#3,25307#0,1663699#0,4698023#3,412121#-0,1931209#0,4458573#3,314563#0,1251953#0,6360205#3,544015#-0,1927164#0,6139844#3,421108#-0,06179293#0,3618486#3,490889#-0,057444#0,2896307#3,474779#0,01357898#0,215364#3,482569#-0,1319274#0,2146107#3,457855#0,01578459#-0,2501166#3,241544#-0,1775259#-0,2254847#3,447071#0,03104282#-0,5879787#3,070617#-0,06338558#-0,5742099#3,479084#0,0592679#-0,6278648#3,001387#-0,1077167#-0,6411545#3,514989#1  
frame11 #0,0133198#0,8885403#3,449569#-0,04061617#0,7249256#3,482615# 0,01514044#0,5367202#3,294081#0,01881504#0,3405164#3,249416#0,05902734#0,5229256#3,327725#-0,04514454#0,3696011#3,253818#0,190688#0,4815417#3,442387#-0,1913411#0,4452858#3,313732#0,1287848#0,623576#3,541648#-0,1923989#0,6139708#3,421067#-0,06074473#0,3608898#3,490731#-0,05651584#0,2887369#3,474145#0,01463506#0,2124255#3,481595#-0,1313129#0,2151766#3,457447#0,01615479#-0,2501952#3,240381#-0,1773603#-0,2232895#3,447878#0,03069#-0,5908114#3,07009#-0,06589757#-0,571556#3,477854#0,05828029#-0,6306444#3,000672#-0,03830728#-0,6113891#3,408436#1  
