frame1 #-0,00693772#0,9749832#3,276425#0,004800285#0,7832688#3,328975# 0,3981377#0,1391242#3,38074#-0,4295023#0,1194817#3,301764#0,3746251#0,1981108#3,37496#-0,3950904#0,1708803#3,32097#0,2878303#0,4193621#3,396517#-0,2579885#0,412951#3,417896#0,1545386#0,6663359#3,328507#-0,1801701#0,6613789#3,407972#0,002571097#0,4126919#3,341809#-0,00595931#0,3410049#3,313909#0,0674837#0,2654009#3,2933#-0,08313524#0,2631703#3,324417#0,09553407#-0,2574469#3,145998#-0,07093943#-0,2550713#3,348323#0,1032303#-0,5958477#2,943579#0,01689596#-0,6208415#3,383791#0,08476536#-0,637242#2,867293#-0,04495306#-0,6749216#3,384649#1  
frame2 #-0,02128953#0,9738721#3,290175#0,001454716#0,7844427#3,333776# 0,4504855#0,1727943#3,35967#-0,5388331#0,1659558#3,435206#0,4296611#0,2298451#3,356318#-0,4781703#0,1992964#3,418439#0,3044365#0,4312149#3,392904#-0,2784413#0,4279617#3,44881#0,1540309#0,6666924#3,327846#-0,181666#0,6636608#3,417937#0,001068544#0,4138773#3,343827#-0,008212907#0,3424422#3,315402#0,06568983#0,2662245#3,293#-0,08574222#0,2647029#3,327552#0,09567821#-0,2570537#3,137833#-0,0701597#-0,2557088#3,348129#0,103005#-0,5994138#2,940358#0,01699391#-0,6214386#3,384331#0,0825995#-0,6399822#2,86587#-0,04325977#-0,6743304#3,38288#1  
frame3 #-0,07003617#0,9634554#3,317643#-0,007208902#0,7940607#3,356508# 0,5691344#0,2659501#3,270274#-0,5919062#0,3243016#3,622776#0,5046854#0,3287227#3,260695#-0,52283#0,3638932#3,596881#0,347704#0,4847594#3,350345#-0,3126228#0,5026537#3,532913#0,1468585#0,6743828#3,326728#-0,1892177#0,6689413#3,463273#-0,009251789#0,4262995#3,358789#-0,02368828#0,3566549#3,329115#0,04906678#0,2793476#3,295145#-0,1029207#0,2767875#3,350961#0,0774392#-0,2444649#3,052014#-0,07069742#-0,2550558#3,349019#0,09936287#-0,5977724#2,922378#0,0163521#-0,6204244#3,384863#0,07004717#-0,6369959#2,852469#-0,04372447#-0,6746293#3,381073#1  
frame4 #-0,09335092#0,9698086#3,337341#-0,0167881#0,7971477#3,364284# 0,6496494#0,3883281#3,17448#-0,5643731#0,5036584#3,731023#0,5885031#0,417744#3,17336#-0,5127655#0,519814#3,690022#0,3587736#0,5373819#3,294364#-0,3442729#0,5933322#3,585119#0,135342#0,6836263#3,326195#-0,1936844#0,6767354#3,477489#-0,01382301#0,4138771#3,365592#-0,02992705#0,3384841#3,335462#0,04204925#0,2609365#3,296541#-0,1058988#0,2563442#3,36035#0,04458239#-0,1908963#2,997099#-0,08366945#-0,2443132#3,351177#0,04231805#-0,5699611#2,869171#-0,01751763#-0,5421288#3,401306#0,00774217#-0,6116152#2,796511#-0,050668#-0,6367399#3,372889#1  
frame5 #-0,09815498#0,968672#3,340348#-0,02114025#0,7993174#3,377003# 0,6469871#0,4774405#3,121092#-0,5476031#0,6191715#3,768267#0,5670429#0,4989401#3,154794#-0,510121#0,6116912#3,714381#0,3617465#0,5640836#3,275436#-0,3420103#0,6202747#3,598577#0,1314252#0,688679#3,326619#-0,1949724#0,6836081#3,486471#-0,01829914#0,413457#3,375797#-0,03551996#0,3392426#3,343435#0,0355518#0,2614696#3,30251#-0,1112781#0,2576712#3,368901#0,0249302#-0,1353986#2,992463#-0,1060268#-0,1873257#3,340472#-0,006558808#-0,5198833#2,856514#-0,0459809#-0,4853432#3,377867#-0,03703107#-0,5798802#2,803347#-0,08575319#-0,5846512#3,343631#1  
frame6 #-0,134421#0,9422352#3,366121#-0,03529227#0,8024496#3,388131# 0,613007#0,7326869#3,015879#-0,5088183#0,8611394#3,830631#0,5360903#0,6930309#3,048644#-0,4449226#0,8367106#3,768318#0,3684602#0,6480583#3,22836#-0,3358945#0,7139164#3,653376#0,1145437#0,7006499#3,3175#-0,2008407#0,7378836#3,523695#-0,0204328#0,4288445#3,393645#-0,03922781#0,3582475#3,365882#0,03268649#0,2678056#3,311459#-0,1086556#0,2888477#3,409978#-0,007960584#-0,06406386#2,972829#-0,1060827#-0,1470425#3,349547#-0,09181303#-0,347252#2,844269#0,0464878#-0,5368527#3,376226#-0,1535366#-0,3899027#2,759939#-0,01540602#-0,6309675#3,383434#1  
frame7 #-0,1369405#0,9418541#3,369037#-0,04267669#0,8046486#3,394928# 0,5236315#0,8782691#2,968954#-0,4847918#0,965896#3,822501#0,4847084#0,83145#3,002577#-0,454308#0,9107881#3,753176#0,3512534#0,6867281#3,183442#-0,3410118#0,7639447#3,6778#0,1074137#0,7055592#3,312819#-0,2023821#0,7539052#3,553676#-0,02506486#0,4353694#3,405533#-0,0453585#0,3641101#3,379667#0,02459369#0,2708389#3,324066#-0,1134711#0,2915515#3,423886#-0,0501441#-0,009271552#2,985046#-0,1181239#-0,1408035#3,367142#-0,1324044#-0,2847638#2,840627#0,02049869#-0,5340387#3,387447#-0,2318265#-0,3082719#2,791608#-0,04325622#-0,6275473#3,393083#1  
frame8 #-0,1405386#0,9425132#3,370726#-0,04479732#0,805984#3,397326# 0,3828889#0,9512246#2,953733#-0,4560266#1,123086#3,828732#0,3699935#0,8874388#2,982489#-0,4467223#1,048788#3,769213#0,3216572#0,7158968#3,139084#-0,3339289#0,8669792#3,692601#0,1012863#0,7089637#3,309753#-0,2018846#0,7544789#3,558128#-0,02444497#0,4367992#3,408792#-0,04462636#0,3650666#3,384439#0,02445066#0,2723869#3,330155#-0,1113794#0,2923529#3,429352#-0,07768382#0,02026293#2,982954#-0,02777586#-0,2456261#3,410168#-0,2820378#-0,1987856#2,890322#0,008885222#-0,5600387#3,393113#-0,3385661#-0,2449219#2,823186#-0,03544815#-0,6575685#3,379119#1  
frame9 #-0,155219#0,9406376#3,385419#-0,06056925#0,8058482#3,416496# 0,242294#1,009519#2,934098#-0,4407629#1,192096#3,694434#0,2541446#0,9192509#2,965288#-0,4100729#1,11371#3,68626#0,2765462#0,7338509#3,09264#-0,3354312#0,8805357#3,681381#0,09068605#0,7114705#3,305008#-0,1998927#0,7555659#3,562535#-0,01625328#0,5130778#3,431262#-0,03141854#0,454293#3,407553#0,0378917#0,3712662#3,361988#-0,08599186#0,3907987#3,440237#-0,09367637#0,04878532#3,039479#-0,03188786#-0,192432#3,413128#-0,3021607#-0,16921#2,976139#0,06010352#-0,5703877#3,384978#-0,3615139#-0,216995#2,91179#-0,02451831#-0,6477131#3,381132#1  
frame10 #-0,1554889#0,9637159#3,408158#-0,05991256#0,8298948#3,439689# -0,03553499#0,9827099#3,020724#-0,3165282#1,078436#3,376884#0,01344726#0,8991914#3,009986#-0,3332893#0,995266#3,426535#0,1409903#0,7284263#3,03966#-0,3682129#0,8560349#3,583707#0,07307627#0,7017822#3,271029#-0,1928268#0,7746834#3,5493#-0,009646894#0,5025814#3,431291#-0,0244175#0,434232#3,408221#0,05880633#0,3261854#3,337866#-0,08559373#0,3734963#3,454304#-0,236769#-0,05128327#3,190706#-0,02963526#-0,215812#3,410105#-0,03553508#-0,3850907#3,295373#0,06788251#-0,5915236#3,381284#-0,1020245#-0,433339#3,234218#-0,02958898#-0,6566544#3,369941#1  
frame11 #-0,2002199#0,9401437#3,415229#-0,06843498#0,8226664#3,435952# -0,09903422#0,945972#3,062033#-0,299298#0,9723929#3,328172#-0,06923556#0,8805192#3,066505#-0,3159201#0,8899131#3,377412#0,1050463#0,6837516#3,019699#-0,3935927#0,7623745#3,523282#0,04568301#0,6450298#3,292531#-0,1945727#0,7698264#3,559567#-0,01282092#0,465134#3,429672#-0,02852288#0,3921818#3,407079#0,04550465#0,2989469#3,330744#-0,08013498#0,3136953#3,46944#-0,1518159#-0,1522575#3,320452#-0,02049162#-0,243352#3,411517#0,04161821#-0,521136#3,322832#0,0833302#-0,6019491#3,363092#0,02032398#-0,637727#3,323453#-0,01628835#-0,6628864#3,342842#1  
