frame1 #0,04861039#0,8893915#3,251375#-0,02818861#0,7217751#3,273271# 0,2772453#0,6178384#3,130552#-0,0538135#0,3176136#3,01736#0,2227327#0,5845508#3,142353#-0,06244236#0,3705921#3,053936#0,1413079#0,4686409#3,216662#-0,1986487#0,4405307#3,083681#0,1125327#0,6207821#3,333904#-0,1723178#0,6107642#3,174001#-0,07768084#0,3419307#3,283922#-0,06063727#0,2689328#3,241324#-0,001285262#0,2050463#3,252748#-0,129468#0,2005382#3,216442#0,0069505#-0,2750403#3,024137#-0,1783472#-0,2194669#3,196424#0,02141557#-0,6077619#2,854994#-0,037157#-0,4941616#2,948231#0,06449616#-0,6519509#2,782087#0,005923588#-0,5383506#2,875324#1  
frame2 #0,04854419#0,8890843#3,250112#-0,02824268#0,7216985#3,27336# 0,3219579#0,5827707#3,229189#-0,05816457#0,31729#3,015#0,2780094#0,535038#3,225816#-0,06301132#0,3683355#3,054902#0,1409945#0,468596#3,216879#-0,1982502#0,4405459#3,083772#0,1121397#0,6207069#3,335529#-0,1723176#0,6106824#3,174101#-0,07800042#0,3419203#3,283878#-0,06078776#0,2689115#3,241372#-0,001630955#0,204885#3,253356#-0,1298703#0,2001432#3,215044#0,006166224#-0,2688558#3,025236#-0,1781145#-0,2194473#3,196482#0,02121042#-0,6079893#2,855016#-0,06208319#-0,626867#3,277452#0,05889364#-0,6463299#2,791936#-0,02439998#-0,6652076#3,214372#1  
frame3 #0,04391054#0,8874502#3,250866#-0,02875909#0,7212169#3,273023# 0,3244919#0,4753528#3,296793#-0,01715698#0,3257034#3,034332#0,2784254#0,4743271#3,273317#-0,06054059#0,3686322#3,056778#0,140226#0,4712501#3,217017#-0,1980491#0,4396014#3,082012#0,112214#0,6266376#3,345407#-0,1728936#0,6102945#3,173397#-0,07942039#0,3422748#3,283065#-0,06122999#0,2692897#3,24116#-0,002029014#0,2055519#3,253339#-0,1304016#0,2000057#3,214722#0,006061421#-0,270872#3,02146#-0,1769497#-0,2207751#3,196651#0,02088876#-0,6090568#2,854841#-0,06098046#-0,6310403#3,279073#0,05851734#-0,6457272#2,795484#-0,02335187#-0,6677107#3,219717#1  
frame4 #0,04075255#0,8867536#3,252289#-0,02946864#0,7207549#3,271894# 0,3034718#0,4718261#3,33117#-0,01653137#0,3266427#3,032279#0,2627212#0,4717056#3,299029#-0,0611486#0,3673282#3,056541#0,1404697#0,4713443#3,216696#-0,198303#0,4402601#3,081241#0,1124404#0,626274#3,344943#-0,1733727#0,6100644#3,172817#-0,07991119#0,3432738#3,282523#-0,0618497#0,270725#3,240754#-0,002385515#0,2063753#3,254204#-0,1313551#0,2007443#3,21307#0,005879465#-0,2660417#3,020348#-0,1769153#-0,2207997#3,196453#0,02645684#-0,6042681#2,860243#-0,06092855#-0,6350453#3,278801#0,0636902#-0,640625#2,801409#-0,02369519#-0,6714022#3,219967#1  
frame5 #0,03883382#0,8763703#3,251746#-0,02985924#0,7178663#3,271844# 0,3238603#0,467468#3,349881#-0,02869533#0,3179848#3,029622#0,2831734#0,4685972#3,317778#-0,06123926#0,3668554#3,057762#0,1611127#0,4719846#3,235533#-0,1984037#0,4396704#3,08015#0,1128544#0,6252313#3,34737#-0,1741187#0,6089822#3,172169#-0,08045566#0,3434239#3,282167#-0,0623524#0,2712002#3,240586#-0,002798521#0,2067257#3,254387#-0,1322076#0,2008156#3,212416#0,00612854#-0,2639376#3,019191#-0,1768027#-0,2215249#3,196449#0,02754726#-0,6020502#2,861438#-0,06028403#-0,623902#3,246525#0,0691181#-0,6422349#2,79665#-0,01871318#-0,6640867#3,181737#1  
frame6 #0,03569741#0,8795217#3,249338#-0,03128466#0,7178388#3,270406# 0,2763981#0,4819342#3,343074#-0,05674259#0,3310612#3,014786#0,2422678#0,4771144#3,303605#-0,05902#0,3683048#3,067732#0,1398771#0,4626553#3,199229#-0,1993164#0,4391756#3,07911#0,1128116#0,6252826#3,347278#-0,1765068#0,6102355#3,172342#-0,0808963#0,3445086#3,28159#-0,06292088#0,2725677#3,240175#-0,002888295#0,207203#3,254618#-0,1329762#0,2015837#3,211432#0,006096974#-0,2669656#3,019896#-0,1768189#-0,2214793#3,19634#0,02776446#-0,6008067#2,861274#-0,06011039#-0,6238407#3,246234#0,06877524#-0,6407363#2,796764#-0,01909961#-0,6637703#3,181724#1  
frame7 #0,03612878#0,9000546#3,245375#-0,03266317#0,7236406#3,26728# 0,2740313#0,4797212#3,348363#-0,04738932#0,3345858#3,015052#0,2406043#0,4757361#3,307638#-0,06207074#0,3637822#3,069457#0,1403233#0,4637805#3,199487#-0,2014724#0,4391049#3,079051#0,1127394#0,6254942#3,347624#-0,1772612#0,6116844#3,173779#-0,08075622#0,3458602#3,280657#-0,06297035#0,2731978#3,239805#-0,002799455#0,2075596#3,254469#-0,133015#0,2021128#3,21122#0,005197666#-0,26333#3,022536#-0,1762302#-0,2216984#3,196536#0,02788746#-0,5997201#2,862384#-0,06020478#-0,6239344#3,244629#0,06885676#-0,6399602#2,797411#-0,01923548#-0,6641745#3,179657#1  
frame8 #0,02469325#0,9149276#3,243567#-0,04209982#0,7374641#3,263334# -0,04414539#0,3604882#3,091782#-0,02948954#0,3424636#3,045445#0,0009030849#0,3825738#3,114242#-0,09035134#0,3359313#3,053774#0,1360485#0,4488307#3,195625#-0,2258439#0,4253046#3,096904#0,1126737#0,6286778#3,353064#-0,1866118#0,615078#3,182289#-0,08045086#0,3569475#3,278044#-0,06256634#0,2841163#3,238432#0,0004344043#0,215916#3,255797#-0,1332137#0,2086309#3,208602#0,006178696#-0,2605714#3,028402#-0,1631299#-0,2551046#3,201844#0,02954114#-0,5988658#2,864388#-0,06213038#-0,6274537#3,28186#0,06854393#-0,63844#2,799386#-0,1163529#-0,6740017#3,295145#1  
frame9 #0,02167232#0,9301046#3,239842#-0,04389755#0,7401308#3,262621# 0,04381975#0,3158833#3,030731#-0,1094687#0,2727011#3,076833#0,06668165#0,3458719#3,072569#-0,1002356#0,3341904#3,065898#0,1352674#0,4358377#3,212072#-0,2380543#0,4304651#3,096883#0,1101606#0,6365185#3,34611#-0,1927691#0,6216162#3,190683#-0,07648049#0,3652885#3,27728#-0,05900833#0,2945748#3,237031#0,003543828#0,2188107#3,254975#-0,126562#0,2288037#3,206098#0,004462126#-0,258847#3,037669#-0,1631098#-0,2551818#3,203102#0,0297659#-0,598756#2,864554#-0,06158511#-0,6283301#3,281967#0,0656434#-0,6380931#2,797966#-0,02570762#-0,6676672#3,215379#1  
frame10 #0,01713217#0,9399102#3,240823#-0,04673397#0,745759#3,263278# 0,1012783#0,3447159#3,120739#-0,02658653#0,3180799#3,086703#0,1077595#0,376392#3,190413#-0,0874368#0,3413247#3,097049#0,1272031#0,4714203#3,413469#-0,2699876#0,4110591#3,142125#0,1099865#0,6400435#3,343217#-0,2012331#0,6285737#3,202204#-0,07490195#0,3674735#3,277337#-0,0591957#0,2963606#3,236399#0,004181041#0,2194677#3,253468#-0,1269674#0,2297995#3,206057#0,006991717#-0,2674638#3,040752#-0,1600638#-0,2607211#3,207874#0,02610673#-0,6071818#2,862072#-0,06091237#-0,6269834#3,270402#0,05857776#-0,6463975#2,793919#-0,02844135#-0,6661991#3,20225#1  
frame11 #0,003417712#0,9468609#3,238423#-0,05115973#0,7503765#3,267656# 0,1628653#0,2686341#3,245645#-0,01394009#0,2620974#3,088907#0,1544609#0,3133114#3,28093#-0,08014628#0,3006308#3,102832#0,1292478#0,4473435#3,400835#-0,2787649#0,4162309#3,158656#0,1067696#0,6440672#3,326644#-0,2158101#0,6334076#3,216528#-0,07354845#0,3695404#3,27885#-0,06144456#0,2988012#3,235527#0,003904062#0,2210083#3,249676#-0,1318047#0,2316351#3,206423#0,008982253#-0,2659796#3,045534#-0,1630234#-0,2507165#3,214907#0,02781027#-0,6089389#2,8621#-0,0609168#-0,6265901#3,271468#0,05328362#-0,6479595#2,791189#-0,03544345#-0,6656106#3,200557#1  
