frame1 #0,00708938#0,8868763#3,250562#-0,06774224#0,7238638#3,24601# 0,04236976#0,1046267#3,105739#0,04437096#0,3501067#3,102038#0,07842001#0,1776721#3,162229#-0,04583663#0,3197456#3,07434#0,07769692#0,4505806#3,18206#-0,2254952#0,4098243#3,071152#0,06979876#0,6803513#3,350841#-0,2160685#0,6037071#3,166744#-0,09394258#0,3372744#3,255293#-0,08793242#0,2601234#3,243158#-0,02678455#0,204506#3,270295#-0,1554248#0,1700162#3,210564#-0,0374205#-0,3030049#3,10281#-0,1846922#-0,2783352#3,202638#-0,01660883#-0,6095207#2,879266#-0,03249258#-0,6318907#2,867159#0,02962842#-0,6537426#2,811091#0,01374467#-0,6761125#2,798984#1  
frame2 #-0,0028929#0,9397213#3,224258#-0,06716414#0,7348779#3,248707# -0,1397721#0,357856#3,085288#0,07420126#0,436362#3,126775#-0,08044191#0,376454#3,105356#0,002399921#0,4515454#3,13847#0,09754872#0,4322481#3,179976#-0,2515696#0,4200774#3,083379#0,0799759#0,6434599#3,359152#-0,2165651#0,6124445#3,177887#-0,0931543#0,341783#3,256333#-0,08747613#0,2640166#3,243602#-0,02606376#0,2044555#3,269721#-0,1563225#0,1837238#3,213269#-0,0304019#-0,297912#3,099384#-0,1834445#-0,2739444#3,203903#-0,01537252#-0,6091455#2,87875#-0,03153455#-0,6304362#2,866941#0,02772569#-0,6517526#2,811903#0,005626202#-0,6915227#2,894684#1  
frame3 #-0,0226018#0,9396738#3,238042#-0,07354572#0,7400899#3,252928# -0,1059161#0,4009021#3,016674#0,04658001#0,3511126#3,13466#-0,0529696#0,4016156#3,058269#-0,011749#0,3956942#3,145916#0,10587#0,4037564#3,197494#-0,2850205#0,3943115#3,15667#0,08013296#0,6440156#3,353536#-0,2292934#0,6200314#3,198112#-0,09276953#0,3470615#3,257894#-0,08717767#0,2699029#3,243171#-0,0239421#0,2054951#3,269202#-0,1569706#0,188981#3,211289#-0,02228388#-0,2890363#3,097572#-0,1811374#-0,274979#3,206821#-0,006282147#-0,603403#2,879847#-0,03065881#-0,6314774#2,86658#0,02992592#-0,6445315#2,811386#-0,002656892#-0,6992697#2,853323#1  
frame4 #-0,02713076#0,943678#3,239716#-0,07614465#0,7442176#3,261552# 0,09479118#0,2845411#3,134005#0,05915344#0,3140038#3,155023#0,07078587#0,3526084#3,14927#-0,02784997#0,3339374#3,153144#0,1027267#0,4745151#3,399116#-0,2888602#0,3937381#3,161988#0,07912537#0,6469108#3,333134#-0,2358085#0,6246157#3,213472#-0,09163424#0,3489668#3,260324#-0,08692008#0,2723454#3,242521#-0,02087944#0,2071858#3,264151#-0,1574409#0,1919281#3,211007#-0,01897553#-0,2866696#3,096769#-0,1801219#-0,2709026#3,210699#-0,004991527#-0,6045873#2,876668#-0,02799071#-0,6290359#2,868019#0,02354343#-0,6450708#2,805197#0,0005442481#-0,6695194#2,796548#1  
frame5 #-0,05494244#0,9527823#3,242873#-0,08757016#0,7488298#3,281754# 0,111419#0,2693853#3,182355#-0,015523#0,2628925#3,121316#0,1219561#0,3106331#3,241403#-0,09082462#0,2980438#3,149705#0,1187325#0,4558743#3,38539#-0,3167295#0,4034978#3,249194#0,08006075#0,6475717#3,318961#-0,2626697#0,6393667#3,274984#-0,09323906#0,3743428#3,272683#-0,09083772#0,3038056#3,245306#-0,01589047#0,2276119#3,251931#-0,1680339#0,225631#3,222975#-0,01459504#-0,2791735#3,090127#-0,1817972#-0,2644573#3,229008#0,0026376#-0,6003648#2,87142#-0,02804498#-0,6197225#2,875289#0,0130627#-0,6397626#2,796243#-0,03796228#-0,689745#2,892072#1  
frame6 #-0,1143955#0,9527328#3,257154#-0,09699646#0,7592479#3,298388# 0,200088#0,135656#3,220458#-0,3734837#0,1244269#3,212615#0,1958246#0,2121837#3,250501#-0,3519772#0,2024351#3,274711#0,1725489#0,4158297#3,350559#-0,3077454#0,3872875#3,352101#0,06791451#0,6507884#3,293138#-0,2821456#0,6393819#3,361793#-0,09358878#0,3861111#3,287669#-0,09982345#0,3166019#3,25399#-0,02276757#0,2407121#3,243459#-0,1819728#0,2397852#3,255823#0,006747401#-0,2563105#3,010327#-0,1741521#-0,2687175#3,250274#0,02760633#-0,5927552#2,837262#-0,08180019#-0,6158648#3,285015#0,01237401#-0,6327389#2,761807#-0,1275546#-0,6736142#3,282237#1  
frame7 #-0,1394384#0,9478631#3,279736#-0,09692463#0,7677689#3,309737# 0,3099893#0,1206883#3,225145#-0,5410331#0,1085617#3,412419#0,2908643#0,1920085#3,237997#-0,4701354#0,1748761#3,383119#0,1931258#0,4210828#3,289325#-0,3144698#0,4022501#3,414011#0,0522856#0,6553315#3,278322#-0,2651095#0,6389587#3,388977#-0,09716276#0,3866606#3,297154#-0,1108355#0,31602#3,26285#-0,03973807#0,2468217#3,239679#-0,1920271#0,2379577#3,274654#-0,009745311#-0,15077#2,999492#-0,1777921#-0,237514#3,263291#0,04065385#-0,5943963#2,823319#-0,07606559#-0,6122843#3,29178#0,01372071#-0,6350163#2,749565#-0,1220248#-0,6679096#3,312755#1  
frame8 #-0,1643586#0,9439712#3,31884#-0,09346189#0,7790962#3,324059# 0,4145291#0,1833433#3,161051#-0,5800013#0,1933088#3,57882#0,3711596#0,2445717#3,176008#-0,5292128#0,2545351#3,54266#0,2310452#0,4452177#3,252044#-0,3681364#0,421703#3,485881#0,0504879#0,6587516#3,272891#-0,2602915#0,6357578#3,411691#-0,09866553#0,3929173#3,305233#-0,1166508#0,3225004#3,268841#-0,04754528#0,2559406#3,236648#-0,1968015#0,2423925#3,284721#-0,01417797#-0,196944#2,92185#-0,1774304#-0,2410504#3,26262#0,04068509#-0,5739365#2,821213#-0,07600417#-0,6106354#3,29249#0,007551335#-0,6136214#2,751393#-0,1164712#-0,6640602#3,323495#1  
frame9 #-0,1656481#0,9435391#3,319677#-0,09326202#0,7796259#3,324969# 0,4665841#0,2264818#3,114597#-0,5701051#0,2840005#3,670184#0,4118427#0,2818805#3,130147#-0,5133942#0,3511753#3,615278#0,2434474#0,4553714#3,245724#-0,3753338#0,4682314#3,525966#0,04982018#0,6603665#3,271065#-0,259324#0,6393268#3,419099#-0,09885534#0,3963055#3,308623#-0,118998#0,326963#3,27101#-0,05022474#0,2606851#3,235711#-0,1985016#0,2461491#3,287715#-0,0192967#-0,1885198#2,913991#-0,1789357#-0,243432#3,261441#0,01977899#-0,5451261#2,810329#-0,07910989#-0,6042652#3,295446#-0,01474923#-0,5842347#2,742334#-0,1169065#-0,6638205#3,322286#1  
frame10 #-0,1703388#0,9482526#3,327515#-0,09163295#0,7875248#3,332334# 0,5050987#0,3536593#3,015307#-0,5389863#0,4422397#3,734947#0,4492476#0,3845044#3,05717#-0,4942094#0,4695807#3,679532#0,2466712#0,5210516#3,207493#-0,3523001#0,5610804#3,574136#0,04942569#0,6641025#3,270694#-0,2621234#0,6694715#3,450315#-0,09861501#0,4179223#3,319572#-0,1225689#0,3520294#3,281836#-0,0543883#0,2768324#3,239975#-0,201358#0,2760436#3,301143#-0,049748#-0,1295886#2,891372#-0,188297#-0,2228512#3,253265#-0,0600882#-0,5011762#2,776316#-0,11643#-0,5573297#3,298518#-0,09884144#-0,5398736#2,711217#-0,1680853#-0,6056138#3,313659#1  
frame11 #-0,1759429#0,956899#3,34163#-0,09104932#0,7957087#3,340051# 0,5249739#0,4877536#2,962113#-0,5318803#0,5694274#3,786085#0,4536532#0,5001332#2,985095#-0,4899599#0,6014107#3,731424#0,2458923#0,5536324#3,173403#-0,3493288#0,6001208#3,597037#0,0463387#0,6780378#3,26858#-0,2556036#0,7088549#3,478847#-0,1005324#0,4395174#3,332002#-0,1287649#0,3766073#3,295496#-0,06183342#0,3042631#3,249118#-0,2098191#0,300776#3,320865#-0,08269268#-0,07947456#2,887825#-0,214155#-0,1843354#3,26126#-0,1478559#-0,45439#2,717658#-0,04507815#-0,6195578#3,295956#-0,1837663#-0,5071434#2,648013#-0,08387922#-0,6927357#3,315946#1  
