frame1 #-0,02432762#0,8885243#3,229119#-0,07596213#0,7102063#3,25016# 0,06150312#0,1524555#3,16309#-0,04056296#0,348562#3,03669#0,07843371#0,2272638#3,162459#-0,09429331#0,3659091#3,041815#0,1292255#0,4516885#3,17442#-0,2554843#0,4179505#3,071041#0,0826074#0,6210297#3,301939#-0,2344425#0,5938973#3,186375#-0,1026066#0,3429102#3,262876#-0,09270377#0,272532#3,226293#-0,02416322#0,20555#3,236213#-0,1668357#0,1933404#3,203776#-0,03293053#-0,2565978#2,987171#-0,1867713#-0,2846858#3,187817#-0,0289652#-0,6129586#2,827888#-0,03399402#-0,6260155#2,807675#0,004573014#-0,6622876#2,739782#-0,05796007#-0,6953913#2,754836#1  
frame2 #-0,02568781#0,8889322#3,230356#-0,0762511#0,7097252#3,249668# -0,06623062#0,525865#3,068865#-0,04221502#0,3441456#3,035841#-0,009502113#0,4866592#3,062433#-0,0957175#0,363111#3,041222#0,1303815#0,4509969#3,168013#-0,256225#0,4200071#3,071179#0,08378515#0,6218764#3,30649#-0,2351818#0,5935555#3,1862#-0,1030188#0,3431762#3,262508#-0,09271601#0,2729985#3,22616#-0,02394124#0,2058886#3,236216#-0,1669267#0,1933898#3,203552#-0,03276058#-0,2563576#2,987163#-0,1868895#-0,2844548#3,188082#-0,02898645#-0,6090717#2,829265#-0,04826999#-0,5979954#2,837303#-0,0004112851#-0,6498842#2,756689#-0,01969482#-0,6388079#2,764727#1  
frame3 #-0,02108341#0,8945761#3,229497#-0,07565882#0,7098408#3,249629# -0,07029548#0,5506104#3,106469#-0,04108732#0,3415104#3,034585#-0,01693547#0,5100611#3,09368#-0,09485219#0,3611666#3,04029#0,1333869#0,4454492#3,162389#-0,2561468#0,420135#3,071207#0,08418778#0,6220299#3,308071#-0,2343518#0,5936992#3,186404#-0,1028197#0,3433652#3,262397#-0,0924186#0,2731607#3,226139#-0,02368019#0,2060793#3,236547#-0,1665234#0,1935734#3,203192#-0,03310155#-0,2567889#2,987972#-0,1871763#-0,2842387#3,188168#-0,02889826#-0,6095893#2,829242#-0,0546781#-0,5836396#2,852107#-0,001612032#-0,6481324#2,760824#-0,02739187#-0,6221827#2,783689#1  
frame4 #-0,02210131#0,8931594#3,226048#-0,07475825#0,7089528#3,249259# -0,07071517#0,558636#3,106042#-0,03147665#0,3435479#3,059022#-0,0114754#0,526269#3,100727#-0,09789762#0,3500705#3,04758#0,132787#0,4413396#3,161164#-0,2564095#0,4206265#3,071259#0,08450485#0,6220775#3,309331#-0,2340528#0,5929781#3,185842#-0,1023579#0,3438824#3,262241#-0,09171607#0,2739761#3,226219#-0,02287225#0,2071358#3,2373#-0,166087#0,193893#3,202898#-0,03310584#-0,2571174#2,987997#-0,1873257#-0,2844384#3,188087#-0,0287625#-0,6095103#2,830178#-0,05786194#-0,5760111#2,86178#8,550659E-05#-0,6497654#2,758897#-0,01678274#-0,6623278#2,833052#1  
frame5 #-0,01947901#0,8925402#3,225881#-0,07216961#0,7094443#3,248294# -0,07747407#0,5487444#3,121611#-0,03490452#0,3420894#3,055881#-0,02606219#0,5218623#3,12678#-0,0991586#0,3492611#3,044299#0,1281734#0,4412162#3,156069#-0,2573512#0,4222182#3,071692#0,08511022#0,6232637#3,311624#-0,2335501#0,5931562#3,185673#-0,101913#0,3440598#3,261773#-0,09133604#0,2739353#3,226072#-0,02274407#0,2071455#3,237311#-0,1657898#0,1937791#3,20268#-0,03272866#-0,2576909#2,987702#-0,188327#-0,276934#3,189673#-0,02872547#-0,6091814#2,831346#-0,06442622#-0,5667496#2,871541#-0,0008765403#-0,647468#2,763875#-0,03657729#-0,6050361#2,804071#1  
frame6 #-0,01948649#0,8925148#3,225876#-0,07070577#0,7085873#3,247137# -0,06809677#0,5643638#3,120696#-0,04725381#0,323899#3,029021#-0,01889373#0,5332451#3,126036#-0,09979506#0,3485034#3,036223#0,1287154#0,439889#3,155833#-0,2574188#0,4223166#3,071605#0,08648042#0,6215639#3,312229#-0,2335396#0,5931593#3,185654#-0,1014743#0,3442875#3,261325#-0,09108926#0,2740814#3,225942#-0,02244345#0,2070647#3,237095#-0,1657578#0,1939177#3,202693#-0,03286997#-0,2576564#2,988143#-0,1873612#-0,2784584#3,190204#-0,02856727#-0,6092781#2,831218#-0,05908673#-0,5815122#2,856298#-0,00139091#-0,646726#2,765801#-0,03191036#-0,6189601#2,790882#1  
frame7 #-0,01624184#0,8867395#3,224473#-0,06930774#0,7080002#3,246989# -0,05130888#0,5897895#3,125537#-0,04529029#0,3258494#3,027067#-0,006489828#0,5522223#3,129309#-0,09823741#0,3497043#3,034929#0,1279673#0,4395209#3,154409#-0,2570788#0,4212689#3,072299#0,08765531#0,6200057#3,311449#-0,2333963#0,5931498#3,185541#-0,1010187#0,3441543#3,260982#-0,09095025#0,2739539#3,225796#-0,02224599#0,2065285#3,236502#-0,1657747#0,1939089#3,202721#-0,03231963#-0,2573244#2,987446#-0,1876048#-0,2767818#3,190748#-0,02839262#-0,6093425#2,830769#-0,05508055#-0,5886691#2,848609#-0,001494341#-0,6466727#2,765529#-0,02818227#-0,6259993#2,783369#1  
frame8 #-0,01600551#0,8873141#3,224518#-0,06765892#0,7085128#3,244868# -0,002228817#0,6172487#3,12643#-0,04718766#0,3256725#3,024964#0,01713961#0,5726#3,171068#-0,09997843#0,3499658#3,033311#0,1289497#0,4401902#3,153424#-0,2583508#0,4228457#3,072114#0,08851708#0,6208661#3,311583#-0,2328045#0,5934858#3,185369#-0,09908456#0,3455073#3,259876#-0,0891584#0,2752987#3,225285#-0,02039758#0,2079128#3,235924#-0,1643807#0,1949934#3,202819#-0,03218536#-0,2572514#2,98726#-0,186233#-0,2797833#3,190323#-0,02834848#-0,6090715#2,830385#-0,05252358#-0,5960613#2,84098#-0,00141486#-0,6464651#2,765181#-0,02558996#-0,633455#2,775776#1  
frame9 #-0,01571638#0,8867698#3,223557#-0,06629417#0,7086741#3,243435# -0,05788388#0,52636#3,052547#-0,04801357#0,3253373#3,024502#-0,01986393#0,4811616#3,082281#-0,1006002#0,3497129#3,032961#0,1372851#0,4487452#3,167677#-0,2583601#0,4228397#3,072089#0,08927082#0,6208171#3,31214#-0,2315863#0,5922778#3,185626#-0,09736015#0,34628#3,259053#-0,08755085#0,2760525#3,225103#-0,01876348#0,2088821#3,235871#-0,1629157#0,1954921#3,202977#-0,03200515#-0,2573228#2,98688#-0,1852659#-0,2817064#3,190635#-0,02705266#-0,6084782#2,829033#-0,05011633#-0,5999955#2,835008#2,16905E-05#-0,6460041#2,763731#-0,02304198#-0,6375214#2,769706#1  
frame10 #-0,01491863#0,8851703#3,223801#-0,06507218#0,7078089#3,241982# -0,08484028#0,5054746#3,120173#-0,04872753#0,3250687#3,024446#-0,02545579#0,476907#3,126279#-0,1012081#0,3495411#3,033091#0,1472408#0,4505156#3,158219#-0,2586499#0,4229583#3,072799#0,08936198#0,6207644#3,312233#-0,2311032#0,5916125#3,185776#-0,09463726#0,3446687#3,257773#-0,08475648#0,2742005#3,224465#-0,01466455#0,2009449#3,234547#-0,1594764#0,1967999#3,203002#-0,03175601#-0,2573651#2,986933#-0,1851592#-0,2821059#3,191074#-0,02680084#-0,6083273#2,829499#-0,04939462#-0,6032734#2,83193#0,0007480718#-0,646504#2,76309#-0,02184572#-0,6414502#2,765522#1  
frame11 #-0,01339252#0,8863008#3,224241#-0,06373214#0,7078239#3,24141# -0,07082905#0,4362808#3,089985#-0,04909796#0,3226488#3,027685#-0,01433675#0,4403755#3,104687#-0,1013385#0,3478198#3,035537#0,1551401#0,4526597#3,162571#-0,25806#0,4233328#3,07287#0,09256315#0,62169#3,315399#-0,229#0,5914344#3,185962#-0,09337444#0,3448678#3,25723#-0,08352026#0,2743187#3,224591#-0,01382714#0,1999984#3,234572#-0,1572077#0,1996136#3,203944#-0,0317559#-0,2566427#2,987253#-0,185075#-0,2815827#3,191427#-0,02573256#-0,6079285#2,828215#-0,04866001#-0,60525#2,829734#0,002575573#-0,6465322#2,761316#-0,02035188#-0,6438538#2,762835#1  
