frame1 #-0,1157184#0,9591349#3,723543#0,00279787#0,7783938#3,593388# 0,3560234#0,2713455#3,413243#-0,03469811#0,5349433#3,162799#0,4014115#0,3441162#3,465882#-0,08425085#0,5105027#3,203506#0,2297808#0,4081762#3,574905#-0,2329091#0,437181#3,340692#0,1484435#0,6271681#3,542672#-0,1219051#0,6307012#3,466048#0,01491457#0,3670241#3,543014#0,03510417#0,3033538#3,474797#0,1000803#0,2415708#3,475816#-0,02157663#0,2431608#3,439458#-0,0163126#-0,2759838#3,651724#0,1146853#-0,2808828#3,423899#0,0142128#-0,5993258#3,325735#0,006769668#-0,6082142#3,312898#0,009714961#-0,691918#3,332848#0,04564858#-0,6926593#3,314159#1  
frame2 #0,05172677#0,9957908#3,609012#0,006777714#0,7762057#3,588447# 0,102797#0,1335226#3,362481#-0,1017941#0,5346664#3,164963#0,1123451#0,2302221#3,361387#-0,1422694#0,5161965#3,215569#0,2493518#0,4079048#3,532783#-0,2636952#0,4607868#3,3824#0,1502233#0,6264473#3,529413#-0,1243089#0,6273482#3,470387#0,01852312#0,3674984#3,543456#0,03510397#0,3033877#3,47444#0,1002777#0,2420001#3,473504#-0,02229102#0,2428586#3,440887#-0,01521919#-0,2760815#3,652763#0,114791#-0,2807286#3,422771#-0,09753141#-0,5530607#3,723515#0,006374875#-0,6082211#3,312122#-0,06666499#-0,5824642#3,609219#0,04353534#-0,6903367#3,314536#1  
frame3 #0,05284105#1,002203#3,629095#0,01185924#0,7816755#3,579856# 0,09933202#0,146042#3,337318#-0,123631#0,6907164#3,460112#0,1201382#0,2423597#3,347236#-0,1589773#0,6403942#3,437497#0,2668408#0,4296989#3,480902#-0,2650162#0,4894275#3,384541#0,1546109#0,6295798#3,501695#-0,1309322#0,6328416#3,479948#0,02627597#0,3745264#3,542591#0,03490428#0,3103142#3,473441#0,1013436#0,2478264#3,466805#-0,02562514#0,2510294#3,448313#-0,01391929#-0,2748744#3,652543#0,1144561#-0,2808355#3,421046#-0,1028276#-0,6074015#3,757006#0,005712222#-0,6074755#3,312052#-0,07473421#-0,6196669#3,63952#0,01456262#-0,6552707#3,218325#1  
frame4 #0,09799753#0,9997439#3,599411#0,02598622#0,7863176#3,562016# 0,097858#0,1529957#3,31092#-0,2477491#0,5364186#3,755277#0,1114685#0,2522172#3,33029#-0,2612474#0,5303167#3,668952#0,2748142#0,4437543#3,427419#-0,3017424#0,5120107#3,424726#0,1514565#0,6303466#3,450695#-0,1202597#0,647926#3,501029#0,04169675#0,3834137#3,539584#0,03548011#0,3176507#3,47239#0,09902494#0,256341#3,452626#-0,02407931#0,2668213#3,467908#-0,02063283#-0,2800619#3,676174#0,1141791#-0,2798043#3,41481#-0,1032825#-0,6034836#3,735779#0,004376547#-0,6075916#3,310512#-0,0735478#-0,6175751#3,618356#0,01985343#-0,6954674#3,297765#1  
frame5 #0,09617741#1,005999#3,601573#0,02965277#0,7896595#3,558805# 0,09843001#0,1611354#3,293949#-0,247212#0,5235994#3,737874#0,108328#0,259388#3,316025#-0,2632726#0,5301896#3,669706#0,2689265#0,4582621#3,381885#-0,3114545#0,5499599#3,47983#0,1363205#0,6333606#3,437249#-0,1362051#0,6501711#3,530621#0,04975227#0,3933754#3,538257#0,03389668#0,3285732#3,475098#0,09596995#0,2634816#3,448387#-0,02646384#0,2741493#3,478983#-0,01944093#-0,2759941#3,674141#0,1113896#-0,2760289#3,408038#-0,1028006#-0,6027288#3,730637#0,003668433#-0,6079221#3,308153#-0,0852052#-0,6176718#3,610343#0,02413968#-0,6952827#3,296084#1  
frame6 #0,09479354#1,009594#3,603041#0,03122593#0,7916296#3,554155# 0,06844837#0,1657943#3,269618#-0,2322408#0,5257745#3,771338#0,09007502#0,2564079#3,308322#-0,2582527#0,5388747#3,714278#0,2562981#0,4548289#3,347553#-0,3362887#0,5781754#3,557638#0,1255212#0,638467#3,418829#-0,1402793#0,6552895#3,538343#0,04787188#0,4037488#3,53457#0,02406277#0,3410803#3,474705#0,07924029#0,2725116#3,428682#-0,03889338#0,2809575#3,492801#-0,019079#-0,2721041#3,671616#0,1103256#-0,27326#3,402735#-0,1040058#-0,6041446#3,728987#-0,003014793#-0,6078104#3,309229#-0,06446171#-0,6131561#3,612961#0,02838553#-0,6919072#3,295264#1  
frame7 #0,09063582#1,022668#3,57542#0,03829741#0,8018897#3,546002# 0,2219725#0,1663669#3,297094#-0,1781134#0,5251576#3,809204#0,2438939#0,2567967#3,334982#-0,215209#0,5431898#3,759303#0,2356527#0,4435168#3,296714#-0,3264959#0,5972863#3,624151#0,1038104#0,6587814#3,398268#-0,1436549#0,6620787#3,551659#0,05197912#0,4057809#3,527592#0,02012035#0,3409718#3,471225#0,07063925#0,2718923#3,418309#-0,04107898#0,2792396#3,492889#-0,02756482#-0,2752946#3,691014#0,1048323#-0,2729892#3,397397#-0,1080545#-0,6078119#3,729034#-0,007243106#-0,608686#3,309572#-0,06720328#-0,6197138#3,613612#0,03636131#-0,6880074#3,300972#1  
frame8 #0,09814367#1,020317#3,584215#0,03804982#0,8023726#3,54311# 0,2213067#0,299758#3,555422#-0,1626696#0,6004233#3,877387#0,2283535#0,362415#3,516481#-0,2005423#0,611393#3,826188#0,1981284#0,453968#3,287131#-0,3141603#0,6443022#3,687168#0,09642129#0,6533862#3,380532#-0,1489559#0,6830634#3,582594#0,05105473#0,4061149#3,517315#0,01265323#0,3405935#3,464418#0,05922464#0,2647991#3,402849#-0,04571119#0,2785568#3,491914#-0,06329719#-0,2869867#3,72748#0,0976765#-0,2732952#3,392119#-0,1168279#-0,6095591#3,722707#-0,009674327#-0,6090073#3,308128#-0,07385942#-0,6213883#3,608759#0,03793411#-0,6857964#3,304213#1  
frame9 #0,1135937#1,014121#3,610336#0,04165128#0,8020903#3,536826# 0,211574#0,2972318#3,534429#-0,128018#0,6329947#3,894191#0,2186157#0,3598431#3,495516#-0,1658804#0,6439615#3,843006#0,171042#0,4306835#3,262169#-0,2794675#0,6768618#3,704048#0,1013124#0,6200788#3,336878#-0,102577#0,6903099#3,559883#0,05172454#0,4059207#3,509749#0,006852458#0,3398505#3,461133#0,04403286#0,2565851#3,39356#-0,04852023#0,2797658#3,493106#-0,06520187#-0,2924667#3,729944#0,09537297#-0,2731792#3,390915#-0,134893#-0,6372592#3,737637#-0,01126531#-0,612047#3,309489#-0,1018368#-0,6441988#3,620123#-0,08017196#-0,6591608#3,243634#1  
frame10 #0,1080533#1,008464#3,617945#0,04407682#0,7965802#3,52843# 0,1654943#0,2919963#3,517468#-0,04376687#0,6732429#3,848445#0,1725312#0,3545641#3,478582#-0,09996161#0,6801014#3,818749#0,1232473#0,4253156#3,248536#-0,2685458#0,700677#3,74434#0,08885267#0,6198665#3,330181#-0,1375829#0,7267964#3,635507#0,03867675#0,3990917#3,501808#-0,0152948#0,3332961#3,458215#0,01954214#0,2573245#3,402096#-0,07381377#0,2701515#3,487547#-0,06872518#-0,2961757#3,732373#0,08793366#-0,2733795#3,39443#-0,1325206#-0,614641#3,731441#-0,01983778#-0,6226363#3,314177#-0,0887856#-0,6268148#3,617834#-0,09454826#-0,669475#3,254663#1  
frame11 #0,1086776#1,011166#3,621015#0,04222728#0,7965525#3,528442# 0,2190528#0,2621358#3,500708#0,231217#0,3410862#3,457564#0,2261384#0,325137#3,461553#0,1663966#0,4003511#3,442305#0,109618#0,4051664#3,249284#-0,02806478#0,5781458#3,411282#0,07771132#0,6227993#3,331636#-0,1351256#0,7264213#3,635372#0,03151485#0,3832757#3,497337#-0,02247339#0,3124816#3,454065#0,0151081#0,2514411#3,407755#-0,07429542#0,2590677#3,477234#-0,06892175#-0,3009007#3,733915#0,07807598#-0,2675731#3,397051#-0,1426679#-0,6387883#3,777232#-0,0181047#-0,6252449#3,314624#-0,1006274#-0,643652#3,660225#-0,09575546#-0,6727858#3,256173#1  
