frame1 #0,1227351#1,064032#3,613831#0,09121604#0,8413528#3,544795# 0,2572739#0,2389173#3,453693#-0,1198337#0,3621535#3,125562#0,3164555#0,3078516#3,490116#-0,1081942#0,4335204#3,127913#0,3307742#0,4862651#3,404567#-0,1821763#0,522287#3,313374#0,1814772#0,6616289#3,444155#-0,02142536#0,6898333#3,444549#0,06745227#0,4014078#3,51371#0,06466782#0,3285149#3,444158#0,1079484#0,2763383#3,424331#0,01664221#0,2890303#3,44323#-0,01430897#-0,2595004#3,683131#0,1235614#-0,2652929#3,397895#-0,08856075#-0,5596094#3,702677#0,05000656#-0,6059536#3,272156#-0,05334624#-0,5761759#3,586678#0,0538003#-0,6545674#3,177594#1  
frame2 #0,1225799#1,066864#3,603413#0,09298294#0,8412067#3,542298# 0,3279184#0,2072698#3,402217#-0,1378218#0,7899745#3,312124#0,3503453#0,2667362#3,362787#-0,1586124#0,7244626#3,319798#0,3250046#0,4724924#3,369763#-0,2209842#0,527927#3,358078#0,1810608#0,6492919#3,430125#-0,02374832#0,6909682#3,446092#0,06795483#0,4080356#3,515165#0,05930892#0,3382964#3,447643#0,1044491#0,2793361#3,423935#0,007456631#0,3019055#3,452254#-0,01496964#-0,2578936#3,682509#0,1218026#-0,2670456#3,387631#-0,0839387#-0,55374#3,692893#0,04849365#-0,6032642#3,272783#-0,04827633#-0,5711226#3,575974#0,04606667#-0,6523731#3,177341#1  
frame3 #0,1592402#1,044937#3,557363#0,1170986#0,8330916#3,520439# 0,3403104#0,3111754#3,477788#-0,1338381#0,521285#3,827747#0,2828216#0,349633#3,487207#-0,1688254#0,5519803#3,770775#0,2690198#0,4414361#3,21836#-0,2737871#0,644066#3,61481#0,1279654#0,6799862#3,35887#-0,07752#0,7173717#3,540423#0,08972454#0,4259835#3,501803#0,04060876#0,3638515#3,451588#0,07344#0,301567#3,405899#-0,01358698#0,3143754#3,483559#-0,03038313#-0,2340201#3,69705#0,1026451#-0,2547877#3,360657#-0,07966455#-0,5472875#3,710173#0,03815773#-0,6067162#3,276454#-0,03810725#-0,5732151#3,603963#-0,021421#-0,6525776#3,207964#1  
frame4 #0,1645655#1,038713#3,549349#0,1177666#0,8304065#3,519307# 0,3424186#0,3014446#3,443227#-0,1086056#0,5999092#3,905198#0,2944964#0,3455766#3,431368#-0,1445482#0,6227652#3,84545#0,2299375#0,4533872#3,176167#-0,2523758#0,6913332#3,681018#0,1327764#0,6711673#3,333055#-0,08060793#0,7256234#3,547412#0,0940977#0,4348465#3,497705#0,04434201#0,3761998#3,448709#0,0792882#0,3031124#3,395494#-0,01316806#0,3226734#3,482229#-0,02822421#-0,2094131#3,690263#0,1022894#-0,2546617#3,35987#-0,08045307#-0,5476556#3,712858#0,03787408#-0,6066276#3,276112#-0,04114382#-0,5735447#3,607074#-0,02477771#-0,6518961#3,211597#1  
frame5 #0,1663895#1,026777#3,557321#0,1114185#0,8203121#3,511518# 0,3388952#0,2816642#3,426644#-0,1008209#0,8870142#3,803982#0,2928101#0,322594#3,352937#-0,1402345#0,8369732#3,768144#0,1545547#0,4453837#3,146559#-0,2584751#0,6868504#3,67537#0,1257412#0,6634779#3,320437#-0,08689546#0,725059#3,545479#0,09309816#0,4340484#3,493377#0,04270849#0,3745717#3,445266#0,07871147#0,2986499#3,390689#-0,01556637#0,3219501#3,477286#-0,04141959#-0,1993711#3,683596#0,09264921#-0,2503124#3,355967#-0,05675277#-0,4753738#3,662815#0,0378975#-0,6078734#3,275657#-0,01887026#-0,5215493#3,563802#-0,02625927#-0,6529028#3,212677#1  
frame6 #0,1661638#1,023194#3,55298#0,1050416#0,816265#3,509153# 0,3144811#0,3834875#3,354771#0,01056195#0,5191471#3,447402#0,2634721#0,3409694#3,365634#-0,06018329#0,5610507#3,486479#0,1070549#0,4460818#3,153603#-0,2661406#0,6838816#3,672723#0,1196547#0,6607381#3,317076#-0,09629545#0,7240774#3,544545#0,09023681#0,432849#3,493921#0,04030043#0,3725098#3,44616#0,07577904#0,2893419#3,386942#-0,02034633#0,315625#3,483986#-0,04267494#-0,2040463#3,680288#0,0881108#-0,2521407#3,354772#-0,06473522#-0,4770604#3,661732#0,04016428#-0,6089934#3,270964#-0,02396441#-0,5222976#3,562102#-0,02455325#-0,6543983#3,207246#1  
frame7 #0,1512518#0,9949584#3,556098#0,08508471#0,792097#3,524868# 0,2233777#0,2913662#3,427007#0,2032927#0,3559336#3,291957#0,1916219#0,3260121#3,359135#0,163393#0,3785402#3,243877#0,09635456#0,4299496#3,169916#-0,01920149#0,4829617#3,20989#0,1006219#0,6391479#3,330549#0,004387737#0,6555567#3,391262#0,05009948#0,3252247#3,499054#0,01045809#0,2477037#3,43984#0,02562904#0,2013858#3,468863#-0,01561367#0,2111095#3,395068#-0,1068463#-0,3049842#3,738328#0,08114223#-0,2634203#3,348093#-0,1159034#-0,5960145#3,731951#0,04525102#-0,6126278#3,264505#-0,1618031#-0,6409971#3,656668#-0,000648696#-0,6576104#3,189222#1  
frame8 #0,1780685#0,9627246#3,583062#0,06720752#0,7795263#3,549887# 0,1219478#0,2419616#3,408522#0,1434121#0,3041188#3,327816#0,1105558#0,2851175#3,352692#0,08142181#0,3511221#3,303122#0,0763797#0,4145851#3,199819#-0,1045489#0,4921319#3,243657#0,08142456#0,625539#3,356674#0,0001657514#0,6435951#3,398802#0,03890268#0,3420929#3,522315#0,0050202#0,2725504#3,463411#0,009370334#0,1683558#3,554913#-0,02707514#0,173038#3,33763#-0,1110623#-0,3113076#3,743625#0,06981492#-0,2667886#3,345897#-0,1151025#-0,5919858#3,706068#0,0445959#-0,6127267#3,264497#-0,1515234#-0,6354267#3,629744#0,1411062#-0,6618676#3,279493#1  
frame9 #0,1736098#0,9551879#3,592098#0,06180047#0,7741548#3,554579# 0,1203644#0,239623#3,409831#0,06233199#0,3143981#3,35136#0,1083214#0,2822613#3,354699#0,01149347#0,3583971#3,329404#0,0721923#0,4101759#3,203664#-0,1410221#0,4903941#3,277895#0,07635127#0,6204439#3,360904#-0,01316615#0,6257813#3,421159#0,04320624#0,3674311#3,533766#0,004166273#0,305819#3,480049#0,01447003#0,2392802#3,525425#-0,0199491#0,260561#3,415071#-0,1273373#-0,2920341#3,712289#0,05885729#-0,2666806#3,344203#-0,1151557#-0,587446#3,704169#0,04517474#-0,6131018#3,262469#-0,1618044#-0,6293727#3,636135#-0,001473911#-0,6550285#3,194435#1  
frame10 #0,1586234#0,9472572#3,649095#0,03350788#0,7738898#3,605438# 0,09391423#0,2386295#3,459883#0,008041408#0,2705921#3,383915#0,08149844#0,2814399#3,404935#-0,0527782#0,3261934#3,375717#0,04425108#0,4098713#3,254338#-0,235237#0,4929972#3,365372#0,04809235#0,6201382#3,411597#-0,04243838#0,6335062#3,481358#0,0116402#0,3164346#3,545804#-0,03030543#0,2426592#3,485207#-0,01274663#0,2017863#3,487796#-0,05337087#0,2376907#3,471013#-0,148623#-0,33293#3,691589#0,04390137#-0,2652988#3,352644#-0,09360136#-0,5972402#3,691072#0,04233239#-0,612743#3,262959#-0,1366186#-0,6536682#3,720266#-0,006099157#-0,6540515#3,198959#1  
frame11 #0,156397#0,9481499#3,656268#0,03168454#0,7737426#3,608579# 0,09194382#0,2389893#3,461865#0,006959364#0,2749513#3,393021#0,07956479#0,281673#3,40708#-0,0471046#0,32678#3,39167#0,04242774#0,409724#3,257143#-0,2092965#0,4822661#3,402034#0,046269#0,6199909#3,414739#-0,04133942#0,63722#3,487575#-0,02009631#0,3137316#3,549383#-0,07356291#0,2418649#3,489961#-0,06558603#0,2217085#3,487601#-0,09018693#0,2274265#3,482188#-0,1771717#-0,1906548#3,74463#0,04096662#-0,2657763#3,355308#-0,1198033#-0,5576972#3,706871#0,04094172#-0,612668#3,263565#-0,1684777#-0,5989243#3,645647#-0,007732734#-0,6538951#3,202341#1  
