frame1 #0,1004047#1,009932#3,628116#0,05474137#0,7684758#3,571373# 0,1864054#0,2421207#3,251478#-0,2468697#0,5603775#3,263531#0,2453946#0,3293685#3,267706#-0,248052#0,5369309#3,316047#0,3083364#0,4527307#3,385105#-0,2515988#0,4665912#3,488029#0,1785501#0,6105937#3,44053#-0,1185754#0,6129677#3,545327#0,08169186#0,3854808#3,526034#0,06651555#0,3247287#3,461825#0,1352531#0,2531796#3,410827#0,001546599#0,2542479#3,47314#0,03118663#-0,2650344#3,609554#0,1450365#-0,2790087#3,393875#0,01819978#-0,6092356#3,297929#-0,007208575#-0,6009573#3,301886#0,05794479#-0,6992078#3,302215#0,05839301#-0,6743247#3,299302#1  
frame2 #0,04721297#0,9983041#3,638147#0,0570911#0,7695349#3,56863# 0,248013#0,3237148#3,16541#-0,4166387#0,5311536#3,376904#0,2268322#0,3924009#3,183011#-0,3785319#0,520974#3,419265#0,2924593#0,4456757#3,348997#-0,2642115#0,4904352#3,560654#0,1741814#0,6167169#3,431754#-0,1225272#0,6222764#3,556666#0,07983249#0,3916391#3,526353#0,05865791#0,3330703#3,464961#0,1251711#0,2566555#3,405184#-0,01174814#0,2601538#3,489524#0,03088887#-0,2660479#3,609335#0,1434818#-0,2808358#3,387307#0,02027552#-0,6087584#3,301526#-0,008246601#-0,6021866#3,302149#0,05286483#-0,6950024#3,298886#0,055289#-0,6690267#3,300516#1  
frame3 #0,07646936#1,016275#3,579897#0,09735464#0,7929997#3,55954# 0,05898559#0,472909#3,180226#-0,2591006#0,3328879#3,66802#0,1108765#0,4682119#3,205504#-0,2651325#0,3844612#3,642379#0,2665492#0,4541205#3,295794#-0,2832281#0,5391811#3,579911#0,1630692#0,6219352#3,420921#-0,1181127#0,6273127#3,577442#0,08593243#0,3954422#3,524411#0,05820205#0,3350781#3,465779#0,1186036#0,2593499#3,400011#-0,01177727#0,2612215#3,4928#0,02454945#-0,2676351#3,619427#0,1347855#-0,2789822#3,37069#0,01992535#-0,6079824#3,306879#-0,009544509#-0,607921#3,305186#0,07911545#-0,6607538#3,313932#0,04943859#-0,6613312#3,302658#1  
frame4 #0,08182655#1,018405#3,592316#0,09941034#0,7946106#3,555378# 0,08925636#0,586144#3,168884#-0,4216872#0,4756445#3,764964#0,1296725#0,551498#3,191614#-0,3744683#0,4999945#3,741988#0,2509208#0,4475598#3,274321#-0,2328115#0,5730444#3,687579#0,1507352#0,6252314#3,403802#-0,1111467#0,6498483#3,607397#0,09277605#0,4090336#3,516591#0,05601508#0,3491177#3,462827#0,1040108#0,2624499#3,369649#-0,01267172#0,2681746#3,503985#0,04121011#-0,2677191#3,579762#0,1278375#-0,2760797#3,362884#0,03008427#-0,6025468#3,317951#-0,01068443#-0,609458#3,307633#0,05623154#-0,6800389#3,318758#0,05135008#-0,6626203#3,30378#1  
frame5 #0,1090593#1,02192#3,626693#0,1036491#0,8001099#3,55865# 0,05656514#0,5929284#3,165031#-0,2341736#0,4815283#3,882431#0,09716225#0,5560304#3,184245#-0,2343516#0,5174268#3,836715#0,2189535#0,4453363#3,256551#-0,2348854#0,6251224#3,714231#0,1332292#0,6269215#3,379939#-0,0935767#0,6668737#3,611058#0,09709087#0,4081675#3,511655#0,05387462#0,3465148#3,459845#0,09357348#0,2521062#3,360941#-0,01246985#0,2680064#3,504717#-0,01337343#-0,298308#3,642787#0,1227067#-0,275573#3,360376#0,03101875#-0,6033439#3,319777#-0,01372966#-0,6122764#3,316489#0,0164676#-0,6842189#3,330042#0,05126752#-0,6621794#3,304534#1  
frame6 #0,1193109#1,030607#3,613292#0,1018771#0,8088359#3,558781# 0,05407687#0,5960873#3,113064#-0,170434#0,5918185#3,94804#0,08517923#0,5578611#3,143396#-0,1692892#0,6107755#3,893378#0,1784863#0,4431825#3,249215#-0,1658547#0,6676465#3,744216#0,1214917#0,6336353#3,365035#-0,09497571#0,674459#3,610103#0,09079762#0,383279#3,49731#0,04113095#0,3036933#3,441501#0,08490481#0,2395409#3,387195#-0,01310719#0,2580963#3,461093#-0,01967326#-0,3101476#3,653138#0,09887773#-0,265453#3,359746#0,06837882#-0,5975226#3,305287#-0,01355887#-0,6157158#3,316916#0,03501746#-0,6684346#3,315169#-0,07580136#-0,6571222#3,261718#1  
frame7 #0,1284831#1,027556#3,601899#0,1019777#0,8080482#3,556781# -0,007632934#0,5450252#3,060592#-0,1693822#0,5859346#3,945029#0,02702323#0,5204386#3,100073#-0,1682348#0,6049358#3,890239#0,1309917#0,4466787#3,233437#-0,1647923#0,6619396#3,740793#0,092869#0,6609539#3,352483#-0,0947794#0,6734326#3,60725#0,09599234#0,3820714#3,493207#0,04295443#0,3037115#3,443058#0,08492465#0,2396445#3,387662#-0,004673585#0,2506631#3,471616#-0,03294424#-0,315034#3,654363#0,08979659#-0,264336#3,357281#0,02703987#-0,591945#3,316088#-0,01402593#-0,6164759#3,317759#-0,04032516#-0,6320514#3,268968#-0,08139096#-0,6565824#3,270638#1  
frame8 #0,142459#1,024803#3,600906#0,09589953#0,8065141#3,549524# -0,05483369#0,4844516#3,053989#0,0307439#0,2190594#3,296807#-0,009212419#0,4731395#3,093665#0,02224128#0,3001022#3,313693#0,1276514#0,439203#3,227736#-0,003266558#0,5432305#3,379397#0,0863215#0,6616803#3,348999#-0,1009279#0,6717674#3,599371#0,08970389#0,3525831#3,491113#0,0392848#0,2756623#3,445593#0,07466466#0,2125043#3,469607#-0,008301295#0,2156619#3,401611#-0,05513807#-0,3659015#3,661328#0,08459851#-0,2670196#3,356141#0,04444269#-0,5944685#3,302958#-0,01403108#-0,6167188#3,318655#0,06628212#-0,6665854#3,316025#-0,08004087#-0,6560758#3,271873#1  
frame9 #0,1483894#1,017302#3,591721#0,09214075#0,7978349#3,541085# -0,06675251#0,4790677#3,039823#0,03055155#0,04038687#3,265859#-0,01919863#0,4673146#3,081495#0,02047916#0,2716976#3,302325#0,123463#0,4320553#3,221658#-0,006342493#0,5277544#3,360518#0,08188151#0,6554457#3,343205#-0,1045664#0,6630057#3,590744#0,0870423#0,3409041#3,497698#0,03586681#0,2600417#3,45609#0,07271789#0,2094055#3,457246#-0,01204947#0,2096957#3,466103#-0,05123471#-0,3755049#3,737375#0,07472253#-0,2679924#3,354085#0,03745379#-0,5708503#3,302811#-0,0146217#-0,6178107#3,318323#0,04701385#-0,6537474#3,304469#-0,0826248#-0,6584343#3,269896#1  
frame10 #0,1450168#1,010224#3,593685#0,08401771#0,7893767#3,542749# -0,1444219#0,4846884#3,198053#-0,007113806#0,02294926#3,231869#-0,07975455#0,4692925#3,200674#-0,02400946#0,235431#3,274766#0,1142475#0,4231046#3,223758#-0,04763488#0,4968946#3,353146#0,07242484#0,6468997#3,3453#-0,1125705#0,6546021#3,592364#0,08589791#0,4165143#3,535997#0,03748618#0,3542198#3,499947#0,06625477#0,2481331#3,563203#-0,008794928#0,2635397#3,409267#-0,05722439#-0,3771139#3,739622#0,06067421#-0,2708335#3,347458#0,01269927#-0,5981731#3,31337#-0,0161574#-0,6185501#3,319102#0,03818429#-0,6716702#3,291218#-0,08590923#-0,6603265#3,269665#1  
frame11 #0,1425725#1,004312#3,590965#0,08114687#0,7813303#3,550981# -0,1612895#0,4051204#3,203294#0,06731042#0,3051549#3,320366#-0,09315966#0,4076349#3,206671#0,08518139#0,3731108#3,333239#0,1112298#0,4151784#3,2321#-0,08073815#0,4929848#3,34257#0,06928053#0,6391928#3,353652#-0,1154225#0,6465412#3,600578#0,08631967#0,4051028#3,544311#0,03761587#0,3395791#3,508982#0,06699259#0,2434848#3,566442#-0,009012322#0,2538365#3,424334#-0,0527448#-0,3768555#3,754451#0,049881#-0,2708856#3,342785#0,06012517#-0,5468935#3,310786#-0,01773572#-0,6196467#3,317652#0,02605486#-0,6483438#3,287985#-0,08747992#-0,6614915#3,268276#1  
