frame1 #0,1257689#1,053792#3,760738#0,1326893#0,8367354#3,656642# 0,2441458#0,4725122#3,226265#-0,06643432#0,2741477#3,673352#0,2388636#0,5163701#3,251858#-0,09944165#0,3299959#3,649007#0,3498235#0,4932434#3,442524#-0,1984636#0,4975404#3,592387#0,2181823#0,6660568#3,552494#-0,01375119#0,6654215#3,557869#0,1226304#0,3750162#3,597393#0,1189394#0,3028754#3,519477#0,1698316#0,2528241#3,507555#0,06546154#0,2525383#3,50252#0,1580087#-0,2324823#3,557017#0,065777#-0,2268348#3,593136#0,1501673#-0,5388587#3,390807#0,1155193#-0,5824745#3,398174#0,1487203#-0,5881248#3,297555#0,1140722#-0,6317406#3,304922#1  
frame2 #0,1221322#1,05965#3,735027#0,1361896#0,8365302#3,656186# 0,1793068#0,4274328#3,188895#-0,01208294#0,5268617#3,822665#0,1766739#0,477731#3,212372#-0,06136133#0,5322192#3,774576#0,3230043#0,501949#3,373303#-0,2091965#0,5482917#3,646573#0,2219783#0,6641189#3,524409#-0,007908268#0,6715055#3,567659#0,1311458#0,3771159#3,59596#0,1177009#0,3063124#3,519116#0,1666588#0,2563435#3,49974#0,06295258#0,2601219#3,511556#0,1786134#-0,3092154#3,477622#0,07900415#-0,1577071#3,4958#-0,01844506#-0,5552471#3,708852#0,1055851#-0,5977455#3,368713#0,01382508#-0,580615#3,593839#0,09361339#-0,6584281#3,302976#1  
frame3 #0,1182875#1,03474#3,678004#0,1501266#0,8133311#3,62096# 0,220808#0,3667754#3,167808#-0,0449438#0,5037795#3,890332#0,2180961#0,4185835#3,19199#-0,0861619#0,5224988#3,838529#0,3174812#0,4988206#3,369978#-0,2098162#0,578657#3,698993#0,2260035#0,6582043#3,498622#-0,008034654#0,6788798#3,574546#0,1368529#0,3832226#3,591575#0,1146492#0,3150398#3,517944#0,1642936#0,2587467#3,493945#0,05757242#0,2697561#3,518456#0,1009834#-0,2451528#3,575267#0,08876077#-0,2028054#3,545677#-0,0170489#-0,5578962#3,723571#0,1087848#-0,5827874#3,362583#0,01206309#-0,5810236#3,608241#0,06323166#-0,6597994#3,358613#1  
frame4 #0,1017795#1,041559#3,659419#0,1640255#0,8248519#3,629278# 0,1904918#0,4109445#3,161562#-0,02134876#0,5896102#3,8518#0,1669113#0,4652947#3,184371#-0,07341254#0,5972871#3,807722#0,2981655#0,4934128#3,356267#-0,2296039#0,6203177#3,691203#0,2200428#0,6641471#3,479016#-0,004857032#0,6898193#3,585424#0,1433771#0,3904399#3,588443#0,1125264#0,3239726#3,518463#0,1584096#0,2663188#3,486078#0,05559479#0,2787802#3,525365#0,09913997#-0,2413463#3,57928#0,09528434#-0,1876974#3,537028#-0,01843948#-0,5414386#3,718992#0,09697708#-0,5904579#3,364262#0,01493161#-0,5667923#3,604052#0,09038179#-0,6452192#3,292605#1  
frame5 #0,1833711#1,051664#3,665277#0,1680026#0,8276833#3,624935# 0,1308474#0,5399806#3,112333#-0,08243009#0,5521533#3,951313#0,1692558#0,5241583#3,167984#-0,1112721#0,5792871#3,894265#0,284481#0,4766915#3,350582#-0,1977983#0,6606882#3,738768#0,1907505#0,6860353#3,471068#0,002683085#0,6980755#3,58951#0,149047#0,3917585#3,582664#0,1102177#0,324732#3,516828#0,1451711#0,2715777#3,477566#0,05569647#0,2794659#3,525927#0,09973799#-0,2261241#3,593562#0,1662697#-0,2577583#3,464142#-0,02231685#-0,5290217#3,727304#0,08908272#-0,5878353#3,367413#0,02104263#-0,562255#3,618732#0,03860604#-0,636344#3,288235#1  
frame6 #0,1827418#1,049637#3,666718#0,1707101#0,8291327#3,620701# 0,1439431#0,6042458#3,141037#-0,03585342#0,5717767#3,97916#0,1776182#0,5652291#3,186479#-0,06439117#0,5986241#3,922714#0,2786436#0,4481791#3,338423#-0,1500044#0,6791664#3,768993#0,2104037#0,6345592#3,424736#0,01009222#0,7036629#3,590672#0,1525104#0,3943713#3,577656#0,1095772#0,3267297#3,515163#0,1442621#0,2678259#3,472315#0,0560865#0,284859#3,527499#0,09059702#-0,2209235#3,602322#0,1656995#-0,2625794#3,455629#-0,04226644#-0,4642385#3,72867#0,08602382#-0,5894326#3,372546#-0,01826889#-0,5085467#3,620302#0,0304691#-0,636847#3,29862#1  
frame7 #0,1920273#1,042673#3,678524#0,1698396#0,8272195#3,604194# 0,1251643#0,5785311#3,083448#-0,2017888#0,9264262#3,910565#0,1554217#0,5464519#3,136271#-0,183862#0,8694238#3,876445#0,2461938#0,4502144#3,310346#-0,1300816#0,6984168#3,789687#0,2021957#0,6401652#3,416451#0,02705305#0,7129333#3,589884#0,1566612#0,3908721#3,567357#0,1093511#0,3211772#3,509668#0,1428553#0,2639415#3,472863#0,06141547#0,2858507#3,520512#0,08920811#-0,21961#3,602758#0,164383#-0,2588965#3,45377#-0,041522#-0,4639025#3,72749#0,08390918#-0,5909996#3,374695#-0,01076409#-0,512184#3,624081#0,02234893#-0,6372783#3,306634#1  
frame8 #0,2536708#1,025275#3,647737#0,1650225#0,8242903#3,596437# 0,1208448#0,5833588#3,077975#0,3414742#0,3580569#3,3667#0,1513125#0,5495125#3,131547#0,2857235#0,4005775#3,361435#0,2427154#0,4479738#3,307966#0,1184714#0,5281394#3,361343#0,1938542#0,6402949#3,410342#0,02707559#0,7129992#3,589444#0,1444972#0,3442058#3,552976#0,09412596#0,2651781#3,499365#0,1249496#0,2104727#3,487792#0,05442344#0,2437427#3,497045#-0,003819787#-0,2675913#3,69078#0,1327488#-0,2521969#3,432706#-0,05058837#-0,5648293#3,77078#0,06274797#-0,5950734#3,388237#-0,0247771#-0,5860038#3,656657#-0,002229951#-0,6413877#3,322481#1  
frame9 #0,2533136#1,016134#3,649603#0,160073#0,8196167#3,59071# 0,1180394#0,5774109#3,078366#0,327217#0,4395667#3,490133#0,1477471#0,5439363#3,131153#0,2777118#0,447259#3,442388#0,2368704#0,4435124#3,304874#0,1291961#0,4703359#3,314513#0,1874855#0,6371682#3,40565#0,0980847#0,6677439#3,444789#0,1253925#0,3336894#3,566304#0,09589656#0,2498707#3,501502#0,1218776#0,2094746#3,486071#0,07108457#0,2281223#3,509444#-0,01563582#-0,2582271#3,708406#0,1305343#-0,251649#3,431163#-0,05298227#-0,5611151#3,776658#0,05905138#-0,5967928#3,38831#-0,0284476#-0,5823234#3,663268#0,02731664#-0,6436418#3,30278#1  
frame10 #0,2527794#1,005506#3,652265#0,1534632#0,8150189#3,585556# 0,1126952#0,5710418#3,078786#0,3152655#0,4567196#3,465312#0,141934#0,5379623#3,130689#0,2581626#0,4607313#3,428349#0,2296502#0,4387239#3,301449#0,08685379#0,4727664#3,332508#0,1797701#0,6334547#3,401067#0,09782436#0,6676196#3,442729#0,1187298#0,3252673#3,565529#0,08546738#0,2405123#3,502419#0,1011905#0,205456#3,493731#0,06682652#0,2267956#3,506983#-0,02083344#-0,2677849#3,711577#0,1201453#-0,2469854#3,429501#-0,06972773#-0,544561#3,794422#0,05673707#-0,5970812#3,388194#-0,04610872#-0,5653056#3,681857#0,02103627#-0,6434124#3,305085#1  
frame11 #0,2498387#1,001747#3,652403#0,1473377#0,8122594#3,591424# 0,1064612#0,5668456#3,087669#0,3067726#0,3814598#3,424029#0,1355401#0,5340583#3,139025#0,2471274#0,4003036#3,398625#0,2227766#0,4356965#3,30824#0,06819162#0,4568351#3,33756#0,1727711#0,6311387#3,407609#0,09417243#0,664095#3,450071#0,1174038#0,3172881#3,573899#0,08341327#0,2312329#3,511639#0,09977271#0,1998009#3,509353#0,06469847#0,2218455#3,509542#-0,03547152#-0,212313#3,646319#0,1140936#-0,2435714#3,433716#-0,06989294#-0,541486#3,795368#0,05518442#-0,597988#3,38758#-0,04570437#-0,565944#3,68363#0,01697126#-0,6442711#3,305525#1  
frame12 #0,2412621#0,9973274#3,660277#0,1488141#0,8045758#3,640789# 0,108888#0,5585207#3,139703#0,2671397#0,4448355#3,483081#0,1377511#0,525925#3,190681#0,212541#0,4469585#3,444239#0,2243404#0,4281381#3,358536#0,04874503#0,4533276#3,342635#0,1738613#0,6243599#3,457192#0,08739017#0,6580132#3,460987#0,08805214#0,3088071#3,592724#0,07977967#0,2252447#3,521218#0,09533931#0,1882795#3,528697#0,06070146#0,2176935#3,511002#-0,08081479#-0,2429317#3,667456#0,1026558#-0,2465871#3,43724#-0,0716752#-0,5426546#3,799709#0,05382239#-0,5977997#3,387606#-0,0467036#-0,5668206#3,688553#0,1256647#-0,6413963#3,406255#1  
