frame1 #0,07645851#1,007257#3,690439#0,0554724#0,7971284#3,57146# 0,1224784#0,1953681#3,310836#5,006045E-05#0,3667477#3,219766#0,1749883#0,2635363#3,327569#-0,02297673#0,4261015#3,252887#0,3325179#0,4680412#3,392446#-0,170274#0,5101545#3,362539#0,1856098#0,6568389#3,4839#-0,05031842#0,6567437#3,482179#0,06845494#0,3881155#3,533#0,07150628#0,3223674#3,465679#0,1263396#0,2705877#3,446113#0,02017188#0,2705449#3,45896#0,02203609#-0,2701837#3,659754#0,1595491#-0,2878774#3,421501#0,0854754#-0,5888183#3,314006#0,04184988#-0,5887319#3,302269#0,02694415#-0,6435475#3,297516#0,04302941#-0,6213593#3,239064#1  
frame2 #0,09025148#1,021046#3,678648#0,07730214#0,7970077#3,566753# 0,109937#0,1932366#3,308907#-0,006548045#0,2052713#3,327178#0,1633888#0,2619846#3,323766#-0,02845588#0,3022156#3,327405#0,3237445#0,4682286#3,382898#-0,1987219#0,4987247#3,393255#0,1850885#0,6506389#3,466634#-0,04933734#0,6597273#3,485251#0,07405239#0,3899479#3,532212#0,07194342#0,3238233#3,465129#0,1260322#0,2710233#3,443993#0,02018336#0,2741362#3,461519#0,02051365#-0,2715333#3,669692#0,1580752#-0,2877199#3,415408#0,07292327#-0,5846293#3,313508#0,03623625#-0,5938657#3,303864#0,07956055#-0,6616178#3,300393#0,03113016#-0,6361552#3,222081#1  
frame3 #0,09388091#1,051823#3,697648#0,08788976#0,8258178#3,569029# 0,1358841#0,1781987#3,302853#-0,02505965#0,2260775#3,347264#0,1447276#0,2543262#3,304799#-0,04800016#0,3272308#3,347447#0,2992587#0,4695309#3,339895#-0,2145776#0,5230052#3,429573#0,1818554#0,6519166#3,452085#-0,04250944#0,6727189#3,50222#0,08220358#0,3921478#3,532491#0,07213255#0,3240401#3,466563#0,1238273#0,2681759#3,434854#0,02114296#0,2750836#3,468194#0,008224439#-0,2795689#3,708753#0,1538416#-0,2815628#3,410172#0,06915256#-0,5751208#3,328247#0,02044706#-0,5997432#3,320374#0,01379741#-0,652186#3,31567#0,03006769#-0,6825752#3,299439#1  
frame4 #0,0960248#1,062691#3,653659#0,09859821#0,8259667#3,565625# 0,03752516#0,03436124#3,289938#-0,1553054#0,2126998#3,417768#0,1300053#0,2375084#3,292247#-0,1471653#0,2873996#3,425703#0,2862054#0,454457#3,309826#-0,2375166#0,5349706#3,485524#0,1865383#0,6481302#3,414706#-0,0398461#0,6767681#3,511879#0,09779763#0,4033572#3,528247#0,0755004#0,3347934#3,465468#0,1247455#0,2722326#3,419544#0,02303115#0,2833629#3,48007#0,004549232#-0,2769593#3,715802#0,1430451#-0,276579#3,393682#0,05136595#-0,5781772#3,333693#0,01799399#-0,6018279#3,321994#0,008806298#-0,6560929#3,340366#0,0579808#-0,6795227#3,309233#1  
frame5 #0,1064871#1,069492#3,641463#0,1135034#0,8268855#3,56454# 0,09670165#0,1322944#3,280934#-0,1075975#0,2708391#3,412184#0,1143718#0,2343652#3,281131#-0,09934899#0,3465336#3,420225#0,2789347#0,4510874#3,296944#-0,2555589#0,544497#3,537447#0,1682044#0,6546183#3,40357#-0,03092136#0,6752814#3,5126#0,1050642#0,403689#3,524633#0,07645074#0,3352239#3,464266#0,1215738#0,2750686#3,415488#0,02633415#0,2844149#3,480897#-0,008863071#-0,2851137#3,76282#0,1330519#-0,2742091#3,385532#0,04112783#-0,5703439#3,357822#0,01371612#-0,608324#3,320205#0,008116978#-0,6571178#3,339782#0,06193989#-0,6851595#3,308298#1  
frame6 #0,1206344#1,076077#3,641965#0,1166602#0,8293118#3,564489# 0,08471509#0,1345425#3,265818#-0,01676321#0,4592319#3,41414#0,1030776#0,2378998#3,266078#-0,008404255#0,5359398#3,422289#0,2482557#0,4728258#3,265476#-0,2190783#0,5915925#3,607721#0,1558098#0,6616406#3,385661#0,002563092#0,6904619#3,504549#0,1112983#0,4012076#3,515344#0,07397604#0,3310117#3,455753#0,1041323#0,2702374#3,3966#0,02796837#0,2836358#3,479656#-0,01115614#-0,2796538#3,773228#0,1290088#-0,2741428#3,38219#0,03717678#-0,5666894#3,361921#0,01325843#-0,6083285#3,320507#0,0641838#-0,6579816#3,380128#0,06349488#-0,6870309#3,308313#1  
frame7 #0,1493002#1,078113#3,635239#0,1198558#0,8292778#3,562728# 0,05596596#0,1345313#3,262802#-0,02067983#0,4841967#3,430932#0,07302128#0,2401502#3,262339#-0,01216064#0,5623748#3,439237#0,239543#0,4671457#3,258194#-0,1929405#0,6261958#3,66142#0,1157416#0,6897008#3,366112#0,006255699#0,6886705#3,501253#0,1247185#0,3986147#3,501908#0,07622569#0,3265159#3,452259#0,1030454#0,2704217#3,395393#0,04229199#0,2752256#3,478628#-0,02169438#-0,2762035#3,808649#0,1262549#-0,2739893#3,380744#0,03392982#-0,5527719#3,380861#0,01061708#-0,6138554#3,316728#-0,04690286#-0,6028126#3,319547#0,07150069#-0,6831794#3,289645#1  
frame8 #0,1505618#1,081261#3,641343#0,1212859#0,8292693#3,560989# 0,02142052#0,111708#3,261654#-0,001825469#0,4943403#3,42677#0,04138219#0,2178671#3,262248#0,006775871#0,5732732#3,435155#0,2052634#0,4495883#3,23531#-0,1477612#0,6512514#3,679267#0,1206119#0,6812521#3,349169#0,02232743#0,6885297#3,48117#0,1235023#0,3741371#3,479915#0,07208665#0,2944146#3,426337#0,08791497#0,2374828#3,361295#0,04450341#0,2504219#3,463697#-0,02829748#-0,2739903#3,819902#0,1228245#-0,2717362#3,379809#0,02741417#-0,549215#3,382471#0,008019656#-0,6175525#3,31803#-0,02953885#-0,6546399#3,337902#-0,0732373#-0,6667072#3,260238#1  
frame9 #0,1526928#1,079384#3,655385#0,1213772#0,8276961#3,556293# 0,01508177#0,1091048#3,262451#-0,003325794#0,4932396#3,422245#0,03482779#0,2162317#3,262922#0,005348191#0,5728385#3,4307#0,1852535#0,4427911#3,216465#-0,1491478#0,651484#3,679133#0,1133244#0,6682841#3,33686#0,02242656#0,6890538#3,478158#0,1195269#0,3585539#3,472075#0,06617004#0,2787628#3,422893#0,07992476#0,2179742#3,357458#0,03978743#0,2322923#3,46029#-0,03154955#-0,2778244#3,832247#0,1187952#-0,2788235#3,374907#0,02453694#-0,5508206#3,386079#0,006862104#-0,6303291#3,315824#-0,03190444#-0,6578819#3,336913#-0,07920955#-0,6802486#3,261021#1  
frame10 #0,1540866#1,067742#3,665085#0,1203483#0,8188331#3,549225# -0,01703751#0,1372412#3,25422#0,2963761#0,3778547#3,380519#0,002526625#0,2461329#3,254501#0,2679555#0,367516#3,304543#0,1549153#0,4600141#3,205063#0,1092379#0,4896289#3,236494#0,1097798#0,6559985#3,330598#0,02059806#0,6816627#3,47074#0,1174193#0,3584468#3,472134#0,0636234#0,2796611#3,423372#0,07628959#0,217888#3,357118#0,03764512#0,2319226#3,460991#-0,0327436#-0,2746845#3,834088#0,1163781#-0,2781777#3,373395#0,03247964#-0,5326458#3,373869#0,003739648#-0,6336299#3,320833#0,02423418#-0,6486732#3,3107#-0,08333934#-0,6842183#3,265099#1  
frame11 #0,1584823#1,065375#3,670608#0,119687#0,8180934#3,549737# 0,01723638#0,1087642#3,260973#0,254917#0,4193677#3,453671#0,03764369#0,219001#3,261374#0,2261175#0,4088912#3,376682#0,123771#0,4489082#3,200142#0,0950074#0,4668609#3,231857#0,1084974#0,6547657#3,331595#0,06026925#0,6488682#3,391555#0,1173708#0,3586045#3,481259#0,06687097#0,2805918#3,433624#0,07611584#0,2174565#3,362268#0,05010582#0,2283766#3,481586#-0,03340965#-0,2768134#3,837333#0,1118978#-0,2794106#3,366359#0,05932243#-0,5244557#3,371868#0,0044588#-0,6393687#3,317416#0,02923496#-0,643739#3,320293#-0,07972712#-0,6905991#3,256237#1  
