frame1 #-0,08457791#1,046994#3,288015#-0,1035893#0,8146414#3,217879# -0,08379404#0,1640426#2,967429#-0,1616925#0,2138518#2,98073#-0,0272879#0,2416844#2,971706#-0,2233517#0,2863612#2,994147#0,1422305#0,4746097#2,999805#-0,4083292#0,5038893#3,049666#0,0106723#0,6769879#3,108465#-0,2139214#0,6487986#3,129883#-0,09030901#0,3836285#3,196155#-0,0956388#0,3108837#3,129513#-0,04431509#0,2671626#3,114832#-0,1453823#0,2544774#3,123595#-0,161795#-0,2720917#3,224317#-0,04708393#-0,2537156#3,068155#-0,2452414#-0,602329#3,299308#-0,1040204#-0,6067695#2,952273#-0,2019908#-0,6194013#3,181254#-0,115658#-0,657245#2,854857#1  
frame2 #-0,083761#1,028136#3,282608#-0,1031361#0,8152854#3,217294# 0,02443436#0,3376355#2,783762#-0,2341399#0,7254702#3,104401#0,001034841#0,394148#2,819076#-0,2812209#0,6725628#3,097877#0,1288517#0,4783607#2,982784#-0,4224636#0,5138404#3,093364#0,01044527#0,6775851#3,105834#-0,2157234#0,657791#3,142482#-0,08809539#0,3894566#3,195403#-0,09719591#0,3184806#3,129328#-0,04592729#0,2721531#3,108532#-0,1479666#0,2639686#3,130703#-0,1752531#-0,2676705#3,247048#-0,04083497#-0,2713133#3,033834#-0,2691569#-0,5345399#3,274551#-0,1284917#-0,6253885#2,955512#-0,2243937#-0,5722404#3,174157#-0,08908118#-0,7011684#2,946476#1  
frame3 #-0,06356649#1,031893#3,292699#-0,09225412#0,8256761#3,222074# 0,1464783#0,3085434#2,739969#-0,2600274#0,7620171#3,177681#0,1513996#0,3418697#2,798829#-0,3042924#0,7074788#3,169919#0,0927203#0,4782813#2,965275#-0,4370874#0,543864#3,161767#0,008138688#0,6757331#3,090921#-0,2145066#0,6664997#3,157078#-0,08205301#0,3918775#3,194799#-0,09830176#0,3203992#3,130104#-0,04965308#0,2720886#3,101425#-0,1502845#0,2668207#3,13763#-0,1865767#-0,2419928#3,25114#-0,0414198#-0,2659242#3,031811#-0,2690729#-0,50569#3,289181#-0,1575339#-0,6296444#2,961913#-0,212757#-0,5586662#3,206042#-0,09915975#-0,6850079#2,985775#1  
frame4 #-0,06013729#1,036073#3,263897#-0,08285317#0,8301182#3,223946# -0,07137238#0,4513965#2,764069#-0,2131078#0,6661049#3,072365#-0,0596592#0,5107111#2,789172#-0,2705708#0,6408683#3,104951#0,08370848#0,4796384#2,95697#-0,4429597#0,5651585#3,217253#-0,003860936#0,6750962#3,073912#-0,211293#0,6704246#3,159633#-0,07758801#0,393699#3,190696#-0,1002539#0,3223616#3,12773#-0,05634385#0,2730342#3,09308#-0,1516643#0,2703103#3,141727#-0,1966487#-0,2221855#3,254827#-0,04889466#-0,2547976#3,028662#-0,2673065#-0,4892411#3,284231#-0,1736136#-0,6148357#2,974637#-0,2111564#-0,5474795#3,206563#-0,116794#-0,6749085#2,98401#1  
frame5 #-0,07384765#1,043531#3,26504#-0,07268604#0,8352957#3,224349# -0,04784823#0,3861798#2,680174#-0,2231636#0,7029623#3,07729#-0,01621445#0,4104977#2,732561#-0,2723183#0,6760178#3,121433#0,05174117#0,4815385#2,937476#-0,4197823#0,5951842#3,26864#-0,003059201#0,6719217#3,047886#-0,1831708#0,6947986#3,163633#-0,07025194#0,3948695#3,188739#-0,1013468#0,3229834#3,129871#-0,06479147#0,266582#3,084975#-0,1515187#0,2718035#3,154176#-0,2189068#-0,2497977#3,277267#-0,0639367#-0,2596928#3,025505#-0,2794705#-0,5178437#3,30267#-0,1811779#-0,620077#2,991437#-0,2251462#-0,5658818#3,216392#-0,1238731#-0,6802836#2,997005#1  
frame6 #-0,04229296#1,042621#3,28909#-0,07234092#0,8372837#3,224771# -0,002049416#0,4031854#2,676975#-0,2293983#0,7151264#3,167466#-0,04946413#0,4157114#2,719263#-0,2799601#0,6889527#3,208851#0,02348066#0,4720533#2,9242#-0,4316455#0,6104316#3,347961#-0,01114721#0,6640586#3,034325#-0,2532502#0,7010282#3,241055#-0,06786411#0,3990215#3,1859#-0,1075687#0,3269549#3,131409#-0,06735272#0,2607842#3,078884#-0,1657502#0,2720598#3,160929#-0,2313436#-0,2662723#3,282404#-0,09652606#-0,2510502#3,031909#-0,2404818#-0,5464407#3,247773#-0,18556#-0,619364#3,019918#-0,1875528#-0,5955131#3,161051#-0,1162542#-0,6797755#3,012028#1  
frame7 #-0,04153008#1,041856#3,287556#-0,07240979#0,837826#3,221622# -0,1868129#0,4546636#2,754151#-0,1967902#0,7821484#3,17346#-0,1436921#0,4941404#2,780277#-0,2467774#0,7562721#3,214375#0,01668459#0,4649413#2,92532#-0,3967387#0,6786435#3,351749#-0,03710958#0,6565787#3,016983#-0,2287003#0,702238#3,223001#-0,06416512#0,3993709#3,180631#-0,1090821#0,3259554#3,130411#-0,07189766#0,2566296#3,076102#-0,1642482#0,2716756#3,162109#-0,2456801#-0,2639106#3,277331#-0,1013643#-0,2532201#3,032746#-0,299789#-0,5252521#3,344072#-0,1865284#-0,6224542#3,030814#-0,2582698#-0,5661004#3,24801#-0,1160686#-0,6801504#3,013196#1  
frame8 #-0,03404677#1,036648#3,287514#-0,06898736#0,8355193#3,217822# -0,2004244#0,4768662#2,734823#0,08927121#0,4288288#3,060646#-0,1453049#0,4754572#2,76647#0,06321773#0,439588#3,003663#-0,008474094#0,4554689#2,93286#-0,1165287#0,5272462#2,970518#-0,03586326#0,6533321#3,014215#-0,2082125#0,6962264#3,199556#-0,0666832#0,358302#3,177023#-0,1149156#0,2715878#3,126708#-0,08143675#0,2099358#3,083797#-0,1591259#0,238564#3,152709#-0,2667004#-0,2967643#3,324589#-0,1087728#-0,2578077#3,036833#-0,3053639#-0,5667595#3,356865#-0,1859545#-0,6255432#3,03559#-0,2645034#-0,5959379#3,257358#-0,115268#-0,6803321#3,012915#1  
frame9 #-0,03053979#1,025161#3,286854#-0,07339624#0,826914#3,216598# -0,2063071#0,4773296#2,732524#0,07961307#0,4333585#3,056325#-0,15804#0,4625928#2,77088#0,04350039#0,4347284#3,004247#-0,0246342#0,4428124#2,936703#-0,13176#0,5235957#2,967309#-0,04371452#0,6407651#3,013971#-0,2130504#0,689785#3,197956#-0,0652249#0,345941#3,186656#-0,1113182#0,2594506#3,138133#-0,0728076#0,2001228#3,133323#-0,1553911#0,2324883#3,150056#-0,2675711#-0,2960009#3,324012#-0,1156452#-0,2668419#3,046505#-0,3073688#-0,5641661#3,359917#-0,1861237#-0,6279647#3,038619#-0,274844#-0,5971929#3,259228#-0,1159729#-0,6809021#3,014106#1  
frame10 #-0,03323086#1,011177#3,293946#-0,08057736#0,8131333#3,227343# -0,1937873#0,5230075#2,825332#0,07138502#0,4093738#3,049121#-0,2084511#0,4620144#2,837787#0,02411532#0,420185#3,00742#-0,03383056#0,4314062#2,949372#-0,163501#0,4635276#2,886642#-0,05160945#0,6270509#3,025426#-0,1178764#0,6489347#3,091434#-0,06689499#0,3247389#3,208177#-0,1088662#0,2359259#3,159636#-0,08384142#0,1826038#3,116075#-0,1317811#0,205358#3,208563#-0,2727535#-0,3005629#3,347617#-0,1186181#-0,2720069#3,052618#-0,310894#-0,5717565#3,363365#-0,18657#-0,6287407#3,038405#-0,2608567#-0,5975313#3,267638#-0,115848#-0,68104#3,014076#1  
frame11 #-0,0364405#0,9855832#3,30101#-0,09276822#0,7927526#3,227844# -0,1985462#0,5116093#2,823553#0,03709036#0,3717678#3,031373#-0,2130697#0,4511997#2,835889#-0,01782229#0,3947144#3,009682#-0,04653069#0,4126478#2,950864#-0,2130983#0,433251#2,868195#-0,06387559#0,6070789#3,02599#-0,1612312#0,5805882#3,017883#-0,1251016#0,2999812#3,215922#-0,129098#0,2110647#3,151399#-0,1125172#0,1711492#3,169265#-0,1589189#0,1785797#3,120574#-0,2722715#-0,300668#3,347151#-0,1161748#-0,2746952#3,054761#-0,3004616#-0,5711548#3,364453#-0,1867213#-0,6288178#3,037853#-0,2571662#-0,5976798#3,266718#-0,1158975#-0,6814135#3,015581#1  
