frame1 #0,03093647#0,9099268#3,54676#-0,02016742#0,7761341#3,638451# 0,08571914#0,1939813#3,543936#-0,2622756#0,264974#3,497639#0,128421#0,2645667#3,585323#-0,292409#0,3303169#3,55544#0,134911#0,5007878#3,527313#-0,2989031#0,5120286#3,583853#0,1310375#0,6782623#3,652511#-0,1737765#0,693196#3,558922#-0,04371465#0,4218254#3,631393#-0,03082522#0,3604927#3,577444#0,03595094#0,2866626#3,585168#-0,1012153#0,2933828#3,544512#0,0224259#-0,259039#3,650442#-0,1190223#-0,2526858#3,447953#-0,05740579#-0,5659948#3,623678#-0,1547685#-0,5596099#3,268888#-0,01741347#-0,6428388#3,576639#-0,1240126#-0,6078352#3,178227#1  
frame2 #0,03512157#0,9463635#3,540783#-0,02331318#0,779531#3,635143# -0,02584185#0,6604983#3,420544#-0,2150769#0,2654178#3,41867#0,01532858#0,6213725#3,442619#-0,2263204#0,3196996#3,455126#0,1388399#0,5039949#3,522247#-0,2988556#0,5092537#3,580634#0,1311514#0,6782292#3,65327#-0,173895#0,6932872#3,558981#-0,04363895#0,4221629#3,631761#-0,03021009#0,3602405#3,57796#0,0374923#0,2860646#3,585987#-0,09998702#0,2929421#3,545621#0,02159421#-0,2611732#3,651701#-0,1253703#-0,2523232#3,430712#-0,06352971#-0,5876876#3,592554#-0,1556726#-0,5933937#3,249604#-0,01427067#-0,6445705#3,573479#-0,1293671#-0,6345213#3,172423#1  
frame3 #0,03519426#0,9280392#3,528035#-0,023442#0,7794833#3,634626# -0,03945842#0,663694#3,46344#-0,2176732#0,268109#3,418199#0,0054892#0,6239702#3,474794#-0,2303978#0,322057#3,453336#0,140332#0,5047985#3,522221#-0,2984996#0,5089212#3,580365#0,131142#0,6787758#3,655479#-0,1742744#0,6938944#3,558212#-0,04390597#0,4226424#3,631584#-0,02993849#0,3608259#3,578122#0,03792479#0,2865511#3,58638#-0,09970543#0,2935125#3,545922#0,02267728#-0,2572754#3,652882#-0,11922#-0,2543132#3,439336#-0,06064812#-0,5918319#3,58617#-0,1562866#-0,5640727#3,262193#-0,01042611#-0,646399#3,567675#-0,1297219#-0,6045578#3,186424#1  
frame4 #0,03096634#0,9422871#3,52661#-0,02232597#0,7815213#3,630654# -0,0417706#0,6631113#3,483469#-0,2238709#0,2518218#3,419878#0,004571795#0,6237805#3,489612#-0,2205666#0,3019295#3,45703#0,143599#0,5057883#3,521395#-0,2985044#0,5103688#3,579766#0,1306904#0,6790619#3,655224#-0,1742762#0,6949095#3,557493#-0,04374101#0,423333#3,631366#-0,02975561#0,3608703#3,578074#0,03820496#0,2869896#3,585138#-0,09860817#0,2947437#3,549655#0,02269622#-0,2578636#3,653536#-0,1200824#-0,2520342#3,426103#-0,05738448#-0,5793493#3,590502#-0,1562756#-0,5623339#3,261564#-0,01638957#-0,6405727#3,569169#-0,1295225#-0,6030425#3,185596#1  
frame5 #0,02190142#0,910736#3,548021#-0,0219984#0,7780607#3,628082# -0,05546464#0,5680062#3,379383#-0,2219818#0,2492963#3,419174#-0,005488351#0,5528217#3,411099#-0,228554#0,3020317#3,449839#0,1444405#0,5072682#3,519615#-0,2986965#0,5098565#3,578984#0,129162#0,679345#3,654396#-0,1745708#0,6945848#3,556556#-0,04486109#0,4222181#3,629993#-0,03101974#0,3596873#3,577004#0,03527039#0,2863777#3,581252#-0,09980343#0,2940215#3,550137#0,02259156#-0,2578597#3,653761#-0,09644713#-0,2198629#3,456798#-0,05673994#-0,576777#3,590989#-0,1489163#-0,5670906#3,256254#-0,01767038#-0,6380541#3,567212#-0,122178#-0,6077019#3,180571#1  
frame6 #0,03102583#0,9156793#3,528249#-0,02111034#0,7784103#3,628592# -0,05896509#0,5686314#3,384537#-0,2235158#0,2487762#3,420654#-0,008142695#0,5537345#3,415041#-0,2305869#0,3016098#3,449393#0,1443245#0,5090439#3,519894#-0,2996724#0,5104382#3,577423#0,1286427#0,6801687#3,654598#-0,1745651#0,6953232#3,554822#-0,04528768#0,4226894#3,629701#-0,03134236#0,3602422#3,576788#0,03453843#0,2873338#3,581546#-0,1004891#0,294682#3,549336#0,02273137#-0,261593#3,655269#-0,1210482#-0,1546751#3,421227#-0,05988627#-0,5817639#3,584291#-0,1454685#-0,5388803#3,265956#-0,01591827#-0,6402836#3,565335#-0,1185399#-0,5790212#3,191281#1  
frame7 #0,02324201#0,9521758#3,515846#-0,02101336#0,780395#3,624856# -0,07183715#0,5769348#3,416305#-0,2186144#0,2126572#3,416281#-0,01732679#0,5609885#3,43864#-0,2296203#0,3015338#3,450032#0,1462043#0,5131499#3,518957#-0,2996668#0,5101486#3,57706#0,1279397#0,6779622#3,652372#-0,1760484#0,6972291#3,553373#-0,04742177#0,4263335#3,627965#-0,03412275#0,3637755#3,575559#0,03241652#0,2886889#3,581684#-0,1051424#0,2996029#3,547297#0,02280609#-0,2614487#3,655531#-0,1170251#-0,1544046#3,363781#-0,05930281#-0,5792291#3,584857#-0,1463658#-0,5556192#3,257917#-0,01929551#-0,6368639#3,557659#-0,1197284#-0,5956415#3,183583#1  
frame8 #0,02018077#0,9459006#3,511236#-0,02240106#0,7809128#3,622751# -0,06989703#0,4590069#3,398306#-0,2399063#0,2402847#3,422027#-0,01613984#0,4714509#3,424346#-0,2316392#0,2975456#3,448392#0,1451317#0,5087829#3,515757#-0,2987115#0,5072091#3,575136#0,1268168#0,6757683#3,648607#-0,1760085#0,6965451#3,551927#-0,04943155#0,4279615#3,626202#-0,03649564#0,365421#3,573967#0,0294472#0,2905328#3,580796#-0,1072631#0,3011437#3,545539#0,02372109#-0,2608169#3,656104#-0,1178052#-0,2453231#3,362939#-0,05460168#-0,5707139#3,565522#-0,1452616#-0,5696451#3,26369#-0,01972177#-0,6364422#3,555588#-0,1190944#-0,6095977#3,1894#1  
frame9 #0,01342646#0,9268496#3,519506#-0,02356639#0,7795322#3,619738# -0,04907131#0,5328802#3,357988#-0,254897#0,2397684#3,421786#-2,595782E-05#0,5250772#3,392485#-0,2392197#0,2979642#3,447742#0,1471101#0,5016682#3,509239#-0,2986315#0,5071352#3,574816#0,1236423#0,6602517#3,620174#-0,1770524#0,6958209#3,550548#-0,04866082#0,4289766#3,624223#-0,03970935#0,3672403#3,571043#0,02523642#0,2918132#3,575569#-0,1108598#0,3039512#3,544348#0,03119634#-0,2236412#3,653508#-0,1097294#-0,1466078#3,398409#-0,06488908#-0,5902783#3,583925#-0,1454308#-0,5455554#3,272497#-0,01739851#-0,6388004#3,552445#-0,1251365#-0,5854988#3,196704#1  
frame10 #0,005999138#0,970436#3,484741#-0,02919486#0,7833295#3,608774# -0,0507737#0,480655#3,329143#-0,2557631#0,2336366#3,420912#-0,004666686#0,4838525#3,36838#-0,2419433#0,2944183#3,447361#0,1336543#0,493445#3,499321#-0,2995834#0,5033956#3,577032#0,1243006#0,6703963#3,622523#-0,1800823#0,6975045#3,547765#-0,05078236#0,4329653#3,621191#-0,04090035#0,3699424#3,569086#0,02514968#0,2922775#3,574822#-0,1123775#0,3073266#3,543249#0,02796066#-0,2579485#3,644383#-0,1201353#-0,2510915#3,340544#-0,06834473#-0,5978034#3,58061#-0,1460747#-0,5692601#3,252634#-0,01490975#-0,6475949#3,561218#-0,1250347#-0,6097854#3,176352#1  
frame11 #0,002789691#0,9690573#3,488197#-0,03125087#0,7840077#3,601961# -0,0755679#0,605719#3,432309#-0,2534955#0,2138824#3,417149#-0,02346326#0,5772128#3,44571#-0,2484113#0,2774055#3,437088#0,1328506#0,4916939#3,499108#-0,2947574#0,4893147#3,568678#0,1243112#0,6733868#3,620231#-0,1843009#0,6969612#3,542583#-0,05172547#0,4365446#3,618068#-0,04139424#0,3734482#3,566817#0,0257524#0,2964004#3,572814#-0,1128219#0,3082867#3,542502#0,02413904#-0,2637125#3,637584#-0,121849#-0,25117#3,335331#-0,06961553#-0,5739329#3,564841#-0,1446567#-0,5691414#3,241027#-0,03436822#-0,6392843#3,570626#-0,1236788#-0,60919#3,165973#1  
