frame1 #0,07099064#1,016027#3,717865#0,08558809#0,8111131#3,71882# -0,00943891#0,6336491#3,515002#-0,1740248#0,2029171#3,658092#0,05694063#0,6016511#3,510093#-0,1570875#0,2545171#3,663595#0,2519316#0,5392913#3,541327#-0,1488606#0,4887277#3,82686#0,2341067#0,7042757#3,689494#-0,07596505#0,7221221#3,721637#0,08420233#0,4426646#3,733761#0,0792706#0,3733443#3,692786#0,1480295#0,2995309#3,681001#0,008497216#0,3075618#3,691882#0,1511107#-0,2526256#3,754906#0,01212259#-0,2423699#3,539829#0,06339528#-0,5852659#3,720594#-0,02784322#-0,5761407#3,369948#0,1147554#-0,6421194#3,69056#-0,03479047#-0,6136891#3,298692#1  
frame2 #0,0628995#1,007393#3,700935#0,08474522#0,8096235#3,713452# 0,03727343#0,6186014#3,519776#-0,176964#0,1974735#3,659273#0,0556366#0,6025643#3,509858#-0,1763802#0,2821528#3,695173#0,2504984#0,538364#3,540458#-0,1473122#0,4878954#3,828629#0,2344162#0,704361#3,687928#-0,0766511#0,7215772#3,721334#0,08331966#0,4445955#3,730974#0,0780782#0,375725#3,690473#0,1470264#0,3018633#3,677329#0,00722605#0,30873#3,691135#0,1535725#-0,237321#3,752014#0,003776694#-0,2471899#3,529265#0,06254276#-0,5853109#3,719229#-0,02815485#-0,5766907#3,369732#0,112581#-0,6420085#3,693899#-0,03531472#-0,6138186#3,299514#1  
frame3 #0,05617399#1,005507#3,695714#0,08358002#0,8096928#3,712156# -0,02411847#0,6261129#3,501777#-0,1926231#0,1803368#3,689591#0,04571939#0,5990526#3,503067#-0,1807983#0,2796891#3,705729#0,2417886#0,5386685#3,535108#-0,1366875#0,4857852#3,835952#0,2335584#0,7050726#3,683023#-0,08334016#0,7260993#3,732118#0,08371636#0,4453428#3,728863#0,07675662#0,3766054#3,688905#0,1456033#0,301374#3,671254#0,005600065#0,3091795#3,691509#0,1502423#-0,244865#3,744196#0,002317411#-0,2467899#3,527459#0,06522043#-0,5859697#3,724337#-0,02827166#-0,5767189#3,369684#0,1176016#-0,6431603#3,699217#-0,0387252#-0,6136744#3,300172#1  
frame4 #0,03388176#1,001659#3,704637#0,08273979#0,8086354#3,70958# 0,02942723#0,5882086#3,496542#-0,2048348#0,1559994#3,741444#0,05063434#0,5703699#3,48847#-0,2031344#0,2244889#3,758799#0,252616#0,5293657#3,503131#-0,1300083#0,4852406#3,838909#0,2201046#0,6947801#3,648504#-0,08399335#0,7260329#3,732827#0,08676106#0,4454072#3,72427#0,07542012#0,3770354#3,685205#0,1426872#0,3001248#3,660097#0,005149633#0,3096605#3,691349#0,1481986#-0,2536938#3,731789#-0,05106605#-0,233485#3,449831#0,06691545#-0,594112#3,686363#-0,02141906#-0,5762902#3,379756#0,1203554#-0,6363375#3,684427#-0,005670554#-0,6351362#3,322803#1  
frame5 #0,02442972#0,995618#3,703259#0,08355603#0,804986#3,701975# -0,06264751#0,5823902#3,4542#-0,2235485#0,1438768#3,788843#0,005530536#0,5685527#3,458997#-0,207817#0,2130507#3,7777#0,2100647#0,52704#3,487027#-0,1204713#0,4763092#3,835037#0,2208961#0,6931671#3,64048#-0,08389481#0,7250268#3,731764#0,08789057#0,444881#3,715045#0,07572281#0,377364#3,675823#0,1430307#0,2997622#3,64799#0,005366362#0,3104691#3,687444#0,1463798#-0,2578139#3,716547#-0,04968873#-0,237338#3,451399#0,07399839#-0,5896956#3,738737#-0,01830947#-0,574697#3,36943#0,0792814#-0,6422036#3,662477#-0,006214999#-0,6348383#3,322559#1  
frame6 #0,009086451#0,9949994#3,708937#0,07672526#0,8042997#3,695234# -0,06782862#0,6080301#3,452193#-0,2261653#0,149784#3,81537#0,009959295#0,5571948#3,436713#-0,2084746#0,2176057#3,830244#0,2136932#0,5125612#3,47654#-0,1195821#0,4751575#3,834866#0,2106356#0,6906068#3,615081#-0,08999935#0,7245426#3,728278#0,08645976#0,4390165#3,702137#0,07219342#0,3707534#3,661424#0,1403583#0,2904398#3,629435#0,00304536#0,3056227#3,676514#0,1431772#-0,2607711#3,708055#-0,05130883#-0,2380902#3,453411#0,07328166#-0,5890288#3,738586#-0,01903049#-0,5682501#3,374079#0,1209606#-0,6437901#3,692336#-0,007282025#-0,6337332#3,321844#1  
frame7 #0,006568276#0,9926205#3,711344#0,072749#0,7976863#3,686252# -0,1117006#0,5976861#3,407938#-0,2241395#0,1585274#3,849127#-0,02331956#0,5661976#3,408286#-0,2057665#0,2246401#3,839094#0,1808299#0,512815#3,441635#-0,1179411#0,4674412#3,830813#0,1948056#0,6843414#3,592308#-0,09438489#0,7183673#3,721114#0,07988414#0,4227415#3,683457#0,06197959#0,3539499#3,64107#0,1237972#0,2718292#3,596859#-0,004072497#0,2910262#3,664065#0,1421821#-0,2612139#3,701645#-0,05134247#-0,2469799#3,456954#0,08141016#-0,5955346#3,717253#-0,01898111#-0,5682536#3,373509#0,1325567#-0,6534753#3,671283#-0,01244191#-0,6328023#3,315226#1  
frame8 #-0,02889972#0,9850883#3,705386#0,07223444#0,7995274#3,680077# -0,1627064#0,577434#3,401209#-0,2198545#0,1955147#3,859827#-0,09206386#0,5325813#3,414633#-0,184906#0,2522559#3,845215#0,1529099#0,5128841#3,407958#-0,1168448#0,4657444#3,828452#0,183093#0,681412#3,581159#-0,09523365#0,7199953#3,715548#0,07713906#0,4193322#3,677533#0,05674365#0,3495657#3,634513#0,1106859#0,2580059#3,570854#-0,00820166#0,2844498#3,665498#0,1423292#-0,263229#3,696051#-0,05375014#-0,2478757#3,458843#0,09097616#-0,5947633#3,727277#-0,01906583#-0,5677236#3,37218#0,1238526#-0,6478082#3,683424#-0,01317761#-0,6327059#3,31837#1  
frame9 #-0,04197426#0,9835695#3,70823#0,0584398#0,7997024#3,672745# -0,1713777#0,5261747#3,355797#-0,2168555#0,1603057#3,9109#-0,08893976#0,4949909#3,388322#-0,2083412#0,2202026#3,898608#0,1392988#0,5137821#3,401851#-0,1054648#0,3906678#3,825273#0,1652094#0,6804443#3,566364#-0,08886778#0,6476121#3,710477#0,068735#0,4108189#3,663293#0,04474068#0,3397379#3,620324#0,09953551#0,2628441#3,557863#-0,01571122#0,2603106#3,657162#0,1440063#-0,2650661#3,693875#-0,0539012#-0,2487465#3,459442#0,1021351#-0,5961583#3,782644#-0,02362157#-0,5676339#3,369014#0,1368768#-0,6435373#3,731546#-0,02787994#-0,6348948#3,316709#1  
frame10 #-0,04761861#0,9808396#3,705661#0,0540777#0,7991363#3,664577# -0,1601384#0,4727698#3,330468#-0,23335#0,1708802#3,94722#-0,08364257#0,4680658#3,390306#-0,2059417#0,2279112#3,917875#0,1458863#0,5070381#3,389869#-0,1053431#0,3886268#3,822741#0,1593297#0,6751179#3,556837#-0,08863938#0,6472222#3,707224#0,06149966#0,4004726#3,652258#0,03500992#0,3275978#3,608763#0,09099646#0,2588893#3,553938#-0,02231072#0,2547215#3,64576#0,1476087#-0,2657387#3,690765#-0,0560596#-0,2457306#3,458383#0,1068638#-0,5857278#3,757814#-0,01387959#-0,6216189#3,326456#0,1400647#-0,6483943#3,748669#-0,05489265#-0,6596692#3,263631#1  
frame11 #-0,06764013#0,9735861#3,691321#0,03344249#0,7940796#3,642682# -0,1838841#0,4223262#3,283435#-0,2494211#0,1627796#3,982104#-0,09134565#0,41304#3,318787#-0,2088411#0,2346786#3,926578#0,1450167#0,5030949#3,3863#-0,1193729#0,3826358#3,804821#0,1385546#0,6797307#3,544826#-0,1025842#0,6425476#3,688726#0,05673783#0,3995069#3,639289#0,03221983#0,3260139#3,596135#0,0873383#0,2623683#3,552107#-0,02053977#0,258338#3,609138#0,1490297#-0,2664365#3,684934#-0,05869676#-0,2399736#3,458396#0,101756#-0,5903608#3,743324#-0,01530178#-0,6078482#3,330589#0,1241984#-0,6454135#3,701109#-0,05653207#-0,6470135#3,266366#1  
frame12 #-0,08935358#0,9670848#3,694212#0,01877068#0,7890163#3,640041# -0,1795829#0,3768415#3,266517#-0,2543698#0,2186584#3,998129#-0,09544078#0,392981#3,319167#-0,2202531#0,2759034#3,965211#0,1333705#0,5044593#3,3735#-0,1351184#0,3754933#3,801296#0,1276397#0,6811873#3,534173#-0,1182365#0,6368488#3,684595#0,04754639#0,3729416#3,621763#0,02451661#0,2944365#3,574156#0,08217485#0,2425009#3,537174#-0,02770322#0,2260642#3,593858#0,1524501#-0,2661184#3,672881#-0,05972787#-0,2357286#3,458037#0,05510343#-0,6086338#3,590905#0,003219281#-0,5824326#3,334244#0,02237856#-0,626175#3,497721#-0,03989844#-0,6220139#3,269572#1  
frame13 #-0,09675777#0,9603574#3,680944#0,01356042#0,7868957#3,629654# -0,1654054#0,3209738#3,260387#-0,254727#0,2172428#3,993181#-0,08039649#0,3408667#3,313352#-0,2200827#0,2753731#3,959754#0,1262705#0,488545#3,351953#-0,1402901#0,3724031#3,79098#0,1181389#0,6732569#3,502323#-0,1233504#0,6346527#3,673597#0,04713127#0,3682643#3,607826#0,02175988#0,2904519#3,562592#0,07793343#0,2398813#3,531635#-0,02960669#0,2231793#3,57091#0,1482383#-0,269965#3,64269#-0,06064443#-0,2350825#3,455708#0,1070161#-0,6055428#3,717706#-0,0001705273#-0,5831391#3,331494#0,07196867#-0,6184661#3,623453#-0,0479777#-0,6230916#3,269119#1  
frame14 #-0,1028754#0,9589415#3,678209#0,0004762672#0,7924539#3,620138# -0,213811#0,2460563#3,177008#-0,2656152#0,2200085#3,989494#-0,1082883#0,2959571#3,265251#-0,2303925#0,2791094#3,955508#0,08507881#0,4544306#3,328009#-0,1532907#0,3752839#3,782579#0,1054631#0,665903#3,483502#-0,1361789#0,6401962#3,664011#0,04201027#0,3552696#3,578861#0,0169618#0,2735677#3,526721#0,07208324#0,223611#3,496895#-0,03265255#0,209248#3,53475#0,1485841#-0,2653431#3,631819#-0,06315428#-0,2441191#3,451491#-0,002510339#-0,6219181#3,479079#-0,00420612#-0,5875882#3,324442#-0,02836398#-0,6462063#3,381227#-0,05481432#-0,6283107#3,261417#1  
frame15 #-0,1146362#0,9507008#3,667049#-0,01109252#0,7851158#3,604248# -0,1335785#0,2171516#3,213744#-0,328076#0,3149395#4,002064#-0,08072699#0,2773559#3,278599#-0,2872984#0,3276352#3,939997#0,07815782#0,4441695#3,310914#-0,1649655#0,3657225#3,767982#0,083619#0,6577733#3,463826#-0,1477094#0,6328696#3,648023#0,03013542#0,3407182#3,551143#0,003965628#0,2609689#3,501604#0,05310818#0,2116507#3,464342#-0,04237133#0,1979599#3,513098#0,1319267#-0,2674771#3,573336#-0,06419842#-0,2531412#3,447354#0,07498822#-0,6139867#3,592889#0,0005514705#-0,578432#3,357907#0,03457905#-0,6306729#3,497536#-0,004106366#-0,6531367#3,308681#1  
frame16 #-0,1257397#0,947471#3,665861#-0,02128845#0,7881014#3,607049# -0,1107269#0,1777191#3,208934#-0,3656195#0,3200538#3,989284#-0,07093488#0,2599672#3,261263#-0,3180246#0,3317699#3,931403#0,07721073#0,4446526#3,307782#-0,1752397#0,3669185#3,771882#0,05099264#0,658463#3,450006#-0,1578678#0,6358593#3,650807#0,02623849#0,3400905#3,536107#-0,004515287#0,2596443#3,482284#0,03824083#0,2134609#3,434023#-0,04586834#0,1958178#3,496684#0,09475368#-0,253073#3,482247#-0,06967818#-0,2490257#3,431805#0,1087367#-0,5850082#3,655331#-0,004582542#-0,5800521#3,334949#0,06748809#-0,6066057#3,560408#-0,06402289#-0,6208996#3,277933#1  
frame17 #-0,1501589#0,9555798#3,675069#-0,04109957#0,8004918#3,61789# -0,09679314#0,1689397#3,236909#-0,4895689#0,377697#3,798835#-0,0560757#0,2613773#3,265403#-0,4169892#0,3678322#3,824375#0,07241706#0,4490329#3,304101#-0,1951407#0,3778797#3,783575#0,04456878#0,6593695#3,447869#-0,1776757#0,648261#3,661641#0,01423675#0,3421011#3,528373#-0,01516678#0,260965#3,47292#0,02982093#0,2154787#3,426231#-0,05642236#0,1946855#3,485087#0,1159901#-0,2645794#3,415481#-0,07307272#-0,2436665#3,407622#0,1193092#-0,5860397#3,643048#-0,01018377#-0,5867086#3,325298#0,0730684#-0,6087464#3,549511#-0,06989394#-0,6279151#3,267341#1  
frame18 #-0,1594579#0,9568438#3,675501#-0,05515832#0,8078876#3,620689# -0,08115664#0,1641177#3,224269#-0,4997054#0,4517997#3,737254#-0,03583285#0,2568654#3,244857#-0,4293486#0,4233961#3,720036#0,06551759#0,4591269#3,298891#-0,2092734#0,3841226#3,787051#0,03123841#0,6624196#3,444272#-0,1917338#0,6556593#3,664439#-0,0006313138#0,3481364#3,519589#-0,02954685#0,2670574#3,462785#0,01391783#0,2212689#3,406326#-0,06817949#0,1941177#3,478487#0,1097198#-0,2553413#3,332572#-0,07917354#-0,2532336#3,402767#0,1282154#-0,5647678#3,577017#-0,009763733#-0,5889305#3,329906#0,07280694#-0,5981677#3,490749#-0,07077658#-0,630457#3,272068#1  
