frame1 #0,05437703#0,9859587#3,541343#-0,008813371#0,8111289#3,577589# 0,001463138#0,6343861#3,30379#0,07535928#0,5346607#3,417273#0,04484278#0,5972574#3,339657#-0,01072431#0,5248849#3,44585#0,1749817#0,4858713#3,461557#-0,268975#0,4955574#3,54588#0,1643538#0,6784033#3,611875#-0,1399542#0,696725#3,508976#-0,01214313#0,4266647#3,584765#0,007828711#0,3586311#3,530241#0,07894392#0,2825665#3,544392#-0,05799468#0,2908112#3,496487#0,04681654#-0,2480531#3,602251#-0,1108758#-0,243249#3,239587#-0,03730755#-0,5774589#3,559047#-0,1287937#-0,6088777#3,172778#0,01460079#-0,644545#3,52049#-0,09609428#-0,6563596#3,085364#1  
frame2 #0,0542901#0,9847995#3,543143#-0,008676758#0,8108461#3,577637# -0,01096077#0,54043#3,278618#-0,176788#0,2744984#3,396274#0,03638436#0,5350328#3,322968#-0,1997785#0,3296991#3,430045#0,1784197#0,5188411#3,470284#-0,26875#0,4953012#3,545624#0,1639798#0,6779057#3,610665#-0,1393552#0,6971391#3,508255#-0,0119925#0,4266196#3,584702#0,007982964#0,3586327#3,530175#0,07896562#0,2825831#3,544188#-0,05742963#0,2913089#3,496934#0,04702443#-0,2477982#3,602219#-0,1030145#-0,1354563#3,274977#-0,03699678#-0,5774831#3,559048#-0,126257#-0,5673341#3,179694#0,01472568#-0,645504#3,525326#-0,1002408#-0,6051111#3,110141#1 
frame3 #0,05649601#0,9803245#3,54631#-0,008226342#0,8099126#3,578144# -0,01623197#0,5854055#3,315135#-0,1777992#0,2761745#3,402631#0,03366542#0,5652829#3,348572#-0,2008504#0,3314449#3,434964#0,1833576#0,5049153#3,463168#-0,2700037#0,4972559#3,546247#0,1581435#0,6644881#3,591285#-0,138844#0,6980386#3,507116#-0,01017854#0,4259685#3,585351#0,007499075#0,3580147#3,530046#0,07720163#0,2808204#3,543139#-0,05764682#0,2915883#3,497055#0,04777784#-0,2474284#3,602533#-0,1069575#-0,2114139#3,258394#-0,0368551#-0,5778769#3,559682#-0,1283998#-0,6085875#3,173298#0,0131213#-0,644752#3,525092#-0,1067913#-0,6443071#3,106724#1  
frame4 #0,05509966#0,9808455#3,543583#-0,008072533#0,8111312#3,57663# -0,01183973#0,574028#3,306401#-0,1861937#0,2838212#3,422359#0,03662167#0,5576212#3,342393#-0,2073329#0,3379599#3,449634#0,1820059#0,5084011#3,464638#-0,2707505#0,5003762#3,54573#0,1591616#0,666231#3,591572#-0,1382559#0,6988338#3,506794#-0,01024892#0,4264605#3,584782#0,007455685#0,3582706#3,529595#0,07715254#0,2809328#3,542956#-0,05765771#0,2922488#3,496382#0,04842257#-0,2469593#3,602587#-0,1024064#-0,1379689#3,27307#-0,03472385#-0,5755777#3,566329#-0,1261494#-0,574479#3,178614#0,008979704#-0,6404914#3,524499#-0,1048883#-0,6095701#3,113268#1  
frame5 #0,05567987#0,9861441#3,540023#-0,008577819#0,8118619#3,575963# -0,01483763#0,5645569#3,284206#-0,207996#0,2803508#3,44056#0,0311493#0,551779#3,324358#-0,2236095#0,3361281#3,463699#0,1691101#0,5134455#3,459087#-0,2704501#0,50346#3,547386#0,1584162#0,6704089#3,5918#-0,1382916#0,699149#3,506531#-0,01029748#0,4265082#3,584203#0,007494358#0,3582202#3,529006#0,07715151#0,2813628#3,541882#-0,05751698#0,2923405#3,496194#0,04814995#-0,2475861#3,600399#-0,1175964#-0,2397828#3,238735#-0,03479876#-0,5755184#3,566166#-0,1280245#-0,6084822#3,1737#0,01122571#-0,6433811#3,536757#-0,1071227#-0,6429317#3,109557#1  
frame6 #0,05231496#0,9876167#3,53095#-0,008495386#0,8110982#3,574061# -0,01680691#0,5509281#3,285028#-0,2129955#0,2758864#3,448924#0,03081091#0,5415961#3,3241#-0,2273622#0,3327492#3,469933#0,1736643#0,5136002#3,455554#-0,2704622#0,5033374#3,5472#0,1591607#0,6707583#3,591492#-0,1385643#0,6991655#3,506232#-0,01027048#0,4282761#3,582432#0,007433174#0,3609276#3,527103#0,07748123#0,2834395#3,540394#-0,0579037#0,2948981#3,494191#0,04896646#-0,2317846#3,591475#-0,1134975#-0,1403309#3,257926#-0,03097178#-0,572605#3,565499#-0,1258292#-0,5778953#3,179011#0,01308089#-0,6403156#3,534245#-0,1051133#-0,612144#3,11521#1  
frame7 #0,05107541#0,9880664#3,529727#-0,008301474#0,8105096#3,573207# -0,04090677#0,5623085#3,308493#-0,2017045#0,280711#3,400519#0,0127632#0,5496086#3,337779#-0,2185804#0,3362806#3,434393#0,1737731#0,5115088#3,439893#-0,2692081#0,5029892#3,550272#0,1585223#0,6716178#3,587936#-0,1390011#0,6989614#3,505957#-0,01000865#0,4269781#3,581127#0,007045151#0,3594107#3,525564#0,07686925#0,282326#3,537888#-0,05817398#0,2940987#3,493686#0,04909767#-0,231214#3,590804#-0,117002#-0,2411091#3,23339#-0,03023425#-0,5718699#3,565166#-0,1266754#-0,6088989#3,175132#0,01448925#-0,6393691#3,532215#-0,1204826#-0,6657127#3,205279#1  
frame8 #0,04751941#0,9893048#3,526592#-0,008246324#0,8111217#3,56866# -0,04453782#0,5611783#3,311081#-0,2020488#0,2799666#3,400492#0,009888828#0,5489669#3,339411#-0,2188056#0,3352284#3,434272#0,1731688#0,5123327#3,438664#-0,2690758#0,5010141#3,549877#0,1584443#0,6732169#3,583813#-0,1404922#0,6994313#3,50464#-0,01001377#0,427109#3,578355#0,006429219#0,3591251#3,522972#0,0763488#0,2821899#3,534504#-0,0589094#0,2938498#3,492226#0,04841573#-0,2360082#3,591116#-0,1135735#-0,1389537#3,260069#-0,02877042#-0,5690521#3,564277#-0,1247176#-0,5763721#3,180256#0,01489291#-0,6386717#3,53189#-0,1050576#-0,6113734#3,114773#1  
frame9 #0,042494#0,988205#3,51581#-0,007576576#0,8128941#3,561903# -0,03555276#0,5915065#3,310853#-0,2047618#0,2791436#3,403129#0,01588033#0,5697874#3,339381#-0,2208682#0,3346918#3,436307#0,1701796#0,5046301#3,439266#-0,2691872#0,5013362#3,550144#0,1588977#0,6760612#3,579063#-0,1433678#0,6982383#3,504798#-0,009358536#0,4250825#3,573742#0,005863696#0,3558107#3,518159#0,07647812#0,2794637#3,528656#-0,06055586#0,2892014#3,488801#0,04750209#-0,2411536#3,587928#-0,1157458#-0,2376626#3,236906#-0,03508692#-0,5677555#3,550305#-0,124181#-0,6087777#3,178788#0,01351563#-0,6370193#3,526184#-0,1060018#-0,6437321#3,113203#1  
frame10 #0,04140239#0,9882338#3,516172#-0,01112093#0,8104796#3,560346# -0,05117432#0,5680659#3,318747#-0,2091943#0,2793818#3,404974#0,004916996#0,5528629#3,342697#-0,224058#0,3342525#3,438323#0,173191#0,507254#3,428875#-0,2686494#0,4988649#3,552695#0,1599726#0,6780853#3,572438#-0,1450042#0,6978642#3,504213#-0,009611609#0,4250026#3,571972#0,004770393#0,3562562#3,516071#0,07530339#0,2791798#3,523109#-0,06116413#0,2899289#3,488293#0,04813723#-0,2427257#3,585959#-0,1293762#-0,1288452#3,256514#-0,03549865#-0,5702077#3,54489#-0,1224217#-0,5666868#3,184616#0,01539794#-0,6384801#3,523338#-0,1057507#-0,6015992#3,118755#1  
frame11 #0,03292377#0,9889832#3,50829#-0,01120325#0,8108187#3,555432# -0,05007618#0,5657789#3,315854#-0,2139031#0,2423712#3,392305#0,006802782#0,5504501#3,337968#-0,2272198#0,3061768#3,429456#0,1774397#0,5044639#3,418667#-0,2671701#0,4975934#3,555264#0,1618529#0,6747258#3,555213#-0,1487112#0,6942276#3,49504#-0,009181913#0,4255595#3,566925#0,003605743#0,3568767#3,510857#0,07428611#0,278388#3,518351#-0,06255969#0,2910392#3,48358#0,04824151#-0,2442585#3,583475#-0,09558898#-0,2291388#3,31088#-0,03232666#-0,5718523#3,552781#-0,12158#-0,6062905#3,181099#0,01612886#-0,6391847#3,524482#-0,1267658#-0,6686627#3,197828#1  
