frame1 #0,04797318#0,9895168#3,517076#-0,00815396#0,8079355#3,565327# 0,03762011#0,4760563#3,27061#-0,2176751#0,2668344#3,458651#0,03220759#0,5199093#3,320993#-0,2309242#0,3254276#3,476716#0,1825954#0,5139036#3,447882#-0,2706714#0,5012071#3,544826#0,1641827#0,6731151#3,589005#-0,1418076#0,6993605#3,503159#-0,008055218#0,4356314#3,575233#0,009184649#0,3695587#3,521801#0,08089305#0,2913288#3,53586#-0,05680262#0,3031393#3,488787#0,0512359#-0,220549#3,584054#-0,1198941#-0,2427648#3,234087#-0,03478785#-0,566195#3,552817#-0,1217842#-0,608567#3,181313#-0,06941114#-0,5960722#3,449121#-0,09539497#-0,653509#3,097671#1  
frame2 #0,04778212#0,9895552#3,518069#-0,00812611#0,8079137#3,565717# -0,03686261#0,5412226#3,295892#-0,2016986#0,2812322#3,400232#0,01698531#0,5339255#3,327981#-0,2185804#0,3362806#3,433872#0,1785291#0,5120342#3,438241#-0,2692259#0,5014256#3,548781#0,1620753#0,6733332#3,585829#-0,1418487#0,6992435#3,503417#-0,007945899#0,4346445#3,575408#0,008702226#0,3682126#3,521661#0,07992253#0,2904635#3,534893#-0,05704141#0,3024543#3,489257#0,0498394#-0,2443368#3,586398#-0,1090619#-0,1399142#3,260242#-0,03406261#-0,5662603#3,553993#-0,121925#-0,5755596#3,182917#-0,0392494#-0,6366404#3,500524#-0,1002635#-0,6135611#3,112027#1  
frame3 #0,04642963#0,9899686#3,51838#-0,008124883#0,8088359#3,564195# -0,04317074#0,5452954#3,302437#-0,2020366#0,2802916#3,400233#0,01181045#0,5372021#3,332584#-0,2188056#0,3352284#3,433841#0,176754#0,5129224#3,437067#-0,2691125#0,5000391#3,548708#0,1604607#0,6745976#3,581939#-0,1425054#0,6995404#3,502883#-0,008296923#0,4334935#3,573806#0,007636828#0,3665014#3,519708#0,07846802#0,2890261#3,532189#-0,05804061#0,3010846#3,488252#0,04972313#-0,2461083#3,587442#-0,119409#-0,2411364#3,237359#-0,03295568#-0,565289#3,55493#-0,1226857#-0,6088012#3,179446#-0,02157064#-0,6378532#3,570006#-0,1005286#-0,6490716#3,104151#1  
frame4 #0,04305868#0,9888955#3,513471#-0,00758102#0,8111383#3,559889# -0,03677627#0,5883082#3,307091#-0,2047419#0,2794075#3,403015#0,01537772#0,5672678#3,336377#-0,2208682#0,3346918#3,436051#0,1718397#0,5041468#3,43841#-0,2692472#0,5005445#3,549333#0,1602507#0,676779#3,578283#-0,1445419#0,6984934#3,503632#-0,007829873#0,4292833#3,570739#0,007120674#0,3600647#3,516151#0,07846598#0,2836545#3,527547#-0,05965279#0,2926338#3,486487#0,0488978#-0,2510183#3,58569#-0,119018#-0,2407656#3,237812#-0,03686713#-0,5576056#3,540484#-0,1222695#-0,6092006#3,180634#-0,01115161#-0,6264001#3,56447#-0,1008212#-0,6507743#3,1027#1  
frame5 #0,04174565#0,988813#3,514314#-0,0108166#0,8094198#3,559008# -0,05233919#0,5678217#3,315544#-0,2091766#0,2795632#3,404897#0,004245147#0,5525946#3,340262#-0,224058#0,3342525#3,438127#0,1739982#0,5069132#3,428642#-0,2687023#0,4983207#3,552045#0,1608006#0,6784874#3,572032#-0,1457782#0,6981233#3,503373#-0,009127063#0,4265401#3,56836#0,00516955#0,3578032#3,5134#0,07686268#0,2813826#3,521558#-0,06152201#0,2904973#3,48528#0,04904059#-0,2524759#3,584444#-0,1180733#-0,2397119#3,243131#-0,03126448#-0,5542513#3,549404#-0,1192201#-0,6048946#3,18536#-0,006987205#-0,6285255#3,557802#-0,09909028#-0,6471872#3,105642#1  
frame6 #0,03327947#0,9892719#3,507337#-0,01098767#0,8100656#3,554724# -0,05198319#0,5661541#3,314443#-0,2136645#0,2427859#3,392399#0,00546506#0,5506957#3,336917#-0,2270478#0,3063837#3,42943#0,1778098#0,5043206#3,418625#-0,2671977#0,4971768#3,55481#0,1621909#0,6748776#3,554849#-0,1490589#0,6944441#3,494691#-0,009695065#0,4236215#3,562635#0,002689165#0,3543833#3,506988#0,07490754#0,2779004#3,515864#-0,0655417#0,2858758#3,477816#0,04857038#-0,2523421#3,582517#-0,1121953#-0,2386161#3,263619#-0,01623825#-0,5539709#3,569773#-0,1192444#-0,6057824#3,185331#0,001670694#-0,5968553#3,488457#-0,1013355#-0,6486668#3,104014#1  
frame7 #0,01810949#0,9891992#3,508413#-0,01192505#0,8068453#3,552229# -0,06296285#0,5600634#3,317478#-0,2226715#0,2006038#3,388045#-0,003611624#0,5470739#3,336913#-0,2319762#0,2875881#3,425193#0,1744421#0,5081053#3,40955#-0,2600733#0,4832646#3,558415#0,1626205#0,6792091#3,550423#-0,1519137#0,6930782#3,496015#-0,01216345#0,419394#3,556251#-0,001471608#0,3508744#3,499489#0,07090685#0,2751611#3,503905#-0,07147162#0,2802098#3,471483#0,04882655#-0,2472714#3,575245#-0,11689#-0,2383197#3,25358#-0,0357109#-0,563988#3,545112#-0,1180937#-0,6072069#3,187548#-0,00297812#-0,6328008#3,570803#-0,101854#-0,6504975#3,105009#1  
frame8 #0,007535689#0,992108#3,49753#-0,01151376#0,804685#3,55082# -0,09381326#0,5668893#3,312517#-0,2308667#0,1978068#3,382305#-0,03309463#0,549429#3,324638#-0,2389724#0,2705614#3,413129#0,1490612#0,4970481#3,375322#-0,2566602#0,4787226#3,561254#0,1583718#0,6795695#3,535036#-0,1572356#0,6920263#3,491866#-0,01345907#0,4200704#3,550857#-0,005886432#0,3536599#3,492177#0,06502087#0,2795019#3,490898#-0,07660888#0,2831916#3,466467#0,05159833#-0,2404043#3,566733#-0,1183905#-0,2398214#3,25586#-0,02521416#-0,5614306#3,558483#-0,118678#-0,6034169#3,184238#-0,004073538#-0,6392105#3,566497#-0,1053894#-0,6470175#3,100554#1  
frame9 #0,000348039#0,992687#3,498517#-0,01426088#0,7977873#3,541999# -0,10091#0,5611481#3,283264#-0,2373277#0,1914055#3,382492#-0,04041784#0,5466329#3,301216#-0,2427607#0,2626243#3,420111#0,1410587#0,5030872#3,36938#-0,2469021#0,4635874#3,57007#0,1531876#0,6771355#3,512092#-0,1642106#0,6840206#3,481389#-0,01696846#0,4182687#3,542756#-0,01161368#0,3525816#3,484432#0,05758391#0,2796044#3,473257#-0,08115445#0,2822916#3,465488#0,05182453#-0,2403466#3,561736#-0,1217531#-0,2438545#3,25471#-0,02085848#-0,5547271#3,560319#-0,1172329#-0,6047378#3,184165#0,009624178#-0,628414#3,576592#-0,1076259#-0,6486253#3,099611#1  
frame10 #-0,024946#0,9949172#3,484616#-0,0125295#0,7953652#3,522455# -0,114821#0,5486437#3,286316#-0,2503482#0,1814862#3,394663#-0,05260055#0,536649#3,300017#-0,2487333#0,2648194#3,433987#0,1340609#0,5006651#3,355404#-0,2417573#0,4591307#3,583369#0,1455955#0,669255#3,479733#-0,1731444#0,6819866#3,489479#-0,01574267#0,4190421#3,53364#-0,01779472#0,3522926#3,476268#0,05170073#0,2768524#3,462188#-0,08929793#0,2829362#3,464033#0,05199982#-0,2442314#3,543185#-0,1238225#-0,2463993#3,257822#-0,02748073#-0,5775414#3,561939#-0,1071654#-0,577665#3,175372#-0,001743777#-0,6427273#3,525609#-0,1086598#-0,6205344#3,093001#1  
frame11 #-0,04723931#0,9949681#3,475657#-0,01359034#0,802219#3,49464# -0,1292488#0,5129042#3,263281#-0,2629743#0,1845#3,417331#-0,06576788#0,5099311#3,275319#-0,2617702#0,2669278#3,458986#0,1246748#0,5010116#3,325731#-0,2409875#0,4502589#3,589016#0,1400186#0,6643239#3,457461#-0,1887784#0,6724928#3,499875#-0,01712333#0,4203342#3,519718#-0,02505517#0,35046#3,465989#0,04549808#0,2735832#3,452443#-0,09851947#0,2801422#3,459876#0,04964455#-0,2547562#3,527191#-0,1243658#-0,2492876#3,26009#-0,03028154#-0,6035047#3,534623#-0,107292#-0,5763094#3,174536#-0,05021672#-0,6209369#3,430249#-0,1175194#-0,6200172#3,092361#1  
