frame1 #0,01015014#0,9490258#3,354161#-0,00324358#0,7757543#3,457644# -0,03779841#0,5152422#3,171166#-0,2436889#0,1130977#3,341006#0,01552166#0,5065663#3,21101#-0,2370721#0,1994694#3,382158#0,1754819#0,4805387#3,344265#-0,2300741#0,4436167#3,516599#0,171575#0,6598747#3,462723#-0,1640796#0,6856566#3,437276#-0,007989557#0,4129052#3,473063#-0,004688547#0,3453882#3,42856#0,07058063#0,2642059#3,419893#-0,08046392#0,2758078#3,42223#0,06989718#-0,2564878#3,514182#-0,09541876#-0,2598784#3,229805#0,007047806#-0,5902203#3,491258#-0,09636378#-0,5966367#3,116755#-0,02271122#-0,610953#3,376998#-0,08778188#-0,6447281#3,024668#1  
frame2 #0,007553198#0,9501487#3,352622#-0,003798125#0,7753984#3,453767# -0,08759426#0,5597104#3,214641#-0,2492745#0,14755#3,377937#-0,01511195#0,569503#3,243335#-0,2479358#0,2471581#3,415026#0,157859#0,4822859#3,322455#-0,2316373#0,4402093#3,518328#0,1705365#0,6607428#3,457038#-0,1650316#0,6854285#3,435955#-0,007764491#0,4132306#3,471797#-0,005019967#0,3454143#3,427877#0,07037438#0,2642512#3,41956#-0,0808458#0,2756695#3,421706#0,06984682#-0,2566239#3,512909#-0,09524711#-0,2590077#3,229925#0,009089775#-0,5867419#3,493171#-0,08518119#-0,5975122#3,143347#-0,02132745#-0,6086085#3,378259#-0,09268936#-0,6661633#3,086679#1  
frame3 #-0,009824646#0,9474634#3,351337#-0,007079608#0,775319#3,447037# -0,07676108#0,5834774#3,193787#-0,2670239#0,09329844#3,384313#-0,01995616#0,5565982#3,218422#-0,2615729#0,1834501#3,412593#0,1504586#0,4759605#3,306073#-0,2303043#0,4381726#3,522242#0,1620227#0,6596919#3,417403#-0,1694591#0,6786029#3,432819#-0,005889005#0,4127111#3,466043#-0,007701441#0,3446075#3,422892#0,06772497#0,2646348#3,414237#-0,08340169#0,2737199#3,417702#0,07035297#-0,2558431#3,504013#-0,0949157#-0,2584019#3,229588#0,01100791#-0,5844617#3,496034#-0,08553772#-0,6002265#3,11366#-0,01922299#-0,6061889#3,383284#-0,08891413#-0,6481578#3,022272#1  
frame4 #-0,03712662#0,9398637#3,343483#-0,008201092#0,7733619#3,440495# -0,114399#0,5822561#3,270324#-0,2792223#0,09184278#3,402881#-0,05080193#0,5609074#3,265467#-0,2651711#0,1751931#3,42316#0,1399893#0,4968611#3,264657#-0,2269811#0,4304698#3,525819#0,1598666#0,6630301#3,404397#-0,1735746#0,6697515#3,432746#-0,006309347#0,4108592#3,456187#-0,01009141#0,3432559#3,412598#0,06449386#0,2663833#3,396284#-0,08565433#0,2699339#3,411342#0,07350251#-0,2568716#3,490643#-0,09413955#-0,2588095#3,234392#0,01591084#-0,5811754#3,502744#-0,08382298#-0,5950553#3,124741#-0,01372972#-0,6055165#3,391924#-0,09104618#-0,6422633#3,034642#1  
frame5 #-0,04483118#0,9467381#3,339904#-0,007502079#0,7744402#3,429908# -0,1185984#0,5270228#3,198414#-0,283551#0,09113859#3,419788#-0,05347452#0,5182435#3,210435#-0,2662021#0,1732157#3,429293#0,1418971#0,4919056#3,26029#-0,2236127#0,4267318#3,529308#0,1516216#0,6649602#3,38797#-0,1783382#0,66697#3,439102#-0,005619481#0,4082916#3,441681#-0,01310204#0,3404081#3,397136#0,0598236#0,2643146#3,373168#-0,08822446#0,2664083#3,402902#0,07563426#-0,2614287#3,480372#-0,09544837#-0,2572487#3,233773#0,01558236#-0,5807663#3,502064#-0,08287439#-0,5938301#3,127159#-0,01335866#-0,6042193#3,391904#-0,08618545#-0,65971#3,072054#1  
frame6 #-0,04956148#0,9449328#3,338917#-0,008146896#0,7747101#3,425335# -0,1524595#0,5694392#3,2324#-0,2819985#0,09978434#3,500296#-0,08355566#0,5467783#3,228106#-0,2621049#0,1639025#3,499521#0,1231558#0,4787954#3,22906#-0,2149312#0,4285765#3,53767#0,1350078#0,6545238#3,349966#-0,1807508#0,6658828#3,440789#-0,003396748#0,4054119#3,433234#-0,01672109#0,337351#3,388331#0,05309848#0,2588669#3,354797#-0,0903068#0,2645157#3,400184#0,07530812#-0,267868#3,463749#-0,09739105#-0,2561804#3,233886#0,01875641#-0,5780131#3,500832#-0,08187842#-0,5917395#3,121605#-0,009986931#-0,6010916#3,390096#-0,08678817#-0,6539425#3,062039#1  
frame7 #-0,08184628#0,9395295#3,34001#-0,01525096#0,7748371#3,414392# -0,1509419#0,5356434#3,214983#-0,2787419#0,08894609#3,514476#-0,08442555#0,5207091#3,207311#-0,2533205#0,1617383#3,521545#0,1151236#0,4759061#3,198193#-0,2156471#0,4282712#3,53762#0,1186219#0,6510574#3,319797#-0,189109#0,6643237#3,438252#-0,003066964#0,4005539#3,42226#-0,01944396#0,3312723#3,377889#0,0510551#0,2534364#3,34479#-0,09150422#0,2598141#3,393674#0,0781984#-0,2699629#3,452731#-0,1171298#-0,2129414#3,226509#0,02131945#-0,5792093#3,501479#-0,08756478#-0,5802602#3,088166#-0,00384842#-0,5977508#3,388654#-0,1204109#-0,6270922#3,003951#1  
frame8 #-0,1056037#0,9317896#3,333425#-0,02034139#0,7725129#3,408569# -0,2010534#0,516255#3,158625#-0,2683241#0,1350734#3,537063#-0,1231896#0,5059288#3,162645#-0,2449019#0,2045425#3,532907#0,110402#0,4749503#3,188653#-0,2124195#0,4661127#3,598072#0,1105081#0,6535792#3,30252#-0,1929612#0,7010764#3,496964#-0,001110768#0,3917718#3,403959#-0,02521026#0,321756#3,360531#0,04102642#0,236943#3,318278#-0,0936323#0,2567445#3,381322#0,07992738#-0,2714189#3,435776#-0,1266292#-0,2329835#3,183332#0,02343733#-0,5779339#3,501832#-0,08941306#-0,58186#3,082513#-0,003721055#-0,5976119#3,387796#-0,1391019#-0,6289122#3,005049#1  
frame9 #-0,1412018#0,938798#3,350331#-0,03227048#0,7771071#3,392113# -0,1980392#0,4735801#3,124961#-0,265475#0,1378885#3,565522#-0,1236864#0,4764106#3,130473#-0,2370475#0,2045124#3,556801#0,09937183#0,4849021#3,16103#-0,2173639#0,4712017#3,590381#0,09302207#0,6565293#3,287445#-0,1979332#0,7058332#3,48959#-0,005413376#0,3871661#3,389189#-0,03056306#0,3148088#3,346433#0,03423224#0,2267272#3,297663#-0,09578949#0,252373#3,374156#0,0763677#-0,2727948#3,417093#-0,1311447#-0,2303212#3,179813#0,02339624#-0,5802678#3,499752#-0,08940234#-0,5798289#3,078012#-0,008359922#-0,5993001#3,387102#-0,1419688#-0,626938#3,00285#1  
frame10 #-0,1482484#0,9214342#3,342294#-0,03762119#0,7751167#3,387389# -0,23429#0,4300179#3,066862#-0,2673567#0,1381773#3,565408#-0,1535697#0,4444968#3,080149#-0,2386319#0,2045894#3,556754#0,08859132#0,4879337#3,134139#-0,22228#0,4711274#3,585234#0,08134356#0,6552398#3,26688#-0,2029004#0,7051423#3,484995#-0,01452225#0,3929404#3,380164#-0,04323105#0,3240198#3,337449#0,01103529#0,2498446#3,282146#-0,1026877#0,2515404#3,368947#0,07896157#-0,271319#3,405286#-0,1312966#-0,2301262#3,180343#0,02521785#-0,5835873#3,503145#-0,09060328#-0,5811667#3,053533#-0,005437288#-0,6000814#3,389514#-0,1468838#-0,6280271#2,98062#1  
frame11 #-0,1615704#0,9064002#3,326512#-0,05083665#0,7642967#3,363336# -0,2557228#0,364747#3,02557#-0,2769057#0,1298716#3,550964#-0,1743542#0,3946687#3,040116#-0,2471017#0,1964493#3,541867#0,0697516#0,4844336#3,097999#-0,2352237#0,4626809#3,560536#0,06596375#0,6470947#3,237039#-0,2159087#0,6959158#3,460957#-0,02005768#0,37315#3,354772#-0,04806895#0,3006799#3,31183#0,01033394#0,2401892#3,27701#-0,1057916#0,2238957#3,324253#0,07682589#-0,2730841#3,399858#-0,1561679#-0,1945768#3,16257#0,03395043#-0,5819862#3,502744#-0,1043492#-0,5743816#3,023872#-0,002265621#-0,6008447#3,390051#-0,1222235#-0,6641796#2,95802#1  
