frame1 #0,1158008#1,008511#3,607574#0,08958396#0,8293385#3,622163# 0,1010686#0,6646855#3,486281#-0,1201589#0,3067557#3,503024#0,1493243#0,6317806#3,493074#-0,129058#0,3602372#3,525784#0,2940913#0,5330658#3,52745#-0,1557553#0,5206817#3,60806#0,2557484#0,6699913#3,659317#-0,03530023#0,7172915#3,573934#0,08322877#0,4535875#3,634875#0,09327001#0,3812031#3,60381#0,159322#0,3017429#3,617795#0,02835012#0,3230281#3,579891#0,1386301#-0,1997337#3,662392#0,003491242#-0,2359173#3,345569#0,06605229#-0,5743284#3,626122#-0,04092471#-0,5482667#3,292915#0,03588747#-0,5865285#3,516207#-0,02686593#-0,6232095#3,241954#1  
frame2 #0,1070045#1,002286#3,596706#0,0915866#0,826509#3,622506# 0,1000265#0,6438586#3,465571#-0,1225972#0,3079165#3,503766#0,1491021#0,6148318#3,476809#-0,130395#0,3608996#3,526332#0,2963288#0,5277514#3,524431#-0,1537884#0,5198488#3,607941#0,2513041#0,6655095#3,648644#-0,03438711#0,7134975#3,572957#0,0840615#0,453516#3,634717#0,09328159#0,3812383#3,603302#0,1589293#0,30224#3,617436#0,02854097#0,3232474#3,579097#0,1393969#-0,2462528#3,685589#0,001557777#-0,2088327#3,346973#0,06685287#-0,5723664#3,625623#-0,04269072#-0,5639009#3,274426#0,1056654#-0,6255745#3,584021#-0,02624402#-0,6246802#3,237989#1  
frame3 #0,1064326#1,001492#3,596221#0,09069446#0,8262957#3,623819# 0,1053972#0,6556554#3,477114#-0,1903987#0,3525871#3,518477#0,1530162#0,6238711#3,485748#-0,1262462#0,3631895#3,52526#0,295873#0,5285183#3,525485#-0,1538686#0,5203462#3,607726#0,2519491#0,6661537#3,649076#-0,03450197#0,7133186#3,573736#0,08403824#0,4544071#3,635145#0,09334988#0,382792#3,603459#0,159159#0,3039561#3,617885#0,02865003#0,3242053#3,578645#0,1396341#-0,2409874#3,684476#0,003402317#-0,1857703#3,357198#0,06671256#-0,5730852#3,626217#-0,04068207#-0,5529699#3,281597#0,1137119#-0,6364236#3,631848#-0,02720028#-0,6214769#3,239583#1  
frame4 #0,1097176#0,998485#3,603344#0,09226361#0,823751#3,624713# 0,1030198#0,6374183#3,472533#-0,118642#0,3143185#3,503667#0,1528971#0,6102226#3,48157#-0,1273317#0,3662806#3,526764#0,3025289#0,5286356#3,522498#-0,1534009#0,5221671#3,609869#0,2523054#0,6598347#3,649847#-0,03479386#0,7131553#3,573992#0,08389653#0,4543617#3,635275#0,09329823#0,3830112#3,603345#0,1590181#0,3037874#3,617895#0,02834826#0,3250395#3,57802#0,1475574#-0,1953183#3,677991#0,005390367#-0,1912951#3,355956#0,06935872#-0,5723197#3,625802#-0,03954513#-0,5476466#3,284313#0,1034253#-0,6293718#3,604844#-0,02737643#-0,6196573#3,238223#1  
frame5 #0,1101251#0,9980062#3,603809#0,09178762#0,8226297#3,623794# 0,1316304#0,6259454#3,44993#-0,126527#0,3142875#3,503511#0,1709032#0,6374431#3,500375#-0,1333263#0,3661787#3,526666#0,302927#0,527939#3,521529#-0,1537239#0,5218522#3,60992#0,2523973#0,6580533#3,648558#-0,03504254#0,711587#3,574782#0,08439575#0,4544796#3,635473#0,09382028#0,3833658#3,603532#0,1595966#0,3039596#3,618071#0,02932071#0,3258062#3,578712#0,1336731#-0,2397221#3,655256#0,01082987#-0,1523411#3,340444#0,07052393#-0,5717812#3,61423#-0,04011717#-0,547074#3,283879#0,1043465#-0,6306903#3,603911#-0,02636108#-0,6194242#3,235651#1  
frame6 #0,1097721#0,9979457#3,602996#0,0914688#0,8227421#3,623642# 0,141367#0,625996#3,442283#-0,1261527#0,3158295#3,506274#0,1727738#0,6328229#3,498909#-0,1335711#0,3675656#3,528939#0,3073834#0,5278621#3,521144#-0,1558263#0,522774#3,610703#0,2522561#0,6551932#3,647953#-0,04203058#0,7159182#3,581077#0,08573379#0,4551655#3,635939#0,09461893#0,3844274#3,603806#0,1613093#0,303264#3,618377#0,02988812#0,3273222#3,579042#0,1414402#-0,2516395#3,678855#0,01058854#-0,1530754#3,337494#0,07228138#-0,5715221#3,620394#-0,03532427#-0,5552153#3,282297#0,1049102#-0,6276278#3,602795#-0,02555145#-0,6190527#3,237016#1  
frame7 #0,110215#0,9983209#3,603177#0,09131248#0,8214137#3,621816# 0,1404568#0,6276388#3,438144#-0,1903299#0,3411883#3,546947#0,1696689#0,6305445#3,496312#-0,1337752#0,3690872#3,530559#0,3059648#0,5289676#3,522241#-0,1552394#0,5238454#3,612345#0,2517665#0,6574394#3,647161#-0,04116485#0,7153191#3,580226#0,08606958#0,4563215#3,6354#0,09502989#0,3864945#3,603443#0,1614907#0,3061768#3,618869#0,03051011#0,3290025#3,578318#0,1417066#-0,2512981#3,6815#0,01118588#-0,1529941#3,337919#0,0701675#-0,5722333#3,615077#-0,03462376#-0,5584971#3,277174#0,1081901#-0,6231615#3,60017#-0,02532807#-0,6217015#3,238111#1  
frame8 #0,1094913#0,9982533#3,601099#0,09017483#0,8218229#3,621177# 0,1419754#0,6300063#3,43979#-0,1916481#0,3441361#3,542907#0,1707574#0,6292982#3,4981#-0,1332287#0,3700055#3,530784#0,3066212#0,5276574#3,521459#-0,1534551#0,5250243#3,611137#0,2521057#0,6560029#3,645496#-0,03534196#0,7132212#3,578857#0,08620603#0,4566315#3,635051#0,09539138#0,3868238#3,603252#0,1616638#0,3063941#3,618948#0,03214257#0,3303046#3,577554#0,1435101#-0,2522463#3,684556#0,01107823#-0,1531117#3,337618#0,07144361#-0,5717058#3,6146#-0,03507319#-0,5612971#3,275527#0,1068382#-0,6198765#3,592329#-0,02544353#-0,6221454#3,238796#1  
frame9 #0,1097449#1,001998#3,594103#0,09018295#0,8218279#3,621015# 0,1336489#0,6274636#3,423462#-0,192669#0,3427523#3,532357#0,1598539#0,6189874#3,482275#-0,133441#0,3693655#3,533486#0,3058936#0,538058#3,528361#-0,1527694#0,5255515#3,61166#0,2519447#0,6658676#3,653608#-0,035355#0,7141868#3,578674#0,085627#0,4569011#3,634635#0,09556456#0,3871073#3,603178#0,1618445#0,3069587#3,619057#0,03223066#0,3303621#3,577427#0,1459536#-0,2005195#3,663471#0,01202158#-0,1534029#3,339259#0,0743721#-0,5660757#3,628329#-0,03466918#-0,5662793#3,276539#0,1051247#-0,6226006#3,599698#-0,02617116#-0,6226827#3,241037#1  
frame10 #0,1134916#1,001686#3,601824#0,08993185#0,8219044#3,620912# 0,10953#0,6521927#3,475222#-0,1197423#0,3229942#3,504764#0,157548#0,6230635#3,483698#-0,1276465#0,3738557#3,529764#0,3016019#0,535676#3,522805#-0,151359#0,5264401#3,618442#0,2518149#0,6634048#3,650853#-0,03469045#0,7133489#3,577466#0,08544253#0,4569604#3,634349#0,09512036#0,3871401#3,602875#0,1607851#0,3079966#3,618443#0,03170136#0,3299048#3,577077#0,1501675#-0,2023679#3,677088#0,01163856#-0,1532278#3,341521#0,07664871#-0,565726#3,627453#-0,03247195#-0,5700964#3,278059#0,1050316#-0,6235768#3,599716#-0,02615128#-0,6234484#3,242017#1  
frame11 #0,1133141#1,001689#3,602251#0,08779778#0,82332#3,61882# 0,1103692#0,653832#3,468378#-0,13612#0,315185#3,523962#0,1580928#0,6242902#3,477507#-0,1402053#0,3681327#3,544296#0,3012637#0,5356646#3,518577#-0,1524612#0,5269756#3,61898#0,2532577#0,664019#3,647038#-0,03494021#0,713378#3,577184#0,08527698#0,4573865#3,63289#0,09461227#0,387351#3,601481#0,1607239#0,3087004#3,617034#0,0307883#0,3288581#3,575408#0,1533386#-0,2567002#3,689485#0,01388652#-0,2331877#3,369523#0,07572064#-0,5815901#3,587677#-0,03181847#-0,5743431#3,279139#0,1152278#-0,6317455#3,586643#-0,0142546#-0,6091879#3,214945#1  
