frame1 #0,01889904#0,9852972#3,461852#-0,02553527#0,802913#3,486618# -0,0212587#0,6516929#3,311616#-0,1435063#0,1671522#3,263344#0,02980874#0,6150177#3,33363#-0,1752399#0,2421036#3,302047#0,1830111#0,5049922#3,413384#-0,2704407#0,4669579#3,431872#0,1443294#0,6867244#3,547481#-0,1450844#0,6871996#3,424526#-0,01877657#0,4345269#3,499188#0,005812629#0,3688172#3,450387#0,07592651#0,2995304#3,467603#-0,05430969#0,2997442#3,417253#0,07134406#-0,2672487#3,53284#-0,06780765#-0,2406888#3,179686#-0,07993595#-0,589098#3,163439#-0,08945489#-0,6049552#3,148932#-0,0418177#-0,635865#3,079406#-0,05133664#-0,6517222#3,064899#1  
frame2 #0,01678984#0,9845307#3,465184#-0,02243963#0,8016944#3,487497# -0,02654628#0,6214324#3,28219#-0,2023317#0,2333967#3,268407#0,02528858#0,5925543#3,311653#-0,1765844#0,243549#3,301983#0,1807932#0,5059202#3,413699#-0,2704498#0,4672838#3,431547#0,1426284#0,6851679#3,542722#-0,1453604#0,6870368#3,423457#-0,01811707#0,4345718#3,499302#0,005927125#0,3689133#3,450178#0,07590549#0,2996102#3,467257#-0,05421117#0,3001223#3,417293#0,07038475#-0,264522#3,529816#-0,06732187#-0,2403134#3,179371#0,02863832#-0,5779657#3,491697#-0,08909928#-0,5943149#3,151218#0,01717002#-0,6337428#3,421281#-0,05404933#-0,638207#3,072099#1  
frame3 #0,0190314#0,9839408#3,46344#-0,02045195#0,8020033#3,489443# -0,02674152#0,6196957#3,287098#-0,1450443#0,1695772#3,265339#0,02565423#0,5918826#3,316002#-0,176396#0,2439692#3,30346#0,1828414#0,5084431#3,416346#-0,2704514#0,4671451#3,431456#0,1423433#0,6852682#3,542122#-0,1452482#0,687256#3,423342#-0,01684897#0,4347759#3,499979#0,006949157#0,3692575#3,450577#0,07645246#0,2999451#3,46739#-0,0529839#0,300844#3,417646#0,0706482#-0,2635891#3,528989#-0,06747207#-0,2359335#3,179748#0,03308523#-0,5596586#3,488411#-0,0891694#-0,593749#3,151691#0,01662732#-0,6333495#3,420974#-0,05500503#-0,6365849#3,074397#1  
frame4 #0,0182867#0,9852639#3,462705#-0,02154751#0,8065611#3,478287# -0,02818125#0,6206194#3,291294#-0,1457373#0,1701847#3,265406#0,02408139#0,5912666#3,318952#-0,1770191#0,2446316#3,303566#0,1808693#0,5032083#3,415601#-0,2708646#0,4679725#3,431717#0,1424287#0,6851707#3,542251#-0,1452114#0,6876482#3,423105#-0,01644581#0,4361514#3,498755#0,007072155#0,3692159#3,450617#0,0766044#0,2997785#3,467674#-0,05292479#0,3008442#3,41786#0,07070006#-0,2641235#3,528807#-0,06767992#-0,2411072#3,177787#-0,02801644#-0,5824799#3,369576#-0,08828707#-0,5945213#3,151668#0,01816415#-0,635985#3,420578#-0,05648232#-0,6347031#3,079777#1  
frame5 #0,01856053#0,9855678#3,462813#-0,02005038#0,8064492#3,482604# -0,03643#0,5934359#3,277148#-0,1959184#0,2370028#3,293215#0,01820764#0,5715455#3,307117#-0,1773319#0,2449335#3,302743#0,1821206#0,5058742#3,410702#-0,2708409#0,4682623#3,431529#0,141923#0,684605#3,541923#-0,1447326#0,688628#3,422369#-0,01591126#0,4360484#3,498668#0,007529692#0,3694184#3,450855#0,07678816#0,299829#3,467919#-0,05206028#0,3016798#3,417918#0,0702948#-0,2655999#3,527026#-0,06871009#-0,235218#3,17758#0,037466#-0,5572394#3,498348#-0,08795531#-0,5939037#3,14937#0,01948069#-0,6289437#3,427603#-0,08334597#-0,661078#3,114928#1  
frame6 #0,01807183#0,985916#3,462868#-0,01999561#0,8065882#3,48244# -0,02902466#0,6222894#3,290752#-0,1475652#0,1723377#3,264389#0,02395314#0,5928668#3,317046#-0,1784428#0,2470754#3,302447#0,1828865#0,5045989#3,409592#-0,2710755#0,4712884#3,430284#0,1419541#0,6846656#3,541805#-0,144681#0,688786#3,422189#-0,01532257#0,4369916#3,49826#0,008072115#0,3704454#3,450946#0,0773667#0,3007375#3,46854#-0,05156691#0,3025397#3,417844#0,07054142#-0,2657469#3,526928#-0,06824768#-0,2357276#3,177469#0,03736469#-0,5526283#3,49894#-0,08779379#-0,5936816#3,150142#0,0216369#-0,6270311#3,429547#-0,08350652#-0,6608553#3,114653#1  
frame7 #0,01774215#0,9859127#3,46337#-0,01812172#0,803682#3,483763# -0,02376529#0,6199425#3,29189#-0,1933651#0,2370858#3,264002#0,02917866#0,5907851#3,318264#-0,1800683#0,2493209#3,303017#0,1880105#0,5033129#3,411046#-0,2716492#0,4733115#3,43106#0,1394679#0,6808039#3,534881#-0,1448278#0,6887154#3,420803#-0,01454624#0,4368621#3,498234#0,008147421#0,3704689#3,450868#0,07735372#0,3007178#3,468505#-0,05140407#0,3028474#3,417539#0,07052425#-0,2666096#3,526462#-0,06773445#-0,2365014#3,177825#0,03762881#-0,5496362#3,499422#-0,08746225#-0,5890716#3,153402#0,02615254#-0,6362704#3,443949#-0,08449249#-0,6559027#3,116278#1  
frame8 #0,01676884#0,9863159#3,462307#-0,01821832#0,8039324#3,483885# -0,02532206#0,613485#3,288155#-0,1492284#0,1725445#3,262536#0,02817002#0,5860398#3,315156#-0,1795588#0,2470932#3,300923#0,1886463#0,5037041#3,40982#-0,27055#0,4707391#3,429742#0,1417325#0,6814072#3,536083#-0,1448757#0,6888959#3,420318#-0,01408821#0,4372597#3,49747#0,008838362#0,3711015#3,449984#0,07836741#0,3008307#3,467943#-0,05084484#0,3032017#3,415683#0,07033768#-0,2657346#3,525659#-0,06790923#-0,2372763#3,177546#-0,02594705#-0,5830306#3,395093#-0,08720239#-0,5838115#3,160959#0,02494383#-0,6401191#3,43877#-0,08493432#-0,6467509#3,120229#1  
frame9 #0,01402013#0,9933675#3,454645#-0,01713078#0,8058293#3,475007# -0,04817359#0,575879#3,276202#-0,156754#0,1660967#3,256941#0,01043472#0,5594292#3,301522#-0,184557#0,2412442#3,296135#0,1862596#0,5100795#3,391155#-0,2679657#0,4666865#3,427389#0,1445734#0,6808784#3,532066#-0,1456876#0,6900647#3,418877#-0,01389193#0,4375304#3,491477#0,008003181#0,3705095#3,444817#0,0778237#0,2988018#3,457933#-0,05217855#0,3031752#3,414374#0,07019746#-0,2653097#3,521833#-0,06988511#-0,2311988#3,183131#-0,02589726#-0,5832111#3,394754#-0,08728261#-0,5836548#3,161142#0,02291247#-0,6370927#3,434795#-0,08491157#-0,6455237#3,121268#1  
frame10 #0,01260089#0,9936238#3,453657#-0,01995825#0,8086631#3,467478# -0,03572847#0,6057834#3,259083#-0,2062738#0,1897757#3,257894#0,01713058#0,5786529#3,288878#-0,2043165#0,2398039#3,291992#0,1757077#0,4972614#3,391954#-0,2636852#0,4618727#3,429182#0,1433378#0,6834542#3,523791#-0,146506#0,6902273#3,418296#-0,0144218#0,4376306#3,486823#0,006199931#0,3696442#3,440971#0,07551193#0,2980458#3,451148#-0,05351754#0,3033433#3,41399#0,07027947#-0,2654949#3,518011#-0,07020847#-0,2332304#3,183727#-0,02585687#-0,5833455#3,394823#-0,087288#-0,5836394#3,161185#0,01491041#-0,6419307#3,415558#-0,05985249#-0,6223779#3,090995#1  
frame11 #0,01180384#0,9938712#3,453675#-0,01997854#0,8087864#3,46447# -0,03525#0,6117672#3,2574#-0,214559#0,1764183#3,267836#0,01724206#0,5831688#3,285943#-0,2228009#0,2490599#3,307591#0,1747182#0,4973736#3,385283#-0,2626156#0,4594068#3,43135#0,1470201#0,6863352#3,516521#-0,1485687#0,690617#3,417154#-0,0134823#0,4381453#3,484226#0,005664632#0,3698974#3,438991#0,07563993#0,29816#3,447479#-0,05470426#0,3032905#3,413853#0,06902683#-0,2633152#3,512453#-0,07530107#-0,2269345#3,190809#0,00194231#-0,5658644#3,467319#-0,08604807#-0,5822851#3,161258#0,01663344#-0,6417577#3,415075#-0,06067044#-0,6208851#3,090838#1  
