frame1 #0,04254329#1,022729#3,255136#0,0001977477#0,8050094#3,309696# -0,02944422#0,5787721#3,047002#0,09337983#0,5339534#3,174881#0,03789476#0,5797741#3,085002#0,006414771#0,5202464#3,202624#0,2200307#0,5401231#3,183504#-0,2544804#0,4791254#3,299809#0,1693356#0,6982318#3,366502#-0,1298329#0,6897754#3,259171#-0,002738124#0,4305436#3,322802#0,01324553#0,3604723#3,282266#0,08261046#0,2924625#3,295749#-0,05201535#0,2886571#3,255765#0,05514416#-0,2641934#3,355745#-0,08489253#-0,2674397#3,112515#-0,09923291#-0,5819728#2,896901#-0,1118484#-0,6166353#2,867819#-0,06350515#-0,634069#2,802344#-0,07612062#-0,6687315#2,773262#1  
frame2 #0,03564118#0,9722725#3,280156#8,04388E-05#0,8060086#3,309174# -0,01405163#0,5611795#3,047416#-0,2046959#0,2176615#3,104269#0,04565236#0,5771065#3,085493#-0,188601#0,2715169#3,150188#0,2228249#0,5392408#3,192347#-0,2543688#0,4793428#3,300448#0,1688598#0,6980811#3,365815#-0,1300707#0,6900557#3,25939#-0,003556315#0,4305621#3,322462#0,01202444#0,3602129#3,281851#0,08096772#0,2920212#3,295207#-0,05345995#0,2885958#3,255438#0,05490008#-0,2645703#3,355903#-0,08507539#-0,2677116#3,111307#-0,08303304#-0,5493919#2,941259#-0,1105395#-0,5853034#2,887309#-0,04971541#-0,5983189#2,852439#-0,07722183#-0,6342304#2,798489#1  
frame3 #0,03570438#0,9711029#3,281196#0,0001880618#0,8054833#3,309271# -0,001922652#0,5491341#3,046232#-0,2009611#0,2334612#3,112534#0,04316556#0,5779551#3,092874#-0,1926296#0,2970195#3,16045#0,222081#0,5389717#3,194269#-0,2544382#0,4807648#3,30259#0,1688394#0,6978428#3,365479#-0,1300069#0,6899625#3,259347#-0,003612089#0,4304603#3,322609#0,0119096#0,3601401#3,282033#0,08077925#0,2919482#3,295484#-0,05356894#0,288548#3,25561#0,05493226#-0,2645696#3,356005#-0,08497807#-0,2674745#3,11119#-0,07411081#-0,5342941#2,962412#-0,1093758#-0,5858479#2,886235#-0,04159284#-0,5821521#2,875522#-0,07685783#-0,633706#2,799345#1  
frame4 #0,03541315#0,9718869#3,28044#0,0002280396#0,8055295#3,309478# 0,007925123#0,5403491#3,044255#-0,2007784#0,233691#3,112954#0,0445917#0,5766465#3,091839#-0,1934736#0,2984549#3,161894#0,222284#0,5387703#3,195603#-0,2546332#0,4806416#3,306109#0,1687866#0,6978194#3,365361#-0,129885#0,6903224#3,25886#-0,003772138#0,4304868#3,32267#0,01178165#0,3601747#3,282103#0,08060479#0,2919872#3,295481#-0,053726#0,2887485#3,255819#0,05495382#-0,2645694#3,355939#-0,08501518#-0,2674244#3,110441#-0,06725229#-0,527441#2,975553#-0,1093534#-0,5857873#2,886662#-0,03497519#-0,574754#2,889686#-0,07707629#-0,6331003#2,800796#1  
frame5 #0,03581029#0,9728832#3,280757#0,0003587752#0,8056685#3,309425# -0,008389831#0,5888447#3,05979#-0,2012106#0,2445296#3,122451#0,04974106#0,5760354#3,091504#-0,2133724#0,3206411#3,177052#0,2241337#0,5376074#3,200629#-0,2545336#0,4812626#3,307001#0,1691232#0,6977292#3,365682#-0,1299244#0,690351#3,258878#-0,003805301#0,4304622#3,322839#0,0117216#0,3600288#3,282448#0,08060943#0,2918474#3,295623#-0,05405473#0,2884748#3,256992#0,05495282#-0,2645777#3,355998#-0,08485509#-0,2674792#3,111139#-0,06278361#-0,5226061#2,983861#-0,1088696#-0,5860229#2,886441#-0,03067412#-0,5696252#2,898584#-0,07676016#-0,633042#2,801164#1  
frame6 #0,03524094#0,9729482#3,281263#0,0003895802#0,8052744#3,30986# 0,03429308#0,5221236#3,068357#-0,2038627#0,2251839#3,094166#0,04514022#0,5821531#3,101543#-0,1863105#0,2585024#3,152513#0,2229951#0,5374518#3,200569#-0,2539628#0,4801199#3,306638#0,1690564#0,6976698#3,36561#-0,1296485#0,6901984#3,258644#-0,00414854#0,43016#3,322957#0,01133703#0,3597539#3,282529#0,07999605#0,2916767#3,2956#-0,05430916#0,2883468#3,257031#0,05534007#-0,2641603#3,356461#-0,08411825#-0,2665576#3,113636#-0,06048143#-0,5178159#2,989929#-0,1080089#-0,5876194#2,885107#-0,02844409#-0,5646114#2,905062#-0,07597157#-0,6344148#2,800239#1  
frame7 #0,03721751#0,9744643#3,285334#0,0005467184#0,8049666#3,310098# 0,04593659#0,524066#3,072891#-0,2004592#0,2375393#3,108755#0,04617283#0,584313#3,106048#-0,196719#0,3070254#3,170514#0,2249366#0,539159#3,20244#-0,2537373#0,4786332#3,306336#0,1690526#0,6976722#3,365659#-0,1295698#0,69017#3,258666#-0,004217912#0,4300213#3,323086#0,01125905#0,3596498#3,282632#0,07984058#0,2915612#3,295816#-0,05436944#0,2882549#3,257029#0,05530101#-0,2652443#3,356797#-0,08388938#-0,2665586#3,113894#-0,05852582#-0,5155735#2,994198#-0,1080084#-0,5875536#2,885101#-0,02657955#-0,562212#2,909613#-0,0760621#-0,634192#2,800516#1  
frame8 #0,03948151#0,9782411#3,285344#0,0006674977#0,8052526#3,310171# -0,01703829#0,6296403#3,108946#-0,1985865#0,2335578#3,110815#0,04332164#0,6070138#3,12828#-0,1953667#0,3050701#3,169892#0,2244014#0,5391345#3,200249#-0,2536661#0,4782335#3,306577#0,1690977#0,6975664#3,365444#-0,1295788#0,6902001#3,258411#-0,004254621#0,4325604#3,323601#0,01115169#0,3629292#3,28331#0,07982577#0,293986#3,301839#-0,05456247#0,2904844#3,253385#0,05561794#-0,2690623#3,358788#-0,08516454#-0,2730827#3,109801#-0,0574116#-0,5143908#2,997726#-0,1080053#-0,5872976#2,885479#-0,02553714#-0,5609298#2,913359#-0,07613087#-0,6338366#2,801112#1  
frame9 #0,03932059#0,9782332#3,285102#0,0004596321#0,8050878#3,310101# -0,01412584#0,6542793#3,124794#-0,197893#0,2273324#3,109756#0,04249623#0,6180232#3,133863#-0,1931711#0,3010626#3,16237#0,2123624#0,5092548#3,175013#-0,2535734#0,4783941#3,30703#0,1691758#0,6976027#3,365391#-0,1288562#0,6903868#3,258062#-0,004216425#0,433884#3,323878#0,01138975#0,3648598#3,283919#0,08022889#0,2954545#3,306157#-0,05388187#0,2916388#3,251281#0,05569899#-0,2679051#3,358634#-0,08498933#-0,2726446#3,109624#-0,05672904#-0,5129164#2,999487#-0,1084777#-0,5859678#2,886057#-0,0246406#-0,5595735#2,914979#-0,0763893#-0,6326249#2,801549#1  
frame10 #0,0405604#0,97926#3,285476#0,0008533894#0,8059013#3,310271# -0,02610749#0,6292165#3,108052#-0,1995713#0,2340781#3,102819#0,03484493#0,6025674#3,122658#-0,1946369#0,3017384#3,164939#0,2177022#0,5226202#3,180418#-0,2532471#0,4781944#3,307132#0,1689711#0,697528#3,364741#-0,129143#0,6907455#3,258561#-0,003704075#0,4335499#3,324111#0,01185665#0,3639814#3,284355#0,08127695#0,2923792#3,304763#-0,05341206#0,2921452#3,253302#0,05582063#-0,2683035#3,358733#-0,08494718#-0,2725536#3,109608#-0,05634026#-0,5107468#3,001456#-0,1081455#-0,5863662#2,884803#-0,02462226#-0,5573241#2,917034#-0,07642747#-0,6329434#2,800381#1  
frame11 #0,03222179#0,9821622#3,281479#0,0008398662#0,8058655#3,31031# -0,04279283#0,6470549#3,143409#-0,1994819#0,2462678#3,124915#0,02311908#0,617864#3,150891#-0,2113748#0,3179256#3,182802#0,2208548#0,5302911#3,187269#-0,2523019#0,4817511#3,312199#0,1690355#0,6976429#3,365314#-0,1290315#0,690824#3,258201#-0,002548255#0,4389414#3,325223#0,01349273#0,3714697#3,286117#0,08190305#0,2962103#3,306642#-0,05002926#0,3022859#3,253408#0,05582875#-0,2681842#3,358432#-0,08559945#-0,2767248#3,108177#-0,05854295#-0,5209665#2,988245#-0,1074821#-0,586108#2,886098#-0,02641867#-0,5677884#2,903494#-0,07535783#-0,6329299#2,801346#1  
