frame1 #-0,01836594#0,9125866#3,467059#0,02698838#0,7209015#3,49913# 0,1741271#0,1726052#3,295339#-0,1931642#0,6779624#3,35523#0,187716#0,2224098#3,34259#-0,1873617#0,6135381#3,36965#0,2985576#0,4087027#3,472244#-0,169954#0,4202653#3,425778#0,1522934#0,5968176#3,41116#-0,1458919#0,6053585#3,556451#0,01590458#0,3862288#3,509183#-0,002670291#0,3231879#3,480538#0,05874735#0,245179#3,43774#-0,07543603#0,2490224#3,511298#0,02968289#-0,2459087#3,201528#0,03554222#-0,3372222#3,183216#0,04846102#-0,5994621#3,101552#0,05830917#-0,5977938#3,102137#0,01889672#-0,6669079#3,05473#-0,01268773#-0,6892402#3,125296#1  
frame2 #-0,01574576#0,9085504#3,465835#0,02789095#0,7200587#3,501371# 0,1760642#0,1840061#3,289761#0,003547907#0,5900881#3,305964#0,1865468#0,2222373#3,342685#-0,04096361#0,5502093#3,332879#0,2994097#0,4120434#3,473726#-0,1744981#0,4305728#3,426577#0,1522021#0,5968242#3,411654#-0,1458819#0,6053721#3,556853#0,01835859#0,3842569#3,509008#0,0003144158#0,3209603#3,479196#0,06227026#0,242912#3,435395#-0,07137565#0,2467179#3,508692#0,03044892#-0,2469787#3,202355#0,03418351#-0,3326848#3,184142#0,05010976#-0,5997711#3,105645#0,064954#-0,5940155#3,116975#0,01641792#-0,6705404#3,053048#-0,02074449#-0,6864809#3,137349#1  
frame3 #-0,007928686#0,9068855#3,465367#0,02985732#0,7194785#3,503639# 0,1989595#0,2138561#3,331667#0,004394941#0,5882816#3,316846#0,2124368#0,267811#3,361624#-0,04113293#0,5475848#3,340494#0,300782#0,4137971#3,471965#-0,1777165#0,4254946#3,424427#0,1522875#0,5968583#3,412419#-0,1461332#0,6048424#3,556146#0,02188658#0,3821915#3,508379#0,004105886#0,3189068#3,476866#0,06665497#0,2413157#3,432705#-0,06715435#0,244336#3,504402#0,03063304#-0,2472379#3,202403#0,0531341#-0,3329406#3,170832#0,0504061#-0,598937#3,106297#0,06477543#-0,5967326#3,117222#0,01694746#-0,6679385#3,055432#-0,007893577#-0,6744506#3,181868#1  
frame4 #-0,008598968#0,9093366#3,467298#0,03016886#0,7199616#3,504134# 0,1766558#0,1790669#3,311257#0,0545492#0,4798366#3,300376#0,1904673#0,2324438#3,339914#-0,003602803#0,4677865#3,327627#0,3000579#0,4115301#3,471705#-0,1780588#0,4316363#3,422354#0,1528549#0,597212#3,413037#-0,1458608#0,6045536#3,55646#0,02200643#0,3822338#3,50924#0,003749977#0,3191086#3,477157#0,06611008#0,2416508#3,433038#-0,06799523#0,2444723#3,505076#0,03086006#-0,2478981#3,201779#0,04602502#-0,3345523#3,173375#0,04998387#-0,5997465#3,105551#0,06192112#-0,597297#3,11213#0,01209031#-0,6724963#3,052941#-0,019325#-0,6851037#3,167551#1  
frame5 #-0,009048625#0,9091046#3,467458#0,03056303#0,7197303#3,50446# 0,1929821#0,2090268#3,332436#0,05052332#0,5363159#3,348529#0,2195247#0,2596862#3,364063#-0,006853908#0,5090463#3,363871#0,2991526#0,4116642#3,471916#-0,1789856#0,4272374#3,422868#0,1532551#0,5977388#3,413456#-0,1458977#0,6048519#3,556877#0,02211647#0,382096#3,510134#0,003382103#0,31912#3,477619#0,065586#0,2416213#3,433634#-0,06895944#0,2444208#3,505888#0,03123504#-0,2485946#3,201711#0,04317207#-0,3416794#3,184618#0,05052125#-0,5947529#3,106658#0,05620158#-0,6012337#3,131352#0,0136295#-0,6715623#3,053637#-0,02977051#-0,6965928#3,175529#1  
frame6 #-0,009779343#0,9103528#3,469615#0,0314788#0,72044#3,505909# 0,1484229#0,2205914#3,269702#0,04627803#0,5460507#3,350603#0,1778008#0,2201093#3,327908#-0,0101506#0,5155696#3,363954#0,2977229#0,4076819#3,466925#-0,1794365#0,4241261#3,417003#0,1532542#0,5979388#3,413617#-0,1458543#0,6047761#3,55706#0,0231275#0,3812924#3,510697#0,004131808#0,3182241#3,477238#0,06617782#0,2411834#3,433392#-0,06803405#0,2434632#3,504882#0,03162447#-0,2493927#3,201371#0,03759069#-0,2034536#3,207227#0,0526636#-0,6013628#3,10591#0,05935986#-0,5641159#3,116158#0,01236207#-0,6729839#3,052583#-0,005856112#-0,6778107#3,096456#1  
frame7 #-0,008010898#0,9084376#3,476601#0,03117728#0,7206153#3,505597# 0,1596744#0,2064043#3,313111#0,03892775#0,5600011#3,343459#0,2167345#0,2603356#3,354065#-0,01438464#0,5253183#3,359563#0,2977482#0,4089351#3,467523#-0,1743218#0,4212701#3,42086#0,1536073#0,5985562#3,413753#-0,1457341#0,6045695#3,557745#0,02287134#0,381605#3,51143#0,003317324#0,3187359#3,477669#0,06531069#0,2418201#3,43394#-0,06923787#0,243784#3,505791#0,03168761#-0,2498207#3,201104#0,03529673#-0,3251196#3,188365#0,05340103#-0,6013305#3,106285#0,0623153#-0,5899081#3,112797#0,01298853#-0,6722432#3,0534#-0,01572976#-0,6947547#3,12795#1  
frame8 #-0,008457739#0,9150316#3,474939#0,03117028#0,7206134#3,5056# 0,1663715#0,2031508#3,307739#-0,005096063#0,5949631#3,300086#0,2182197#0,2628932#3,352107#-0,04585083#0,5517473#3,327988#0,2985997#0,410087#3,468229#-0,1681151#0,4220998#3,424681#0,1540124#0,5994974#3,414413#-0,1457467#0,604613#3,557925#0,02282324#0,3815778#3,512087#0,00295559#0,3188035#3,477922#0,06495478#0,2419025#3,434186#-0,06991413#0,2436853#3,506281#0,03176394#-0,2499537#3,200985#0,03520373#-0,3253035#3,188384#0,05327588#-0,6016275#3,106741#0,06519787#-0,5896882#3,11588#0,01148955#-0,6738332#3,052968#-0,01783352#-0,683192#3,16482#1  
frame9 #-0,008025155#0,9149043#3,475168#0,03224673#0,7208298#3,503163# 0,1603861#0,2010258#3,310531#0,01436081#0,5778255#3,308684#0,2147441#0,2591839#3,356387#-0,03276414#0,5397946#3,333994#0,2981496#0,4078307#3,46796#-0,174139#0,4257018#3,422923#0,1542355#0,5996282#3,414223#-0,1457356#0,6040925#3,557534#0,02558599#0,3813433#3,510502#0,005868463#0,3184241#3,476027#0,06892549#0,2413736#3,431584#-0,06682986#0,2426521#3,504997#0,03073513#-0,2522526#3,197189#0,05004271#-0,3309537#3,175873#0,05302932#-0,601328#3,107131#0,06573594#-0,597287#3,114845#0,01174446#-0,6727828#3,053667#-0,009867454#-0,6922812#3,113371#1  
frame10 #-0,004485187#0,9148113#3,472405#0,03234157#0,7205571#3,502597# 0,1475145#0,2631138#3,294008#0,008285698#0,5866114#3,315782#0,1832322#0,2209123#3,333677#-0,03765339#0,5458706#3,339051#0,2981862#0,4078798#3,46821#-0,1754706#0,4236481#3,421854#0,155047#0,5998104#3,414356#-0,1449843#0,6039894#3,557108#0,02536627#0,381206#3,5108#0,00536444#0,3182913#3,47612#0,06787057#0,2402642#3,432144#-0,06790325#0,243528#3,505226#0,03159515#-0,2518148#3,197866#0,05165567#-0,3317904#3,174564#0,05289668#-0,6020791#3,106841#0,06426759#-0,5976034#3,113576#0,01118043#-0,6719472#3,053665#0,004952134#-0,6816713#3,066747#1  
frame11 #-0,001817116#0,9126221#3,471887#0,03273904#0,7207171#3,503225# 0,1610174#0,2036733#3,306503#-0,03762794#0,5997316#3,288565#0,2103741#0,2637374#3,357534#-0,07137858#0,5548578#3,32249#0,2982071#0,4109302#3,467243#-0,1726305#0,4202366#3,437264#0,1556679#0,6003255#3,414824#-0,144806#0,6039203#3,558633#0,02606389#0,3814096#3,511021#0,005897764#0,3187025#3,475916#0,06861985#0,240419#3,431248#-0,0673554#0,243845#3,505127#0,03178562#-0,2517847#3,197925#0,03772059#-0,3233299#3,180933#0,05238657#-0,6020242#3,107706#0,06131637#-0,5894142#3,112485#0,01091241#-0,6712644#3,054858#-0,007285003#-0,6884782#3,083032#1  
