frame1 #0,1242106#0,9048679#3,467089#0,1437316#0,7331683#3,508313# 0,2983154#0,1899143#3,366228#0,1167095#0,5235344#3,293282#0,326405#0,2747288#3,402731#0,0696064#0,5045316#3,328149#0,3982995#0,4216909#3,501589#-0,07170286#0,4475229#3,445625#0,271524#0,6051812#3,436894#-0,03766307#0,6129216#3,567188#0,1371751#0,3944038#3,519964#0,1160231#0,3331532#3,477973#0,1805367#0,2584557#3,446267#0,0414025#0,2619388#3,493917#0,1458116#-0,2499546#3,211391#0,05129781#-0,2230896#3,624293#0,1737084#-0,6449145#3,136065#0,1500891#-0,5472187#3,178628#0,1229357#-0,6518686#3,064422#0,1137036#-0,5951349#3,094253#1  
frame2 #0,1229471#0,9071764#3,465865#0,1450636#0,7320533#3,506346# 0,2656393#0,2093358#3,353146#0,1181065#0,5177275#3,289964#0,3171749#0,2740639#3,400521#0,07057317#0,5007194#3,325057#0,3958347#0,4206663#3,499964#-0,07202685#0,4496949#3,442714#0,2714502#0,6052312#3,434489#-0,03767205#0,6128533#3,56455#0,1361392#0,4120692#3,517793#0,1135249#0,3612068#3,475631#0,1756032#0,2874512#3,440998#0,03714171#0,2893247#3,49246#0,1445016#-0,2471376#3,209106#0,05277291#-0,2336353#3,63196#0,1716882#-0,6050422#3,138806#0,1417399#-0,5191444#3,220014#0,1314848#-0,6490439#3,077327#0,1242574#-0,6207979#3,168826#1  
frame3 #0,1226295#0,9069828#3,46618#0,145017#0,7310662#3,506665# 0,2430966#0,1855478#3,325769#0,1177619#0,517699#3,290725#0,2813332#0,244437#3,366216#0,07014029#0,5001101#3,325477#0,3960428#0,4211044#3,50005#-0,07272469#0,4473434#3,442226#0,2711004#0,6051794#3,434941#-0,03770298#0,6122673#3,564683#0,136222#0,4070444#3,517984#0,1141936#0,3498321#3,475633#0,1767476#0,2764909#3,441653#0,0388262#0,2779499#3,492658#0,1448641#-0,2470262#3,210707#0,05256897#-0,2329562#3,632028#0,1725872#-0,6192179#3,137279#0,1449718#-0,5324209#3,20609#0,1309616#-0,6581435#3,078718#0,1112724#-0,5767805#3,127742#1  
frame4 #0,1191251#0,8999485#3,471497#0,1462014#0,7304444#3,507597# 0,2352132#0,1760359#3,320647#0,1199063#0,5195601#3,292669#0,2755262#0,2365928#3,361547#0,0715939#0,501221#3,326355#0,3964653#0,4182635#3,496858#-0,07334327#0,4462036#3,440023#0,2706242#0,605281#3,43524#-0,03774552#0,6122078#3,565308#0,1369108#0,4009083#3,518103#0,114621#0,341266#3,475311#0,1769265#0,2672139#3,440471#0,03920735#0,2693776#3,492831#0,1450646#-0,248919#3,211#0,05270061#-0,2334716#3,632809#0,1725555#-0,6283889#3,134032#0,1450899#-0,5391506#3,1982#0,1287429#-0,6633184#3,068567#0,1094245#-0,5859157#3,115628#1  
frame5 #0,1231888#0,9101066#3,464539#0,1460081#0,7302937#3,508852# 0,2414755#0,1740634#3,322146#0,1183147#0,5150512#3,291617#0,2803204#0,2359215#3,362335#0,0700996#0,4985074#3,326241#0,3968551#0,4214957#3,495558#-0,07454564#0,448876#3,442766#0,2704372#0,6054175#3,434853#-0,03754637#0,6124214#3,56541#0,1365545#0,3991411#3,519041#0,114146#0,3393437#3,476041#0,1764911#0,2652683#3,441335#0,03899705#0,2681022#3,49325#0,1450146#-0,248919#3,21117#0,05260514#-0,235636#3,63288#0,1719027#-0,6161056#3,136378#0,1428008#-0,5334735#3,213272#0,1315749#-0,6615942#3,077899#0,1077366#-0,5792412#3,132501#1  
frame6 #0,1223109#0,9091927#3,465427#0,1466847#0,7291969#3,508839# 0,2442238#0,1745668#3,323986#0,1243078#0,491076#3,294763#0,2822555#0,2364288#3,363773#0,07285603#0,4816519#3,327278#0,3963506#0,4220148#3,495813#-0,08149912#0,4533796#3,437505#0,2697843#0,6054552#3,434305#-0,03738268#0,6123402#3,56564#0,1371465#0,3976731#3,51928#0,1145388#0,3380295#3,476279#0,1767068#0,2643201#3,441714#0,03959224#0,2669661#3,493534#0,1443546#-0,2447148#3,212962#0,05267649#-0,2360717#3,630873#0,1707533#-0,6024358#3,138374#0,1388596#-0,5247134#3,219605#0,1360299#-0,6511919#3,083291#0,1047889#-0,5688466#3,141824#1  
frame7 #0,1222783#0,9090707#3,466432#0,1470925#0,7292445#3,509305# 0,2382302#0,1752823#3,323981#0,1186053#0,4857479#3,298903#0,27788#0,2367499#3,363539#0,06676227#0,4793627#3,331298#0,3968292#0,4211527#3,494912#-0,08876675#0,460207#3,44118#0,269912#0,6055135#3,434462#-0,03730789#0,6123908#3,565509#0,1372519#0,3971605#3,519402#0,114582#0,3375157#3,476094#0,176852#0,2635012#3,441265#0,03951243#0,2662688#3,493236#0,1441351#-0,2434293#3,213082#0,05266913#-0,2360587#3,630962#0,1701916#-0,5939272#3,139327#0,1375045#-0,5177871#3,226684#0,1392592#-0,6471251#3,088981#0,1042695#-0,5609118#3,150624#1  
frame8 #0,1218115#0,9093184#3,466949#0,1469845#0,7292971#3,509525# 0,3298303#0,2483876#3,332021#0,1172532#0,4889906#3,298497#0,3221923#0,276673#3,395845#0,06554372#0,4810297#3,3307#0,3971767#0,4211116#3,49507#-0,08958469#0,457147#3,440027#0,2697093#0,6058756#3,433729#-0,03627953#0,6120695#3,564532#0,1370623#0,3956682#3,519158#0,1142582#0,3356949#3,475374#0,1765955#0,2627694#3,441277#0,03959059#0,2646104#3,491599#0,1440745#-0,2440988#3,212762#0,05271311#-0,2360201#3,630913#0,170808#-0,6023877#3,137865#0,1392078#-0,5236491#3,217825#0,1351424#-0,6483#3,082793#0,1056461#-0,5670692#3,141247#1  
frame9 #0,1218659#0,912377#3,465337#0,1456064#0,7286706#3,509658# 0,2700301#0,2140897#3,348929#0,1205749#0,4902883#3,298795#0,3267323#0,2730501#3,397378#0,06882272#0,4818548#3,330781#0,3969866#0,4205994#3,495221#-0,08643389#0,4565543#3,439457#0,2699283#0,6061187#3,433886#-0,03592367#0,6124133#3,564339#0,1371552#0,3955587#3,519361#0,1143853#0,3356343#3,47529#0,17701#0,2626074#3,441238#0,03999098#0,2645573#3,491341#0,1440909#-0,2440859#3,212735#0,05256783#-0,2396082#3,633911#0,1707182#-0,6074715#3,13623#0,140446#-0,5283744#3,213013#0,1360152#-0,6519658#3,081785#0,1076522#-0,5708963#3,138006#1  
frame10 #0,1212962#0,9123856#3,46558#0,1454498#0,7286354#3,509727# 0,298366#0,2702672#3,332607#0,1228208#0,5000618#3,298973#0,3268068#0,2735246#3,39646#0,0712891#0,4881186#3,330262#0,3977583#0,4203945#3,495142#-0,08330598#0,452289#3,436849#0,2697844#0,6061968#3,434019#-0,03558729#0,6113474#3,563496#0,1370889#0,3953119#3,519588#0,1143425#0,3354718#3,475264#0,1770123#0,2623339#3,441572#0,03997821#0,2646087#3,491039#0,1442668#-0,2433162#3,21301#0,05253197#-0,2397967#3,634964#0,1713477#-0,6012502#3,13763#0,1418412#-0,5228962#3,219632#0,1372321#-0,6491859#3,085441#0,1094668#-0,5650441#3,145233#1  
frame11 #0,1207662#0,9126946#3,46475#0,1438285#0,7284689#3,508605# 0,3224517#0,2285857#3,313015#0,1212853#0,5000993#3,296413#0,327601#0,2714385#3,396918#0,07013372#0,4881035#3,328362#0,3974111#0,4200035#3,493756#-0,0833211#0,4521162#3,436873#0,2695372#0,6066093#3,433891#-0,03559188#0,6114645#3,563079#0,1353794#0,3959299#3,52037#0,1125091#0,3361782#3,476679#0,1755066#0,2622243#3,444728#0,03686728#0,2674914#3,493127#0,1443575#-0,2425783#3,213225#0,05252441#-0,2393907#3,634368#0,1712065#-0,5957963#3,138733#0,1488256#-0,5148611#3,22345#0,1374272#-0,6485296#3,08539#0,116448#-0,5571082#3,148958#1  
frame12 #0,1208419#0,9145446#3,464122#0,143367#0,7282942#3,507427# 0,2890283#0,2478536#3,341868#0,1218428#0,5056511#3,298967#0,3284723#0,2732525#3,392784#0,07057871#0,492285#3,330254#0,3974269#0,4198504#3,493907#-0,08321342#0,4521866#3,436785#0,2694749#0,6066059#3,433934#-0,03525537#0,6117206#3,563568#0,1364964#0,3957616#3,518334#0,1141382#0,336203#3,474216#0,1775645#0,2628065#3,441292#0,0401046#0,2667802#3,490123#0,1444265#-0,2432941#3,212853#0,05295242#-0,2399281#3,635406#0,1702775#-0,5925193#3,139555#0,1482946#-0,5145757#3,230757#0,1337975#-0,652442#3,078853#0,1150042#-0,5578332#3,154514#1  
frame13 #0,120897#0,9139661#3,463641#0,1415614#0,7278929#3,5086# 0,2881747#0,2466007#3,341928#0,1220227#0,5060031#3,299439#0,3280209#0,2721916#3,391728#0,07064055#0,4925873#3,330573#0,3964898#0,4190437#3,49301#-0,08350599#0,4523401#3,43665#0,2696714#0,6068568#3,432717#-0,03536058#0,6118585#3,563119#0,136166#0,3956387#3,518876#0,1138426#0,3362024#3,474545#0,1773413#0,2627628#3,441588#0,03996022#0,2666593#3,490332#0,1445142#-0,2437446#3,212237#0,05293524#-0,2396767#3,635379#0,1698549#-0,5894707#3,140243#0,14826#-0,5178685#3,239626#0,1253244#-0,6587386#3,07184#0,1139285#-0,562274#3,161408#1  
frame14 #0,1193695#0,9151231#3,463068#0,140824#0,7279134#3,507946# 0,2744774#0,2070377#3,351406#0,1216706#0,5013784#3,295226#0,3273863#0,2718979#3,391648#0,07081402#0,4888483#3,327616#0,3964172#0,419199#3,49182#-0,08175566#0,451258#3,437382#0,2694998#0,607134#3,432236#-0,03516839#0,6118746#3,562435#0,1357886#0,3966044#3,518035#0,1135072#0,3376865#3,473435#0,1780224#0,2643195#3,439596#0,03881254#0,2687151#3,489718#0,1443637#-0,2440526#3,211534#0,0530505#-0,2398844#3,635201#0,1699876#-0,5880617#3,140311#0,1482159#-0,5194234#3,246246#0,1255756#-0,6579571#3,070125#0,1132286#-0,5646695#3,166528#1  
frame15 #0,1178233#0,9138056#3,459321#0,1405004#0,7277977#3,507579# 0,2723058#0,2135422#3,343967#0,1215092#0,5029373#3,295765#0,3266705#0,2722723#3,39166#0,07057554#0,4900446#3,327944#0,396534#0,4192377#3,491925#-0,08222555#0,4513664#3,437089#0,2690693#0,6072131#3,432049#-0,03537438#0,6120512#3,562451#0,1358607#0,3966675#3,518213#0,1135047#0,3377416#3,473533#0,1779105#0,2643336#3,439941#0,03895815#0,2688028#3,489806#0,144301#-0,2445067#3,21151#0,05313033#-0,2390653#3,634594#0,1693961#-0,5917627#3,139344#0,1496208#-0,523155#3,241095#0,1286753#-0,6558521#3,072028#0,1142388#-0,5688383#3,160658#1  
