frame1 #-0,04460116#0,9146225#3,443035#-0,007065361#0,7183432#3,47245# 0,1211072#0,2575829#3,353522#-0,03190199#0,4571324#3,31615#0,2141162#0,2340625#3,355123#-0,05642742#0,5061882#3,361113#0,2671828#0,4114439#3,426734#-0,2312228#0,4235725#3,392893#0,1343302#0,6055626#3,395272#-0,1701334#0,5941406#3,534067#-0,008275682#0,385242#3,482841#-0,0248385#0,3222855#3,452547#0,04025865#0,2489302#3,41287#-0,09674996#0,2437903#3,479686#-0,01028992#-0,2485292#3,193489#0,003608338#-0,2048791#3,225662#0,006424999#-0,6070309#3,109851#0,01340858#-0,5857378#3,124134#-0,03671316#-0,6728965#3,057237#-0,05722138#-0,6877511#3,092208#1  
frame2 #-0,04029071#0,9131174#3,438427#-0,007243312#0,7186304#3,472342# 0,09978949#0,1390762#3,271793#-0,06459989#0,5028459#3,270867#0,1415472#0,2069803#3,307293#-0,1023087#0,5443759#3,314598#0,2668203#0,4106927#3,42663#-0,1928346#0,4024065#3,422782#0,1349071#0,6054099#3,395514#-0,1702113#0,594306#3,534232#-0,008365213#0,385224#3,483056#-0,02489166#0,3221498#3,452844#0,04035004#0,2484958#3,413669#-0,0968741#0,2436913#3,479887#-0,0102307#-0,2488592#3,192465#0,004164923#-0,2044632#3,224997#0,006613575#-0,6074131#3,10979#0,02503568#-0,5965876#3,118351#-0,03232405#-0,6784266#3,062322#-0,05893246#-0,69114#3,106532#1  
frame3 #-0,04005299#0,9136682#3,438426#-0,00713289#0,7186251#3,472106# 0,09536952#0,1344021#3,267201#-0,03311162#0,4914316#3,316428#0,1382414#0,2018587#3,303831#-0,06666233#0,5362065#3,359584#0,266857#0,4042286#3,426575#-0,2167148#0,4137533#3,394739#0,134927#0,6051729#3,395456#-0,1702916#0,594417#3,534094#-0,008298163#0,3849425#3,482992#-0,02477301#0,3217348#3,452863#0,04054644#0,2480498#3,414232#-0,09677552#0,2435017#3,47954#-0,01022523#-0,2508151#3,19162#-0,004155073#-0,2665086#3,188505#0,008632524#-0,6116331#3,107354#0,01911525#-0,6050448#3,117955#-0,03083011#-0,6780158#3,06359#-0,02449666#-0,6946099#3,071781#1  
frame4 #-0,04054778#0,8876793#3,446805#-0,00808272#0,7163388#3,471843# 0,09387068#0,1416608#3,280314#-0,03465001#0,4652095#3,279521#0,1373951#0,2081859#3,314077#-0,05744794#0,5126243#3,326799#0,2679685#0,407761#3,428208#-0,2166362#0,4132768#3,394552#0,1349929#0,6049896#3,395384#-0,170819#0,5942673#3,534518#-0,006970739#0,3842633#3,48191#-0,02274289#0,321261#3,451293#0,04395228#0,2476092#3,413051#-0,09358196#0,2431363#3,475785#-0,009861707#-0,2496828#3,19157#0,02466355#-0,1488626#3,227467#0,008577936#-0,6115159#3,10728#0,01233797#-0,5789344#3,118392#-0,0285195#-0,6750467#3,067436#-0,02499036#-0,6244923#3,039527#1  
frame5 #-0,04566835#0,9042164#3,44441#-0,007493679#0,7176706#3,470416# 0,09654212#0,1294089#3,278176#-0,01465868#0,5504324#3,284189#0,1387181#0,1990477#3,311588#-0,06233989#0,5153346#3,311127#0,2652461#0,4079643#3,424645#-0,2053835#0,4100413#3,404767#0,1348105#0,6049886#3,394858#-0,1715661#0,5937606#3,5325#-0,005569647#0,3848452#3,480709#-0,02108057#0,321671#3,450038#0,04582009#0,248229#3,411962#-0,09203114#0,2434261#3,474692#-0,01038139#-0,2493045#3,191028#0,04144808#-0,1918907#3,252367#0,00852587#-0,611197#3,107668#0,01660955#-0,6046519#3,125725#-0,02842282#-0,6748127#3,067479#-0,02907031#-0,6703607#3,045358#1  
frame6 #-0,04500219#0,9064741#3,44267#-0,007647895#0,7194536#3,466928# 0,09696361#0,1307194#3,278951#-0,01015648#0,5455638#3,280556#0,1390731#0,2002186#3,312335#-0,05778842#0,5115309#3,308651#0,2654014#0,4087163#3,42533#-0,2006842#0,4094322#3,405779#0,1348469#0,6049729#3,394895#-0,1716901#0,5935472#3,5324#-0,005272249#0,3846862#3,479278#-0,02065098#0,3210341#3,449015#0,04624046#0,247814#3,411482#-0,09170842#0,2427335#3,473885#-0,0107435#-0,2493675#3,190814#0,006950936#-0,1990006#3,221744#0,008506181#-0,6111364#3,107771#0,01760151#-0,597357#3,130842#-0,02756389#-0,6761439#3,071011#-0,008991668#-0,6713135#3,062473#1  
frame7 #-0,0493631#0,9080007#3,443721#-0,006790568#0,7196055#3,466107# 0,09666798#0,1333825#3,280527#0,003074221#0,5251205#3,290573#0,1391093#0,2026947#3,313596#-0,05027096#0,4972737#3,314758#0,2664334#0,4106313#3,425612#-0,2103065#0,4137332#3,400122#0,1342119#0,6046902#3,393955#-0,1717326#0,5936265#3,532256#-0,005469958#0,385745#3,478661#-0,02114433#0,322493#3,448797#0,04503508#0,2497252#3,411744#-0,0926278#0,2451185#3,473746#-0,01205048#-0,250486#3,18942#0,03708098#-0,1538944#3,23525#0,008084618#-0,611235#3,106783#0,007400965#-0,5897323#3,115692#-0,02315122#-0,6845358#3,095017#-0,02828777#-0,6337292#3,039736#1  
frame8 #-0,04966459#0,908267#3,444707#-0,006908163#0,720202#3,464568# 0,09542084#0,1355245#3,280378#0,003173001#0,5060836#3,287027#0,1381797#0,2043292#3,313429#-0,05152465#0,4840057#3,313534#0,2664562#0,4107434#3,425389#-0,2156176#0,417772#3,405863#0,1333138#0,6047992#3,39329#-0,1720165#0,5926809#3,52954#-0,005621211#0,3859236#3,478103#-0,02102219#0,3224683#3,448641#0,04509369#0,2497926#3,411711#-0,09236319#0,2450502#3,473665#-0,01227311#-0,25042#3,189533#0,002672224#-0,1978241#3,216605#0,007062337#-0,6111111#3,105821#0,01249424#-0,5973919#3,131035#-0,02615628#-0,6807547#3,079283#-0,05583434#-0,6793643#3,102773#1  
frame9 #-0,05352126#0,9029513#3,448924#-0,006850249#0,7191648#3,465228# 0,09551437#0,1366616#3,280181#0,005206414#0,5031271#3,288486#0,1382908#0,2052571#3,313119#-0,05011697#0,4818849#3,314002#0,2666202#0,4110436#3,424847#-0,2160871#0,4181585#3,403463#0,1315002#0,6049713#3,392633#-0,1727186#0,5913322#3,52727#0,001684208#0,3637405#3,470636#-0,01126941#0,2929102#3,437018#0,05476214#0,2251102#3,400983#-0,07898559#0,2138946#3,458349#-0,01299898#-0,2501463#3,190599#0,003778877#-0,1975856#3,21859#0,006091231#-0,6112034#3,105391#0,008004206#-0,6017736#3,125761#-0,02663367#-0,6817504#3,079273#-0,0596178#-0,6854287#3,098414#1  
frame10 #-0,05616707#0,9024485#3,451372#-0,007236652#0,7193311#3,465452# 0,09057218#0,141217#3,266428#0,001986921#0,5193185#3,295754#0,1344496#0,2082241#3,300595#-0,05314097#0,4957044#3,319115#0,2660818#0,4092456#3,416082#-0,2185246#0,4248621#3,402186#0,1284274#0,6051923#3,391841#-0,1730931#0,5912897#3,527516#1,045689E-05#0,3667841#3,472024#-0,01513597#0,2994666#3,439204#0,05060892#0,2277276#3,402323#-0,08347015#0,2268571#3,463121#-0,01397353#-0,2492401#3,192881#0,04069134#-0,2042231#3,28155#0,006036703#-0,6113215#3,105667#0,009864446#-0,6004828#3,128454#-0,02725728#-0,6807749#3,076267#-0,05781991#-0,6838513#3,098298#1  
frame11 #-0,05958429#0,9065203#3,452794#-0,007564203#0,7216091#3,466505# 0,08835194#0,1495802#3,263442#-0,03043609#0,5809008#3,31527#0,1328595#0,2159164#3,297631#-0,07871009#0,5428128#3,333811#0,2663821#0,4149249#3,413184#-0,2235321#0,428549#3,402419#0,1244351#0,6066061#3,390723#-0,1747445#0,5924787#3,531827#0,0003147479#0,3733243#3,474737#-0,01550901#0,3074949#3,442765#0,05006323#0,2315646#3,402095#-0,08344736#0,234774#3,471611#-0,01465732#-0,2483338#3,194498#0,04093139#-0,2044098#3,283111#0,006403224#-0,6112652#3,105859#0,01218303#-0,5995623#3,133957#-0,02724277#-0,6810395#3,076206#-0,05218592#-0,6789263#3,087578#1  
frame12 #-0,07893708#0,9142841#3,470301#-0,01149652#0,7330582#3,477442# 0,1072792#0,2401677#3,234893#-0,210675#0,663745#3,518519#0,1325375#0,2174679#3,295883#-0,2163778#0,6071771#3,4887#0,265584#0,4163304#3,412171#-0,2334863#0,4374734#3,412317#0,1154073#0,6105065#3,389621#-0,1734061#0,5966288#3,545074#-0,0005538054#0,3762415#3,480441#-0,01820805#0,3096251#3,44797#0,04431007#0,2342683#3,405644#-0,08388633#0,2369435#3,478199#-0,01466896#-0,248571#3,196596#0,04057547#-0,2045213#3,287379#0,007153146#-0,6118872#3,106626#0,01461547#-0,5987176#3,138694#-0,02769649#-0,6805888#3,079079#-0,02863492#-0,6692721#3,118851#1  
frame13 #-0,07700549#0,9054372#3,484468#-0,01219809#0,7332709#3,481548# 0,1132505#0,1545128#3,263409#-0,1691406#0,6787398#3,482098#0,1327724#0,2133369#3,295161#-0,1863083#0,6198446#3,463359#0,2622341#0,4149798#3,410111#-0,2378113#0,4431591#3,420297#0,1140584#0,6103485#3,390562#-0,1722392#0,5980171#3,551363#-0,0004719831#0,3766536#3,484317#-0,01908669#0,31004#3,451179#0,0429812#0,2346298#3,40689#-0,08372395#0,2365029#3,482886#-0,01180325#-0,2432134#3,204883#-0,1222786#-0,1586018#3,658545#0,007292395#-0,6040429#3,111558#-0,1421739#-0,5507233#3,509179#-0,03366515#-0,670782#3,074255#-0,1135349#-0,5764594#3,40513#1  
frame14 #-0,08718324#0,9089603#3,490734#-0,01871662#0,740603#3,503952# 0,1165828#0,2237151#3,228383#-0,1413899#0,6797453#3,482168#0,1282583#0,2130067#3,296137#-0,1659262#0,623367#3,464209#0,2608361#0,4146519#3,406116#-0,2395352#0,4542322#3,423584#0,1097074#0,6106885#3,396162#-0,1707654#0,5991431#3,555981#-0,001748595#0,3775062#3,498147#-0,02056452#0,3104921#3,462472#0,0406572#0,2344248#3,411033#-0,08149673#0,2350509#3,499201#-0,01062463#-0,2443588#3,207555#-0,1246195#-0,1876172#3,712998#0,006930059#-0,6053048#3,111496#-0,1445148#-0,5797387#3,563442#-0,03465419#-0,6713579#3,071391#-0,1260061#-0,6041869#3,456504#1  
frame15 #-0,1122123#0,9141537#3,529073#-0,0218555#0,7510694#3,517991# 0,08503643#0,1493359#3,265043#-0,1336882#0,6837367#3,464979#0,1291378#0,2166862#3,297152#-0,1605449#0,6270137#3,45213#0,261442#0,4187371#3,406841#-0,241115#0,4568447#3,426943#0,09755353#0,6185938#3,404686#-0,1679992#0,5993797#3,559347#-0,0008434206#0,3766588#3,508236#-0,02016523#0,307982#3,47142#0,03835394#0,2342796#3,417601#-0,07716312#0,2316109#3,508578#-0,007462439#-0,248979#3,216704#-0,1324002#-0,1953278#3,721323#0,006566596#-0,6055785#3,11129#0,003294915#-0,5240296#3,427308#-0,03293055#-0,6729477#3,073531#-0,00201762#-0,5639808#3,32344#1  
frame16 #-0,1116852#0,9178398#3,553676#-0,03157143#0,7678839#3,537116# 0,08423206#0,1454946#3,288356#-0,0945015#0,660999#3,409477#0,1263817#0,2166739#3,314472#-0,1335971#0,6104958#3,415136#0,2528306#0,430212#3,406282#-0,250884#0,4589862#3,445579#0,07960949#0,6240927#3,421278#-0,1613619#0,5971494#3,571489#0,00125771#0,3746389#3,519266#-0,01826091#0,302721#3,481798#0,03766702#0,2323823#3,422049#-0,06791437#0,2236366#3,524855#-0,003773661#-0,2524317#3,228769#-0,134092#-0,1936649#3,723234#0,008088993#-0,6077149#3,112524#0,002207607#-0,5193992#3,42891#-0,032894#-0,6732599#3,074226#-0,004496275#-0,560939#3,325489#1  
frame17 #-0,124753#0,9202453#3,589871#-0,03575374#0,7771034#3,549017# 0,08333381#0,1576613#3,291271#-0,1141772#0,6461892#3,399143#0,1251584#0,2284052#3,318408#-0,1552704#0,6012313#3,418694#0,250632#0,4406367#3,413348#-0,27855#0,4663574#3,490875#0,07344387#0,6304094#3,437775#-0,1602649#0,6016022#3,584857#0,002933482#0,3712319#3,531973#-0,01585159#0,2954324#3,493356#0,04022435#0,2292512#3,437686#-0,06616047#0,2213594#3,529876#-0,002651134#-0,2553157#3,236296#-0,1340111#-0,3074114#3,745943#0,008128052#-0,607805#3,112668#0,02648543#-0,6100185#3,44278#-0,03288169#-0,6734103#3,07438#0,01256425#-0,6273706#3,333505#1  
frame18 #-0,1420788#0,9418612#3,605899#-0,05367139#0,7988818#3,588799# 0,1294547#0,2294575#3,371819#-0,09033871#0,6652801#3,484324#0,1582997#0,2855279#3,382125#-0,1356158#0,6202357#3,486091#0,2448345#0,4537392#3,42652#-0,2714469#0,4851024#3,504872#0,0632045#0,6375077#3,475089#-0,1736836#0,6197585#3,626455#0,0003554095#0,3718984#3,558834#-0,01667305#0,2931733#3,515349#0,03964264#0,2309137#3,467553#-0,06498544#0,2204973#3,544127#0,002001916#-0,2622907#3,265263#-0,1316671#-0,3012126#3,754624#0,008100664#-0,6097907#3,113236#0,027962#-0,602184#3,453055#-0,03303485#-0,6736822#3,073951#0,009206278#-0,6230587#3,345157#1  
frame19 #-0,1381048#0,9462081#3,681301#-0,05846047#0,8004173#3,598617# 0,09812509#0,248552#3,402702#-0,05457971#0,6685694#3,420973#0,1351908#0,2991572#3,412964#-0,1175895#0,6223668#3,456893#0,2463877#0,4509728#3,457267#-0,3066189#0,483759#3,578167#0,06887081#0,6377642#3,496164#-0,1786848#0,6214507#3,636861#-0,002473097#0,384904#3,592129#-0,01584585#0,3059273#3,551281#0,04809652#0,2386233#3,488043#-0,06928573#0,2278938#3,596065#0,003919119#-0,2681618#3,28109#-0,1307386#-0,2925155#3,769903#0,007959859#-0,6111572#3,114403#0,03088813#-0,5972534#3,464816#-0,03261617#-0,6731212#3,072865#0,01444131#-0,6169167#3,355682#1  
