frame1 #-0,002963368#0,8887594#3,41645#0,05486475#0,7153735#3,425606# 0,2163801#0,1373426#3,239548#0,05284102#0,5319375#3,249469#0,2160089#0,1883174#3,283663#-0,001688629#0,5036902#3,266904#0,3142722#0,396375#3,415677#-0,1652776#0,4189485#3,332084#0,1771097#0,5931322#3,360345#-0,1249293#0,5770646#3,468782#0,04517552#0,3782487#3,436264#0,03319742#0,3130524#3,413906#0,09723072#0,2437791#3,382687#-0,03868682#0,2365487#3,436222#0,05270917#-0,2519759#3,137962#0,07708219#-0,2617998#3,128837#0,1080422#-0,5881634#3,072222#0,1008729#-0,5916618#3,072088#0,06921214#-0,6644965#3,03635#0,07448267#-0,6318036#3,001351#1  
frame2 #0,001587371#0,9064386#3,414618#0,05479922#0,7155143#3,425522# 0,2143478#0,1343543#3,239552#0,004252242#0,4625416#3,210402#0,2148442#0,188407#3,281005#-0,001987517#0,5007408#3,266457#0,3138018#0,3963449#3,41535#-0,1678901#0,4192005#3,332823#0,1768316#0,5932534#3,359934#-0,1245684#0,5798539#3,472582#0,04465223#0,3790493#3,437201#0,03222759#0,3139415#3,415509#0,09608957#0,2441586#3,383568#-0,03995185#0,2381839#3,440007#0,05273364#-0,2520669#3,137817#-0,04922909#-0,1928687#3,606132#0,107502#-0,5899469#3,07079#0,03919283#-0,4297186#3,279065#0,06891949#-0,6645972#3,035587#0,01205991#-0,469673#3,20907#1  
frame3 #0,003592815#0,9060922#3,412389#0,05484079#0,7154666#3,425432# 0,2138025#0,1329636#3,241002#0,06280258#0,4985226#3,243952#0,2141802#0,1882175#3,281276#-0,001903579#0,5012173#3,265883#0,3139133#0,3965954#3,414967#-0,1676022#0,4190772#3,332868#0,1773759#0,5932697#3,360434#-0,1244458#0,5799445#3,472775#0,04452052#0,3790929#3,437208#0,03216855#0,3139688#3,415767#0,09603193#0,2440891#3,383833#-0,0400972#0,2381356#3,440427#0,05306311#-0,2520213#3,137933#-0,04114134#-0,2274541#3,631303#0,1070988#-0,5910845#3,070937#0,04537521#-0,4477807#3,288339#0,06898533#-0,6644632#3,035741#0,01844054#-0,4876103#3,218552#1  
frame4 #0,004631748#0,906164#3,411556#0,05451365#0,7152785#3,424581# 0,2140891#0,1337873#3,243989#0,06399924#0,4970774#3,24445#0,2133105#0,1901014#3,278537#0,002572849#0,4782003#3,25981#0,3139331#0,3959433#3,413276#-0,1699725#0,4264663#3,338595#0,1778296#0,5929283#3,360418#-0,1240607#0,5798509#3,472042#0,04431993#0,3792266#3,436896#0,03212862#0,3140483#3,415708#0,09600738#0,2440743#3,383703#-0,0401163#0,2381558#3,440445#0,05328665#-0,2518868#3,137954#-0,04663438#-0,2129272#3,61664#0,1071144#-0,591096#3,070926#0,04357875#-0,4433899#3,280314#0,06950539#-0,6641757#3,037084#0,01704925#-0,482915#3,211077#1  
frame5 #0,004682425#0,9070538#3,412182#0,05425879#0,7154268#3,424118# 0,2140336#0,1340842#3,246434#0,05830885#0,5199553#3,260514#0,2128008#0,1894976#3,278868#0,0007122606#0,4949453#3,273978#0,3141361#0,3957908#3,413334#-0,1687138#0,4170372#3,333367#0,1778554#0,5929536#3,360406#-0,1239622#0,5798227#3,472653#0,04425358#0,3795896#3,436574#0,03216972#0,3144518#3,415724#0,09606399#0,2442564#3,383496#-0,03998934#0,2384064#3,440912#0,05362068#-0,2512304#3,138635#-0,04659648#-0,2133144#3,620539#0,1068167#-0,5906943#3,070873#0,04339884#-0,4429883#3,282477#0,06842943#-0,6628687#3,036059#0,01659398#-0,4827501#3,21292#1  
frame6 #0,003524284#0,9068254#3,416549#0,05395006#0,715455#3,423815# 0,2127273#0,1321014#3,24524#0,04392972#0,5070294#3,242358#0,212866#0,1895516#3,280082#-0,01733863#0,5001826#3,255788#0,3141898#0,3957576#3,413411#-0,1745491#0,4230775#3,346787#0,1785076#0,5926661#3,360674#-0,1231255#0,5808007#3,473587#0,04417954#0,3796641#3,436301#0,0321719#0,3144938#3,415749#0,09609518#0,2442168#3,38355#-0,03994664#0,2385484#3,440976#0,05381395#-0,2511857#3,138646#-0,04521847#-0,2206454#3,622868#0,1062524#-0,5911948#3,071917#0,04430982#-0,4473109#3,281808#0,06852581#-0,6635973#3,037356#0,01746092#-0,486961#3,212529#1  
frame7 #0,005698273#0,9089224#3,412222#0,05388882#0,715401#3,423713# 0,212611#0,1321459#3,244958#0,05826586#0,4850684#3,256693#0,2123782#0,1879274#3,279954#-0,002406478#0,4782882#3,269993#0,3130763#0,3936183#3,411947#-0,1748111#0,4230976#3,345305#0,1792605#0,592765#3,360878#-0,1229062#0,580632#3,473696#0,04406789#0,3796945#3,436075#0,03217504#0,314501#3,415766#0,09612001#0,2442174#3,38357#-0,03994657#0,2385275#3,440988#0,0541211#-0,2510136#3,138853#-0,04556107#-0,2169058#3,622061#0,1063829#-0,5912761#3,072114#0,04467987#-0,4448684#3,281591#0,06955595#-0,6634225#3,038084#0,01762302#-0,4849223#3,211599#1  
frame8 #0,005227284#0,9111401#3,40407#0,05363969#0,7154321#3,423659# 0,2118456#0,131344#3,242779#0,004682091#0,4682356#3,275942#0,2119227#0,1880641#3,278669#-0,00234431#0,4783998#3,268205#0,3127556#0,3931577#3,411526#-0,1730278#0,4242756#3,348149#0,179557#0,593008#3,361186#-0,1227259#0,5812606#3,474678#0,04379706#0,379694#3,436087#0,03196761#0,3144285#3,416163#0,09597623#0,2439689#3,383862#-0,04027419#0,2382686#3,441856#0,05422188#-0,2511343#3,140896#-0,04582185#-0,2046246#3,630919#0,1066864#-0,591767#3,073956#0,04275415#-0,4352798#3,291556#0,06960859#-0,6634518#3,038117#0,01566439#-0,4752197#3,221845#1  
frame9 #0,007743019#0,9082094#3,409552#0,05351878#0,7155268#3,424524# 0,2131236#0,1262647#3,25015#0,03857697#0,5271689#3,250132#0,2111639#0,1885533#3,278809#-0,01306239#0,4933913#3,26323#0,3121743#0,3933599#3,411583#-0,1738796#0,4267792#3,353841#0,1796901#0,5930135#3,361247#-0,1227747#0,582656#3,476192#0,0440056#0,3797708#3,43638#0,03225192#0,314499#3,416645#0,09650441#0,2437638#3,384549#-0,04002229#0,2384322#3,442052#0,05430255#-0,2517568#3,142422#-0,04109695#-0,2670862#3,69173#0,1060229#-0,5923495#3,073539#0,04266492#-0,4561449#3,324253#0,07035512#-0,6627393#3,037752#0,01532654#-0,496033#3,254707#1  
frame10 #0,002942917#0,9043481#3,416704#0,05259242#0,7164003#3,42351# 0,1965164#0,1321344#3,241726#0,05363887#0,5139564#3,271725#0,2059714#0,1857133#3,27529#-0,0003075004#0,4827796#3,286024#0,3096537#0,3884512#3,408367#-0,1737767#0,4278423#3,354687#0,1793848#0,5930334#3,361228#-0,1228698#0,5828815#3,477854#0,04402891#0,3798707#3,436099#0,03242392#0,314415#3,416818#0,09699147#0,2427529#3,384987#-0,03926972#0,2391641#3,442662#0,05541079#-0,2514209#3,147605#-0,05610987#-0,2091768#3,66689#0,1058399#-0,5928526#3,074133#0,03547038#-0,429238#3,320268#0,06968615#-0,6628112#3,037805#0,007828476#-0,4691292#3,250986#1  
frame11 #-0,00684157#0,9011053#3,436176#0,04956004#0,7190796#3,427892# 0,1944004#0,1460356#3,25333#0,04900551#0,5129872#3,27541#0,2021178#0,2022897#3,284028#-0,005464524#0,4815077#3,289848#0,3104153#0,3931362#3,405602#-0,1788567#0,4302654#3,361332#0,1744704#0,5937726#3,360427#-0,1229731#0,583913#3,483505#0,04449374#0,3788861#3,439391#0,03309695#0,3125194#3,420893#0,0971502#0,241921#3,387514#-0,03646633#0,2376389#3,448318#0,05664382#-0,2511681#3,155123#-0,05757586#-0,2150604#3,674274#0,1053477#-0,592753#3,074891#0,03510727#-0,4390234#3,330432#0,07048152#-0,6622643#3,037704#0,005731041#-0,4789685#3,261822#1  
