frame1 #0,02850532#0,9381776#3,364701#0,04256637#0,749653#3,417599# 0,242601#0,2297474#3,218234#-0,0730325#0,4549358#3,124388#0,2128217#0,2391829#3,278424#-0,1327211#0,4473276#3,155662#0,3148455#0,4412203#3,418009#-0,16673#0,4684257#3,356333#0,1840348#0,6264088#3,36428#-0,1299183#0,6465938#3,488037#0,03034866#0,4002163#3,42853#0,01645519#0,3329156#3,40451#0,08235954#0,2528012#3,372402#-0,05891936#0,2618845#3,427031#0,07360701#-0,251687#3,17661#-0,05362082#-0,2606653#3,574863#0,05928602#-0,6091763#3,09311#0,02795775#-0,4906216#3,236536#0,03621952#-0,6723586#3,05565#-0,001934141#-0,5323611#3,161915#1  
frame2 #0,02690767#0,9371012#3,365381#0,04331617#0,7490721#3,417839# 0,2039075#0,2099099#3,262492#-0,07324093#0,5001298#3,12121#0,2344658#0,2775199#3,323211#-0,1378279#0,4992044#3,150352#0,3112799#0,4355065#3,417223#-0,1680812#0,4644969#3,351483#0,1836772#0,6262676#3,364227#-0,1299805#0,6462505#3,48823#0,03050395#0,3992889#3,428811#0,01646482#0,3318751#3,404821#0,08220514#0,2521885#3,372926#-0,0589448#0,2609643#3,427151#0,07360186#-0,2517946#3,176813#-0,05403479#-0,2608804#3,575584#0,06046373#-0,6127612#3,0929#0,03309049#-0,5473127#3,155222#0,03011114#-0,6863754#3,048179#-0,001780078#-0,6617346#3,186175#1  
frame3 #0,02126984#0,9314902#3,367807#0,0434426#0,7481028#3,418511# 0,2023611#0,2032738#3,258884#-0,1701596#0,7224597#3,353132#0,2336599#0,276546#3,320648#-0,1701433#0,6579385#3,348924#0,3099419#0,4342785#3,417328#-0,1700945#0,464375#3,349746#0,183586#0,6264505#3,364381#-0,1309084#0,6450857#3,488658#0,03043863#0,3983123#3,429383#0,01635169#0,3309272#3,405366#0,08217625#0,2515675#3,37387#-0,05928447#0,2594967#3,427234#0,07358668#-0,2506025#3,177708#-0,05440386#-0,2610036#3,573761#0,060899#-0,6267999#3,090594#0,03729311#-0,5594472#3,136733#0,01758426#-0,6946518#3,037944#-0,02474901#-0,6731429#3,149361#1  
frame4 #0,01858992#0,9256049#3,376151#0,04392825#0,7470909#3,418807# 0,2044325#0,2108122#3,250008#-0,05797449#0,5644557#3,126454#0,2237903#0,2597568#3,292961#-0,08614934#0,5392811#3,178928#0,3097098#0,4342216#3,417745#-0,1706739#0,4637573#3,349826#0,1835403#0,6265963#3,364964#-0,1325674#0,6420085#3,486835#0,03044668#0,3967235#3,429867#0,01646976#0,329198#3,40581#0,08243607#0,2504539#3,375097#-0,05952369#0,2568034#3,426749#0,07352087#-0,2507548#3,177828#-0,05508533#-0,2632353#3,57353#0,06185701#-0,6118299#3,093534#0,03733764#-0,5500019#3,154343#0,02791129#-0,6825057#3,048845#0,02003219#-0,6525556#3,090379#1  
frame5 #0,01780723#0,9258077#3,375342#0,04467493#0,7457404#3,419048# 0,2251503#0,1746883#3,236583#-0,05911835#0,5003635#3,111147#0,2090897#0,2300951#3,272528#-0,08867511#0,4916255#3,16794#0,3092617#0,4338614#3,417279#-0,1773454#0,4654115#3,351806#0,1830157#0,626475#3,365199#-0,132389#0,6413756#3,486644#0,03031502#0,3948507#3,430394#0,01615759#0,3271656#3,406458#0,08173197#0,2491475#3,376426#-0,05967792#0,2555358#3,426883#0,07358496#-0,2509306#3,17808#-0,0552948#-0,2642081#3,575167#0,06243095#-0,6051832#3,094904#0,0405077#-0,5454324#3,171387#0,03172303#-0,674275#3,05239#0,007410221#-0,5924551#3,087081#1  
frame6 #0,01655271#0,9279549#3,377929#0,0445697#0,7455512#3,419984# 0,2176729#0,1748953#3,23399#-0,05590523#0,4973158#3,112842#0,2089234#0,2299508#3,272922#-0,08636122#0,489289#3,169234#0,3082888#0,433722#3,418002#-0,1777292#0,4652088#3,351828#0,1822487#0,6268465#3,364762#-0,1323784#0,6407186#3,486309#0,03028532#0,3963858#3,430764#0,01609937#0,3294686#3,406748#0,08138499#0,252427#3,376158#-0,05951397#0,2574133#3,427324#0,07335986#-0,2449732#3,182209#-0,05568029#-0,2648646#3,574901#0,06320566#-0,6005493#3,095242#0,03988158#-0,5361967#3,177666#0,03231012#-0,670059#3,052754#0,00619103#-0,641291#3,136245#1  
frame7 #0,01483119#0,931956#3,37993#0,0445878#0,7456007#3,420088# 0,2214257#0,1701045#3,234188#-0,04746346#0,4927435#3,117585#0,2056328#0,2255248#3,270544#-0,08013403#0,485818#3,172953#0,3027112#0,4287718#3,418604#-0,1781458#0,4650415#3,352419#0,1818592#0,6276852#3,36447#-0,1320644#0,6421225#3,487754#0,03039619#0,3983479#3,43048#0,01603241#0,332221#3,406204#0,0811137#0,2547789#3,37444#-0,05948682#0,2601062#3,427514#0,07274694#-0,2464416#3,18082#-0,05602409#-0,2681683#3,576009#0,06352124#-0,6021479#3,093587#0,03601292#-0,5356892#3,18519#0,03271215#-0,6705541#3,053015#0,002882179#-0,5818432#3,10248#1  
frame8 #0,01352007#0,932942#3,384678#0,04427659#0,745052#3,419927# 0,2240425#0,1828034#3,223999#-0,02000025#0,4967042#3,138381#0,2054462#0,2267939#3,272706#-0,06012771#0,4891899#3,188573#0,3010662#0,4298989#3,422268#-0,1805101#0,466647#3,35246#0,1810304#0,6280028#3,364456#-0,1322059#0,642005#3,48805#0,02975657#0,399799#3,43068#0,01516764#0,3344062#3,406587#0,07980525#0,2577572#3,375511#-0,06028124#0,2626162#3,427738#0,07289398#-0,2468624#3,18072#-0,05602952#-0,2685146#3,57609#0,06366627#-0,6022239#3,093448#0,03448642#-0,5321643#3,190137#0,03361667#-0,6695587#3,053392#0,001746804#-0,5775741#3,108822#1  
frame9 #0,01173337#0,930022#3,386739#0,04413866#0,7435266#3,421009# 0,2286961#0,1783909#3,231389#-0,02441088#0,4991309#3,135068#0,2044577#0,2278369#3,271773#-0,06354041#0,4909367#3,185993#0,3012924#0,4299369#3,422275#-0,180929#0,4663542#3,352042#0,1803833#0,6277121#3,363967#-0,1327012#0,6420165#3,487962#0,02976314#0,4001742#3,430668#0,01509724#0,3352381#3,406315#0,07975897#0,2581834#3,374439#-0,06041539#0,2633078#3,427813#0,07173087#-0,2458681#3,181329#-0,05669727#-0,2689657#3,577018#0,0637475#-0,6041356#3,093652#0,03422578#-0,5300103#3,19573#0,03364766#-0,6692816#3,052533#0,001853008#-0,5747054#3,115589#1  
frame10 #0,01188848#0,9297044#3,38717#0,04364067#0,7429994#3,421116# 0,2039324#0,2089428#3,261216#-0,02583175#0,5106653#3,139019#0,2264632#0,2847888#3,310753#-0,06482553#0,4992459#3,189417#0,3014306#0,4324731#3,425448#-0,1818069#0,4649877#3,35388#0,1796496#0,6275553#3,363569#-0,1330766#0,640183#3,485844#0,02929516#0,3996629#3,430869#0,01466907#0,3345819#3,406321#0,07944553#0,2581346#3,374608#-0,06085312#0,2619781#3,427499#0,07070296#-0,2467455#3,180446#-0,05670692#-0,2689476#3,576993#0,06442253#-0,6045922#3,093744#0,03674494#-0,5384073#3,184362#0,03404015#-0,6690533#3,052772#0,02090849#-0,6265464#3,118415#1  
frame11 #0,009836978#0,9295242#3,388254#0,04296692#0,7424787#3,421549# 0,2078754#0,2238567#3,271898#-0,04173179#0,5149909#3,123974#0,2347455#0,3006982#3,319346#-0,07609071#0,5021183#3,177254#0,3128812#0,4498881#3,429043#-0,1791675#0,4635003#3,350342#0,1770237#0,6273147#3,362999#-0,1335792#0,6391935#3,485228#0,02915086#0,3992482#3,430871#0,01442928#0,3341009#3,406051#0,07929675#0,2582473#3,374348#-0,06102525#0,2607568#3,427038#0,07036854#-0,2453966#3,181063#-0,05693009#-0,2687674#3,576585#0,06496497#-0,6039699#3,093667#0,01061052#-0,5390316#3,183344#0,03028803#-0,6712218#3,060385#-0,02161522#-0,5836816#3,103185#1  
frame12 #0,008064046#0,9323919#3,390447#0,04116534#0,7444128#3,422595# 0,1953646#0,2190334#3,267742#-0,006006353#0,4868915#3,146358#0,2306079#0,2936186#3,31461#-0,04931328#0,4810051#3,194029#0,3080211#0,4420676#3,425923#-0,179234#0,4633458#3,350304#0,1763663#0,6275148#3,363006#-0,1342213#0,6381701#3,485248#0,02828228#0,3990942#3,431499#0,01350068#0,3336297#3,406392#0,07815358#0,2581174#3,37465#-0,06162247#0,2600391#3,427369#0,06989635#-0,2461751#3,180296#-0,05720691#-0,2690094#3,576584#0,0638976#-0,6062299#3,092308#0,009646744#-0,5370837#3,185395#0,03126607#-0,669751#3,051803#-0,0219022#-0,5807452#3,10701#1  
frame13 #-0,003834912#0,9425762#3,396227#0,03964453#0,7495547#3,423316# 0,1940851#0,2112741#3,259969#-0,02616837#0,5045599#3,141186#0,2270156#0,2846256#3,311842#-0,06462547#0,4934762#3,19196#0,3022192#0,4376875#3,4175#-0,1799968#0,4602253#3,357557#0,1742056#0,6287694#3,363072#-0,1346971#0,6384284#3,486618#0,02694639#0,3996458#3,432335#0,01188266#0,3335861#3,40708#0,07560457#0,2587299#3,374931#-0,06297404#0,2595488#3,42876#0,06700823#-0,2440166#3,185578#-0,05766389#-0,2693107#3,576775#0,06465129#-0,6061205#3,091941#0,009226128#-0,536199#3,188134#0,03148911#-0,6701329#3,051399#-0,02218535#-0,5790405#3,11142#1  
