frame1 #0,1263273#0,899059#3,301456#0,1654374#0,6979607#3,34247# 0,3719427#0,1520146#3,192261#0,1651736#0,4973341#3,138234#0,3610632#0,1854593#3,231118#0,1190377#0,4466722#3,119992#0,4344226#0,3953552#3,374086#-0,04720051#0,411696#3,21891#0,3163849#0,5924508#3,292042#-0,01089479#0,5719707#3,347817#0,1573643#0,3536173#3,355449#0,1491585#0,2879238#3,323742#0,2198561#0,2184711#3,308882#0,07258023#0,2092551#3,327097#0,2050639#-0,2443777#3,06465#0,08649774#-0,2674553#3,499271#0,2036797#-0,6045818#2,927586#0,1665497#-0,4855608#3,152894#0,1741869#-0,6629148#2,883528#0,1537653#-0,5236269#3,081486#1  
frame2 #0,1273263#0,899675#3,299101#0,1652317#0,6987977#3,340236# 0,3696184#0,1564459#3,20155#0,1763399#0,4583038#3,09284#0,3683579#0,2201898#3,256444#0,1203754#0,446661#3,120517#0,4338115#0,3959033#3,375482#-0,04751787#0,4117325#3,216643#0,3163744#0,5924205#3,291974#-0,01093794#0,5719907#3,347603#0,1573227#0,35414#3,354455#0,1491861#0,2882373#3,323068#0,2199042#0,2186626#3,308499#0,07261748#0,2095904#3,32644#0,2051384#-0,2446849#3,064274#0,08653713#-0,2675534#3,499158#0,2044352#-0,6040537#2,92786#0,1697191#-0,490216#3,144753#0,1737998#-0,6644865#2,882794#0,1568888#-0,5286582#3,072774#1  
frame3 #0,1276552#0,8998677#3,299022#0,1656278#0,6994386#3,339765# 0,3737653#0,1430851#3,187824#0,1768543#0,4719914#3,11064#0,3595997#0,1864272#3,227521#0,1153606#0,4182179#3,106473#0,4331736#0,3929769#3,376735#-0,0482652#0,4123578#3,217423#0,3166196#0,5922747#3,291966#-0,01120771#0,5719441#3,34724#0,1581444#0,356453#3,353781#0,1501966#0,2909957#3,322521#0,221288#0,2211647#3,308841#0,07329109#0,2120329#3,325069#0,2049001#-0,2450733#3,063545#0,08666884#-0,2685476#3,499356#0,204092#-0,6046383#2,927704#0,1687157#-0,4897478#3,147161#0,1739944#-0,6657069#2,883311#0,1555299#-0,529564#3,072589#1  
frame4 #0,1281931#0,8989635#3,299674#0,1656732#0,6996278#3,340111# 0,3689509#0,1368726#3,201607#0,1614042#0,4472857#3,091897#0,3595701#0,1860296#3,228954#0,1067919#0,4390896#3,122411#0,4306433#0,3927425#3,375403#-0,05704487#0,4145015#3,226994#0,3163944#0,5923896#3,29169#-0,01148508#0,5718092#3,347491#0,1583645#0,356418#3,353832#0,1504576#0,2909057#3,322671#0,2216584#0,2211337#3,309116#0,07370184#0,2118712#3,325008#0,2047666#-0,2453733#3,064012#0,08673719#-0,2685622#3,499545#0,2040625#-0,6046745#2,927766#0,1604331#-0,483612#3,142771#0,173891#-0,6658386#2,882977#0,1473293#-0,5227976#3,069385#1  
frame5 #0,1283724#0,8995762#3,299335#0,1665559#0,7014153#3,340657# 0,3692512#0,1475852#3,196746#0,1612164#0,4523253#3,092137#0,3558242#0,1907028#3,228131#0,1071426#0,4429176#3,122792#0,4300757#0,3937189#3,376722#-0,05507885#0,4146947#3,227775#0,3150989#0,5924186#3,291116#-0,01240353#0,5719587#3,348284#0,1582703#0,3576115#3,35383#0,1500519#0,2920927#3,322675#0,2208298#0,2226758#3,309156#0,07314807#0,213427#3,324927#0,2047802#-0,2456497#3,064201#0,08683799#-0,2699178#3,500395#0,204537#-0,6051329#2,927267#0,161156#-0,4846447#3,144033#0,1728739#-0,6661112#2,881169#0,1478412#-0,5234438#3,071361#1  
frame6 #0,1280231#0,8992172#3,29979#0,1666028#0,7014462#3,340671# 0,3752888#0,1480303#3,193969#0,1625735#0,4526403#3,089915#0,3545177#0,189719#3,231356#0,108821#0,4436253#3,121112#0,4287452#0,3943241#3,377029#-0,05243635#0,4165804#3,227718#0,3142156#0,5928079#3,290961#-0,01276963#0,5731226#3,350302#0,1584832#0,3577015#3,353758#0,1500593#0,2921913#3,322675#0,2207528#0,2228734#3,309248#0,07325924#0,2137827#3,324833#0,2057918#-0,2455302#3,065646#0,08934316#-0,2727357#3,504368#0,2046323#-0,6050153#2,927412#0,1639365#-0,4834102#3,145984#0,1730122#-0,6661749#2,881114#0,1500538#-0,5224109#3,073013#1  
frame7 #0,1274861#0,9014544#3,301479#0,1668977#0,7033159#3,342853# 0,3731519#0,1462681#3,190596#0,165613#0,4948255#3,148497#0,3554318#0,1891125#3,231906#0,1122679#0,4659222#3,135267#0,4284966#0,3945444#3,37699#-0,05155607#0,416115#3,226909#0,313722#0,5930232#3,291146#-0,01347795#0,5726863#3,350126#0,1581933#0,3579226#3,354379#0,149721#0,2924094#3,323005#0,220264#0,2232567#3,309594#0,07289272#0,2138796#3,324987#0,2062649#-0,2469823#3,066536#0,09040213#-0,2742583#3,504563#0,2045199#-0,6049839#2,927472#0,1589128#-0,4868364#3,145932#0,1730242#-0,6662465#2,881216#0,1451897#-0,5254619#3,073498#1  
frame8 #0,1273222#0,9016855#3,301794#0,1666385#0,7036005#3,342776# 0,4083043#0,185548#3,198637#0,1660934#0,4880821#3,111337#0,3576021#0,1967286#3,235111#0,1113696#0,4698815#3,136276#0,4294008#0,4014723#3,382171#-0,05280181#0,4152798#3,224127#0,3129636#0,5932757#3,29128#-0,01349692#0,5735338#3,351173#0,1582117#0,3580147#3,354649#0,1496325#0,292448#3,323228#0,2200338#0,2233613#3,310028#0,07292213#0,2140997#3,32526#0,2069075#-0,2471751#3,068311#0,09084777#-0,27441#3,505392#0,2048004#-0,6030891#2,927722#0,1543176#-0,4864088#3,145416#0,1729978#-0,6663281#2,881041#0,1405544#-0,5245506#3,073953#1  
frame9 #0,12755#0,9014655#3,301395#0,1660789#0,7051932#3,345329# 0,3325374#0,1285835#3,192272#0,1659323#0,485349#3,112262#0,3568162#0,1970414#3,236529#0,1108766#0,4680005#3,137167#0,4296528#0,4024154#3,382298#-0,05429058#0,4159551#3,224882#0,3120152#0,5935483#3,290741#-0,01462047#0,574034#3,35295#0,1584352#0,3622378#3,355407#0,1496591#0,2977474#3,323128#0,2200877#0,2289178#3,30985#0,07325979#0,2202103#3,323663#0,2077523#-0,2472536#3,070668#0,09080587#-0,2744298#3,5052#0,2050854#-0,6031027#2,927722#0,1602388#-0,4880345#3,147223#0,173361#-0,6663225#2,881002#0,1459824#-0,5259497#3,076048#1  
frame10 #0,126185#0,9020781#3,301372#0,1658053#0,7059754#3,345135# 0,3275071#0,1289625#3,196578#0,1669626#0,482394#3,110493#0,3530393#0,1982419#3,238852#0,1116931#0,4657065#3,13542#0,4296358#0,4060799#3,378654#-0,05411546#0,415644#3,223181#0,3100621#0,5940289#3,291622#-0,0148436#0,5754365#3,354146#0,1585398#0,3624823#3,355544#0,1496683#0,2978796#3,322971#0,2200568#0,2294142#3,309762#0,07339009#0,2204539#3,32345#0,2092912#-0,246518#3,073865#0,09079669#-0,2747848#3,505466#0,204586#-0,6037338#2,926587#0,1592118#-0,4883493#3,147271#0,1736063#-0,6663244#2,881459#0,1449009#-0,5260902#3,076458#1  
frame11 #0,1258514#0,9021064#3,301753#0,1647851#0,7064651#3,346125# 0,3247788#0,1275745#3,20013#0,1688964#0,4836681#3,111721#0,3508695#0,1972665#3,24157#0,1131#0,4661435#3,135027#0,4291417#0,4063427#3,378846#-0,05428909#0,4135697#3,2179#0,3097543#0,5944926#3,292171#-0,01562419#0,5750952#3,354856#0,1585513#0,3633067#3,355965#0,1497214#0,2988638#3,322871#0,2204055#0,2303553#3,309855#0,07346859#0,2213116#3,322849#0,2094745#-0,2471054#3,074538#0,09092533#-0,2746042#3,50538#0,2047349#-0,6032828#2,927737#0,1589336#-0,4897457#3,148046#0,1739192#-0,6657808#2,880588#0,1446525#-0,5272624#3,077592#1  
