frame1 #0,2550685#0,9270047#3,86884#0,3356061#0,7390022#3,837284# 0,7164274#0,1757114#3,576824#-0,2798453#0,3473592#3,711226#0,7031513#0,2367817#3,556892#-0,2327064#0,3846296#3,737531#0,6870461#0,4513664#3,622913#0,0439007#0,4620832#3,669452#0,4448952#0,6110236#3,726051#0,2275373#0,5849563#3,707029#0,3834395#0,3171912#3,756209#0,3958161#0,2560593#3,679796#0,4506627#0,2142718#3,675809#0,3528516#0,2025416#3,649681#0,3680116#-0,2124336#3,632143#0,3206982#-0,2356275#3,591617#0,6570216#-0,536405#3,490222#0,3416686#-0,5595657#3,628103#0,6024621#-0,6188416#3,491747#0,3232554#-0,6020235#3,571549#1  
frame2 #0,2696772#0,9244575#3,855685#0,336585#0,7391025#3,827191# 0,7372973#0,2103453#3,526671#-0,262284#0,3742256#3,735177#0,7240211#0,2751099#3,553673#-0,2067949#0,3786411#3,718853#0,6841925#0,469404#3,648252#0,05295414#0,46797#3,658258#0,4455735#0,6114794#3,717872#0,2342584#0,5819007#3,691747#0,3925938#0,3174567#3,748569#0,4103452#0,2555459#3,67403#0,4655206#0,2156663#3,672295#0,3721856#0,2011708#3,644822#0,499135#-0,1426524#3,657355#0,3812537#-0,2515182#3,599356#0,7172972#-0,5133355#3,509576#0,3383813#-0,574813#3,624933#0,6833593#-0,6008157#3,493224#0,3238688#-0,6012139#3,561306#1  
frame3 #0,2742606#0,9296545#3,851166#0,3436148#0,7409559#3,824229# 0,7527856#0,2418319#3,601296#-0,2437646#0,3797827#3,741847#0,7350761#0,2874352#3,571746#-0,1633485#0,3827547#3,7079#0,6855251#0,4745154#3,656747#0,08142948#0,4807999#3,63093#0,5217146#0,6089584#3,737792#0,2851647#0,5856065#3,68145#0,402553#0,3375284#3,752458#0,4277848#0,2822767#3,681653#0,4881354#0,2366693#3,678479#0,3830067#0,2224644#3,650922#0,493644#-0,2755296#3,572335#0,3976912#-0,2497299#3,586101#0,8079293#-0,5290172#3,55157#0,3407417#-0,5569746#3,623924#0,7638559#-0,5858227#3,512741#0,3259096#-0,5994659#3,572901#1  
frame4 #0,3403683#0,9372254#3,807042#0,3553278#0,7412237#3,800218# 0,8321277#0,2400414#3,722557#-0,1416319#0,3735278#3,693443#0,8119991#0,2891868#3,702378#-0,08024635#0,3753433#3,647221#0,6967961#0,4562888#3,681687#0,07929666#0,4439349#3,534968#0,5248762#0,6068518#3,735186#0,2955332#0,5290484#3,655811#0,4158802#0,32563#3,741992#0,444455#0,2617077#3,672119#0,5057604#0,2220474#3,672944#0,4060927#0,1843861#3,637746#0,5247046#-0,2142316#3,571532#0,4548052#-0,1983637#3,590424#0,8332721#-0,4893792#3,611891#0,3470695#-0,5466175#3,615552#0,8681014#-0,5711476#3,612704#0,3317519#-0,5950346#3,572216#1  
frame5 #0,3396157#0,9398686#3,817868#0,3577559#0,7393717#3,799196# 0,8409892#0,2020185#3,702178#-0,1151712#0,3551332#3,683599#0,8398439#0,2568048#3,714671#-0,0539102#0,3591269#3,638728#0,7385681#0,4340104#3,753472#0,09341528#0,4354464#3,524761#0,556792#0,5897763#3,757162#0,3003379#0,5267504#3,634037#0,4329259#0,3201603#3,731587#0,4714438#0,2592593#3,664194#0,5508919#0,2142121#3,663256#0,4268766#0,1854666#3,628621#0,5330897#-0,2606099#3,611024#0,4413673#-0,2497245#3,701831#0,8625755#-0,5189006#3,626148#0,3392904#-0,5399541#3,629226#0,8782784#-0,6070366#3,617216#0,3435776#-0,5936817#3,564533#1  
frame6 #0,3060177#0,9116846#3,797173#0,4177147#0,7406682#3,778831# 0,8641357#0,1980245#3,724143#-0,08584242#0,3398319#3,684855#0,8481594#0,2551384#3,730307#-0,03354793#0,3382403#3,656254#0,7432532#0,4326121#3,760759#0,1316808#0,4206364#3,501887#0,5586189#0,5895386#3,755134#0,3565076#0,531529#3,610635#0,4309469#0,3276083#3,730974#0,4739858#0,2621028#3,668151#0,5400033#0,2246956#3,673323#0,4341099#0,197471#3,639102#0,5972187#-0,2894977#3,597792#0,4486903#-0,2445812#3,780235#0,8963376#-0,5485944#3,657932#0,3611851#-0,5138371#3,622199#0,8973746#-0,6283194#3,653066#0,4007702#-0,5496254#3,562999#1  
frame7 #0,3039399#0,880879#3,806019#0,4675661#0,7531711#3,77004# 0,9147632#0,2682397#3,888984#0,005259128#0,3204347#3,628902#0,869364#0,2835872#3,850104#0,03060682#0,3041374#3,592232#0,7474943#0,4290485#3,775261#0,1721125#0,4075788#3,491428#0,5644146#0,5902922#3,748398#0,4063591#0,5440319#3,601843#0,4476613#0,3259199#3,723478#0,4858425#0,2560279#3,667866#0,5395712#0,2240167#3,674092#0,4497558#0,1978516#3,639521#0,5950454#-0,2868078#3,606233#0,4495331#-0,2421908#3,785248#0,8864884#-0,5508647#3,659607#0,3703014#-0,5156595#3,624028#0,8889486#-0,6209116#3,651348#0,3913324#-0,598183#3,587972#1  
frame8 #0,358477#0,9186238#3,761667#0,4651117#0,7438794#3,755753# 0,9650068#0,2930064#3,932336#0,01777121#0,3060189#3,632966#0,9189906#0,3085625#3,892928#0,05201899#0,295087#3,592021#0,767188#0,4157578#3,816067#0,1753309#0,3972211#3,475077#0,5712802#0,5888173#3,743591#0,4039046#0,5347401#3,587556#0,4720334#0,3247488#3,714756#0,5180615#0,2574612#3,660927#0,5616496#0,2273848#3,664378#0,4835121#0,2017126#3,640643#0,5882385#-0,3084171#3,639188#0,4500501#-0,2494727#3,795977#0,8559211#-0,5675592#3,658388#0,3750752#-0,5153599#3,624886#0,904076#-0,602664#3,604629#0,4232301#-0,5504647#3,571127#1  
frame9 #0,3704267#0,919449#3,770116#0,4739339#0,7430688#3,751637# 0,8833501#0,3563592#3,902033#0,1008168#0,2689456#3,602602#0,8379956#0,3716915#3,863191#0,136875#0,2370916#3,570185#0,6782104#0,4776585#3,766076#0,1891777#0,3986346#3,473251#0,5080875#0,5855891#3,607032#0,4127268#0,5339296#3,58344#0,5209413#0,3121503#3,72674#0,5389929#0,2396172#3,663055#0,5624967#0,2268218#3,662572#0,5298375#0,1997346#3,656883#0,6489931#-0,2903882#3,576924#0,4579388#-0,2474305#3,797803#0,8406535#-0,4895915#3,668597#0,3873356#-0,5196536#3,625679#0,8671592#-0,5785118#3,666713#0,4250313#-0,5787356#3,564841#1  
frame10 #0,4225935#0,9055062#3,74279#0,5276084#0,7300844#3,725412# 0,2928984#0,2366581#3,51849#0,3566447#0,1506147#3,517855#0,3334844#0,278998#3,501566#0,3273277#0,2088133#3,496445#0,4860332#0,3784437#3,419575#0,2393765#0,383409#3,446056#0,5653855#0,5715872#3,568024#0,4664013#0,5209452#3,557215#0,5944245#0,2715521#3,717793#0,6095923#0,1898145#3,65642#0,6450217#0,16733#3,610296#0,5855591#0,1371992#3,691029#0,6965815#-0,2964832#3,551859#0,4558863#-0,2630193#3,786254#0,8843238#-0,5842845#3,668864#0,4441442#-0,535508#3,635601#0,8676084#-0,651606#3,661839#0,4467768#-0,5730222#3,562706#1  
frame11 #0,4334223#0,9034111#3,745767#0,5399443#0,7269633#3,721443# 0,3704938#0,2504253#3,485489#0,5072976#0,2490625#3,728153#0,4449591#0,2736959#3,483579#0,4560019#0,2899749#3,595333#0,5956003#0,3902482#3,415552#0,2499461#0,3792178#3,441118#0,5720078#0,5699199#3,568233#0,4787373#0,5178241#3,553246#0,606904#0,2808434#3,718898#0,6259755#0,2027373#3,659175#0,6589931#0,1617291#3,598383#0,6175468#0,1354667#3,709172#0,7113031#-0,3056076#3,550288#0,4636874#-0,2649704#3,782823#0,8813922#-0,5752733#3,662045#0,4773298#-0,5536512#3,634743#0,8638017#-0,6436106#3,654372#0,4834277#-0,5918052#3,560713#1  
frame12 #0,4647889#0,9123499#3,749738#0,5660225#0,7326751#3,730181# 0,4566878#0,2286254#3,466276#0,5882337#0,2270553#3,511385#0,509336#0,2541139#3,482216#0,5096636#0,2662102#3,492177#0,6749507#0,416821#3,389656#0,2739534#0,3836751#3,448736#0,5883341#0,5723915#3,572775#0,5048154#0,5235359#3,561984#0,62611#0,2883623#3,722657#0,6403058#0,2097518#3,66193#0,6767836#0,1891071#3,63113#0,6345541#0,1729635#3,683255#0,7487006#-0,2802588#3,53884#0,470725#-0,2677435#3,776287#0,8812248#-0,5751272#3,662674#0,4837036#-0,5615373#3,641843#0,8633584#-0,6443661#3,654279#0,5116767#-0,6278127#3,644805#1  
frame13 #0,519907#0,888687#3,73153#0,6256164#0,7106552#3,719959# 0,6089564#0,2293657#3,457302#0,6694065#0,1928939#3,475701#0,6612255#0,2546707#3,473127#0,5849454#0,2347836#3,462616#0,8319197#0,4124207#3,412643#0,3315624#0,3604527#3,437626#0,6859128#0,5650639#3,564224#0,5644093#0,501516#3,551762#0,6821916#0,3219163#3,723746#0,6948667#0,2539169#3,665015#0,7296968#0,2019133#3,612589#0,6767939#0,1897422#3,699583#0,7946535#-0,2540801#3,53685#0,4915505#-0,2076082#3,756374#0,8825175#-0,5753829#3,663445#0,5017092#-0,5877612#3,662746#0,8625966#-0,6459018#3,660726#0,5039192#-0,6272368#3,58607#1  
frame14 #0,5492305#0,8918282#3,729734#0,6482676#0,7159397#3,715726# 0,8264509#0,2896267#3,478444#0,7096079#0,2745266#3,741089#0,8551353#0,2800081#3,480646#0,6238451#0,3161576#3,727627#0,9632677#0,4640456#3,491086#0,3665566#0,4410509#3,70153#0,7570899#0,5766119#3,57134#0,6020873#0,58374#3,816715#0,7461056#0,3505245#3,710666#0,7122634#0,2740589#3,679745#0,7511709#0,2166567#3,624907#0,6898083#0,2026899#3,720776#0,806785#-0,2397344#3,542738#0,492884#-0,1855127#3,746376#0,8845016#-0,5768619#3,665243#0,499392#-0,5307022#3,665504#0,8671134#-0,649591#3,665333#0,53306#-0,5971171#3,67239#1  
