frame1 #-0,05457202#1,094261#3,976543#-0,04005237#0,8739263#3,831478# 0,03222224#0,4891693#3,214118#-0,8298691#0,4983478#3,874856#0,06282926#0,4821021#3,293343#-0,7293835#0,4952101#3,846865#0,1546503#0,4609003#3,547353#-0,4944324#0,5679933#3,793404#0,05973438#0,6826965#3,664079#-0,1903835#0,6999957#3,726535#-0,04323786#0,4172393#3,790255#-0,05980546#0,34337#3,717367#-0,005632795#0,2829691#3,689035#-0,1181858#0,2907537#3,717913#0,1245314#-0,2058493#3,656006#-0,2587836#-0,189103#3,660298#0,2820892#-0,5582998#3,645651#-0,388348#-0,5643605#3,621802#0,2588645#-0,6103724#3,547589#-0,4514255#-0,6317201#3,649738#1  
frame2 #0,03417094#1,073848#3,990962#-0,03910436#0,8734828#3,830546# 0,04782378#0,7556502#3,385272#-0,8408532#0,490751#3,858511#0,07416081#0,6830168#3,421798#-0,7394977#0,4971991#3,817587#0,1531719#0,4651169#3,547709#-0,4961654#0,5671765#3,793626#0,05376026#0,6866442#3,667299#-0,1912211#0,6989276#3,726048#-0,04332579#0,4170375#3,789968#-0,05970784#0,3431637#3,717082#-0,005755676#0,2832844#3,688953#-0,1178124#0,2903268#3,717427#0,1245778#-0,2058365#3,656015#-0,2591776#-0,1912617#3,660239#0,282315#-0,5606445#3,647089#-0,3853013#-0,5647772#3,625881#0,2628319#-0,605266#3,562949#-0,458354#-0,6260082#3,661339#1  
frame3 #-0,1486654#1,080239#3,881239#-0,03741878#0,8685558#3,824858# 0,004695687#0,6842256#3,349401#-0,8244473#0,5008022#3,859842#0,043084#0,6238282#3,394228#-0,7412041#0,5077347#3,866242#0,1582489#0,4426358#3,544997#-0,4933627#0,5680817#3,791767#0,08501896#0,6732648#3,651979#-0,1915814#0,6974116#3,725373#-0,04227985#0,4176166#3,789325#-0,05961766#0,3437312#3,716722#-0,004526495#0,2828586#3,688721#-0,119137#0,2901639#3,716611#0,127078#-0,2088524#3,656207#-0,2605771#-0,1944506#3,661409#0,2823427#-0,5612665#3,646364#-0,3859133#-0,5638053#3,625461#0,262746#-0,6030597#3,567678#-0,4442817#-0,6281599#3,660975#1  
frame4 #-0,0761966#1,081742#3,948676#-0,03372701#0,8614703#3,81883# 0,007871158#0,615025#3,27695#-0,833253#0,5011597#3,862662#0,04441918#0,5746798#3,341137#-0,7595945#0,5130272#3,881471#0,1540632#0,4536442#3,549902#-0,4917251#0,5692838#3,788065#0,07589349#0,6824322#3,65449#-0,1918635#0,6967838#3,72451#-0,04144677#0,4176858#3,788331#-0,05934753#0,3438487#3,716121#-0,00410791#0,2832153#3,688288#-0,119059#0,2899287#3,716027#0,1268139#-0,2085911#3,655574#-0,2607017#-0,1951193#3,660971#0,2842831#-0,5653132#3,648273#-0,3891303#-0,5703571#3,630463#0,263288#-0,6091896#3,565631#-0,4502059#-0,6230085#3,64236#1  
frame5 #-0,08284002#1,085409#3,940602#-0,03173478#0,8635895#3,819983# 0,1333035#0,7487792#3,357881#-0,8279649#0,5028309#3,866329#0,1378417#0,6765375#3,401345#-0,7527721#0,5136666#3,877977#0,1514563#0,4598123#3,547884#-0,4923763#0,5687976#3,788681#0,05741661#0,6901201#3,664017#-0,1918867#0,6968727#3,724277#-0,04208766#0,4175883#3,78796#-0,05935413#0,3439004#3,715672#-0,004872863#0,2841986#3,68754#-0,1189583#0,2900068#3,715671#0,1265244#-0,20857#3,655014#-0,2605996#-0,1959223#3,660559#0,2821274#-0,5656589#3,647798#-0,3904707#-0,5715073#3,630409#0,2615873#-0,6110103#3,562183#-0,4543914#-0,6253045#3,640739#1  
frame6 #-0,1008313#1,09403#3,931751#-0,03322779#0,8721522#3,826144# 0,1022603#0,7953074#3,49099#-0,8280429#0,5026069#3,866122#0,1144878#0,7122616#3,50085#-0,7485573#0,5120981#3,87587#0,1511703#0,4631242#3,546573#-0,4923782#0,5687763#3,788426#0,05258708#0,6865016#3,665301#-0,1917537#0,6967364#3,724252#-0,04231316#0,417433#3,78768#-0,05931708#0,3440183#3,715321#-0,005412148#0,2850244#3,687585#-0,1178208#0,2914764#3,714163#0,1266309#-0,2089777#3,654787#-0,2607445#-0,1963332#3,660662#0,2826403#-0,5650837#3,64667#-0,3837473#-0,5648993#3,622526#0,2620459#-0,6114948#3,55917#-0,4475991#-0,6193436#3,64132#1  
frame7 #-0,2017759#1,032975#3,880502#-0,02799603#0,8692524#3,823855# 0,08563229#0,803378#3,528636#-0,824334#0,501523#3,853931#0,1038466#0,7213003#3,523139#-0,7503775#0,5116155#3,875206#0,1584894#0,4750671#3,5228#-0,4925499#0,5686802#3,788148#0,05911517#0,6821256#3,660047#-0,1916215#0,6968956#3,724208#-0,04115492#0,4174607#3,787168#-0,05912529#0,3441125#3,715185#-0,005233522#0,2848211#3,687516#-0,1178689#0,2915263#3,714118#0,1258094#-0,2077972#3,654541#-0,2608027#-0,198107#3,660352#0,2834799#-0,5654722#3,646706#-0,3826858#-0,5634856#3,62187#0,2616709#-0,6125516#3,558138#-0,4430975#-0,6223972#3,646187#1  
frame8 #-0,1045188#1,072622#3,980924#-0,02739997#0,8732585#3,826273# 0,0893652#0,784585#3,396466#-0,8249516#0,5017596#3,855962#0,1060264#0,7074447#3,425528#-0,7512109#0,5110583#3,874485#0,1560099#0,4760238#3,528882#-0,4914139#0,5701996#3,789893#0,05391168#0,6831499#3,662257#-0,1916737#0,697041#3,724349#-0,04120221#0,417268#3,787266#-0,05903825#0,3438021#3,715256#-0,005432854#0,2847695#3,687781#-0,1176072#0,2914529#3,714203#0,1259135#-0,2081948#3,654646#-0,260646#-0,1977629#3,660576#0,2822013#-0,5656564#3,646506#-0,38274#-0,5641801#3,623225#0,2780791#-0,6525497#3,631673#-0,4396078#-0,6259373#3,650419#1  
frame9 #-0,1125455#1,075353#3,961512#-0,02787355#0,8705629#3,824392# 0,08365197#0,7836502#3,431018#-0,8252113#0,5017294#3,856771#0,1022956#0,704291#3,450099#-0,7435395#0,5037158#3,857171#0,1582263#0,4662136#3,523514#-0,4906625#0,5685791#3,783082#0,08059541#0,6827874#3,656028#-0,191714#0,6970086#3,724307#-0,04112532#0,4180113#3,786958#-0,05896292#0,3451928#3,71498#-0,004476367#0,2849735#3,687759#-0,1191485#0,2916152#3,713362#0,1259446#-0,2081039#3,65463#-0,2607946#-0,1976945#3,660328#0,2827742#-0,5652987#3,647408#-0,382273#-0,5626729#3,62368#0,2775523#-0,6526461#3,631097#-0,4377577#-0,6266347#3,651125#1  
frame10 #0,02343332#1,069665#3,977456#-0,02928085#0,8649336#3,818182# 0,1110901#0,7589533#3,38772#-0,8273546#0,5026734#3,862872#0,1220896#0,6834233#3,421638#-0,7458705#0,5075479#3,865268#0,1550881#0,4568331#3,539532#-0,4918719#0,567556#3,785282#0,08172826#0,6816976#3,653918#-0,1923001#0,6955075#3,723607#-0,04084547#0,4192778#3,786297#-0,05898414#0,346967#3,714576#-0,003648051#0,2862431#3,687246#-0,1199269#0,2915062#3,71321#0,1251909#-0,2066446#3,65492#-0,2607226#-0,1977679#3,660019#0,2829441#-0,5656282#3,647726#-0,3820664#-0,5600941#3,625177#0,236628#-0,6269324#3,601474#-0,4388143#-0,6273317#3,656647#1  
frame11 #-0,07356404#1,091962#3,921496#-0,02925576#0,8646441#3,817976# 0,07910115#0,5247384#3,205852#-0,8273768#0,5026672#3,862821#0,09702833#0,5105547#3,286199#-0,7493522#0,5104645#3,873852#0,1508099#0,4680033#3,54334#-0,4920828#0,5672541#3,785004#0,06495517#0,6874399#3,663365#-0,1924561#0,6952215#3,723433#-0,04174446#0,4193456#3,786213#-0,0590776#0,3471339#3,714375#-0,004135146#0,2874602#3,686848#-0,1200534#0,2915738#3,713368#0,1251828#-0,2066388#3,654734#-0,2609525#-0,1980366#3,660073#0,28393#-0,5690414#3,650968#-0,3382497#-0,5424529#3,618182#0,2285773#-0,6206558#3,604551#-0,4242594#-0,6167151#3,657119#1  
frame12 #-0,1042338#1,08024#3,937596#-0,0294269#0,8649988#3,817818# 0,1503997#0,7532111#3,351201#-0,8316549#0,5030754#3,864674#0,1514501#0,6824219#3,395417#-0,7402705#0,5031104#3,851518#0,1546015#0,4700545#3,544168#-0,4922337#0,5672557#3,784005#0,05828084#0,6836693#3,664074#-0,1924251#0,6952944#3,723407#-0,04208121#0,4189017#3,785632#-0,059523#0,3463944#3,713807#-0,005360505#0,2875552#3,686297#-0,1199687#0,2911272#3,713248#0,1417361#-0,25994#3,657226#-0,2609577#-0,1981119#3,659901#0,2844482#-0,5741204#3,649013#-0,3353108#-0,5483202#3,611467#0,2638471#-0,6215552#3,559296#-0,4246435#-0,6176809#3,64876#1  
frame13 #-0,1277523#1,078374#3,905362#-0,03018621#0,8634261#3,81561# 0,08409803#0,7950868#3,517204#-0,8310691#0,5029585#3,864416#0,1012958#0,7135165#3,520407#-0,7432616#0,5040847#3,857857#0,152889#0,4688057#3,546119#-0,4922072#0,5662897#3,777206#0,0572281#0,6835688#3,663537#-0,1931195#0,6946033#3,723227#-0,04220789#0,4185383#3,785#-0,05975341#0,3460114#3,713531#-0,005739034#0,2875077#3,68617#-0,1200069#0,2905323#3,713175#0,1417991#-0,2601111#3,656794#-0,2609172#-0,1984159#3,659905#0,2848905#-0,5734344#3,649146#-0,3914757#-0,5737756#3,627043#0,2638648#-0,6212909#3,558597#-0,4452766#-0,6370746#3,658612#1  
