frame1 #-0,1573153#1,007598#3,834943#0,0289119#0,8747792#3,712877# 0,202305#0,2432753#3,624411#-0,665883#0,5026814#3,699035#0,2258545#0,305341#3,594317#-0,5888158#0,4933017#3,680917#0,296503#0,4915382#3,520133#-0,3135886#0,5139557#3,590527#0,1387679#0,6929168#3,587724#-0,1201565#0,6803475#3,599297#0,01879342#0,4241923#3,691623#0,01294189#0,3485033#3,621333#0,06945162#0,2937195#3,601865#-0,04706433#0,2880633#3,617234#0,1763251#-0,1699709#3,586376#-0,1533189#-0,2062885#3,550191#0,3009262#-0,530696#3,539572#-0,274288#-0,5994435#3,535714#0,2956775#-0,5824009#3,439021#-0,2500356#-0,6877122#3,506104#1  
frame2 #-0,0674004#1,068406#3,875795#0,02526646#0,8817757#3,72111# 0,2178602#0,240556#3,59238#-0,6862639#0,5011453#3,7092#0,2372856#0,3078645#3,572299#-0,5869799#0,4938217#3,68041#0,2955615#0,5097898#3,528254#-0,3119078#0,5174593#3,590445#0,1203856#0,701067#3,591675#-0,1210898#0,682193#3,600088#0,01851871#0,4234684#3,6923#0,01292637#0,3480932#3,621947#0,06897997#0,2939028#3,602513#-0,04628951#0,2880802#3,617811#0,1767678#-0,1704355#3,587326#-0,1521098#-0,1913235#3,551996#0,3012344#-0,5307332#3,540707#-0,2446181#-0,5702595#3,504964#0,2964266#-0,5811147#3,442857#-0,2494259#-0,6206409#3,407115#1  
frame3 #-0,06461628#1,073614#3,876558#0,02419913#0,8816741#3,722042# 0,2151139#0,235715#3,594871#-0,6708901#0,5000439#3,710906#0,2350796#0,3029045#3,574148#-0,5826067#0,4803446#3,691054#0,294977#0,504473#3,528288#-0,3121829#0,5178394#3,591269#0,1192759#0,7006215#3,592283#-0,1211442#0,6835558#3,601974#0,01865505#0,4213472#3,693765#0,01334601#0,344502#3,623256#0,06857069#0,2920344#3,603449#-0,04448001#0,2862432#3,6196#0,1767343#-0,1700121#3,588381#-0,153393#-0,1947602#3,552407#0,3029142#-0,5310975#3,5409#-0,2472914#-0,586942#3,515967#0,2976618#-0,5820185#3,441994#-0,2525438#-0,637863#3,417061#1  
frame4 #-0,05812121#1,077439#3,875421#0,02119491#0,8829952#3,725982# 0,2204011#0,2385617#3,591898#-0,6604171#0,4980353#3,712906#0,2388401#0,3060898#3,57196#-0,574277#0,4800612#3,692639#0,2941571#0,5086743#3,528524#-0,3125725#0,5173405#3,591067#0,1268116#0,6966408#3,593096#-0,1219222#0,6828488#3,602905#0,01853175#0,4206752#3,695276#0,01379603#0,3438729#3,624399#0,07028395#0,2902936#3,605005#-0,04420464#0,2851426#3,620409#0,1771533#-0,1693569#3,589419#-0,1524451#-0,1899719#3,554214#0,3099369#-0,5436554#3,545552#-0,2468262#-0,5809677#3,514573#0,3051756#-0,5938126#3,448172#-0,2515874#-0,6311249#3,417193#1  
frame5 #-0,0544048#1,080615#3,874878#0,01791896#0,8850426#3,726235# 0,2222979#0,2410166#3,595206#-0,6667569#0,4994712#3,71473#0,2401317#0,3080497#3,57391#-0,5790477#0,4812405#3,695565#0,2936331#0,509149#3,526437#-0,3127244#0,5174789#3,591586#0,1260178#0,6967145#3,593196#-0,1221995#0,6811522#3,603606#0,0185012#0,4205044#3,695935#0,01376506#0,3433478#3,624929#0,07022439#0,2902655#3,605283#-0,04366479#0,2841362#3,621425#0,177703#-0,1685092#3,59017#-0,1509737#-0,1941552#3,555048#0,2879505#-0,5203848#3,543129#-0,2462508#-0,583435#3,521371#0,2828201#-0,5701588#3,446488#-0,2513812#-0,633209#3,424729#1  
frame6 #-0,05058383#1,085945#3,878112#0,0167769#0,8879117#3,728828# 0,2203397#0,2409765#3,598434#-0,6792903#0,5015079#3,722466#0,2387374#0,3073687#3,576179#-0,580162#0,4867905#3,696172#0,2939304#0,5065454#3,525854#-0,3133669#0,5166242#3,593104#0,130997#0,6928943#3,593548#-0,1215333#0,6841424#3,606831#0,01915392#0,420822#3,696856#0,01440334#0,343554#3,625511#0,07179013#0,2894964#3,606621#-0,0430548#0,2847832#3,621381#0,1786643#-0,1666844#3,591801#-0,1507756#-0,1935622#3,555713#0,3030783#-0,5357615#3,538361#-0,2488891#-0,58003#3,518945#0,2974593#-0,5857341#3,441406#-0,254508#-0,6300026#3,421989#1  
frame7 #-0,1601387#1,017523#3,851918#0,01656829#0,8876836#3,729445# 0,2237446#0,2396721#3,595579#-0,6763572#0,4998374#3,729612#0,2413729#0,3064138#3,574108#-0,5816598#0,4838785#3,698494#0,2942578#0,506639#3,526151#-0,3152617#0,5153917#3,596055#0,1323709#0,6913429#3,593887#-0,1212373#0,6835535#3,607364#0,01912224#0,4210958#3,697718#0,01453389#0,3438493#3,626083#0,07195643#0,2896212#3,607128#-0,04297647#0,2850741#3,621663#0,1790182#-0,1663003#3,592204#-0,1503436#-0,1986057#3,556286#0,3126527#-0,5405797#3,541784#-0,2485253#-0,581351#3,521987#0,3070845#-0,590392#3,445142#-0,2540935#-0,6311634#3,425345#1  
frame8 #-0,1600968#1,018923#3,848984#0,01654972#0,887609#3,732909# 0,219393#0,2364319#3,583616#-0,6760433#0,4990759#3,729518#0,2388103#0,3036055#3,565281#-0,5796753#0,4773334#3,699965#0,297062#0,5051264#3,526779#-0,3148855#0,5156203#3,596029#0,1334428#0,6911879#3,595108#-0,1199506#0,6860284#3,60869#0,02041687#0,4188479#3,700235#0,01664844#0,3408259#3,628221#0,0745863#0,2851804#3,609882#-0,04113343#0,2834579#3,622729#0,1794453#-0,1653425#3,593483#-0,1505498#-0,2008358#3,556867#0,3126927#-0,5398353#3,541821#-0,2490913#-0,5820768#3,521584#0,3073356#-0,5893945#3,445678#-0,2544484#-0,631636#3,425442#1  
frame9 #-0,06409093#1,0758#3,88519#0,01614275#0,8867592#3,732407# 0,2198502#0,236625#3,584799#-0,6683903#0,4965904#3,724881#0,2391983#0,303784#3,566141#-0,5819377#0,4732639#3,698085#0,2972426#0,5052608#3,526701#-0,3153581#0,5158497#3,599177#0,1305876#0,6922904#3,596815#-0,120148#0,6862977#3,609292#0,02021901#0,417679#3,700763#0,01678796#0,339369#3,62868#0,07437207#0,2845148#3,610237#-0,04046639#0,2822959#3,623395#0,1802512#-0,1647919#3,594487#-0,1505917#-0,2023983#3,557454#0,3119491#-0,5382116#3,5416#-0,260171#-0,5910943#3,532253#0,306904#-0,5877486#3,445447#-0,2652161#-0,6406313#3,4361#1  
frame10 #-0,06352716#1,078728#3,882962#0,01608967#0,8868155#3,733096# 0,2115764#0,2779328#3,667169#-0,669898#0,4919169#3,713708#0,2329644#0,3349795#3,628188#-0,5818477#0,4732659#3,698828#0,2971283#0,5061198#3,527813#-0,3153887#0,5160752#3,599864#0,1332725#0,6911461#3,597063#-0,1202113#0,686301#3,609522#0,02047404#0,4181883#3,701903#0,01728429#0,3399889#3,629645#0,07460341#0,2846102#3,610344#-0,03964764#0,2825026#3,625422#0,1805505#-0,1645108#3,594917#-0,1487251#-0,1895673#3,56101#0,2911848#-0,5203901#3,540071#-0,2554119#-0,5800892#3,522088#0,2862896#-0,5701025#3,443563#-0,2603071#-0,6298016#3,42558#1  
frame11 #0,04904895#1,088454#3,884254#0,01570011#0,8871064#3,73252# 0,2224662#0,2336313#3,580505#-0,6576796#0,4887386#3,709809#0,2412751#0,301232#3,562909#-0,5682433#0,4687743#3,687591#0,2977018#0,5040342#3,526373#-0,3163104#0,5139391#3,604264#0,1315228#0,6873562#3,594677#-0,1206538#0,6852626#3,608493#0,02032642#0,4120591#3,701323#0,0171509#0,3306396#3,628597#0,07345665#0,2755287#3,609878#-0,0387074#0,2745448#3,623496#0,183446#-0,1669006#3,594755#-0,1512524#-0,1932076#3,559264#0,2946548#-0,5210782#3,539531#-0,2525334#-0,5811452#3,522397#0,2894776#-0,5703263#3,443887#-0,2577106#-0,6303932#3,426754#1  
frame12 #0,1031228#1,049187#3,917321#0,01652187#0,8885703#3,73438# 0,221025#0,2337209#3,582976#-0,6557172#0,4874489#3,709663#0,2402958#0,3009893#3,564581#-0,5668523#0,4684707#3,686455#0,2981084#0,5027943#3,525387#-0,3161326#0,5138113#3,603063#0,1297538#0,6870313#3,594481#-0,1213516#0,6827105#3,608115#0,02085299#0,4101146#3,700766#0,01759608#0,3285277#3,627789#0,07337627#0,2735674#3,609189#-0,03792697#0,2730514#3,62234#0,1837817#-0,1657737#3,593986#-0,1519259#-0,1912681#3,558155#0,2809548#-0,5042923#3,541344#-0,2491713#-0,5765487#3,520411#0,2758244#-0,5517688#3,449194#-0,2543018#-0,6240252#3,428261#1  
frame13 #0,1221851#1,055107#3,908708#0,01741376#0,8919616#3,741318# 0,237628#0,3111785#3,719975#-0,6557431#0,4868876#3,709558#0,2527564#0,3584149#3,6673#-0,5662439#0,4677358#3,685931#0,2981416#0,500124#3,525416#-0,3163985#0,513316#3,603858#0,1286038#0,6859123#3,595506#-0,1227284#0,6791756#3,609721#0,02153784#0,4071344#3,702411#0,01806907#0,324815#3,629025#0,07329707#0,2702397#3,610964#-0,03689963#0,2691341#3,622447#0,1841533#-0,166554#3,594856#-0,1523149#-0,1906769#3,559568#0,2903858#-0,512907#3,539#-0,2472567#-0,5750469#3,520886#0,2847949#-0,5606477#3,446501#-0,2528475#-0,6227875#3,428388#1  
