frame1 #0,2785517#0,9595161#3,807709#0,4197994#0,7774057#3,712686# 0,8691179#0,2455099#3,548047#-0,1687929#0,239923#3,63681#0,8357217#0,3019412#3,506099#-0,09272248#0,2795439#3,619341#0,7288224#0,4653727#3,424831#0,1075277#0,4207162#3,542146#0,5599364#0,6368963#3,576688#0,28444#0,593843#3,579455#0,4455959#0,2963567#3,591043#0,4452584#0,230659#3,498517#0,5099398#0,1824757#3,478724#0,3859664#0,1631018#3,469214#0,5574476#-0,261386#3,554389#0,2996337#-0,2462417#3,452155#0,3979713#-0,6211802#3,29999#0,3609229#-0,6188408#3,298789#0,2794486#-0,6596282#3,324885#0,4503111#-0,6467654#3,291678#1  
frame2 #0,2818513#0,9623843#3,814597#0,4201647#0,7778212#3,711684# 0,9173064#0,2625867#3,583321#-0,1275119#0,2147461#3,591855#0,8588492#0,3079404#3,512876#-0,04968876#0,2746975#3,563819#0,7361116#0,463743#3,437151#0,1109814#0,4164341#3,534966#0,5602832#0,6364645#3,576564#0,2863598#0,5930263#3,578158#0,4475218#0,2964718#3,590987#0,4481139#0,2305004#3,498663#0,5126672#0,1825076#3,479023#0,3899956#0,163189#3,469935#0,5398222#-0,2405388#3,540272#0,4465953#-0,2706902#3,513664#0,5101116#-0,6075058#3,319595#0,4389681#-0,6006392#3,333216#0,409749#-0,6537773#3,30494#0,3406714#-0,67141#3,384402#1  
frame3 #0,2823425#0,9657826#3,799133#0,4222336#0,77851#3,706898# 0,9401544#0,2768937#3,584249#-0,04572086#0,2367055#3,599045#0,8711158#0,2978727#3,511279#-0,01966132#0,2681403#3,562531#0,7446312#0,4616821#3,457801#0,1250824#0,4081321#3,494491#0,56319#0,6342943#3,575363#0,2908453#0,5890116#3,571094#0,4563882#0,3016697#3,590997#0,4609133#0,2368989#3,500028#0,5274783#0,1894101#3,480783#0,4041008#0,1694126#3,472447#0,5332671#-0,1701297#3,489959#0,4680731#-0,2540459#3,522506#0,5663261#-0,5850737#3,353259#0,4579595#-0,5889722#3,429022#0,4932218#-0,6474108#3,334774#0,4533#-0,6480721#3,330362#1  
frame4 #0,2715254#0,9535054#3,735845#0,4260872#0,7775279#3,702133# 0,9660261#0,3125845#3,630641#-0,0006566346#0,2065374#3,567024#0,8984717#0,313625#3,554623#0,05209045#0,2728069#3,510726#0,7629758#0,4524142#3,477307#0,1721892#0,4359713#3,453613#0,5635058#0,6332785#3,575025#0,305702#0,5901734#3,558872#0,4602963#0,3039401#3,591111#0,4677698#0,2393579#3,500814#0,532529#0,1926581#3,486334#0,4159021#0,1752973#3,470159#0,5371251#-0,1609931#3,498023#0,4731169#-0,2416348#3,51495#0,6679221#-0,5817493#3,364238#0,4594041#-0,5802471#3,461795#0,6343436#-0,6681955#3,33787#0,4437662#-0,6612483#3,411895#1  
frame5 #0,2836057#0,9617524#3,728322#0,4276612#0,7803872#3,701238# 0,991899#0,395929#3,690408#0,06493012#0,2078536#3,526814#0,9304308#0,4140532#3,611244#0,0996336#0,2682251#3,498208#0,7687187#0,4304859#3,488852#0,1930741#0,43654#3,421282#0,5656471#0,6309782#3,57461#0,3164016#0,5871963#3,545022#0,4689255#0,3188021#3,595789#0,4816079#0,2569591#3,507061#0,5450765#0,2127256#3,499141#0,4312981#0,1941013#3,472407#0,5290408#-0,2446122#3,472171#0,4683135#-0,2441668#3,460722#0,7238132#-0,5841765#3,386079#0,4615251#-0,5767365#3,472472#0,6469038#-0,6279561#3,350861#0,493265#-0,6643299#3,452673#1  
frame6 #0,278256#0,9524462#3,742319#0,4394675#0,7847637#3,688455# 1,028534#0,4280291#3,736041#0,1262741#0,2028684#3,528436#0,969185#0,4295701#3,695969#0,1599661#0,2669474#3,496129#0,7707981#0,4365422#3,502925#0,2377738#0,4505038#3,397442#0,5665487#0,6310635#3,575831#0,3242791#0,6241931#3,521018#0,4671262#0,321927#3,594692#0,4890742#0,2582854#3,508293#0,5518175#0,2102329#3,503441#0,4399116#0,1986775#3,472403#0,6043934#-0,2870955#3,440145#0,4699582#-0,2481813#3,465724#0,8127577#-0,5287201#3,449147#0,4613923#-0,5721633#3,475569#0,7405754#-0,6261353#3,407173#0,4213055#-0,6447632#3,429573#1  
frame7 #0,2969173#0,965611#3,75883#0,4429003#0,7857162#3,686497# 1,01305#0,4516059#3,754014#0,1792287#0,1520644#3,550522#0,9537708#0,4239353#3,68311#0,1969327#0,2045922#3,505667#0,7792648#0,4431214#3,530447#0,2546152#0,3757356#3,376718#0,5674087#0,6319172#3,576944#0,3307286#0,5731981#3,471119#0,4669488#0,3242966#3,592095#0,4960697#0,2604383#3,508329#0,5589101#0,2143344#3,508912#0,4494437#0,1951132#3,465899#0,6235178#-0,2958669#3,445008#0,5156016#-0,2622068#3,487709#0,8329031#-0,5206776#3,472816#0,4614771#-0,5712983#3,476413#0,7689602#-0,6279538#3,444744#0,4270796#-0,6424455#3,424391#1  
frame8 #0,2968007#0,9604862#3,747585#0,4482279#0,7878947#3,677904# 1,031597#0,4636703#3,80355#0,2262997#0,1513685#3,49#0,9743601#0,4339302#3,732155#0,270988#0,2063672#3,484015#0,7968697#0,4602301#3,587088#0,2632076#0,3709914#3,362926#0,5670567#0,6324805#3,575086#0,3273481#0,5777947#3,453688#0,4783724#0,3293272#3,586905#0,5131879#0,2657509#3,505974#0,5749811#0,2206601#3,509061#0,4662761#0,1980448#3,462702#0,6469262#-0,3007858#3,445929#0,52031#-0,2652306#3,485449#0,859939#-0,5869818#3,481987#0,4622687#-0,5669602#3,477416#0,7981618#-0,6508396#3,470167#0,4326924#-0,6334822#3,425128#1  
frame9 #0,3539037#0,9829763#3,691045#0,4711959#0,7838474#3,645598# 1,001881#0,5385931#3,872154#0,3182022#0,1478652#3,480941#0,9686534#0,4976665#3,823553#0,3180136#0,2172055#3,462693#0,7990613#0,4544004#3,606715#0,3171622#0,3759564#3,333346#0,575242#0,6293416#3,572651#0,3352944#0,5842744#3,445344#0,4871527#0,3395138#3,5832#0,5236266#0,2741609#3,50549#0,5843499#0,2258306#3,510993#0,4763886#0,2075911#3,462023#0,6324688#-0,2845237#3,447771#0,5316678#-0,2706521#3,495978#0,8647435#-0,5823749#3,490295#0,4623357#-0,5676805#3,477659#0,8051335#-0,6465236#3,468976#0,4337005#-0,6379994#3,429097#1  
frame10 #0,3499492#0,9797837#3,689864#0,4740791#0,7852269#3,638992# 0,9657785#0,5717589#3,899169#0,3642575#0,1014656#3,418101#0,9294041#0,5271835#3,856162#0,3640686#0,1709309#3,39982#0,8001601#0,4583253#3,61839#0,3185259#0,377158#3,329468#0,5777797#0,6316943#3,569404#0,3417923#0,5897347#3,434321#0,4878286#0,3378751#3,580603#0,525826#0,2709824#3,505293#0,584621#0,2257287#3,509816#0,4817762#0,2009516#3,469494#0,6422745#-0,284728#3,444577#0,5488688#-0,2833725#3,5081#0,8747774#-0,5842624#3,499945#0,4653975#-0,5755647#3,477959#0,8213221#-0,6457731#3,470811#0,4328925#-0,6372625#3,426709#1  
frame11 #0,3574611#0,9613217#3,672317#0,4864488#0,7717387#3,610522# 0,7062055#0,5074502#3,586214#0,3709242#0,08971763#3,402704#0,669935#0,4630021#3,543329#0,3707359#0,1589845#3,384476#0,514995#0,407775#3,319533#0,3292857#0,3648061#3,30331#0,4872428#0,6187302#3,462727#0,3547446#0,578765#3,407268#0,5154203#0,3166344#3,566459#0,5442977#0,2467817#3,491434#0,5840958#0,222728#3,509162#0,5231557#0,1861165#3,448392#0,6517993#-0,2860244#3,439942#0,5543075#-0,2858869#3,509097#0,873041#-0,5836247#3,50431#0,4652428#-0,5748861#3,479031#0,8232138#-0,6443965#3,474999#0,4348001#-0,6341754#3,428108#1  
