frame1 #-0,2372933#0,906046#3,774036#-0,1309308#0,704119#3,752909# -0,4445223#0,2352473#3,583498#-0,1015485#0,1774179#3,5391#-0,4702876#0,3311476#3,585335#-0,1614445#0,2495328#3,546686#-0,3172049#0,471736#3,58318#-0,3411326#0,4658774#3,584403#-0,09643453#0,5446944#3,62427#-0,1439415#0,6302485#3,638402#-0,09269957#0,2602594#3,729031#-0,07982703#0,1851053#3,663039#-0,06700994#0,1442434#3,656251#-0,08838809#0,1827428#3,661095#-0,1178617#-0,2624603#3,783486#-0,05524229#-0,2637882#3,873819#-0,0200294#-0,5904503#3,690538#-0,4729128#-0,539691#3,622764#0,0361436#-0,651049#3,650631#-0,4642902#-0,588728#3,526977#1  
frame2 #-0,2464795#0,9061363#3,761139#-0,135837#0,7021773#3,748626# -0,2776874#0,4301011#3,301208#-0,1072648#0,1776082#3,549976#-0,2871657#0,4404683#3,366767#-0,1670106#0,2458633#3,550217#-0,3156005#0,47157#3,578202#-0,3462481#0,4506283#3,565698#-0,09410794#0,5403408#3,618478#-0,140047#0,534789#3,565697#-0,129471#0,2610179#3,711509#-0,08041038#0,186493#3,664488#-0,06814674#0,1617724#3,656328#-0,08982956#0,1788121#3,670772#-0,2091247#-0,2811022#3,689416#-0,05369185#-0,2727578#3,883365#0,002495512#-0,6279071#3,695178#-0,4747532#-0,5425168#3,621429#0,03274226#-0,6211869#3,606802#-0,3983495#-0,5897839#3,557654#1  
frame3 #-0,2602976#0,8940625#3,763306#-0,1388115#0,6954129#3,743861# -0,5378742#0,4404864#3,577262#-0,3404484#0,3301646#3,810667#-0,4758942#0,4552736#3,53784#-0,2584822#0,3336055#3,751116#-0,2849075#0,481461#3,513443#-0,3535289#0,4528792#3,54785#-0,08842793#0,5367903#3,611449#-0,1394728#0,5313451#3,564457#-0,1247569#0,2597734#3,716211#-0,0796431#0,1857802#3,665357#-0,06127385#0,1535883#3,637611#-0,0844698#0,1512668#3,68921#-0,2951237#-0,2426241#3,639605#-0,0565645#-0,2750233#3,886744#-0,02616694#-0,5836378#3,693303#-0,450947#-0,5325375#3,635269#0,04235756#-0,6314877#3,621495#-0,3824225#-0,5803874#3,563461#1  
frame4 #-0,2605555#0,8912348#3,743286#-0,1412894#0,6948925#3,743934# -0,5343165#0,4561619#3,571939#-0,3367916#0,3453611#3,804894#-0,4691683#0,4674516#3,536811#-0,2590484#0,3920164#3,759725#-0,2815851#0,4852418#3,502113#-0,3566218#0,4761293#3,544548#-0,08512849#0,5367734#3,610801#-0,1388629#0,5425843#3,56473#-0,1264817#0,2700942#3,728148#-0,08010215#0,2003623#3,682675#-0,06118754#0,1588912#3,642931#-0,08824489#0,1701208#3,713375#-0,2212348#-0,2896501#3,692805#-0,05633432#-0,2766496#3,886603#-0,006935239#-0,6135283#3,696673#-0,4552509#-0,5377729#3,632417#0,05935064#-0,6553317#3,645511#-0,3870261#-0,5856249#3,560455#1  
frame5 #-0,2792317#0,8805817#3,734562#-0,1451559#0,6941146#3,740299# -0,4957945#0,4458578#3,579204#-0,4681427#0,3019656#3,939941#-0,4551474#0,4790902#3,525429#-0,4003923#0,3158021#3,910499#-0,2673855#0,4933066#3,471191#-0,2110811#0,4099889#3,755212#-0,06566652#0,524998#3,612677#-0,1399104#0,5464258#3,56056#-0,1221811#0,2706931#3,727506#-0,07705053#0,2015271#3,678486#-0,05159539#0,1707804#3,661491#-0,08606448#0,1915756#3,66509#-0,1457204#-0,2954211#3,738896#-0,05642347#-0,2763934#3,886112#-0,02703985#-0,5828257#3,692273#-0,4541116#-0,5374654#3,631846#0,03650223#-0,6311498#3,615837#-0,3905695#-0,5857894#3,55541#1  
frame6 #-0,2804722#0,8797317#3,7285#-0,1466336#0,6940411#3,738248# -0,5326282#0,5066871#3,536542#-0,5278895#0,2834602#3,909955#-0,4665455#0,4886301#3,512379#-0,4318324#0,3064235#3,885391#-0,2719929#0,4936709#3,463069#-0,2250539#0,411162#3,752013#-0,06470029#0,5271109#3,611735#-0,1401681#0,5486546#3,558049#-0,1239356#0,2770942#3,728345#-0,07887642#0,2088542#3,680171#-0,05464152#0,1773046#3,66026#-0,09327813#0,1959798#3,692286#-0,1422935#-0,2997846#3,746086#-0,05505409#-0,2636508#3,877963#-0,0274925#-0,582575#3,691474#-0,4507258#-0,5332708#3,631938#0,03642478#-0,6308879#3,615317#-0,3868085#-0,5815837#3,55578#1  
frame7 #-0,2846005#0,8757724#3,726555#-0,1485179#0,6941534#3,738216# -0,5556808#0,5221549#3,535019#-0,5699281#0,3471799#3,854428#-0,4912689#0,5105132#3,506533#-0,4919743#0,3124436#3,809214#-0,2772812#0,5073995#3,451377#-0,2503908#0,417825#3,744587#-0,06273571#0,5333507#3,614581#-0,1410297#0,5500857#3,557966#-0,1270456#0,2810307#3,736105#-0,08269432#0,2119137#3,689497#-0,05733209#0,1695406#3,653461#-0,09888673#0,1662789#3,744108#-0,1284023#-0,3081516#3,781079#-0,05818149#-0,2651856#3,889311#-0,02782854#-0,5830628#3,691671#-0,4496415#-0,5321425#3,634566#0,03503784#-0,6311584#3,615495#-0,3867751#-0,5802382#3,55839#1  
frame8 #-0,2891021#0,8701447#3,70732#-0,1524054#0,7080036#3,756941# -0,6138494#0,5437825#3,433251#-0,6381743#0,3274102#3,72051#-0,5436523#0,5315735#3,434687#-0,5441089#0,3067285#3,715995#-0,2782987#0,5180047#3,445473#-0,3528943#0,3512122#3,852966#-0,06147153#0,5342657#3,618011#-0,2247217#0,4999283#3,876127#-0,04800644#0,2889534#3,731019#-0,08271965#0,2037736#3,69698#-0,044539#0,1538274#3,652886#-0,1098562#0,1353862#3,741707#-0,0911296#-0,2294419#3,783097#-0,06477471#-0,2759923#3,901148#-0,02446637#-0,5969111#3,689784#-0,4446259#-0,5294296#3,639112#0,04657438#-0,6512645#3,665702#-0,5264426#-0,5819446#3,589867#1  
frame9 #-0,2814609#0,8872877#3,719838#-0,1646476#0,7017857#3,751855# -0,6133496#0,5526919#3,440178#-0,4745079#0,331564#3,738228#-0,5422461#0,5393544#3,424466#-0,3777408#0,3323979#3,746223#-0,2811529#0,5247261#3,443731#-0,3814768#0,4747966#3,962741#-0,05894793#0,5371121#3,623432#-0,2251651#0,4917959#3,870421#-0,05499625#0,2839009#3,737121#-0,08802442#0,1970614#3,702138#-0,04500125#0,1454656#3,650004#-0,1185878#0,1163234#3,751542#-0,1023489#-0,2276961#3,761052#-0,06457802#-0,276224#3,902787#-0,02624644#-0,6011086#3,693538#-0,4485726#-0,5319947#3,637783#0,04833082#-0,6474218#3,663478#-0,5285029#-0,5853168#3,585964#1  
frame10 #-0,2845049#0,888912#3,72243#-0,1677859#0,7019888#3,756945# -0,629409#0,5803441#3,442267#-0,6225215#0,3308153#3,672526#-0,5391888#0,5418302#3,422442#-0,5243745#0,3155534#3,684785#-0,2824634#0,5278711#3,442493#-0,4082622#0,4426902#3,91182#-0,05797318#0,5370048#3,627139#-0,2255867#0,4902289#3,868932#-0,07284799#0,334346#3,750802#-0,1065899#0,2582811#3,713412#-0,05890611#0,1996176#3,637551#-0,1309549#0,162635#3,765647#-0,1006615#-0,2181276#3,757996#-0,06308084#-0,2748922#3,902446#-0,02518225#-0,5950541#3,690949#-0,4503909#-0,5333691#3,636101#0,04569787#-0,6496022#3,663508#-0,5462325#-0,6159462#3,632038#1  
frame11 #-0,3024544#0,8869143#3,730803#-0,1680676#0,710903#3,764765# -0,6061738#0,573204#3,390932#-0,6285601#0,3407957#3,615693#-0,5309059#0,5495471#3,407701#-0,529408#0,332791#3,630875#-0,283677#0,5322837#3,442177#-0,3250687#0,3620371#3,828766#-0,06211783#0,5422958#3,631944#-0,2413447#0,5428389#3,901327#-0,07683206#0,3658628#3,763956#-0,1139245#0,296575#3,73134#-0,06328592#0,2058058#3,638244#-0,1335083#0,1851743#3,796231#-0,1033665#-0,2174276#3,756357#-0,06590849#-0,2744668#3,898983#-0,0253749#-0,5965472#3,691505#-0,4555899#-0,5363433#3,632985#0,04689578#-0,6485459#3,6617#-0,5511232#-0,6200516#3,631503#1  
