frame1 #0,2595983#1,017293#3,743698#0,3198381#0,8147157#3,742047# 0,433315#0,2922556#3,53522#0,1527355#0,7078022#3,488609#0,4452716#0,3356332#3,538422#0,1457947#0,700714#3,636981#0,4811412#0,465766#3,560348#0,1294791#0,700287#3,83166#0,4303271#0,6416621#3,585193#0,1944114#0,8164672#3,831353#0,317933#0,4911783#3,736271#0,2822249#0,4360994#3,697433#0,3283182#0,3264299#3,659586#0,2221562#0,4050922#3,714126#0,3661955#-0,1744785#3,660464#0,1070853#-0,172141#3,770249#0,4493002#-0,5284669#3,685232#-0,01013542#-0,5689006#3,69486#0,3785576#-0,5918478#3,677302#-0,054927#-0,6228562#3,701606#1  
frame2 #0,2534862#1,016353#3,744258#0,3153821#0,8138993#3,740923# 0,3280125#0,1678794#3,517346#0,1314456#0,7136112#3,497201#0,3520443#0,2573742#3,521434#0,1291999#0,7135876#3,498184#0,461813#0,4537474#3,55034#-0,003201663#0,7806901#3,680285#0,4033395#0,6574759#3,596621#0,1843377#0,8161284#3,824548#0,3066869#0,4920158#3,733537#0,2697349#0,4385753#3,694069#0,3097202#0,3353599#3,654842#0,2110361#0,4073786#3,711262#0,355848#-0,1962259#3,666514#0,1034794#-0,1755029#3,767362#0,4455341#-0,5322838#3,688083#-0,0128005#-0,5691503#3,696116#0,3775625#-0,5946946#3,677559#-0,06108896#-0,6054077#3,642487#1  
frame3 #0,2423019#1,020589#3,742531#0,2951206#0,8148487#3,744429# 0,2601824#0,1585917#3,512999#0,1213955#0,7129638#3,433318#0,2827231#0,2522131#3,51004#0,08417967#0,7447119#3,49462#0,396739#0,4331749#3,535747#-0,02746774#0,8399563#3,690759#0,3629045#0,6571887#3,589446#0,1801358#0,8150491#3,826108#0,2937168#0,4898247#3,728962#0,2543229#0,4355284#3,691898#0,2893618#0,3363667#3,651209#0,2047559#0,4071938#3,710574#0,3257705#-0,1924551#3,668489#0,09880481#-0,1751498#3,764947#0,4442122#-0,5349531#3,686318#-0,02819375#-0,5727891#3,696065#0,3761564#-0,5961992#3,682106#-0,01667466#-0,6381848#3,68265#1  
frame4 #0,2175837#0,9838641#3,7539#0,2747551#0,8046374#3,746681# 0,1058555#0,1238768#3,498731#0,1206247#0,6397846#3,423063#0,1541714#0,1965469#3,522344#0,1001344#0,6868593#3,46109#0,3245982#0,388601#3,527462#0,03866358#0,8280833#3,587328#0,3195824#0,6451057#3,586349#0,1683374#0,8109567#3,835105#0,2556343#0,4833667#3,724016#0,2098987#0,4332111#3,688288#0,2341928#0,3411398#3,652308#0,1687047#0,4135941#3,703305#0,317555#-0,1945814#3,665719#0,1020455#-0,15873#3,751094#0,4399022#-0,536711#3,683995#-0,02665344#-0,5797099#3,677897#0,3735448#-0,5977461#3,681802#-0,08234929#-0,6145604#3,635078#1  
frame5 #0,1989757#0,9959099#3,756992#0,2418257#0,8051468#3,744925# 0,04794243#0,1817389#3,464062#0,02282373#0,7892391#3,514106#0,07244386#0,2387022#3,532663#0,000420033#0,7952228#3,510701#0,2598966#0,3857383#3,512984#-0,01225111#0,9315949#3,667567#0,3105446#0,6433507#3,582441#0,1587001#0,7969731#3,84738#0,2457736#0,4560164#3,717556#0,2012417#0,3906647#3,683355#0,2300421#0,3070714#3,645929#0,1637008#0,3698942#3,702437#0,3224531#-0,1990803#3,638647#0,09921333#-0,156406#3,746571#0,4270272#-0,543184#3,686021#-0,02954222#-0,5760261#3,678596#0,3634936#-0,6054081#3,68561#-0,08779302#-0,6099472#3,640698#1  
frame6 #0,1497626#0,9748482#3,763577#0,2239516#0,8027751#3,735182# -0,01794202#0,3519272#3,389985#-0,166752#0,8360043#3,465216#0,03503007#0,3594134#3,427255#-0,1198964#0,8644994#3,504351#0,2041548#0,4518805#3,500168#0,02067018#0,9499851#3,633863#0,2421988#0,6511371#3,580373#0,1434253#0,7901115#3,842416#0,2010669#0,3292573#3,705853#0,1498992#0,2440447#3,680734#0,1700291#0,1743699#3,667393#0,1207413#0,2347343#3,685363#0,2648077#-0,2696092#3,63332#0,08419184#-0,2174147#3,701687#0,4047428#-0,55288#3,668383#-0,02892922#-0,5685856#3,67573#0,3525317#-0,6222217#3,675328#-0,09168351#-0,6012459#3,648736#1  
frame7 #0,1472825#0,9704921#3,766424#0,2099603#0,8004866#3,731067# -0,08783769#0,385543#3,394486#-0,1544232#0,8131#3,464795#-0,006539091#0,371709#3,413425#-0,1225246#0,8520516#3,501898#0,1562518#0,4757115#3,489996#0,01257166#0,9522462#3,62901#0,2357719#0,6521728#3,580821#0,1290648#0,7858564#3,839512#0,1970922#0,3435025#3,701314#0,1469066#0,2641689#3,672884#0,1658558#0,1965821#3,64332#0,1189012#0,2465098#3,686912#0,2583547#-0,2567778#3,63306#0,02656899#-0,2414087#3,736807#0,3997372#-0,5563225#3,670561#-0,03253365#-0,5629875#3,675802#0,352436#-0,6240362#3,672949#-0,09360402#-0,5952982#3,647675#1  
frame8 #0,1452889#0,9738683#3,749398#0,1892881#0,803938#3,706244# -0,1571365#0,4388058#3,389428#0,01128452#0,6581734#3,295983#-0,08358727#0,4141084#3,415775#0,05059637#0,6881978#3,330924#0,09995744#0,4797705#3,468749#0,0936778#0,7586876#3,524448#0,2123296#0,6541361#3,564274#0,1088277#0,7880677#3,816047#0,1870252#0,3551632#3,688357#0,13808#0,2730042#3,663342#0,1577704#0,2009467#3,634953#0,1106995#0,2567986#3,680635#0,2100155#-0,28006#3,626287#0,02576859#-0,2771207#3,702861#0,3524387#-0,5648609#3,651064#-0,03898177#-0,5917492#3,674624#0,3464301#-0,6280675#3,662062#-0,03084376#-0,6509827#3,650597#1  
frame9 #0,1278002#0,9740323#3,733018#0,1686883#0,807124#3,70196# -0,1732666#0,5275449#3,393159#0,003938872#0,2683405#3,558681#-0,1932058#0,5131885#3,384433#0,0430304#0,2981966#3,593426#-0,01045159#0,5066144#3,464402#0,07167385#0,5414743#3,703703#0,1663081#0,6826818#3,574216#0,08761411#0,7911344#3,811514#0,1706403#0,3542589#3,681705#0,1202594#0,2704393#3,66057#0,1344216#0,2083244#3,643622#0,09575263#0,259046#3,671107#0,128617#-0,2810791#3,603837#-0,05157055#-0,255226#3,716784#0,3409796#-0,5537689#3,645085#-0,03461701#-0,5710133#3,674038#0,3051737#-0,6096157#3,603237#-0,09842382#-0,6036049#3,651859#1  
frame10 #0,1102456#0,9500437#3,742988#0,141964#0,7780854#3,699019# -0,3038326#0,768516#3,380125#-0,2974774#0,78142#3,380423#-0,2718619#0,7041512#3,419758#-0,2764492#0,7338348#3,41162#-0,1459421#0,5474464#3,464336#-0,09744777#0,6591613#3,6015#0,05957268#0,6953147#3,55959#0,06100958#0,7619729#3,808524#0,1189123#0,3579744#3,669473#0,06105052#0,2836926#3,664529#0,06219305#0,2730839#3,665485#0,06161495#0,2646442#3,662517#-0,1254969#-0,1960582#3,594882#0,04443691#-0,2151159#3,821919#0,1208304#-0,5359764#3,543856#-0,04124759#-0,5593915#3,678182#0,08702148#-0,58969#3,519073#-0,1090184#-0,5898642#3,678489#1  
frame11 #0,0924501#0,9681235#3,741434#0,1051927#0,7897631#3,70118# -0,3213991#0,827907#3,382573#-0,3174294#0,8393387#3,387733#-0,2996659#0,7531822#3,408865#-0,2935017#0,7965397#3,415367#-0,132014#0,5881869#3,495045#-0,1342828#0,674959#3,599799#0,08371653#0,7076557#3,613787#0,02427445#0,7736364#3,810678#0,114099#0,4162379#3,684424#0,06553486#0,3477027#3,666335#0,07357357#0,2883038#3,6958#0,04825639#0,3128454#3,62153#-0,1735395#-0,2143067#3,613536#0,01455386#-0,2279541#3,827303#0,05053919#-0,5212922#3,545777#-0,0516823#-0,5543576#3,673404#0,01670672#-0,591869#3,536878#-0,04500525#-0,6055652#3,615472#1  
