frame1 #0,2973264#1,029191#3,755317#0,3727775#0,8305663#3,777706# 0,380816#0,1726858#3,528738#0,3184658#0,6934365#3,506988#0,3919494#0,2361754#3,557699#0,2535512#0,7076464#3,568478#0,5346155#0,4611501#3,623409#0,05880775#0,7502762#3,765702#0,4805547#0,6648738#3,65161#0,2423202#0,68574#3,840342#0,3689201#0,4854025#3,773114#0,3340026#0,4261243#3,731132#0,3817732#0,3605978#3,691896#0,2745677#0,3699875#3,752521#0,417209#-0,2024903#3,696235#0,1389712#-0,1615205#3,827599#0,4791602#-0,5451934#3,71869#0,03232064#-0,501164#3,764179#0,4178533#-0,6272057#3,698033#-0,0268181#-0,5483508#3,691336#1  
frame2 #0,2984562#1,026433#3,757167#0,3702793#0,8261085#3,7813# 0,2858729#0,1477978#3,508487#0,1088317#0,7669781#3,493158#0,3625404#0,2761495#3,546293#0,1040347#0,7609605#3,550471#0,5136939#0,4465596#3,615956#0,0896437#0,7429079#3,735485#0,4629886#0,6568438#3,650808#0,2354894#0,6976686#3,843481#0,3647205#0,4693664#3,77335#0,3283964#0,407055#3,730915#0,3729351#0,3346856#3,692905#0,2724479#0,362107#3,751736#0,4118815#-0,2109465#3,696783#0,1323953#-0,1584977#3,826806#0,4789765#-0,5471992#3,724528#0,03374916#-0,5039131#3,750925#0,4179351#-0,6280177#3,702071#-0,02580757#-0,5501364#3,680633#1  
frame3 #0,3033644#1,022138#3,763929#0,3515148#0,8137848#3,787237# 0,2595862#0,2069473#3,524725#-0,02954426#0,7598761#3,726665#0,2900945#0,2731354#3,5261#0,01906361#0,7621548#3,687515#0,4670311#0,4500426#3,580204#0,1648872#0,7689911#3,583466#0,4309928#0,6461428#3,639199#0,2186622#0,6985527#3,847274#0,3527314#0,4281673#3,770339#0,3154899#0,3586474#3,728224#0,361687#0,2902284#3,689261#0,2627817#0,3131448#3,748225#0,3484397#-0,2092928#3,725073#0,1305818#-0,1525783#3,827662#0,4724209#-0,5488659#3,727777#0,03250036#-0,5034382#3,743353#0,4176758#-0,6274166#3,701872#-0,03026034#-0,5483304#3,678924#1  
frame4 #0,2939432#0,9871874#3,771797#0,3294297#0,8069303#3,793768# 0,2120229#0,2813924#3,502153#0,2135678#0,7249193#3,455615#0,2598752#0,322978#3,534485#0,1731955#0,7452426#3,507705#0,4506279#0,4886417#3,573774#0,05207877#0,8062127#3,677177#0,4125738#0,6673183#3,642934#0,2207289#0,7139976#3,869119#0,3303229#0,4585188#3,772083#0,287681#0,4045966#3,733541#0,3249494#0,3399712#3,687613#0,2416377#0,3602727#3,758547#0,3668406#-0,2165614#3,703744#0,1249634#-0,1542816#3,822682#0,4747156#-0,5520285#3,736866#0,03381363#-0,525166#3,722673#0,417592#-0,6271048#3,701808#-0,03319109#-0,5684743#3,665854#1  
frame5 #0,2790388#0,9663221#3,763081#0,3293044#0,8071555#3,791956# 0,1262075#0,3210655#3,48983#0,1321308#0,7950243#3,488963#0,1737722#0,3113288#3,554893#0,0851943#0,8218312#3,544697#0,3571852#0,4566284#3,546099#0,05197106#0,8334382#3,777229#0,3641961#0,6803917#3,647942#0,2183659#0,8071275#3,881345#0,3281784#0,464068#3,766356#0,2830477#0,4094186#3,73088#0,3132579#0,3396921#3,689517#0,2369776#0,3880246#3,748649#0,3609682#-0,231476#3,696313#0,1154731#-0,1424552#3,818853#0,4687177#-0,5577434#3,732767#0,0328546#-0,5299048#3,722962#0,4182311#-0,6269026#3,700359#-0,01386639#-0,6020575#3,736487#1  
frame6 #0,2440206#0,9599892#3,752861#0,3100276#0,7985038#3,778547# 0,05433714#0,3621426#3,399315#0,1323272#0,8030324#3,478448#0,1149594#0,3657477#3,474574#0,09898755#0,815405#3,506829#0,3009474#0,4086174#3,568611#0,03429026#0,8795865#3,68697#0,3238271#0,6446703#3,616089#0,2029791#0,8105314#3,892722#0,3154247#0,4787009#3,756631#0,2663531#0,4268991#3,72765#0,2902792#0,3360109#3,678601#0,2287181#0,4005863#3,753711#0,3560766#-0,2429934#3,689788#0,1029723#-0,1506397#3,811845#0,4662312#-0,5599404#3,731543#0,02638931#-0,5178823#3,728566#0,4183342#-0,627249#3,700107#-0,0499213#-0,5591004#3,689091#1  
frame7 #0,2224769#0,9579462#3,743143#0,2999586#0,7951468#3,764186# 0,05127617#0,4018608#3,407187#0,07657874#0,8338065#3,463098#0,09360246#0,3894951#3,472213#0,0585228#0,8917179#3,642443#0,2527751#0,4616752#3,535174#0,1004856#0,9627325#3,886869#0,3182665#0,6470701#3,614328#0,2009836#0,8123802#3,892074#0,2886546#0,4987669#3,754206#0,236084#0,4558752#3,728571#0,2497751#0,3700683#3,697455#0,1987353#0,445157#3,748368#0,3234637#-0,2423831#3,685464#0,06775776#-0,1519552#3,818434#0,4597596#-0,5668005#3,726379#0,02427178#-0,5202696#3,726893#0,417966#-0,6273293#3,695918#-0,05027971#-0,5608043#3,687248#1  
frame8 #0,1953883#0,9518379#3,748443#0,2782633#0,7939725#3,757576# -0,06676783#0,5219372#3,402696#0,2113981#0,8017119#3,854691#-0,0188729#0,4723581#3,416546#0,1878143#0,7940459#3,895962#0,1961858#0,4734653#3,524851#0,1027165#0,9305908#3,974737#0,293217#0,649376#3,618742#0,180387#0,8167179#3,892721#0,2417357#0,3637324#3,745852#0,1876613#0,2892695#3,719934#0,2044777#0,1954772#3,681224#0,1531494#0,2714242#3,748179#0,3171052#-0,2619485#3,677526#0,05578999#-0,2588414#3,822694#0,4554264#-0,5643635#3,722953#0,01690846#-0,5482188#3,720846#0,4155552#-0,6279272#3,700012#-0,05740136#-0,588045#3,683259#1  
frame9 #0,1781804#0,9604459#3,749935#0,2530375#0,7920111#3,755769# -0,06059864#0,52384#3,415911#0,1355791#0,9345355#3,842741#-0,06375235#0,5049886#3,439039#0,1374753#0,8632441#3,800012#0,1005406#0,4545454#3,5183#0,1431637#0,6493697#3,68439#0,2663286#0,6285951#3,609516#0,1548146#0,8168376#3,893522#0,2346376#0,3649544#3,744534#0,1804754#0,2891724#3,719485#0,1974964#0,1944144#3,686919#0,1429245#0,2758717#3,738317#0,2644863#-0,2731879#3,674245#0,05515854#-0,2546405#3,821682#0,4405727#-0,5722944#3,714657#0,01722221#-0,5411053#3,722996#0,40389#-0,6376885#3,696966#-0,05660653#-0,580248#3,687901#1  
frame10 #0,1601858#0,9622343#3,740493#0,2381098#0,7905105#3,744485# -0,09736774#0,5752157#3,43087#0,1810399#0,9028442#3,718347#-0,0984358#0,5660847#3,439#0,1481237#0,8436607#3,704044#0,06668334#0,4964983#3,508209#0,04937499#0,6661103#3,673893#0,2501463#0,6293145#3,604399#0,1401682#0,8158773#3,883134#0,2217046#0,3772937#3,74496#0,1668716#0,3051324#3,722369#0,1776448#0,2682952#3,712137#0,1357477#0,2698431#3,734717#0,2571835#-0,2772722#3,672781#0,04487325#-0,252156#3,806527#0,4356964#-0,5762339#3,711686#0,01505707#-0,540993#3,727845#0,3815207#-0,6295649#3,692725#-0,02768145#-0,6059825#3,749287#1  
frame11 #0,1398208#0,9914855#3,766174#0,2030058#0,8067115#3,746266# -0,1943332#0,6786367#3,428882#-0,1939177#0,6687445#3,371187#-0,1433337#0,6045607#3,466624#-0,145885#0,6763583#3,44188#0,02861551#0,5289941#3,509904#-0,00178691#0,6991997#3,666847#0,1919335#0,6488064#3,606233#0,1044148#0,8325008#3,885061#0,1889382#0,3941449#3,74456#0,135435#0,3198658#3,725223#0,1599548#0,2738995#3,721652#0,09958953#0,2748006#3,720164#0,204012#-0,299013#3,664527#-0,03146105#-0,212621#3,842782#0,4155985#-0,5696882#3,700693#0,01224503#-0,5243339#3,734725#0,3703992#-0,6290613#3,685216#-0,02798826#-0,6059386#3,753485#1  
