frame1 #0,2527316#0,984675#3,568267#0,3189562#0,8122041#3,558602# 0,4439749#0,2616274#3,352913#0,1296179#0,531365#3,3669#0,4760242#0,3206881#3,369155#0,1082663#0,6506115#3,345236#0,572172#0,4978704#3,431682#0,04743814#0,848766#3,365898#0,441257#0,6908976#3,445993#0,162877#0,714757#3,57584#0,3155466#0,4399338#3,568871#0,2897787#0,3738945#3,518969#0,3478935#0,3006156#3,483327#0,2226225#0,3113523#3,538055#0,3328538#-0,1864149#3,501747#0,137933#-0,1407186#3,614546#0,3764886#-0,5515002#3,489905#-0,02507017#-0,5770319#3,619876#0,3039805#-0,6181186#3,520367#0,02811356#-0,6277018#3,599684#1  
frame2 #0,2521182#0,982622#3,567864#0,3185658#0,8118865#3,558206# 0,4457835#0,2591231#3,358623#0,1204857#0,5193236#3,386786#0,4773678#0,3188299#3,373481#0,1104685#0,5931342#3,374615#0,572121#0,4979504#3,431952#0,04958976#0,8421154#3,357646#0,43994#0,6888337#3,444983#0,1628991#0,7144892#3,575464#0,3157946#0,4388696#3,568832#0,2899932#0,372472#3,519028#0,3480125#0,2991385#3,483611#0,2230731#0,3105832#3,538242#0,332958#-0,1857869#3,501861#0,1379367#-0,1412591#3,61531#0,3781918#-0,5478942#3,488238#-0,02424742#-0,5760869#3,619368#0,309257#-0,6133674#3,507366#-0,05651877#-0,6146438#3,551669#1  
frame3 #0,2520181#0,9808446#3,565485#0,3189652#0,8112792#3,558# 0,4487472#0,2564463#3,359125#0,1186855#0,5416221#3,379297#0,4795818#0,3167567#3,374246#0,1012767#0,6406764#3,35551#0,5720856#0,497688#3,433529#0,05016119#0,8421544#3,357393#0,4402966#0,6882579#3,444794#0,1626597#0,7158828#3,583672#0,3172434#0,4382505#3,568228#0,2903592#0,3718873#3,518909#0,3486906#0,2976324#3,483145#0,2233047#0,3101554#3,538245#0,3517115#-0,1836542#3,487065#0,1367695#-0,1538523#3,616439#0,3782901#-0,5507036#3,494826#-0,02440269#-0,575156#3,618807#0,3084382#-0,6142887#3,501402#-0,05749241#-0,6127617#3,55346#1  
frame4 #0,2525186#0,9794341#3,562124#0,318954#0,8111582#3,558094# 0,4487501#0,2556901#3,358884#0,1176039#0,5457999#3,377551#0,4795721#0,3160428#3,374565#0,1012006#0,6402572#3,355483#0,5720384#0,497101#3,435547#0,05072029#0,8422729#3,355764#0,4413248#0,6880521#3,444967#0,1623665#0,7162582#3,58395#0,3172679#0,4378584#3,568094#0,2904853#0,3714777#3,518602#0,3492889#0,2963085#3,482278#0,2231938#0,3095306#3,537827#0,3533803#-0,1823629#3,485057#0,1370885#-0,1527133#3,616144#0,377934#-0,5508223#3,495021#-0,02314898#-0,573832#3,618651#0,3089413#-0,6138718#3,501267#-0,05575979#-0,6110325#3,553942#1  
frame5 #0,2535295#0,9794382#3,560568#0,3189241#0,8112475#3,558015# 0,4474089#0,2558105#3,357635#0,1208135#0,5872647#3,371793#0,4786775#0,3158643#3,373938#0,1014486#0,6391676#3,355514#0,5724832#0,4960255#3,436773#0,05105966#0,8414648#3,355785#0,4416891#0,6878146#3,44505#0,1622499#0,7167302#3,583673#0,3175491#0,4378413#3,567423#0,2910244#0,3715065#3,517592#0,3500754#0,2960696#3,481262#0,2237865#0,3097336#3,536284#0,3554279#-0,1814129#3,483926#0,1337759#-0,176085#3,615522#0,37823#-0,5494968#3,492753#-0,02347274#-0,5744913#3,619229#0,3107925#-0,6118497#3,499245#-0,05538909#-0,6110521#3,555549#1  
frame6 #0,2557559#0,9783539#3,554594#0,319552#0,8113246#3,555694# 0,4464396#0,2555038#3,356332#0,1192377#0,5741931#3,372859#0,4780383#0,3153607#3,373238#0,1016123#0,6377951#3,354277#0,5728345#0,4949312#3,437843#0,05223721#0,8405552#3,352199#0,4420293#0,6876588#3,444754#0,1626444#0,7170653#3,58345#0,3184412#0,4387938#3,566211#0,2919415#0,3725117#3,516521#0,350831#0,2969185#3,480738#0,2249224#0,3112209#3,534987#0,3556985#-0,1808562#3,483688#0,1336629#-0,176132#3,616031#0,3788087#-0,5488069#3,492835#-0,02178397#-0,5734029#3,6178#0,3103841#-0,6132925#3,502664#0,01750872#-0,6260894#3,594081#1  
frame7 #0,2558641#0,9794635#3,554322#0,3196232#0,8116623#3,555965# 0,445992#0,2567048#3,353348#0,1362801#0,528525#3,384781#0,4778512#0,3159907#3,371969#0,112869#0,5920134#3,374302#0,5734288#0,4938485#3,441723#0,05240503#0,841104#3,351689#0,4428147#0,6867058#3,445478#0,1622433#0,7176713#3,581826#0,3180745#0,4386804#3,566377#0,2920046#0,3723292#3,516398#0,351055#0,2964189#3,480655#0,2248547#0,3110578#3,534657#0,3425569#-0,1827608#3,49199#0,1412909#-0,1541281#3,615835#0,3792407#-0,5477955#3,491751#-0,02464575#-0,5710846#3,623503#0,3105035#-0,6113386#3,499959#-0,03584589#-0,6245702#3,580635#1  
frame8 #0,2575828#0,9761604#3,553801#0,3199723#0,8107823#3,556573# 0,44918#0,2547465#3,353372#0,1292459#0,525806#3,377594#0,4802171#0,3146071#3,372142#0,112834#0,5919194#3,374085#0,5733283#0,4941888#3,442339#0,05367657#0,842905#3,343388#0,4430835#0,6860192#3,445392#0,1624372#0,7180302#3,582262#0,3181688#0,4385019#3,56636#0,2920288#0,3723062#3,516369#0,3510827#0,2962897#3,480616#0,2248593#0,311071#3,53462#0,3388856#-0,1855476#3,493919#0,1303758#-0,1826004#3,618623#0,3791598#-0,5489926#3,491266#-0,0193979#-0,5634403#3,621784#0,3114484#-0,6137083#3,500268#-0,04073349#-0,6224347#3,591759#1  
frame9 #0,2571018#0,9828435#3,555561#0,321127#0,8126396#3,556785# 0,4542014#0,2612563#3,34698#0,1400757#0,499967#3,402832#0,485709#0,3098529#3,382604#0,1217178#0,562765#3,384316#0,5732811#0,4933138#3,445822#0,07154109#0,7549683#3,332608#0,4431264#0,6860081#3,445394#0,163367#0,7185858#3,581612#0,3183588#0,4385716#3,566367#0,2921695#0,3723233#3,51634#0,3511639#0,2964132#3,480815#0,2251384#0,3113371#3,534452#0,3368285#-0,1841248#3,494824#0,1299279#-0,1844638#3,619027#0,3813491#-0,5468912#3,49063#-0,02079264#-0,5657881#3,618537#0,3134733#-0,6114296#3,500331#-0,05281023#-0,603188#3,553112#1  
frame10 #0,2564185#0,9812977#3,554613#0,3211057#0,8125667#3,556832# 0,4244295#0,2512256#3,334431#0,1215084#0,5240014#3,382703#0,4781845#0,3167571#3,372173#0,1149932#0,5918205#3,374891#0,5731403#0,4929429#3,446783#0,06793631#0,8090955#3,33258#0,4432262#0,6860421#3,445697#0,1633402#0,7188959#3,580814#0,3179795#0,4388469#3,566838#0,2918322#0,3726918#3,516879#0,3505068#0,2996619#3,4824#0,2243394#0,3103922#3,535257#0,336186#-0,1837017#3,495793#0,1406076#-0,142986#3,618556#0,381462#-0,5458226#3,489166#-0,02073578#-0,5658785#3,618385#0,3139304#-0,6107682#3,499773#-0,05255914#-0,6033407#3,55276#1  
frame11 #0,2561705#0,9813024#3,554896#0,3207933#0,8115113#3,557865# 0,4243905#0,2500705#3,334037#0,1225082#0,5203376#3,379176#0,4784742#0,3163394#3,372486#0,1154043#0,5891489#3,37478#0,5733445#0,4928717#3,447158#0,06558105#0,8302732#3,333378#0,4422038#0,6840733#3,445776#0,1633814#0,7191387#3,581221#0,3173539#0,4383577#3,567857#0,2910112#0,3723036#3,517993#0,3493693#0,3009057#3,483983#0,2231328#0,3085274#3,536549#0,3355005#-0,1839412#3,496804#0,1325019#-0,1828896#3,620493#0,3820326#-0,5451733#3,488653#-0,02049808#-0,565927#3,61818#0,3143095#-0,6101067#3,499218#-0,05245854#-0,6034324#3,552511#1  
