frame1 #0,3786932#0,9729805#3,696811#0,4216186#0,8129364#3,716839# 0,4579533#0,12914#3,486125#0,2885249#0,6133305#3,396204#0,4764255#0,2088434#3,497313#0,2317399#0,6331147#3,406663#0,563541#0,4514418#3,543023#0,1072294#0,7218024#3,572746#0,5307682#0,6684906#3,589414#0,2717912#0,782932#3,749138#0,4066727#0,4650916#3,726366#0,3822292#0,4010769#3,692701#0,4339789#0,3071527#3,660659#0,3174393#0,3586513#3,712423#0,4638518#-0,1866809#3,657555#0,2037525#-0,1767614#3,753949#0,5111023#-0,5365208#3,665503#0,09657814#-0,569189#3,656361#0,468642#-0,6070224#3,652894#0,06462319#-0,6022942#3,600462#1  
frame2 #0,3683104#0,9871347#3,693027#0,4099737#0,8121137#3,717134# 0,2971538#0,1046485#3,465405#0,2351259#0,6357276#3,426588#0,3366485#0,189284#3,497234#0,1921218#0,6731826#3,451147#0,4888704#0,4004471#3,536368#0,1209052#0,8193418#3,58876#0,5027141#0,6577568#3,577724#0,2457764#0,8003877#3,761144#0,4024077#0,4625875#3,723814#0,3767573#0,3981283#3,690698#0,4278747#0,2982592#3,656643#0,31304#0,3584226#3,71034#0,425606#-0,1960289#3,674962#0,2056022#-0,1824554#3,755536#0,5092867#-0,5366499#3,667455#0,08532565#-0,5925629#3,648848#0,4569725#-0,6193506#3,650719#0,04194151#-0,6331519#3,58265#1  
frame3 #0,3589183#0,9764249#3,711699#0,398779#0,8096876#3,717636# 0,240382#0,2026124#3,430686#0,2142531#0,6268037#3,389787#0,2880366#0,2766246#3,472961#0,1838281#0,6511847#3,450528#0,4612758#0,4659262#3,512839#0,1321448#0,8235489#3,605994#0,4794684#0,6537557#3,566#0,2758858#0,780159#3,818947#0,4033307#0,4669198#3,715346#0,3700647#0,403912#3,688479#0,40757#0,3135759#3,645027#0,3130157#0,3654894#3,712508#0,4288361#-0,1918747#3,663697#0,2172121#-0,1507918#3,754994#0,5087724#-0,5367124#3,667012#0,09092525#-0,5686433#3,649648#0,4553385#-0,620688#3,654139#0,02814972#-0,609853#3,596882#1  
frame4 #0,3106846#0,9759044#3,709793#0,3382192#0,8085696#3,716305# 0,05490104#0,3991579#3,38137#0,09035929#0,7781169#3,42716#0,1369672#0,3968288#3,432382#0,07469637#0,8233474#3,585148#0,3004258#0,478198#3,505308#0,06439818#0,8327277#3,857955#0,389621#0,6537971#3,561958#0,239676#0,7829698#3,823291#0,332974#0,3628845#3,705687#0,2943434#0,2790038#3,682655#0,3257825#0,2044624#3,679152#0,2553846#0,2627858#3,67811#0,3708625#-0,2409986#3,665374#0,2095367#-0,1644775#3,749832#0,4954308#-0,5495949#3,67014#0,08884001#-0,5619667#3,646335#0,4580399#-0,62317#3,656481#0,01633456#-0,6039053#3,602787#1  
frame5 #0,3062907#0,9759935#3,713645#0,3378357#0,8089605#3,716523# 0,0195461#0,4675167#3,382446#0,1907881#0,7716289#3,690063#0,05557016#0,447811#3,389864#0,2139636#0,8278951#3,726398#0,2206591#0,4717845#3,492651#0,35135#0,7658605#3,9468#0,379249#0,6543572#3,560467#0,2376004#0,7837156#3,823146#0,3174398#0,3770611#3,705457#0,2728904#0,3005477#3,683327#0,2946146#0,2314935#3,688132#0,2350398#0,2872244#3,67205#0,3741358#-0,2458579#3,655695#0,2042767#-0,1481332#3,719994#0,4947672#-0,5514809#3,669939#0,08838127#-0,5632505#3,646645#0,4577522#-0,6235952#3,656633#0,01442824#-0,6051114#3,603288#1  
frame6 #0,2942668#0,9749163#3,718196#0,3263234#0,8118207#3,716555# -0,07818659#0,5493842#3,464453#0,1744824#0,7818891#3,693775#-0,0280899#0,5321726#3,41854#0,1974045#0,8375402#3,729712#0,1782155#0,5108888#3,476321#0,3372199#0,7679127#3,940274#0,3373262#0,651738#3,554424#0,2210976#0,7871687#3,823467#0,306373#0,3743908#3,694777#0,2617256#0,2950894#3,672976#0,2804751#0,2211946#3,662403#0,2298421#0,2848665#3,669642#0,3678403#-0,2505315#3,650528#0,1530519#-0,2315332#3,749076#0,4896177#-0,5574549#3,672663#0,09459592#-0,556429#3,646125#0,4572272#-0,6255869#3,656158#0,02086315#-0,5959373#3,610676#1  
frame7 #0,2514227#0,981733#3,700167#0,2857037#0,8215621#3,668957# -0,1506688#0,7392636#3,395098#0,004705193#0,9716218#3,580576#-0,1238455#0,6796498#3,418195#0,1453348#0,9127133#3,73199#0,08454469#0,5796146#3,485686#0,2958881#0,7765541#3,894974#0,286252#0,7145861#3,580363#0,1806582#0,7963985#3,776386#0,2455617#0,3696488#3,681783#0,1996538#0,2861398#3,664373#0,217461#0,2307011#3,640652#0,1699438#0,2675167#3,685594#0,3068964#-0,2722762#3,61919#0,1332368#-0,2585208#3,730745#0,482613#-0,5667825#3,669408#0,09273958#-0,5688447#3,642969#0,4504684#-0,6356295#3,653757#0,02149222#-0,6088695#3,602332#1  
frame8 #0,2250979#0,9852659#3,723687#0,2314324#0,8209482#3,684593# -0,1698349#0,8129218#3,493611#-0,03113877#0,7834237#3,499089#-0,1902569#0,7347884#3,453899#-0,008258983#0,7045361#3,546707#-0,01619483#0,6117827#3,509943#0,1716597#0,5517827#3,636652#0,212354#0,6867597#3,564418#0,1431766#0,6747814#3,530515#0,1535319#0,3580467#3,697604#0,1575271#0,2654471#3,663542#0,1699044#0,2479459#3,66894#0,1390615#0,2489063#3,657004#0,09440544#-0,1710856#3,596782#0,08821874#-0,2340657#3,60568#0,3521382#-0,5202727#3,573334#0,08865012#-0,5605483#3,644333#0,3419085#-0,5935451#3,547186#0,06152444#-0,6334165#3,633767#1  
frame9 #0,08334314#0,9700303#3,744832#0,08193905#0,8032787#3,67747# -0,3035855#0,8090176#3,47604#-0,1294937#0,9995673#3,757593#-0,242352#0,7681525#3,49114#-0,153183#0,9218727#3,739757#-0,0586513#0,6455574#3,550062#-0,2242509#0,688789#3,699871#0,1800113#0,6557212#3,64877#-0,0520403#0,6432987#3,614882#0,07367174#0,3906749#3,690316#0,07830263#0,3116398#3,651905#0,1497586#0,2523342#3,67503#0,01651653#0,2505888#3,616094#0,07888551#-0,1905575#3,807393#-0,1451714#-0,1568796#3,699694#0,341061#-0,5457639#3,784058#0,06861734#-0,5421324#3,644776#0,2470526#-0,5724968#3,738906#0,0678658#-0,6179835#3,620727#1  
frame10 #0,0243945#0,920573#3,695592#0,0201995#0,7574075#3,70945# -0,3220195#0,7384073#3,481917#-0,07472318#0,8946061#3,725753#-0,2507286#0,7013018#3,502949#-0,1093911#0,8194077#3,719052#-0,03685585#0,5899853#3,579534#-0,213395#0,5938125#3,712436#0,1860507#0,6221528#3,712743#-0,07042293#0,6301355#3,628578#0,03347448#0,3896208#3,692489#0,0500133#0,322042#3,650298#0,1124907#0,2581631#3,665785#-0,008441649#0,2614025#3,614558#0,0552106#-0,1862659#3,794796#-0,2176909#-0,2581193#3,641596#0,3203763#-0,5455236#3,771769#0,07234326#-0,5698501#3,647558#0,2266155#-0,5726366#3,724806#0,06239602#-0,6392839#3,608968#1  
frame11 #-0,07694828#0,8974062#3,749669#-0,02331116#0,7312667#3,726145# -0,2944677#0,7312018#3,54122#-0,1255836#0,8905606#3,749627#-0,2364471#0,6902#3,55535#-0,1524958#0,8138954#3,734625#-0,06238503#0,5671943#3,611267#-0,2332323#0,5839#3,703143#0,14254#0,5960121#3,729438#-0,0828338#0,5993402#3,626212#-0,004481072#0,3217373#3,706829#0,01896549#0,2482809#3,663576#0,07850292#0,1942567#3,677121#-0,03105481#0,1935775#3,6329#0,01058324#-0,2146225#3,791408#-0,2124713#-0,2672112#3,648929#0,2779127#-0,5768117#3,768334#0,06748796#-0,5703214#3,647369#0,1841441#-0,596138#3,715289#0,05895501#-0,6396363#3,606535#1  
frame12 #-0,1164263#0,874157#3,786219#-0,04108792#0,7141107#3,736502# -0,3452239#0,5151534#3,538128#-0,2352019#0,8329658#3,607116#-0,2773779#0,5323145#3,532327#-0,2589364#0,7551229#3,589245#-0,07117803#0,4986397#3,580174#-0,33014#0,5215942#3,549264#0,1247632#0,578856#3,739795#-0,1061031#0,5732521#3,637789#-0,0205519#0,2796947#3,725198#0,004011148#0,2009752#3,681446#0,06438912#0,1577744#3,670781#-0,04429621#0,1471472#3,678475#0,008018214#-0,2386974#3,808088#-0,2050867#-0,2488181#3,687384#0,2737481#-0,5987195#3,784784#0,06683688#-0,5735826#3,64602#0,1862201#-0,6061447#3,719225#0,1029829#-0,6162069#3,568812#1  
