frame1 #-0,04759749#0,8535259#3,169006#-0,06283597#0,6484175#3,180325# 0,5341586#0,4921235#3,086431#0,0560404#0,2582217#2,927446#0,4679186#0,4279857#3,128498#-0,04526095#0,2596973#2,924809#0,2619705#0,3829426#3,210208#-0,2024199#0,3202544#2,979425#0,1174179#0,5217649#3,245795#-0,2091979#0,5100545#3,089778#-0,0839816#0,26781#3,19143#-0,07328256#0,1933444#3,165814#-0,001627915#0,1160909#3,19241#-0,148605#0,1108212#3,129041#0,2103656#-0,2511856#3,165462#-0,3565312#-0,2916455#3,199725#0,291184#-0,6139214#3,166#0,03428185#-0,4885879#3,170424#0,3629689#-0,6739714#3,168915#-0,08902848#-0,5175079#3,173028#0  
frame2 #-0,03732612#0,8453301#3,16613#-0,05880336#0,645731#3,182039# 0,5604966#0,4850917#3,08343#-0,02411338#0,2302893#2,951903#0,470439#0,4213484#3,131151#-0,02438071#0,2455206#2,923134#0,3053696#0,3722702#3,203478#-0,1876183#0,3161522#2,974582#0,1196286#0,5215451#3,245578#-0,2051913#0,5056016#3,087956#-0,08210789#0,2666858#3,191696#-0,07146665#0,1924845#3,165807#-0,0002277109#0,1158239#3,19225#-0,1467019#0,1093276#3,128781#0,213203#-0,25088#3,165136#-0,352498#-0,2901026#3,198867#0,2914919#-0,6135118#3,166383#-0,61434#-0,5887039#3,207033#0,3576347#-0,6688957#3,166541#-0,5766391#-0,6330814#3,132434#0  
frame3 #-0,03040021#0,8458266#3,167649#-0,04987764#0,6414278#3,181814# 0,5866338#0,4470042#3,122997#0,1422603#0,2164901#2,923147#0,4950725#0,378916#3,154734#0,05999687#0,2218559#2,952591#0,3148551#0,3717372#3,208759#-0,1732746#0,3111942#2,970412#0,1279827#0,5198197#3,244145#-0,1971912#0,5011704#3,086811#-0,07738098#0,2650402#3,191013#-0,06738611#0,1911921#3,164779#0,003352937#0,115377#3,19035#-0,1434224#0,1079851#3,128376#0,2184232#-0,2499194#3,16273#-0,3484463#-0,2884829#3,197682#0,2916647#-0,6130852#3,166409#-0,6138806#-0,5893262#3,209714#0,3496028#-0,6685123#3,154767#-0,6655548#-0,6548145#3,176107#0  
frame4 #-0,02011869#0,8412182#3,161143#-0,0375212#0,6359771#3,182883# 0,5989542#0,4407139#3,127091#0,1553469#0,2215299#2,943961#0,5075459#0,3787243#3,154818#0,07150321#0,2287222#2,945553#0,3265119#0,36944#3,207417#-0,1644555#0,3124082#2,971293#0,1379243#0,5170106#3,244476#-0,1831942#0,4927043#3,085101#-0,06484102#0,2575288#3,192044#-0,05463624#0,1834474#3,165607#0,01417175#0,1102069#3,190297#-0,1299807#0,09923238#3,130032#0,2257061#-0,2487424#3,159672#-0,3114657#-0,2552413#3,18314#0,296844#-0,6103293#3,163365#-0,6129285#-0,586852#3,210088#0,3506593#-0,6689482#3,154534#-0,6671107#-0,6549252#3,171938#0  
frame5 #-0,008252048#0,8305354#3,154581#-0,02694444#0,6331808#3,183937# 0,6079276#0,4174142#3,131089#0,1798971#0,2099823#2,942923#0,508822#0,3730337#3,155153#0,07157202#0,2259918#2,943442#0,3287818#0,3685808#3,208995#-0,1613626#0,3137585#2,973529#0,1488244#0,5128635#3,245922#-0,1715886#0,4895941#3,084833#-0,0580712#0,2548175#3,193364#-0,04822659#0,180622#3,166815#0,0199192#0,1079299#3,190805#-0,1239728#0,0972542#3,131989#0,2337742#-0,2466048#3,156237#-0,3060435#-0,2422702#3,17898#0,2977021#-0,6103665#3,16352#-0,6085668#-0,5813696#3,20913#0,3621826#-0,6724977#3,159402#-0,6670807#-0,6545298#3,171277#0  
frame6 #-6,886944E-05#0,8281642#3,156483#-0,01442689#0,6254453#3,185296# 0,6299632#0,4424869#3,127827#0,1651813#0,2162874#2,941431#0,5762142#0,3878306#3,153528#0,08485998#0,2224193#2,948339#0,3335006#0,3639292#3,212873#-0,1464661#0,3109946#2,97453#0,1637784#0,5095304#3,252764#-0,1587401#0,4871849#3,08583#-0,04604207#0,2494592#3,195689#-0,0359305#0,1756057#3,169448#0,03308292#0,102155#3,194748#-0,1118814#0,09215879#3,133816#0,2452311#-0,2466893#3,156032#-0,3023671#-0,238181#3,177876#0,2984872#-0,6090264#3,163312#-0,6069726#-0,5810984#3,209459#0,3552688#-0,6695766#3,146564#-0,6671073#-0,6545333#3,171299#0  
frame7 #0,008509469#0,8141848#3,151104#-0,008086782#0,6186697#3,185663# 0,639612#0,4275288#3,138599#0,2326362#0,1901481#2,938816#0,5780841#0,3812781#3,154839#0,09009275#0,2197985#2,946324#0,3369329#0,3578283#3,216709#-0,139916#0,3084704#2,974391#0,1687261#0,5041318#3,250608#-0,1545997#0,4851354#3,08506#-0,039484#0,2456081#3,197242#-0,02946668#0,1721711#3,171268#0,03974151#0,09800236#3,196794#-0,1055201#0,08944201#3,135821#0,248446#-0,2467884#3,155176#-0,3117879#-0,2760024#3,186554#0,2989523#-0,6090451#3,163046#-0,6172742#-0,5955068#3,207451#0,3541682#-0,6689337#3,142895#-0,6662929#-0,6561333#3,168684#0  
frame8 #0,01843657#0,8130193#3,15229#-0,00041888#0,6158559#3,184912# 0,6177863#0,3797566#3,147682#0,2290837#0,1886362#2,936841#0,5228876#0,3376769#3,167198#0,09017852#0,2169969#2,946759#0,3379071#0,3546073#3,220785#-0,1370824#0,3087133#2,975482#0,1755492#0,4995141#3,249819#-0,1467039#0,4821363#3,08518#-0,03314935#0,244677#3,197942#-0,02353463#0,1713908#3,172515#0,04515206#0,09684166#3,198685#-0,09985337#0,08891784#3,136917#0,2511196#-0,2471069#3,154523#-0,3118071#-0,2765566#3,186763#0,2989255#-0,6097031#3,163981#-0,6172698#-0,5955142#3,207362#0,3573318#-0,669274#3,143484#-0,6677213#-0,6563138#3,167293#0  
frame9 #0,02112275#0,8101392#3,145581#0,001455797#0,6149576#3,184439# 0,6216593#0,3724173#3,144385#0,1465005#0,1972607#2,934048#0,526737#0,3336031#3,166868#0,0419683#0,2069661#2,932985#0,349331#0,3420149#3,218979#-0,1229955#0,300152#2,977127#0,1790322#0,4968714#3,248647#-0,1448978#0,4814889#3,085379#-0,03008313#0,2436932#3,198573#-0,02060078#0,1703099#3,173858#0,04842349#0,095361#3,199913#-0,09682324#0,08813792#3,139299#0,2539604#-0,2463411#3,15379#-0,306812#-0,2684391#3,185222#0,3011329#-0,5943592#3,158506#-0,6068571#-0,5871626#3,204382#0,3576729#-0,6675923#3,141098#-0,6677141#-0,6564315#3,166774#0  
frame10 #0,02254547#0,8097526#3,144622#0,003556449#0,6135665#3,185482# 0,6310543#0,3699241#3,146632#0,2303501#0,1896055#2,936266#0,5350252#0,3335365#3,165566#0,1083179#0,2100743#2,940487#0,356189#0,3358574#3,213741#-0,120374#0,2970661#2,982705#0,1802032#0,4960549#3,247223#-0,1433134#0,4813316#3,086749#-0,02500354#0,2418547#3,201512#-0,01546334#0,1683236#3,177947#0,05400489#0,09045703#3,203821#-0,09027366#0,08959055#3,145571#0,2546942#-0,2463566#3,153478#-0,3076125#-0,2669628#3,185359#0,3070074#-0,6079618#3,160329#-0,6022753#-0,5849868#3,203056#0,3573203#-0,6679681#3,140757#-0,6639301#-0,655562#3,167064#0  
frame11 #0,02068526#0,809939#3,144786#0,004767419#0,6126283#3,18439# 0,6333442#0,367631#3,14038#0,1912569#0,1972983#2,941185#0,5381606#0,3324997#3,162948#0,08795905#0,2066429#2,947944#0,359314#0,3318794#3,210646#-0,1327105#0,3135138#2,98394#0,1808027#0,495528#3,245726#-0,1431638#0,4807053#3,087423#-0,02313514#0,2415329#3,20181#-0,01397986#0,1678925#3,179604#0,05578832#0,08874821#3,20575#-0,08883268#0,09043938#3,148605#0,2556502#-0,2462048#3,15307#-0,3229381#-0,2730243#3,186123#0,306625#-0,6091967#3,161405#-0,5921596#-0,5813463#3,198557#0,3633277#-0,670449#3,148413#-0,5562149#-0,6241787#3,128063#0  
