frame1 #0,01123836#0,8002848#3,22056#-0,02264236#0,6065072#3,228962# 0,6583134#0,4337296#3,158473#0,1866646#0,2308956#2,940284#0,5327377#0,3965605#3,168064#0,08978224#0,2284739#2,94557#0,3612885#0,3774335#3,236888#-0,1363396#0,3221057#2,969151#0,162466#0,4809798#3,295866#-0,1536155#0,4801175#3,117178#-0,05154528#0,2413214#3,238841#-0,0393928#0,169805#3,212493#0,02874916#0,09240137#3,238739#-0,1134875#0,09201334#3,175444#0,2234715#-0,2352919#3,209048#-0,31844#-0,2511307#3,213708#0,2484572#-0,6449579#3,249534#0,1496738#-0,5591449#3,238886#0,3074601#-0,6731713#3,183575#0,02525617#-0,5734693#3,228496#0  
frame2 #0,01037846#0,8022561#3,220746#-0,02254337#0,6064888#3,229246# 0,6693789#0,4417738#3,162015#0,1656208#0,2294639#2,943428#0,597875#0,4182708#3,173549#0,08952281#0,2283129#2,945878#0,3615126#0,3771676#3,236895#-0,1364384#0,3224014#2,969116#0,1624826#0,4809481#3,295872#-0,153712#0,4801117#3,11716#-0,05078557#0,2411782#3,239205#-0,03841918#0,1696512#3,212883#0,03014264#0,09217606#3,23897#-0,1123572#0,09185995#3,176012#0,2232639#-0,235249#3,209146#-0,3290204#-0,2651553#3,217481#0,2400402#-0,5884652#3,23998#-0,5004405#-0,5725828#3,257449#0,280289#-0,6549726#3,199397#-0,6043504#-0,6106062#3,21463#0  
frame3 #-0,0016206#0,8071584#3,216594#-0,02266027#0,6066388#3,229888# 0,6603857#0,4370276#3,165788#0,1914654#0,2177946#2,943388#0,5985682#0,4171999#3,171933#0,0889872#0,2284451#2,945194#0,3611348#0,3767055#3,235717#-0,1377707#0,3232386#2,968965#0,1590403#0,4831578#3,296699#-0,1567064#0,4812725#3,116434#-0,0519411#0,2418129#3,239164#-0,03976699#0,1704454#3,212668#0,02797608#0,09302343#3,239382#-0,1140264#0,09251015#3,174823#0,2223806#-0,2336563#3,208528#-0,3337828#-0,2711999#3,219213#0,2410266#-0,5751512#3,235528#-0,6289628#-0,60628#3,217991#0,2863114#-0,6613043#3,19846#-0,7293757#-0,6552951#3,15708#0  
frame4 #-0,003830605#0,807099#3,216186#-0,02475259#0,6070359#3,229321# 0,6560761#0,4357515#3,168396#0,1934215#0,2187692#2,941723#0,576883#0,4195795#3,173194#0,08754234#0,2279485#2,944315#0,3593793#0,3759459#3,234976#-0,1389192#0,3239485#2,969228#0,1575032#0,483833#3,298206#-0,1577336#0,4812365#3,115617#-0,05479553#0,2424611#3,238466#-0,04249823#0,171104#3,211979#0,02508838#0,0939781#3,238619#-0,1166664#0,0929691#3,174189#0,2218372#-0,233833#3,2085#-0,3344564#-0,2715031#3,219389#0,2434889#-0,5713305#3,231664#-0,629444#-0,5773128#3,209036#0,2868172#-0,6620147#3,197778#-0,5776058#-0,6303848#3,123409#0  
frame5 #-0,03551573#0,8272756#3,208286#-0,04071262#0,6157586#3,226629# 0,6447131#0,4874499#3,167966#0,177505#0,2936541#2,961169#0,5781988#0,4658611#3,176375#0,08251515#0,2912738#2,968381#0,3454536#0,3903182#3,21963#-0,1446941#0,32886#2,973547#0,1424517#0,4975899#3,298254#-0,1813725#0,491436#3,119141#-0,06919631#0,2561379#3,237582#-0,05719656#0,1857488#3,211068#0,01259324#0,107907#3,237894#-0,1323979#0,1050389#3,17343#0,2084572#-0,2358509#3,208171#-0,3593899#-0,2789527#3,226101#0,2397734#-0,5654532#3,230511#-0,627#-0,5759135#3,206595#0,280924#-0,6580157#3,202111#-0,5747796#-0,6313738#3,116139#0  
frame6 #-0,05122715#0,8297539#3,201843#-0,05695765#0,6231397#3,226889# 0,5703783#0,4813956#3,141434#0,1599703#0,3220216#2,960123#0,4840124#0,4379712#3,156268#0,06240693#0,3171318#2,964843#0,287162#0,4031596#3,221636#-0,1785918#0,3546629#2,969602#0,1283515#0,5090699#3,296279#-0,1968289#0,5035446#3,117778#-0,07621286#0,2655516#3,238158#-0,06311043#0,196148#3,211853#0,008465549#0,1176874#3,23795#-0,1373534#0,115386#3,175024#0,1955827#-0,2353132#3,209907#-0,3667952#-0,270288#3,224929#0,2313246#-0,5631163#3,223643#-0,6603547#-0,6022862#3,184341#0,2783102#-0,655279#3,203764#-0,6088496#-0,6569067#3,094467#0  
frame7 #-0,06317895#0,8243613#3,2033#-0,0636801#0,6248359#3,228261# 0,568817#0,509542#3,14424#0,09142543#0,3559997#2,954736#0,4894257#0,4532109#3,149028#-0,005954459#0,3551754#2,950789#0,3158628#0,4176266#3,202506#-0,187216#0,3568439#2,953932#0,104838#0,5255763#3,290911#-0,2087987#0,5118068#3,118232#-0,08190934#0,2650979#3,238211#-0,06836469#0,1954165#3,211666#0,005009289#0,1163982#3,238081#-0,1443885#0,1168283#3,174#0,1814412#-0,2337153#3,213794#-0,3792884#-0,2615603#3,227019#0,2299218#-0,5646335#3,22415#-0,6213452#-0,5583593#3,188424#0,2782214#-0,6551746#3,203785#-0,570392#-0,6122494#3,099504#0  
frame8 #-0,1605318#0,8361874#3,181581#-0,1400538#0,6417091#3,226205# 0,4605964#0,649881#3,083568#0,008703269#0,5238231#2,97284#0,4025439#0,608196#3,09076#-0,07790796#0,4824108#2,957753#0,2223375#0,4523828#3,163536#-0,2538713#0,4248069#2,935899#0,02835167#0,5099028#3,229082#-0,2819466#0,5652095#3,14039#-0,1520318#0,2684782#3,237313#-0,1440406#0,1962277#3,20802#-0,06417798#0,1185812#3,223526#-0,2252143#0,1273643#3,182051#0,1444284#-0,2425333#3,217773#-0,4682009#-0,2758592#3,232779#0,2116249#-0,5749367#3,232769#-0,6514426#-0,5782175#3,188124#0,2647388#-0,6544337#3,219549#-0,6216345#-0,6312862#3,092266#0  
frame9 #-0,185122#0,8371953#3,182623#-0,1630256#0,6463258#3,218476# 0,3978069#0,6927944#3,057705#-0,02713759#0,5874729#2,959791#0,3502527#0,6362154#3,068824#-0,08594312#0,5393898#2,961053#0,1879589#0,4643449#3,143386#-0,2865379#0,4513597#2,939249#0,02101213#0,5222839#3,229428#-0,2783628#0,5474533#3,132839#-0,1613565#0,2680104#3,233763#-0,1507583#0,1951455#3,205727#-0,07277144#0,1199336#3,220428#-0,2277561#0,1280825#3,181448#0,1196353#-0,2483523#3,219246#-0,4765355#-0,2749006#3,23016#0,2098639#-0,5789198#3,233441#-0,655196#-0,579778#3,190141#0,2698925#-0,6501878#3,214684#-0,6231602#-0,6320391#3,096616#0  
frame10 #-0,2653682#0,8491756#3,176866#-0,2585987#0,6461856#3,20333# 0,1313472#0,7317502#2,979381#-0,1949944#0,6916968#2,918945#0,1242072#0,6626282#2,981284#-0,250856#0,6530489#2,93372#0,07588029#0,4833003#3,047589#-0,4315977#0,5176778#2,9288#-0,09273212#0,5515663#3,207178#-0,3987731#0,5056205#3,165015#-0,2488021#0,2809586#3,225024#-0,2427275#0,2091663#3,201438#-0,1613244#0,1408448#3,205474#-0,3179121#0,1378431#3,192649#0,03483458#-0,2560232#3,229342#-0,5508178#-0,2482487#3,217044#0,1667502#-0,5549763#3,244047#-0,664832#-0,5787091#3,188739#0,2608337#-0,6374607#3,215353#-0,7332975#-0,6475068#3,172037#0  
frame11 #-0,3094972#0,8134434#3,148586#-0,2803314#0,6493717#3,21669# 0,04968717#0,7135066#2,952433#-0,3065071#0,686722#2,921708#0,04921831#0,66126#2,950339#-0,3614359#0,6487194#2,936235#0,03379769#0,4897543#3,013614#-0,4910763#0,5251778#2,957423#-0,1280873#0,5468847#3,189882#-0,4339874#0,5205603#3,177258#-0,2634697#0,2828617#3,229532#-0,25923#0,2115083#3,204367#-0,1814668#0,1460721#3,20143#-0,3332599#0,1390448#3,199624#0,01446468#-0,2571551#3,231241#-0,5602282#-0,2423057#3,214171#0,1553997#-0,5533154#3,249589#-0,6664593#-0,5773477#3,186762#0,2533935#-0,6315169#3,217771#-0,7362194#-0,6481979#3,173497#0  
frame12 #-0,4281023#0,8084577#3,151398#-0,3770642#0,6487795#3,223681# -0,2123339#0,6907769#2,873682#-0,5134435#0,7006115#2,901469#-0,2066421#0,6496204#2,862437#-0,5673121#0,6633425#2,915716#-0,1357181#0,4909271#2,922786#-0,6349764#0,5268281#3,025079#-0,2578078#0,5265097#3,156947#-0,5215716#0,5211437#3,205326#-0,3549145#0,2766887#3,230555#-0,3563788#0,2044237#3,203322#-0,2841973#0,1492433#3,188306#-0,422991#0,1399665#3,209234#-0,08365336#-0,2158747#3,221436#-0,6252727#-0,2069874#3,196189#0,1518792#-0,5547403#3,250392#-0,6994601#-0,5563619#3,162038#0,2501096#-0,6294193#3,218722#-0,7179347#-0,6082716#3,065936#0  
frame13 #-0,4926999#0,8021563#3,169671#-0,4397929#0,633709#3,197096# -0,371994#0,6675668#2,857886#-0,6415597#0,780778#2,938691#-0,3548456#0,600776#2,854216#-0,6779098#0,6972025#2,952779#-0,2480766#0,4608574#2,928698#-0,721121#0,5183926#3,056526#-0,2488886#0,5086417#3,126715#-0,5761344#0,5134228#3,209412#-0,395925#0,272374#3,221205#-0,3937239#0,1999612#3,201451#-0,3101527#0,1252662#3,187681#-0,4677473#0,1260571#3,210614#-0,1330627#-0,2145682#3,219603#-0,6654538#-0,2303414#3,184152#0,1387935#-0,5414788#3,246574#-0,7084113#-0,5447552#3,155619#0,1140546#-0,5956712#3,152277#-0,7331502#-0,5989477#3,061323#0  
frame14 #-0,5384042#0,7510307#3,173929#-0,4740565#0,595422#3,197452# -0,6117914#0,5088597#2,83845#-0,8563489#0,7569484#3,014663#-0,5578814#0,4684293#2,839605#-0,8562835#0,6895523#3,014691#-0,3876932#0,3744451#2,913357#-0,8091255#0,4702715#3,112876#-0,3253553#0,4901352#3,12596#-0,6487109#0,452326#3,22782#-0,4473434#0,2338357#3,218359#-0,449429#0,1615666#3,20227#-0,3663624#0,09613057#3,189112#-0,5183595#0,0828694#3,212492#-0,1473355#-0,244556#3,227536#-0,7053648#-0,2358446#3,183585#0,09732536#-0,5667141#3,265057#-0,7162237#-0,557462#3,160419#0,2077542#-0,6290691#3,238249#-0,7469417#-0,611904#3,066628#0  
