frame1 #0,08317248#0,8331517#3,141971#0,05717082#0,6410217#3,197018# 0,6735036#0,4474445#3,051032#0,1615444#0,263555#2,92108#0,5884005#0,4010006#3,081899#0,0603549#0,2690052#2,93021#0,4191047#0,382001#3,146698#-0,09865224#0,3338668#2,986524#0,2370549#0,5100107#3,226356#-0,09346153#0,5021195#3,097088#0,03062737#0,2672711#3,208934#0,03862401#0,1943033#3,180661#0,1097642#0,1183787#3,198637#-0,03896813#0,1148277#3,152054#0,2893383#-0,2371764#3,155072#-0,2220021#-0,2174092#3,195796#0,2677496#-0,6515571#3,16941#0,2201555#-0,5679922#3,164271#0,3553921#-0,6660489#3,138658#0,09411541#-0,5838996#3,170306#0  
frame2 #0,0783895#0,8346673#3,140269#0,05653585#0,6391922#3,194671# 0,6712549#0,4373246#3,052891#0,1634333#0,2615931#2,911311#0,5819099#0,3964072#3,077836#0,06254937#0,2670647#2,919766#0,4119501#0,3795872#3,147728#-0,09749155#0,3312723#2,984313#0,235972#0,5096053#3,22465#-0,09429686#0,5020027#3,097135#0,02937965#0,2665898#3,207931#0,03696581#0,1935471#3,180294#0,1080092#0,1177042#3,198037#-0,04096859#0,1140084#3,152211#0,2912726#-0,2378654#3,153987#-0,2638242#-0,2795351#3,212365#0,2678172#-0,6503218#3,17056#0,2158765#-0,5720644#3,165994#0,3378081#-0,6619717#3,144468#0,2436792#-0,6112703#3,09743#0  
frame3 #0,07775061#0,8341167#3,139984#0,0572639#0,6383767#3,195061# 0,673405#0,4434057#3,052989#0,2374221#0,2757996#2,917207#0,5847608#0,4003007#3,076215#0,1387057#0,292121#2,932826#0,4116246#0,3792089#3,147676#-0,09729399#0,331468#2,984422#0,2357198#0,509571#3,224234#-0,09453098#0,5020779#3,097321#0,02943931#0,2664727#3,207863#0,03689022#0,1934788#3,180294#0,1078375#0,1176453#3,197897#-0,04118436#0,1140004#3,152471#0,2901494#-0,2381995#3,15359#-0,2647312#-0,2812157#3,213159#0,2680049#-0,6507609#3,17078#0,2158562#-0,5725158#3,166452#0,3380587#-0,6621661#3,145102#0,2431956#-0,611217#3,098718#0  
frame4 #0,07886569#0,8365263#3,141408#0,05703855#0,638302#3,195072# 0,6686907#0,43376#3,051552#0,2365828#0,2746652#2,916694#0,5786345#0,3934614#3,074007#0,1371151#0,2870391#2,930527#0,4108833#0,3796812#3,147549#-0,09687489#0,3325632#2,983207#0,2355545#0,5095401#3,223908#-0,09453914#0,502065#3,097223#0,02948865#0,266481#3,207704#0,03691314#0,1935183#3,180219#0,1078742#0,1177522#3,197737#-0,04100941#0,1142085#3,152658#0,2897219#-0,237976#3,15338#-0,2252298#-0,2172033#3,199838#0,2687417#-0,6509334#3,171648#0,2170575#-0,5653373#3,16579#0,3431332#-0,6636306#3,143608#0,2442843#-0,6039139#3,098247#0  
frame5 #0,07834691#0,834534#3,140165#0,05707928#0,6376951#3,195042# 0,6935721#0,4370896#3,044355#0,2384669#0,2732321#2,914648#0,6036736#0,3968531#3,067136#0,138916#0,2842019#2,928396#0,4334474#0,3789022#3,138047#-0,09673944#0,3323349#2,983448#0,2350811#0,5090526#3,222747#-0,09467159#0,502171#3,09732#0,02941873#0,2662742#3,207697#0,03667156#0,1933539#3,180285#0,1074889#0,1175278#3,197666#-0,04131702#0,1141995#3,152925#0,2903764#-0,2382925#3,152785#-0,2600915#-0,2665201#3,210721#0,268854#-0,6513705#3,172186#0,213845#-0,5705245#3,167504#0,3422767#-0,6635129#3,143749#0,2408063#-0,6090235#3,100035#0  
frame6 #0,07839929#0,8342834#3,140221#0,05704376#0,6369131#3,194569# 0,6810504#0,4451694#3,05178#0,1677031#0,2645853#2,920096#0,5934031#0,4002047#3,074141#0,0675402#0,2688526#2,932468#0,4129761#0,3762371#3,147696#-0,09679447#0,3322501#2,983444#0,2351034#0,5088462#3,222697#-0,09533435#0,5018349#3,09745#0,02947675#0,2663084#3,207545#0,03661831#0,1934299#3,180319#0,1074865#0,117543#3,197611#-0,04155504#0,1143169#3,153341#0,2900735#-0,2384419#3,152999#-0,2439#-0,254887#3,205728#0,2676644#-0,6512035#3,17292#0,220507#-0,5729578#3,167575#0,3415733#-0,6634984#3,143989#0,2473635#-0,6114515#3,10013#0  
frame7 #0,07779592#0,833503#3,14099#0,05653332#0,6365059#3,194357# 0,6837337#0,4463232#3,051743#0,2116695#0,2719209#2,91816#0,5963145#0,4014625#3,074862#0,111813#0,2768119#2,932082#0,4033588#0,3831128#3,153302#-0,09718366#0,3328182#2,983779#0,2349737#0,5086589#3,222697#-0,09542787#0,501724#3,097789#0,02894618#0,2657493#3,207503#0,03597626#0,1928393#3,180495#0,1068137#0,1170099#3,197643#-0,04212235#0,1138885#3,15377#0,2916629#-0,2396719#3,152286#-0,2495323#-0,2592313#3,207758#0,2670534#-0,6521423#3,173064#0,2181279#-0,5722609#3,167361#0,3414764#-0,6638067#3,144378#0,2449352#-0,6107933#3,099867#0  
frame8 #0,07724562#0,8331138#3,141731#0,05643419#0,6361825#3,194935# 0,6837717#0,4462013#3,051418#0,1646356#0,2623607#2,91976#0,5962716#0,4014582#3,07425#0,0645692#0,2680678#2,93132#0,4039249#0,3823203#3,152283#-0,09716398#0,332802#2,983748#0,2347937#0,5086271#3,222835#-0,09618681#0,5011624#3,097911#0,02900796#0,2655859#3,20764#0,03599011#0,1927484#3,18067#0,1068263#0,1165917#3,197711#-0,04206401#0,1139791#3,15407#0,2911298#-0,2392396#3,152155#-0,2442144#-0,2559866#3,206355#0,2670612#-0,651557#3,173123#0,2204927#-0,5730293#3,166779#0,3386556#-0,6634867#3,144998#0,2472439#-0,6115171#3,099303#0  
frame9 #0,07472362#0,8327119#3,143059#0,05627344#0,6353152#3,195075# 0,6625438#0,4354699#3,057504#0,1787639#0,2616808#2,918223#0,5740766#0,3919966#3,078697#0,08181152#0,2737485#2,943124#0,4053145#0,380972#3,151649#-0,09661415#0,3299358#2,982529#0,2348991#0,508423#3,223638#-0,09650568#0,5004078#3,098858#0,02918312#0,2652589#3,207679#0,03609647#0,1925181#3,180873#0,1070583#0,1155851#3,19749#-0,04182787#0,1143636#3,154906#0,2911384#-0,2393778#3,151696#-0,2256604#-0,2205607#3,200313#0,2685394#-0,6516373#3,171817#0,2175164#-0,566641#3,164581#0,3437249#-0,6642497#3,144665#0,2443226#-0,6052929#3,096789#0  
frame10 #0,07418605#0,8315899#3,145395#0,05613242#0,6335289#3,197394# 0,6925933#0,4467713#3,057945#0,1129734#0,2704336#2,937124#0,6055778#0,4025671#3,080313#0,06859429#0,2670269#2,929145#0,4337102#0,3756777#3,143569#-0,09624791#0,3304101#2,981797#0,2353203#0,5083317#3,224735#-0,09754266#0,4989693#3,101039#0,02979016#0,2649054#3,209158#0,03661544#0,1925261#3,182453#0,1077573#0,114458#3,198787#-0,0412088#0,1153307#3,156947#0,2891311#-0,2379781#3,151388#-0,2729419#-0,2935192#3,21666#0,2674024#-0,6383561#3,170805#-0,3073731#-0,4847977#3,22229#0,3407623#-0,6645653#3,145484#-0,2166184#-0,5112671#3,212236#0  
frame11 #0,07995164#0,8382831#3,158353#0,05618666#0,6336939#3,198338# 0,682307#0,4434563#3,057003#0,1665076#0,2505931#2,924127#0,5963721#0,4010849#3,082824#0,06872208#0,2669444#2,928307#0,4058351#0,3759155#3,155038#-0,09521848#0,3307463#2,982491#0,2356889#0,5081155#3,226234#-0,09736729#0,4992974#3,102684#0,03013056#0,2648349#3,20984#0,0370057#0,1924857#3,183027#0,1081022#0,1142789#3,198812#-0,04058821#0,1158162#3,158319#0,2871925#-0,2346788#3,152125#-0,2630283#-0,2749719#3,211395#0,2662547#-0,6254098#3,169493#-0,3428467#-0,6543082#3,253479#0,3407846#-0,6651023#3,148049#-0,24831#-0,6553031#3,23899#0  
