frame1 #-0,05035099#0,8617665#3,181123#-0,06858882#0,657182#3,190233# 0,3231467#0,2358354#3,0863#-0,09993264#0,1874777#3,005054#0,2970605#0,2692421#3,176463#-0,1978499#0,2055034#3,008665#0,2043678#0,3692241#3,306736#-0,3049529#0,3349634#3,084439#0,1119218#0,5520514#3,288425#-0,232146#0,5301104#3,14412#-0,08183655#0,2756294#3,199594#-0,08346805#0,1992974#3,2026#-0,008686095#0,1231982#3,225801#-0,1635166#0,1133248#3,178625#0,2009731#-0,247521#3,230689#-0,3495682#-0,2638#3,227556#0,2940152#-0,5794773#3,218811#-0,6167583#-0,5704617#3,219501#0,3485991#-0,6442167#3,18961#-0,6572893#-0,6436771#3,171996#0  
frame2 #-0,04628137#0,8514555#3,178284#-0,06684637#0,656352#3,193441# 0,3772095#0,2830778#2,991209#0,02559491#0,222632#3,014998#0,3021379#0,2750963#3,168585#-0,07264969#0,239036#3,015394#0,2097714#0,3734794#3,300279#-0,2899402#0,329271#3,063393#0,1137858#0,550455#3,290774#-0,22798#0,5283829#3,142801#-0,08087788#0,2713156#3,201869#-0,08256088#0,1937571#3,204562#-0,008410893#0,1181011#3,22768#-0,1625159#0,1085478#3,179856#0,202489#-0,2488589#3,231238#-0,3493629#-0,2640559#3,228405#0,2936144#-0,5810874#3,218079#-0,6165494#-0,5744005#3,21878#0,3511883#-0,6443318#3,188757#-0,6621159#-0,6482084#3,168716#0  
frame3 #-0,02935737#0,857676#3,185914#-0,05713395#0,6548144#3,19781# 0,4534391#0,4239461#3,007839#-0,01544303#0,2350319#2,987844#0,4145494#0,3913977#3,07251#-0,1144737#0,2362698#2,991758#0,2579393#0,3702455#3,264506#-0,2530421#0,3444032#3,035237#0,121956#0,5455832#3,295106#-0,1953574#0,5176927#3,132083#-0,07268858#0,2720011#3,204184#-0,07417158#0,1950736#3,206191#-0,002044931#0,1200616#3,232805#-0,1497473#0,1102856#3,176905#0,2064496#-0,2479294#3,232219#-0,3516484#-0,2788337#3,225998#0,2997231#-0,5755891#3,212915#-0,6154592#-0,5736109#3,218872#0,3564516#-0,6458598#3,186736#-0,6694133#-0,6492413#3,164029#0  
frame4 #-0,01577942#0,8506719#3,19104#-0,04920476#0,6512347#3,200686# 0,4924549#0,4899373#3,015635#0,01287519#0,2416091#2,97582#0,4335451#0,4346421#3,086107#-0,08614053#0,2389463#2,982085#0,2670131#0,3778357#3,264024#-0,236766#0,3298293#3,019759#0,1326012#0,5395024#3,297681#-0,1903113#0,5105405#3,126467#-0,06821038#0,2714103#3,205929#-0,06996644#0,1950027#3,207202#0,001608879#0,1202583#3,235529#-0,146561#0,1093077#3,176181#0,2088101#-0,2442883#3,233313#-0,3506576#-0,2812901#3,224936#0,29884#-0,5778639#3,21351#-0,6180161#-0,581921#3,214581#0,3478395#-0,6393652#3,197763#-0,6685599#-0,6506851#3,165626#0  
frame5 #0,05774503#0,837909#3,224814#0,02612636#0,6288778#3,229435# 0,6456794#0,563737#3,134291#0,1871978#0,2748632#2,968359#0,5922619#0,5106266#3,147398#0,0859863#0,2605817#2,984262#0,3821214#0,4207564#3,224535#-0,1378096#0,338311#3,003955#0,1988985#0,5113487#3,302428#-0,1259376#0,4983303#3,11258#-0,01227913#0,2656218#3,221018#-0,01654751#0,1929974#3,217051#0,04826533#0,1114011#3,2553#-0,09855527#0,1055927#3,168451#0,2362681#-0,2275504#3,230437#-0,3190065#-0,2639813#3,212863#0,3244772#-0,5617987#3,199054#-0,6119478#-0,584848#3,209166#0,3812465#-0,6381518#3,160894#-0,6695344#-0,6506932#3,164072#0  
frame6 #0,1003629#0,814233#3,236162#0,05220333#0,6154903#3,237303# 0,6201624#0,4770811#3,150732#0,2113151#0,2488732#3,004536#0,5669953#0,4242196#3,163777#0,1353387#0,2507737#3,00844#0,3895246#0,4151944#3,226287#-0,08770863#0,3163145#3,013997#0,224885#0,4893734#3,301385#-0,07835123#0,477473#3,118842#0,02844932#0,2374302#3,237964#0,02645596#0,1626091#3,234161#0,09012061#0,08556732#3,268178#-0,04881337#0,08230738#3,193163#0,2930347#-0,2345811#3,221179#-0,2466214#-0,2407757#3,208577#0,3265106#-0,5611712#3,199673#-0,5679162#-0,5442655#3,205626#0,3909503#-0,64532#3,166453#-0,5224869#-0,5905741#3,13407#0  
frame7 #0,1107498#0,8136009#3,238428#0,0611418#0,6117156#3,240934# 0,7180442#0,4450053#3,163208#0,2120106#0,2515354#3,007047#0,6200675#0,4114035#3,171187#0,1361233#0,241147#3,012441#0,4488317#0,3790633#3,22554#-0,08740953#0,3153923#3,013886#0,2417544#0,4783332#3,307944#-0,07381198#0,4789089#3,122216#0,02924111#0,2368585#3,241013#0,02828637#0,1621149#3,234817#0,09262942#0,08395761#3,267996#-0,04755316#0,08270364#3,194788#0,2936754#-0,2359054#3,220909#-0,2542782#-0,2499357#3,214538#0,3335645#-0,5638382#3,199628#-0,5840581#-0,5507357#3,210953#0,3983752#-0,6536584#3,162662#-0,5370858#-0,5994946#3,135283#0  
frame8 #0,1107009#0,81377#3,237853#0,062986#0,6108851#3,243184# 0,7236752#0,4416384#3,170189#0,2087228#0,2512008#3,013887#0,6249969#0,4080081#3,176562#0,1326762#0,2386574#3,00949#0,4093377#0,3830668#3,247474#-0,08799045#0,3157729#3,01456#0,2423519#0,4787044#3,309007#-0,0729593#0,4794925#3,124111#0,0308009#0,2367034#3,243581#0,03064873#0,1620682#3,236264#0,09533639#0,08363952#3,26904#-0,04532622#0,08280538#3,196296#0,2937372#-0,2361057#3,220677#-0,273286#-0,2653128#3,214266#0,3341276#-0,5647906#3,201618#-0,6018282#-0,5690714#3,21208#0,4014054#-0,6545541#3,162724#-0,672292#-0,6500773#3,161391#0  
frame9 #0,07415663#0,799149#3,200392#0,05753856#0,6080496#3,239128# 0,7247885#0,4420385#3,171034#0,2014736#0,2156119#3,032176#0,6261269#0,4085604#3,176252#0,09759754#0,2251257#3,033344#0,4089839#0,3770954#3,248452#-0,08890775#0,3179827#3,017179#0,2397913#0,4803048#3,307891#-0,0832137#0,4753538#3,121451#0,03016998#0,2369745#3,243942#0,03048429#0,1625642#3,236199#0,09572677#0,0831714#3,269207#-0,04572493#0,08406334#3,196734#0,293238#-0,2364379#3,219907#-0,2772442#-0,265692#3,217432#0,3346269#-0,5655208#3,200769#-0,6044173#-0,5722342#3,21168#0,3916596#-0,6394715#3,169265#-0,6739016#-0,6525508#3,15984#0  
frame10 #0,02368116#0,8150132#3,186369#0,03625164#0,6131105#3,23557# 0,6005129#0,4705134#3,149846#0,1848495#0,3237208#3,011709#0,5366586#0,4286898#3,152473#0,08387074#0,3119412#3,030214#0,3805698#0,3741841#3,212359#-0,1276445#0,3387459#3,007234#0,2057867#0,510631#3,286823#-0,1335868#0,4833853#3,134111#0,007723212#0,254408#3,243582#0,007465592#0,183053#3,236031#0,08396156#0,09208801#3,270165#-0,07651994#0,1047298#3,196028#0,2728459#-0,2336521#3,213718#-0,3521857#-0,2685638#3,225195#0,3297983#-0,5608221#3,198332#-0,5640643#-0,5757884#3,216054#0,3834309#-0,6383835#3,169139#-0,6515644#-0,646775#3,176527#0  
frame11 #-0,1356161#0,8145353#3,164366#-0,1118968#0,6430311#3,189269# 0,3580096#0,6784688#3,014788#0,07522152#0,3871019#2,975878#0,309882#0,6197938#3,006825#-0,02566141#0,3753335#2,994365#0,2383216#0,4276962#3,068405#-0,239271#0,4032608#2,970794#0,07061835#0,5175024#3,231706#-0,2469162#0,5370217#3,157989#-0,1087795#0,25743#3,225188#-0,105366#0,1798197#3,223708#-0,02143599#0,1024484#3,240303#-0,1872509#0,1121459#3,213434#0,1950781#-0,2498444#3,21488#-0,4254893#-0,2545225#3,220098#0,2788483#-0,5679184#3,197683#-0,5671146#-0,5775156#3,213017#0,2997883#-0,6190914#3,111289#-0,6197067#-0,6492102#3,174906#0  
