frame1 #0,1283851#0,9593994#3,822991#0,3108321#0,8370759#3,7065# 0,588048#0,1935629#3,571941#-0,4237125#0,3645181#3,656103#0,5678458#0,2789568#3,473771#-0,3272112#0,3656263#3,643532#0,5382833#0,5006921#3,391261#-0,1045359#0,4532119#3,608425#0,4050106#0,6708664#3,540706#0,157768#0,641919#3,569329#0,3062069#0,360824#3,600169#0,2938337#0,2934281#3,512413#0,3478034#0,2468545#3,481286#0,2365443#0,2338282#3,502257#0,393913#-0,2340944#3,560128#0,06702586#-0,2098224#3,450852#0,3659692#-0,569243#3,499364#-0,08530173#-0,5847899#3,368197#0,3335227#-0,6451892#3,459608#-0,100043#-0,6395024#3,276452#1  
frame2 #0,17882#0,9954541#3,824114#0,3088199#0,8339263#3,692789# 0,6330967#0,2443266#3,543029#-0,4032464#0,3588546#3,650924#0,5988829#0,2866536#3,477846#-0,3216884#0,3595574#3,627285#0,5496968#0,5011305#3,385418#-0,09999079#0,4553161#3,601291#0,4138086#0,6692183#3,530799#0,1625856#0,6438713#3,558023#0,3063286#0,3611726#3,588697#0,2958065#0,2933943#3,501128#0,3514204#0,2458555#3,471032#0,2385337#0,2340133#3,490665#0,4066835#-0,2214675#3,54049#0,09131332#-0,2036545#3,442931#0,362558#-0,570026#3,493059#-0,001478928#-0,5876868#3,317119#0,3507489#-0,6180567#3,411684#0,04580245#-0,6658721#3,282985#1  
frame3 #0,1969481#1,027711#3,826971#0,3154761#0,8512778#3,704745# 0,6718785#0,2912658#3,562582#-0,3722947#0,3718458#3,641419#0,6625099#0,3158008#3,515753#-0,2923672#0,3725863#3,620874#0,5749776#0,4950164#3,397951#-0,05265377#0,4779126#3,568523#0,4195664#0,6714922#3,530139#0,1682096#0,645439#3,55404#0,316868#0,3616155#3,587713#0,309324#0,291657#3,499649#0,3661584#0,2442133#3,470202#0,2531237#0,2322087#3,487872#0,4166644#-0,2205618#3,538991#0,1370556#-0,2197839#3,438024#0,3639367#-0,5707374#3,488761#0,07286368#-0,5933218#3,293745#0,3526729#-0,621201#3,403978#0,1289753#-0,6451252#3,257787#1  
frame4 #0,225381#1,042629#3,824126#0,3179578#0,8490794#3,703389# 0,7340191#0,2778298#3,600049#-0,3585244#0,3634722#3,630509#0,6799983#0,3313873#3,522976#-0,2578347#0,3707238#3,591319#0,5844607#0,503729#3,408113#-0,05011423#0,4771668#3,570043#0,4251246#0,6724513#3,536149#0,171098#0,6460797#3,558002#0,3276893#0,3654141#3,595121#0,3230544#0,2956863#3,509585#0,3823669#0,2477962#3,482826#0,2663463#0,2354794#3,496808#0,4245906#-0,2353426#3,545599#0,1749706#-0,2351716#3,436906#0,3659917#-0,5778526#3,480457#0,1535008#-0,6049533#3,282773#0,3561234#-0,6252186#3,399176#0,2313286#-0,6542238#3,263471#1  
frame5 #0,2192894#1,045414#3,831009#0,3192748#0,8495546#3,702865# 0,7474759#0,3314028#3,574733#-0,3572214#0,3682573#3,622506#0,7197748#0,3194335#3,551849#-0,249555#0,3767739#3,58939#0,6307979#0,4827584#3,421114#-0,03914949#0,4767848#3,562649#0,4371616#0,6737187#3,540274#0,1756645#0,6480215#3,558247#0,3375974#0,3732507#3,601503#0,33565#0,3042606#3,5177#0,3976284#0,2551598#3,494903#0,2775739#0,2426563#3,501662#0,4352727#-0,2382162#3,547579#0,2336094#-0,2184931#3,46063#0,2872091#-0,5917406#3,294146#0,2727391#-0,6015576#3,293392#0,1949633#-0,6488857#3,305951#0,2182506#-0,6556247#3,26856#1  
frame6 #0,2116939#1,051346#3,821882#0,3192933#0,8500105#3,705373# 0,8161857#0,3265585#3,659251#-0,3175843#0,3766257#3,602247#0,7726585#0,3680581#3,598997#-0,2453803#0,3799424#3,586876#0,6510332#0,4840181#3,446974#-0,03180406#0,4712443#3,551882#0,4374913#0,6742358#3,543641#0,1815306#0,6501638#3,557013#0,3541735#0,3503891#3,600946#0,3600142#0,2679005#3,513425#0,4182063#0,2227387#3,496934#0,3089091#0,2083296#3,491571#0,4768747#-0,1946138#3,551038#0,3350337#-0,2353782#3,498773#0,4010901#-0,5725166#3,290385#0,4191843#-0,5680869#3,283567#0,2964582#-0,6292886#3,307414#0,3108058#-0,6081768#3,316851#1  
frame7 #0,2007274#1,050081#3,813413#0,3221583#0,8514589#3,703938# 0,8899624#0,291963#3,55365#-0,2949135#0,3658774#3,588683#0,8249488#0,3202437#3,463863#-0,2147903#0,3844192#3,569017#0,6628017#0,4933349#3,476639#-0,004859152#0,4769657#3,525213#0,4540936#0,6737863#3,552859#0,1971196#0,6539156#3,553646#0,3642175#0,3781816#3,609095#0,3729703#0,3159726#3,528012#0,4341867#0,2634997#3,510809#0,3197461#0,2577886#3,506839#0,4264137#-0,1485909#3,513548#0,3689407#-0,2300904#3,495774#0,4774652#-0,5677627#3,320634#0,3451403#-0,5978053#3,469765#0,4755639#-0,6200546#3,228235#0,3316498#-0,6710043#3,418711#1  
frame8 #0,1984146#1,049409#3,815406#0,3219709#0,8520079#3,704968# 0,8797854#0,386264#3,704926#-0,2534015#0,3683469#3,580176#0,8433512#0,4162027#3,635932#-0,170333#0,3797705#3,559925#0,6717615#0,4937588#3,483745#0,03237428#0,4735645#3,479241#0,4481425#0,6787324#3,558733#0,2129832#0,660754#3,541162#0,3736772#0,3415882#3,60491#0,3896616#0,257528#3,518668#0,4443071#0,2155951#3,51031#0,3458197#0,2055869#3,495165#0,43173#-0,1793732#3,511924#0,3797194#-0,231353#3,488271#0,5480902#-0,6021414#3,36164#0,3459879#-0,5965062#3,47133#0,4779027#-0,6245576#3,308263#0,3518937#-0,6486778#3,378054#1  
frame9 #0,1968955#1,043742#3,82484#0,3236088#0,8534865#3,701233# 0,8724295#0,35832#3,513339#-0,1880474#0,3589379#3,558541#0,8075407#0,3707991#3,423203#-0,108832#0,3713776#3,538687#0,6651781#0,5392534#3,521211#0,07999224#0,4898205#3,409578#0,4428812#0,6869731#3,563748#0,2167467#0,6610011#3,536559#0,3800158#0,3534649#3,609687#0,4004384#0,2798145#3,528453#0,4559412#0,2423809#3,52404#0,3576186#0,2247408#3,503733#0,4813015#-0,1505615#3,497383#0,3687269#-0,2495362#3,466068#0,6380045#-0,5700017#3,381227#0,3549041#-0,5852569#3,486102#0,5570266#-0,6377621#3,404535#0,3637207#-0,6352211#3,396299#1  
frame10 #0,2402862#1,06766#3,80313#0,3252205#0,8517696#3,697517# 0,9359569#0,4674979#3,752187#-0,1573895#0,3373185#3,562313#0,884724#0,4402779#3,658408#-0,08580676#0,3631857#3,533157#0,7008873#0,5094811#3,542783#0,06965172#0,4626024#3,401358#0,4423245#0,6884947#3,563157#0,2287685#0,689087#3,518877#0,3799299#0,3549736#3,607985#0,4066674#0,2815673#3,527709#0,4623039#0,2415749#3,527966#0,3681982#0,2282863#3,49724#0,4970306#-0,2698399#3,426674#0,3866406#-0,2497273#3,471776#0,7036108#-0,5728062#3,401765#0,3564304#-0,5780118#3,485997#0,640619#-0,6331714#3,390848#0,3095812#-0,6190835#3,423954#1  
frame11 #0,2164505#1,050798#3,805299#0,330566#0,849859#3,690691# 0,9317629#0,4771239#3,756543#-0,1196037#0,2970141#3,587301#0,883619#0,4467415#3,659192#-0,05402411#0,3259832#3,544778#0,6911579#0,5299557#3,562487#0,08112346#0,4289655#3,394192#0,4416677#0,6890834#3,563066#0,2324566#0,6912683#3,514271#0,4126746#0,3697143#3,612179#0,448393#0,3008447#3,535342#0,507422#0,264115#3,543511#0,4086778#0,24734#3,500621#0,5161044#-0,2696679#3,437835#0,4309472#-0,2652343#3,491124#0,7532706#-0,5634897#3,433946#0,3554167#-0,5850677#3,48615#0,6833766#-0,6162337#3,396527#0,3789576#-0,6358194#3,397557#1  
