frame1 #0,1177388#0,9033042#3,9288#0,2195159#0,7177005#3,850616# 0,4109822#0,2345682#3,409661#-0,5295159#0,3872571#3,850653#0,4509223#0,2813093#3,439696#-0,4621718#0,3786334#3,859164#0,5481929#0,4723367#3,558941#-0,1556907#0,4390399#3,818364#0,3643756#0,5932992#3,72812#0,103433#0,5525932#3,749621#0,2535132#0,2835421#3,733753#0,2505156#0,2249889#3,648973#0,3126436#0,179856#3,622891#0,1952194#0,1615383#3,627053#0,3768602#-0,2324428#3,771187#-0,0314645#-0,2457541#3,622243#0,3757992#-0,5328028#3,703456#-0,26239#-0,5698282#3,574761#0,4108557#-0,6038718#3,664152#-0,272477#-0,6101877#3,510063#1  
frame2 #0,1305914#0,9034639#3,961553#0,2212354#0,7141671#3,848511# 0,4902712#0,1823344#3,711601#-0,4768065#0,3797055#3,844513#0,5111874#0,2491553#3,67474#-0,3748322#0,3736016#3,83743#0,5739359#0,4496179#3,579911#-0,1490969#0,4378302#3,817553#0,3918936#0,5913391#3,728472#0,1148722#0,5294399#3,743816#0,2738161#0,3068916#3,744315#0,2791941#0,2608944#3,665319#0,3499277#0,2174583#3,639407#0,2170986#0,1807343#3,635338#0,3766485#-0,2327713#3,769487#-0,02041846#-0,2446509#3,621048#0,3899571#-0,5381171#3,682691#-0,1087316#-0,5763339#3,534539#0,3781089#-0,5849499#3,606262#-0,2045021#-0,6085427#3,559078#1  
frame3 #0,166728#0,9096233#3,968622#0,2327485#0,7107352#3,849542# 0,5384974#0,1899716#3,740138#-0,4689024#0,3822029#3,845127#0,582699#0,2468454#3,713681#-0,3654594#0,3779711#3,837383#0,5917833#0,448988#3,604893#-0,1385513#0,437264#3,815544#0,3929655#0,5921419#3,732071#0,1214557#0,5347476#3,743868#0,2878509#0,3102196#3,744334#0,2896464#0,2616682#3,663581#0,3569463#0,2182128#3,638202#0,2405842#0,1919459#3,636551#0,3901002#-0,2317967#3,785175#0,02082304#-0,2313009#3,624615#0,3868656#-0,5350425#3,683517#-0,08790124#-0,5939051#3,516699#0,3757237#-0,584751#3,603656#-0,07315807#-0,6630078#3,478092#1  
frame4 #0,1345681#0,8632983#3,93375#0,2722463#0,7082896#3,843226# 0,6567137#0,2144223#3,617414#-0,3844731#0,3902703#3,814585#0,6408642#0,2734208#3,654592#-0,3034984#0,3833392#3,792295#0,6821336#0,4878249#3,658641#-0,08450603#0,4397592#3,773359#0,41358#0,5903609#3,752007#0,1608655#0,5194549#3,719273#0,3540539#0,26448#3,743528#0,3696285#0,2015455#3,661583#0,4354294#0,1609558#3,652775#0,3226371#0,1326358#3,628087#0,4708426#-0,1997577#3,774725#0,1329501#-0,2017093#3,66097#0,4184487#-0,5248131#3,530128#0,282952#-0,5471814#3,517571#0,353121#-0,5867218#3,483646#0,2849562#-0,5917471#3,44162#1  
frame5 #0,1536842#0,8627635#3,92527#0,2921415#0,7040968#3,836593# 0,7075709#0,2056209#3,704543#-0,2702876#0,4029154#3,763637#0,7040619#0,2778533#3,705646#-0,2265649#0,3888325#3,754634#0,6935349#0,4945502#3,723744#-0,02375796#0,4319387#3,705466#0,4126939#0,5800041#3,754297#0,1755804#0,5146183#3,711965#0,3739707#0,2813058#3,75033#0,3975858#0,2253641#3,673161#0,4612229#0,1871439#3,675369#0,3616981#0,1638611#3,6341#0,2936635#-0,2620201#3,635557#0,3130352#-0,2475886#3,640828#0,5826658#-0,5298848#3,527118#0,3955007#-0,577289#3,669575#0,5467683#-0,6009952#3,505198#0,3641379#-0,6473762#3,660439#1  
frame6 #0,2557372#0,9070011#3,874767#0,3120126#0,702713#3,820977# 0,7145244#0,1961681#3,709997#-0,2794608#0,3964821#3,705486#0,7188072#0,2666687#3,723564#-0,211322#0,3944594#3,716912#0,7316557#0,4781705#3,7786#-0,001628846#0,4303794#3,69529#0,4634547#0,5844493#3,762147#0,1958811#0,5123644#3,694748#0,4151566#0,2866055#3,750566#0,4453617#0,227913#3,676863#0,5205784#0,183836#3,682535#0,3988964#0,1525051#3,632369#0,427851#-0,2287136#3,602565#0,3813611#-0,2484335#3,612956#0,7185776#-0,5123431#3,599186#0,3913407#-0,5633967#3,688576#0,7209544#-0,6039911#3,578726#0,3703119#-0,6298256#3,660569#1  
frame7 #0,2571723#0,9054964#3,856848#0,3167235#0,704342#3,813324# 0,7008717#0,2110986#3,701103#-0,2280596#0,4183389#3,7313#0,7101912#0,2785685#3,718911#-0,1611858#0,4100688#3,726224#0,7381499#0,4809783#3,786317#0,02120069#0,4049265#3,633837#0,4738077#0,5782932#3,765792#0,2002879#0,5138519#3,687139#0,439005#0,2851197#3,746696#0,4791935#0,2249866#3,675065#0,5695373#0,1745907#3,68226#0,4419939#0,1494901#3,630921#0,4957465#-0,2016755#3,586406#0,4081186#-0,2576577#3,624491#0,763036#-0,5117522#3,613547#0,3876749#-0,5554215#3,690753#0,7792874#-0,5557484#3,538359#0,3883888#-0,6243351#3,660352#1  
frame8 #0,2446774#0,8430517#3,769478#0,3566692#0,6695493#3,767842# 0,5747257#0,4210225#3,738684#-0,2139229#0,3725614#3,714454#0,6409012#0,4149727#3,755334#-0,1461895#0,3543258#3,655733#0,8394275#0,3968234#3,819322#0,04110944#0,4307828#3,633568#0,6999351#0,5446998#3,87707#0,2399459#0,4789019#3,641481#0,4310406#0,3003619#3,746319#0,4778719#0,2540457#3,686849#0,6029198#0,1774435#3,679006#0,4058234#0,1485265#3,655364#0,5361016#-0,2464347#3,604156#0,4547917#-0,2447298#3,711607#0,8382602#-0,5209137#3,666813#0,3866875#-0,5464322#3,697624#0,8735712#-0,5632124#3,595853#0,3791028#-0,6156936#3,666368#1  
frame9 #0,290349#0,8367065#3,745584#0,3950869#0,6586453#3,746515# 0,5628946#0,4447555#3,835367#-0,1759768#0,3989735#3,694582#0,6225416#0,4357507#3,867256#-0,1144549#0,377782#3,630169#0,8014827#0,4087362#3,977123#0,08100443#0,4137593#3,595346#0,7383528#0,5337958#3,855742#0,2783637#0,4679979#3,620153#0,484611#0,2902603#3,758666#0,5301406#0,2332599#3,705509#0,6465134#0,1556805#3,694294#0,4759181#0,1126937#3,691458#0,6517692#-0,2935837#3,578636#0,4559709#-0,2449605#3,872247#0,9145598#-0,5688874#3,729866#0,3878184#-0,5358548#3,698012#0,9164634#-0,6276793#3,679708#0,4243852#-0,5771958#3,625728#1  
frame10 #0,3928345#0,8195472#3,700708#0,5086407#0,6472526#3,695328# 0,4615104#0,138963#3,545058#-0,01786237#0,3601785#3,51655#0,5194052#0,1717152#3,558301#0,00829801#0,3521404#3,470663#0,6930897#0,2699719#3,612217#0,1954044#0,4040573#3,545635#0,5775#0,5171828#3,603944#0,3919174#0,4566052#3,568967#0,616282#0,2357685#3,769655#0,6488054#0,1543356#3,728155#0,7111255#0,1240407#3,719407#0,6105817#0,09989023#3,740107#0,7466245#-0,281088#3,568577#0,472015#-0,2378995#3,870188#0,926999#-0,5797583#3,741779#0,4137029#-0,549538#3,693956#0,9445892#-0,653155#3,722837#0,437418#-0,6171892#3,663687#1  
frame11 #0,44837#0,7928972#3,697413#0,5755643#0,6315438#3,702332# 0,1360928#0,330467#3,457761#0,09573452#0,2990204#3,394241#0,2239615#0,3344047#3,440443#0,186501#0,3011223#3,375527#0,4723663#0,3736841#3,438482#0,2646145#0,3889599#3,552783#0,6667402#0,5252358#3,581357#0,458841#0,4408963#3,575972#0,6694484#0,264202#3,775548#0,6905279#0,1885487#3,738968#0,7654422#0,1347614#3,693457#0,649604#0,1113586#3,791147#0,7963011#-0,2837153#3,578275#0,4865437#-0,2453002#3,856916#0,93329#-0,5805812#3,744795#0,4814143#-0,525498#3,694597#0,9420032#-0,6545933#3,720875#0,4851197#-0,5714608#3,614895#1  
